"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:1ynmMEK1fkyiZ6Z6F3ThEt","Centerfold","spotify:artist:69Mj3u4FTUrpyeGNSIaU6F","The J. Geils Band","spotify:album:48joW5905AMbTFLvy8ZWch","Freeze Frame","spotify:artist:69Mj3u4FTUrpyeGNSIaU6F","The J. Geils Band","1981","https://i.scdn.co/image/ab67616d0000b27338b2429ef948e6ca8d3ab599","1","3","216533","https://p.scdn.co/mp3-preview/1ebd889311c2ec02bf018627615966e859de3e13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USCA28100075","spotify:user:11135692880","2023-04-03T23:36:48Z"
"spotify:track:2IvetNzSZMH5gwjInoyr18","It's Raining Men","spotify:artist:19xz1vcuKNjniGEftTOSSH","The Weather Girls","spotify:album:04tDE69ZArhHkFaZzRNOrt","Success","spotify:artist:19xz1vcuKNjniGEftTOSSH","The Weather Girls","1982","https://i.scdn.co/image/ab67616d0000b273ce5da542e3aec8325e844311","1","5","325426","https://p.scdn.co/mp3-preview/adb84904d9e4e2ada1bc4974f50b8e7da31e369d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USSM18200382","spotify:user:11135692880","2023-04-03T23:36:48Z"
"spotify:track:2XVQdI3m0giGxNrwUhV3yP","Funkytown","spotify:artist:0lwRI7lvmlRY5DiA5Xa6wQ","Lipps Inc.","spotify:album:1SMBOCE8CFqxr2EB92Asqh","Mouth To Mouth","spotify:artist:0lwRI7lvmlRY5DiA5Xa6wQ","Lipps Inc.","1979-11-01","https://i.scdn.co/image/ab67616d0000b273a5296d028b3e255aec56fc3c","1","1","470346","https://p.scdn.co/mp3-preview/daacde1ba8ff23794455952b67f5a6eebff90ec6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USIR20300047","spotify:user:11135692880","2023-04-03T23:36:48Z"
"spotify:track:2ccUQnjjNWT0rsNnsBpsCA","Surrender","spotify:artist:1LB8qB5BPb3MHQrfkvifXU","Cheap Trick","spotify:album:5w20U3G3GyWiPvvDeVzkhN","Heaven Tonight","spotify:artist:1LB8qB5BPb3MHQrfkvifXU","Cheap Trick","1978-04","https://i.scdn.co/image/ab67616d0000b27361e605b2786f724b37f0176d","1","1","253733","https://p.scdn.co/mp3-preview/c5c316a4b47eacfa1e9a4fe34ca337d10ec435e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USSM19802566","spotify:user:11135692880","2023-04-03T23:36:48Z"
"spotify:track:2RWFncSWZEhSRRifqiDNVV","Run To You","spotify:artist:3Z02hBLubJxuFJfhacLSDc","Bryan Adams","spotify:album:2o2G49EPi4lua5zgxUKhLL","Reckless (30th Anniversary / Deluxe Edition)","spotify:artist:3Z02hBLubJxuFJfhacLSDc","Bryan Adams","1984-11-05","https://i.scdn.co/image/ab67616d0000b273cf1fee2a55e98e22bf358512","1","3","233270","https://p.scdn.co/mp3-preview/fb04e9f864f93cbcea9c19dc4fedd2a6c848a6de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USAM18490003","spotify:user:11135692880","2023-04-03T23:36:48Z"
"spotify:track:0GTK6TesV108Jj5D3MHsYb","Owner of a Lonely Heart","spotify:artist:7AC976RDJzL2asmZuz7qil","Yes","spotify:album:6nNlTIiFd3J06W0rJiiwlz","90125 (Deluxe Version)","spotify:artist:7AC976RDJzL2asmZuz7qil","Yes","1983-06-01","https://i.scdn.co/image/ab67616d0000b2739d9a49f795b4340538f43435","1","1","268506","https://p.scdn.co/mp3-preview/bad9a44db930e3f283d9ca08bfe182aab326324b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USAT20702539","spotify:user:11135692880","2023-04-03T23:36:48Z"
"spotify:track:3L7RtEcu1Hw3OXrpnthngx","Don't You Want Me","spotify:artist:1aX2dmV8XoHYCOQRxjPESG","The Human League","spotify:album:3ls7tE9D2SIvjTmRuEtsQY","Dare!","spotify:artist:1aX2dmV8XoHYCOQRxjPESG","The Human League","1981","https://i.scdn.co/image/ab67616d0000b2735579d8a505c727349a203074","1","10","236920","https://p.scdn.co/mp3-preview/37e6049e5c604a5a0b0c0c5ef68208f72e0fed38?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","GBAAA0200924","spotify:user:11135692880","2023-04-03T23:36:48Z"
"spotify:track:7KkdYJqxvq4ZFq9gvFy06v","D.I.S.C.O. - Single Version","spotify:artist:4FPjAd9hBB9iaiq8qCkNf7","Ottawan","spotify:album:6wTb1UQ3fER0QjGJQFK8Lp","D.I.S.C.O.","spotify:artist:4FPjAd9hBB9iaiq8qCkNf7","Ottawan","1980-01-01","https://i.scdn.co/image/ab67616d0000b273f6f713a49f98ec228d7f9883","1","1","196506","https://p.scdn.co/mp3-preview/abb0db78629fd15ee035adb5b3b68b6f912aab0c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","FR58F7900100","spotify:user:11135692880","2023-04-03T23:36:48Z"
"spotify:track:2WfaOiMkCvy7F5fcp2zZ8L","Take on Me","spotify:artist:2jzc5TC5TVFLXQlBNiIUzE","a-ha","spotify:album:1ER3B6zev5JEAaqhnyyfbf","Hunting High and Low","spotify:artist:2jzc5TC5TVFLXQlBNiIUzE","a-ha","1985-06-01","https://i.scdn.co/image/ab67616d0000b273e8dd4db47e7177c63b0b7d53","1","1","225280","https://p.scdn.co/mp3-preview/d1427dd0a300eeccfc53b99a2ebf3c664a67414a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","USWB19901214","spotify:user:11135692880","2023-04-03T23:36:48Z"
"spotify:track:4TIJ7zSBNejpoIPaWpWRKc","Rebel Yell","spotify:artist:7lzordPuZEXxwt9aoVZYmG","Billy Idol","spotify:album:2FZNWUmgRoP8uJZBaHJdfj","Rebel Yell","spotify:artist:7lzordPuZEXxwt9aoVZYmG","Billy Idol","1983-11-01","https://i.scdn.co/image/ab67616d0000b273ea07dca8b4ca808c1e5b17fb","1","1","288533","https://p.scdn.co/mp3-preview/07db3a3ea4fa92bf94cba38680ea4f8931a3f9d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USCH38400024","spotify:user:11135692880","2023-04-03T23:36:48Z"
"spotify:track:7j74lucZ59vqN67Ipe2ZcY","Maneater","spotify:artist:77tT1kLj6mCWtFNqiOmP9H","Daryl Hall & John Oates","spotify:album:7ygXmT175bKbOpiPjNwXOB","H2O","spotify:artist:77tT1kLj6mCWtFNqiOmP9H","Daryl Hall & John Oates","1982-10-04","https://i.scdn.co/image/ab67616d0000b273cfe4163cbb6d12f3ec15898e","1","1","273173","https://p.scdn.co/mp3-preview/d689e007e59681c1520d7492aa605e3e5073661d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USRC10301821","spotify:user:11135692880","2023-04-03T23:36:48Z"
"spotify:track:3yDhZq8f17SmumVmEyCaRN","Give It Up","spotify:artist:3mQBpAOMWYqAZyxtyeo4Lo","KC & The Sunshine Band","spotify:album:52BJ1S5NOv7eFD6ZFDZga2","All In a Night's Work (Expanded Version)","spotify:artist:3mQBpAOMWYqAZyxtyeo4Lo","KC & The Sunshine Band","2016-03-11","https://i.scdn.co/image/ab67616d0000b273070bc5edcb93d3f394b9445d","1","3","254240","https://p.scdn.co/mp3-preview/bc1799859837b5c829f3037bfefdb162b6309ba2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USSM19801505","spotify:user:11135692880","2023-04-03T23:36:48Z"
"spotify:track:5bJU7zI4oaPOoS1Wmvllty","Maniac - 80s Flashback Dance Fitness Mix","spotify:artist:771qBvjnXOH9Azr6lKy6FB","Michael Sembello","spotify:album:2FppYqCVDz9lmO5rzz2HIs","Party On My Own","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2020-05-22","https://i.scdn.co/image/ab67616d0000b27322a3a6c8e7394928e0f71633","1","23","238786","https://p.scdn.co/mp3-preview/733ae7c8ea5c586714dcd1c7a4706c75fe5cab8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USUM70955555","spotify:user:11135692880","2023-04-03T23:36:48Z"
"spotify:track:6JNJERZGJwDVgkmbohBw7u","Self Control","spotify:artist:4463nfFMmK1cwAWBQDwT5e","Laura Branigan","spotify:album:5cwUCXPFFfNsnk4qipc40D","Self Control","spotify:artist:4463nfFMmK1cwAWBQDwT5e","Laura Branigan","1984","https://i.scdn.co/image/ab67616d0000b2731310670cbb82f06474372cfd","1","2","246440","https://p.scdn.co/mp3-preview/736e6e3bcc1d3a45042ba36a96734cd6a2a897e1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USAT20903047","spotify:user:11135692880","2023-04-03T23:36:48Z"
"spotify:track:5WwqdeavrQrbeAMDxGawse","Can't Fight This Feeling","spotify:artist:55vs7NT1KxcFjbMC4y202E","REO Speedwagon","spotify:album:35KafpmKh0nDLzBLV75MpR","Wheels Are Turnin'","spotify:artist:55vs7NT1KxcFjbMC4y202E","REO Speedwagon","1984-11-05","https://i.scdn.co/image/ab67616d0000b273b815265c56ecfa5136a4015d","1","6","294773","https://p.scdn.co/mp3-preview/47811ce4b58e8fb058e13bdfb21225aa357a5c9f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USSM18400442","spotify:user:11135692880","2023-04-03T23:36:48Z"
"spotify:track:72ahyckBJfTigJCFCviVN7","Don't Bring Me Down","spotify:artist:7jefIIksOi1EazgRTfW2Pk","Electric Light Orchestra","spotify:album:1CvVSn2MtKDBR6aWMkNkem","Discovery","spotify:artist:7jefIIksOi1EazgRTfW2Pk","Electric Light Orchestra","1979-05-31","https://i.scdn.co/image/ab67616d0000b273c18cc9d6fcea1478b1257678","1","9","243373","https://p.scdn.co/mp3-preview/1f3ec1a218a97ea45824f96fa1850193031d36d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USSM10015734","spotify:user:11135692880","2023-04-03T23:36:48Z"
