"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:3skn2lauGk7Dx6bVIt5DVj","Starlight","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:0lw68yx3MhKflWFqCsGkIs","Black Holes and Revelations","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2006-06-19","https://i.scdn.co/image/ab67616d0000b27328933b808bfb4cbbd0385400","1","2","240213","https://p.scdn.co/mp3-preview/f4dc0eed34079ebc130dbd81826c88006978f30e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GBAHT0500592","spotify:user:","2024-10-01T02:58:16Z"
"spotify:track:2RsiWaoL4v2EEADLGkgIk9","SUCA","spotify:artist:796NCMJ5AQMdnutcb8EVeJ","FUCKYOURCLIQUE","spotify:album:1434ACkYCAphEJZF2Dljwt","SCUSATE IL RITARDO","spotify:artist:796NCMJ5AQMdnutcb8EVeJ","FUCKYOURCLIQUE","2024-09-11","https://i.scdn.co/image/ab67616d0000b273c17acb501e1ddf8254dde519","1","5","177937","https://p.scdn.co/mp3-preview/122edfb3c0df95d6bcfea8c858f65b2b82298076?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","US38Y2420949","spotify:user:","2024-10-01T02:58:16Z"
"spotify:track:0wHxD9Aq67t0kBQjIIo6u3","NEED YOU MOST (So Sick)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","spotify:album:576UTio7xgY7YUxrHMzxeI","F*CK LOVE 3+: OVER YOU","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2021-07-27","https://i.scdn.co/image/ab67616d0000b273b4d59e6fa7e5e7cbc57ac33a","3","14","135227","https://p.scdn.co/mp3-preview/60ee9cc6ba06c9e5d70ac700739281ba8fec16f1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","USSM12004216","spotify:user:","2024-10-01T02:58:16Z"
"spotify:track:2ixsaeFioXJmMgkkbd4uj1","Budapest","spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j","George Ezra","spotify:album:6mcMKGEgukjyiR5IKElQ2E","Wanted on Voyage (Expanded Edition)","spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j","George Ezra","2014-06-30","https://i.scdn.co/image/ab67616d0000b273d6df3bccf3ec41ea2f76debc","1","2","200733","https://p.scdn.co/mp3-preview/03e6f12a87c862370fe965eb330fbcab1f2ee93f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","GBARL1400477","spotify:user:","2024-10-01T02:58:16Z"
"spotify:track:2zYzOaECWTf16Hdp4bc8Zu","1234 POSSE (feat. Faneto, Artie 5ive, Astro, Niky Savage, Lito, Low-Red, Kid Yugi, RRARI DAL TACCO)","spotify:artist:4SRpFyqwIrO0xMX39HJnaU, spotify:artist:5oKFHzk5mSd5uJpod1D8aB, spotify:artist:51101YZl9bczaDPDfVHCB4, spotify:artist:2R4kNOwHUUsuDYhKsESVbF, spotify:artist:2pzFTbri7ew8mW2CbYpCNq, spotify:artist:4w9mPW732RnZkoqsy3lRsg, spotify:artist:3Es16vmqYL43ifHZR4YjbO, spotify:artist:6iE4D1r501drzd1fyM6z9N, spotify:artist:0EUR8jz8L936AEbV2Spkca, spotify:artist:30fnIb0InCgAp2IPY17nqd","Sadturs, KIID, Faneto, Artie 5ive, Astro, Niky Savage, Lito, Low-Red, Kid Yugi, RRARI DAL TACCO","spotify:album:7MyXBQdWCOgTzq4eORz0fe","NO REGULAR MUSIC (Deluxe)","spotify:artist:4SRpFyqwIrO0xMX39HJnaU, spotify:artist:5oKFHzk5mSd5uJpod1D8aB","Sadturs, KIID","2024-07-12","https://i.scdn.co/image/ab67616d0000b27333e52553f5086a3018f9a68d","1","4","278802","https://p.scdn.co/mp3-preview/fae33d3b7cbdbc759119ba7f834dbba2a1ced417?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","IT4U12400023","spotify:user:","2024-10-01T02:58:16Z"
"spotify:track:3GQGzLkjYRIKenQddkT42G","NGMI","spotify:artist:796NCMJ5AQMdnutcb8EVeJ","FUCKYOURCLIQUE","spotify:album:1434ACkYCAphEJZF2Dljwt","SCUSATE IL RITARDO","spotify:artist:796NCMJ5AQMdnutcb8EVeJ","FUCKYOURCLIQUE","2024-09-11","https://i.scdn.co/image/ab67616d0000b273c17acb501e1ddf8254dde519","1","7","130548","https://p.scdn.co/mp3-preview/c4587c881086087594d1bf2bea2a4a2a51a6b2b2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","US38Y2417336","spotify:user:","2024-10-01T02:58:16Z"
"spotify:track:53tfEupEzQRtVFOeZvk7xq","DESPECHÁ","spotify:artist:7ltDVBr6mKbRvohxheJ9h1","ROSALÍA","spotify:album:3zbiiu3JTibw0esC7eoMXr","MOTOMAMI +","spotify:artist:7ltDVBr6mKbRvohxheJ9h1","ROSALÍA","2022-09-09","https://i.scdn.co/image/ab67616d0000b273efc0ef9dd996312ebaf0bf52","1","17","156787","https://p.scdn.co/mp3-preview/304868e078d8f2c3209977997c47542181096b61?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","USSM12207207","spotify:user:","2024-10-01T02:58:16Z"
"spotify:track:1UqhkbzB1kuFwt2iy4h29Q","Cough Syrup","spotify:artist:4j56EQDQu5XnL7R3E9iFJT","Young the Giant","spotify:album:2ww7MYrkExsljnKhcINDse","Young The Giant (Special Edition)","spotify:artist:4j56EQDQu5XnL7R3E9iFJT","Young the Giant","2011","https://i.scdn.co/image/ab67616d0000b27351729fae66d02122c4951153","1","4","249520","https://p.scdn.co/mp3-preview/d7218e4269b429d546b8af4a333a4bbef4cc89ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","NLA321090389","spotify:user:","2024-10-01T02:58:16Z"
"spotify:track:3UULkHdmLDqBDPmBYltoRE","Metalingus","spotify:artist:4DWX7u8BV0vZIQSpJQQDWU","Alter Bridge","spotify:album:6hqietEuZCikevdO2oGTcx","One Day Remains","spotify:artist:4DWX7u8BV0vZIQSpJQQDWU","Alter Bridge","2004-08-10","https://i.scdn.co/image/ab67616d0000b273bc7ddb77993dd1d8d19c22a2","1","5","259959","https://p.scdn.co/mp3-preview/7aa6b385f962615ead91ad452b78a7b17a119f46?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USWU30400101","spotify:user:","2024-10-01T02:58:16Z"
"spotify:track:6BarEhWtRa51kVjNuf6tqx","LA VITTIMA","spotify:artist:796NCMJ5AQMdnutcb8EVeJ","FUCKYOURCLIQUE","spotify:album:1434ACkYCAphEJZF2Dljwt","SCUSATE IL RITARDO","spotify:artist:796NCMJ5AQMdnutcb8EVeJ","FUCKYOURCLIQUE","2024-09-11","https://i.scdn.co/image/ab67616d0000b273c17acb501e1ddf8254dde519","1","6","161632","https://p.scdn.co/mp3-preview/92cc8c3ea68e3da89ecb396dfc76ae3ec6702853?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","US38Y2420984","spotify:user:","2024-10-01T02:58:16Z"
