"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:5EFGVq0uikpZ3MtBfj2Lmf","T'Apposto","spotify:artist:7F2utINZ6tSokSiZTQBE27","Guè","spotify:album:5GJODuT7ScKILZGIwmMCW6","Gentleman","spotify:artist:7F2utINZ6tSokSiZTQBE27","Guè","2017-06-30","https://i.scdn.co/image/ab67616d0000b2732df142ae1a9bc420502ef056","1","1","194586","https://p.scdn.co/mp3-preview/b02411b3c4d10f51e8a04f2e6cd5d239a87e24fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","ITUM71700596","spotify:user:11135692880","2020-06-14T01:24:25Z"
"spotify:track:7njNH4cZx56ei2STHN9Rw5","Scarafaggio","spotify:artist:7F2utINZ6tSokSiZTQBE27, spotify:artist:6CKch2otN4SPznHf9ms5JF, spotify:artist:5ild2YybiTUOmUsZGP7AVo","Guè, Tony Effe, Il Profeta","spotify:album:5GJODuT7ScKILZGIwmMCW6","Gentleman","spotify:artist:7F2utINZ6tSokSiZTQBE27","Guè","2017-06-30","https://i.scdn.co/image/ab67616d0000b2732df142ae1a9bc420502ef056","1","8","197333","https://p.scdn.co/mp3-preview/2c91601d7823e694c58803f4e1aac75d345bb0d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","ITUM71700598","spotify:user:11135692880","2020-06-14T01:24:25Z"
"spotify:track:6lU7d6K68Z3DH1PGZehmMh","Oro Giallo","spotify:artist:7F2utINZ6tSokSiZTQBE27, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","Guè, Luchè","spotify:album:5GJODuT7ScKILZGIwmMCW6","Gentleman","spotify:artist:7F2utINZ6tSokSiZTQBE27","Guè","2017-06-30","https://i.scdn.co/image/ab67616d0000b2732df142ae1a9bc420502ef056","1","9","219906","https://p.scdn.co/mp3-preview/7607099ba326e424309071ff92e35caa6f4d560b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","ITUM71700694","spotify:user:11135692880","2020-06-14T01:24:25Z"
"spotify:track:5t5jXb3bzGae40RfMQI6Pb","Trinità","spotify:artist:7F2utINZ6tSokSiZTQBE27","Guè","spotify:album:5GJODuT7ScKILZGIwmMCW6","Gentleman","spotify:artist:7F2utINZ6tSokSiZTQBE27","Guè","2017-06-30","https://i.scdn.co/image/ab67616d0000b2732df142ae1a9bc420502ef056","1","15","206853","https://p.scdn.co/mp3-preview/e97c566e1c44e08d8a5266ccdc016064d3d06f6c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","ITUM71700279","spotify:user:11135692880","2020-06-14T01:24:34Z"
"spotify:track:0Rgi733bscb4I8FLsat1yQ","Lario","spotify:artist:0jdNdfi4vAuVi7a6cPDFBM, spotify:artist:5WBincqAirIREkG5sXqeyq","Lazza, Low Kidd","spotify:album:0mfxxwxZS0tpcxHa494r62","Zzala","spotify:artist:0jdNdfi4vAuVi7a6cPDFBM","Lazza","2017-04-14","https://i.scdn.co/image/ab67616d0000b2736a15ffdbf9af98a4a054f0af","1","5","190186","https://p.scdn.co/mp3-preview/af0a1045fa49c9cd1657fa0a55f2c0a6750a193b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","IT0CF1700190","spotify:user:11135692880","2020-06-14T01:25:10Z"
"spotify:track:5xTxsNSO8JRKupxD6yieMT","Maleducati","spotify:artist:0jdNdfi4vAuVi7a6cPDFBM, spotify:artist:5WBincqAirIREkG5sXqeyq","Lazza, Low Kidd","spotify:album:0mfxxwxZS0tpcxHa494r62","Zzala","spotify:artist:0jdNdfi4vAuVi7a6cPDFBM","Lazza","2017-04-14","https://i.scdn.co/image/ab67616d0000b2736a15ffdbf9af98a4a054f0af","1","6","230106","https://p.scdn.co/mp3-preview/1583930389de13f24afe92f373cb1c26b8000f9e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","IT0CF1700186","spotify:user:11135692880","2020-06-14T01:25:12Z"
"spotify:track:3txbZdDUfCLnsO85qf9uyc","DDA","spotify:artist:0jdNdfi4vAuVi7a6cPDFBM, spotify:artist:5WBincqAirIREkG5sXqeyq","Lazza, Low Kidd","spotify:album:0mfxxwxZS0tpcxHa494r62","Zzala","spotify:artist:0jdNdfi4vAuVi7a6cPDFBM","Lazza","2017-04-14","https://i.scdn.co/image/ab67616d0000b2736a15ffdbf9af98a4a054f0af","1","3","165920","https://p.scdn.co/mp3-preview/ef130b6d182cdc8e17fe095b659143a7b53fc17d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","IT0CF1700179","spotify:user:11135692880","2020-06-14T01:25:24Z"
"spotify:track:2lrwrae424IfClZuPe4O4g","MOB (feat. Salmo & Nitro)","spotify:artist:0jdNdfi4vAuVi7a6cPDFBM, spotify:artist:5WBincqAirIREkG5sXqeyq, spotify:artist:3hBQ4zniNdQf1cqqo6hzuW, spotify:artist:6jQZzWW3JlEtcRDSzFVKSP","Lazza, Low Kidd, Salmo, Nitro","spotify:album:0mfxxwxZS0tpcxHa494r62","Zzala","spotify:artist:0jdNdfi4vAuVi7a6cPDFBM","Lazza","2017-04-14","https://i.scdn.co/image/ab67616d0000b2736a15ffdbf9af98a4a054f0af","1","10","213613","https://p.scdn.co/mp3-preview/c5b8d81117d545134d4edadeb3dcbcb7926d5b07?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","IT0CF1700194","spotify:user:11135692880","2020-06-14T01:25:24Z"
"spotify:track:5vKNtrt1WtgZeohRlas4fG","Origami","spotify:artist:0jdNdfi4vAuVi7a6cPDFBM, spotify:artist:5WBincqAirIREkG5sXqeyq","Lazza, Low Kidd","spotify:album:0mfxxwxZS0tpcxHa494r62","Zzala","spotify:artist:0jdNdfi4vAuVi7a6cPDFBM","Lazza","2017-04-14","https://i.scdn.co/image/ab67616d0000b2736a15ffdbf9af98a4a054f0af","1","2","150226","https://p.scdn.co/mp3-preview/cd301beaa9fb96ce975c7c0e07b06e9f1bf8760a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","IT0CF1700188","spotify:user:11135692880","2020-06-14T01:25:28Z"
"spotify:track:4uWcPi8woL8t949ejvHycP","Zzala","spotify:artist:0jdNdfi4vAuVi7a6cPDFBM, spotify:artist:5WBincqAirIREkG5sXqeyq","Lazza, Low Kidd","spotify:album:0mfxxwxZS0tpcxHa494r62","Zzala","spotify:artist:0jdNdfi4vAuVi7a6cPDFBM","Lazza","2017-04-14","https://i.scdn.co/image/ab67616d0000b2736a15ffdbf9af98a4a054f0af","1","7","184653","https://p.scdn.co/mp3-preview/ac46b4120a68e60124275f1ef322e63fc3a9009f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","IT0CF1700191","spotify:user:11135692880","2020-06-14T01:27:13Z"
