"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:27BgDmciSjoxTG0almHTpZ","Love To Lay","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:2ODvWsOgouMbaA5xf0RkJe","Starboy","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2016-11-25","https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452","1","11","223293","https://p.scdn.co/mp3-preview/dafe70ae3f0b0553f3ba110bf10bf71fa0ec45f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USUG11601005","spotify:user:11135692880","2020-06-03T15:45:49Z"
"spotify:track:36YCdzT57us0LhDmCYtrNE","Rockin’","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:2ODvWsOgouMbaA5xf0RkJe","Starboy","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2016-11-25","https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452","1","5","232880","https://p.scdn.co/mp3-preview/acd76b98a58583963fd6c8a223d0e493391ca767?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","USUG11600999","spotify:user:11135692880","2020-06-03T15:46:16Z"
"spotify:track:00NAQYOP4AmWR549nnYJZu","Secrets","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:2ODvWsOgouMbaA5xf0RkJe","Starboy","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2016-11-25","https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452","1","6","265600","https://p.scdn.co/mp3-preview/b578d78038e18674345b7b60e8a9708608bf166e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USUG11601000","spotify:user:11135692880","2020-06-03T15:46:40Z"
"spotify:track:2ZWlPOoWh0626oTaHrnl2a","Ivy","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2016-08-20","https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526","1","2","249191","https://p.scdn.co/mp3-preview/3eb4d77b749c0f49037e6aee78536eb35b5c88c7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","83","QZ5C81600002","spotify:user:11135692880","2020-06-03T15:50:11Z"
"spotify:track:4L7jMAP8UcIe309yQmkdcO","Lost","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:623Ef2ZEB3Njklix4PC0Rs","channel ORANGE (Explicit Version)","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2012-07-10","https://i.scdn.co/image/ab67616d0000b273f11f1c4ad183b7fa625f8534","1","11","234093","https://p.scdn.co/mp3-preview/2d314c23e818fcd708b5224bf920520ccf69832c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","1","USUM71207186","spotify:user:11135692880","2020-06-03T15:50:53Z"
"spotify:track:152lZdxL1OR0ZMW6KquMif","Location","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","spotify:album:6kf46HbnYCZzP6rjvQHYzg","American Teen","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","2017-04-27","https://i.scdn.co/image/ab67616d0000b273988ede5e1276e758b5f9e577","1","3","219080","https://p.scdn.co/mp3-preview/ed25b8c413329ab145c72c8bfce8b8558498299c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","TCACO1662934","spotify:user:11135692880","2020-06-03T15:51:56Z"
"spotify:track:5Z3GHaZ6ec9bsiI5BenrbY","Young Dumb & Broke","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","spotify:album:6kf46HbnYCZzP6rjvQHYzg","American Teen","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","2017-04-27","https://i.scdn.co/image/ab67616d0000b273988ede5e1276e758b5f9e577","1","2","202546","https://p.scdn.co/mp3-preview/05e9e3f61b30cf532a171bf40db63c086f9b6d5b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USRC11700144","spotify:user:11135692880","2020-06-03T15:52:32Z"
"spotify:track:1XcXhu1X0xBFMDFyq0b7Ue","4u","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","spotify:album:1TkwzY3l4LqAfrQwBAx45Q","deadroses","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","2015-02-14","https://i.scdn.co/image/ab67616d0000b273bf33fdea7b0ff3c71b6faf75","1","1","158571","https://p.scdn.co/mp3-preview/d3dbb5d8e7da04fc54109f88a3ff28ecddbcf499?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","QM8DG1400256","spotify:user:11135692880","2020-06-03T16:21:43Z"
"spotify:track:6y6jbcPG4Yn3Du4moXaenr","idfc","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","spotify:album:1TkwzY3l4LqAfrQwBAx45Q","deadroses","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","2015-02-14","https://i.scdn.co/image/ab67616d0000b273bf33fdea7b0ff3c71b6faf75","1","6","245172","https://p.scdn.co/mp3-preview/0e189ec3c71c1c34691380696d2a8749d4173a9e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","TCACB1407069","spotify:user:11135692880","2020-06-03T16:33:34Z"
"spotify:track:3Q3myFA7q4Op95DOpHplaY","do re mi","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","spotify:album:30QoUTsSdpQuZunPNFsLnm","digital druglord","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","2017-04-21","https://i.scdn.co/image/ab67616d0000b27318e8b6e355542ddf38562055","1","4","212027","https://p.scdn.co/mp3-preview/ce9402740f8b1226321ed18ff4f459318aa19104?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USLD91700850","spotify:user:11135692880","2020-06-03T16:46:33Z"
