"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:0ZtiOItshxJ9JzX9CkpGC9","Believer","spotify:artist:0MlOPi3zIDMVrfA9R04Fe3","American Authors","spotify:album:08QA1LIBYfgH1j3yfnjY1O","Oh, What A Life","spotify:artist:0MlOPi3zIDMVrfA9R04Fe3","American Authors","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e6783529de099fe195c4cd2d","1","1","183600","https://p.scdn.co/mp3-preview/34b3c5fdd4ce5531ce7c2a6137dd5a69f76d032e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","USUM71302188","spotify:user:pivimkh","2014-11-08T12:58:56Z"
"spotify:track:5NYhSuEzPwKoOry02NEFUi","Think About It","spotify:artist:0MlOPi3zIDMVrfA9R04Fe3","American Authors","spotify:album:08QA1LIBYfgH1j3yfnjY1O","Oh, What A Life","spotify:artist:0MlOPi3zIDMVrfA9R04Fe3","American Authors","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e6783529de099fe195c4cd2d","1","2","184120","https://p.scdn.co/mp3-preview/0afd1c61e03a1e98294f40438e7d09f9b8f061df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","USUM71400252","spotify:user:pivimkh","2014-11-08T12:58:56Z"
"spotify:track:0Dho96aJIZ5LJZXyPllbWA","Best Day Of My Life","spotify:artist:0MlOPi3zIDMVrfA9R04Fe3","American Authors","spotify:album:08QA1LIBYfgH1j3yfnjY1O","Oh, What A Life","spotify:artist:0MlOPi3zIDMVrfA9R04Fe3","American Authors","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e6783529de099fe195c4cd2d","1","3","194186","https://p.scdn.co/mp3-preview/7069dc1e5a09fe5f4f3d79bfafa6a6c4b722e7f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USUM71302187","spotify:user:pivimkh","2014-11-08T12:58:56Z"
"spotify:track:4CV4wRKjxxVcgZwKlBrsfs","Luck","spotify:artist:0MlOPi3zIDMVrfA9R04Fe3","American Authors","spotify:album:08QA1LIBYfgH1j3yfnjY1O","Oh, What A Life","spotify:artist:0MlOPi3zIDMVrfA9R04Fe3","American Authors","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e6783529de099fe195c4cd2d","1","4","220626","https://p.scdn.co/mp3-preview/d61cd862c4deae4a4ab85efb81fea4b4567ab9ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","USUM71309553","spotify:user:pivimkh","2014-11-08T12:58:56Z"
"spotify:track:5hftp87QYcDpPDCoBj3ESb","Trouble","spotify:artist:0MlOPi3zIDMVrfA9R04Fe3","American Authors","spotify:album:08QA1LIBYfgH1j3yfnjY1O","Oh, What A Life","spotify:artist:0MlOPi3zIDMVrfA9R04Fe3","American Authors","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e6783529de099fe195c4cd2d","1","5","195013","https://p.scdn.co/mp3-preview/19f31b97f3a4036733325cc59b6e936d010d5ca7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","USUM71400253","spotify:user:pivimkh","2014-11-08T12:58:56Z"
"spotify:track:2oYGcfYCVrRgOngOiJktWu","Hit It","spotify:artist:0MlOPi3zIDMVrfA9R04Fe3","American Authors","spotify:album:08QA1LIBYfgH1j3yfnjY1O","Oh, What A Life","spotify:artist:0MlOPi3zIDMVrfA9R04Fe3","American Authors","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e6783529de099fe195c4cd2d","1","6","207413","https://p.scdn.co/mp3-preview/3c518ae0cdb5b8c1e65609c90368abdd286c4488?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USUM71309216","spotify:user:pivimkh","2014-11-08T12:58:56Z"
"spotify:track:4kjlgJWNiC1umaClm2ZPTu","Home","spotify:artist:0MlOPi3zIDMVrfA9R04Fe3","American Authors","spotify:album:08QA1LIBYfgH1j3yfnjY1O","Oh, What A Life","spotify:artist:0MlOPi3zIDMVrfA9R04Fe3","American Authors","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e6783529de099fe195c4cd2d","1","7","249186","https://p.scdn.co/mp3-preview/b15a93d7522aa2a9d81597a0ccf6eebe8a287c68?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","USUM71309554","spotify:user:pivimkh","2014-11-08T12:58:56Z"
"spotify:track:39RPq3XpvSo3UB5BpcaneQ","Love","spotify:artist:0MlOPi3zIDMVrfA9R04Fe3","American Authors","spotify:album:08QA1LIBYfgH1j3yfnjY1O","Oh, What A Life","spotify:artist:0MlOPi3zIDMVrfA9R04Fe3","American Authors","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e6783529de099fe195c4cd2d","1","8","198200","https://p.scdn.co/mp3-preview/ba2e3f98e8c25e0e68e5bbcb670bce9136e6475a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","USUM71400254","spotify:user:pivimkh","2014-11-08T12:58:56Z"
"spotify:track:6HhwrFi14pMs5LizJh7t4C","Heart Of Stone","spotify:artist:0MlOPi3zIDMVrfA9R04Fe3","American Authors","spotify:album:08QA1LIBYfgH1j3yfnjY1O","Oh, What A Life","spotify:artist:0MlOPi3zIDMVrfA9R04Fe3","American Authors","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e6783529de099fe195c4cd2d","1","9","186320","https://p.scdn.co/mp3-preview/a31eeac8c03724ddd359473939b91cc4c939d651?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","USUM71400255","spotify:user:pivimkh","2014-11-08T12:58:56Z"
"spotify:track:3uLniGMMpAefIGG5S8I6na","Ghost","spotify:artist:0MlOPi3zIDMVrfA9R04Fe3","American Authors","spotify:album:08QA1LIBYfgH1j3yfnjY1O","Oh, What A Life","spotify:artist:0MlOPi3zIDMVrfA9R04Fe3","American Authors","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e6783529de099fe195c4cd2d","1","10","174320","https://p.scdn.co/mp3-preview/5791cc708fe5bed11027a0553dffb376db2845cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","USUM71400256","spotify:user:pivimkh","2014-11-08T12:58:56Z"
