"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:1d36tpKpByF5Wcndsqr4Bq","Farò di Te un Uomo","spotify:artist:2fiI8z6Gud1cfPBBUNXqpg, spotify:artist:2eJAB26hKyhjrMT0dmAuwm, spotify:artist:4e1ovRuN0EfLfFn5Pd0lGC, spotify:artist:7g553b3GtzaRGMs42HRRUP, spotify:artist:4Y8mhvWTaw8WF3SL6Gurk4, spotify:artist:36S4IuGrv4jCBEHQNO1VgC","S Pozzoli, V Matteucci, V Giannetti, G Giannolla, M Cataldi, E Papi","spotify:album:7GNc6okTFaZGLeuNU3JYbx","Mulan (Colonna Sonora Originale)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","1998-01-01","https://i.scdn.co/image/ab67616d0000b273f6aeefebb0716ee772e9b02d","1","5","201626","https://p.scdn.co/mp3-preview/ec036d5713d0cad1a9d2ba71d792bd983d535029?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USWD10526285","spotify:user:11135692880","2024-10-02T19:49:07Z"
"spotify:track:3zWXAQuZ2cgRb2p0xqAORS","se ne va","spotify:artist:7tmTvmqgTBcX88ZrSHByrD, spotify:artist:5K92J8NwWAlu6fRN2uoHVN","Nayt, 3D","spotify:album:5S2RzVtE5dwhqZHK9UH767","HABITAT","spotify:artist:7tmTvmqgTBcX88ZrSHByrD, spotify:artist:5K92J8NwWAlu6fRN2uoHVN","Nayt, 3D","2023-06-16","https://i.scdn.co/image/ab67616d0000b27319f32da225d227157329d41d","1","8","163416","https://p.scdn.co/mp3-preview/64facfc3bf98b6fb84f61799f6aacfa5901bd491?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","ITHZX2300008","spotify:user:anedda.matteo3","2024-10-02T19:49:07Z"
"spotify:track:0VMGL7KoAfjN3UnTL6aB5o","Sesto senso","spotify:artist:6PsQc21YZU7WNfiODG69Qk","Tony Boy","spotify:album:1IAGA62BsUpc8TjhBZuDsn","Going Hard 2","spotify:artist:6PsQc21YZU7WNfiODG69Qk","Tony Boy","2021-09-02","https://i.scdn.co/image/ab67616d0000b27323f14c95a49443cb70e79f18","1","6","181176","https://p.scdn.co/mp3-preview/934c21b1dedd5d93a858c7e695d31c99d496c826?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","ITK192100094","spotify:user:11135692880","2024-10-02T19:49:07Z"
"spotify:track:0slUOTXqPhuyaBY66fQNNU","NUOVO ME ᭆ (con Rkomi, Bresh, Iako)","spotify:artist:7gjqZ8coFZimZDtdk04WP1, spotify:artist:056KMTw6IztdQjBmFfVyO3, spotify:artist:7FeObngbQ0GY3SojNwKdKn, spotify:artist:5vb5OxjAG4MT01pnXSzOoX","MACE, Rkomi, Bresh, iako","spotify:album:5wByaEbAmxIlQCDdicFJry","MĀYĀ","spotify:artist:7gjqZ8coFZimZDtdk04WP1","MACE","2024-07-05","https://i.scdn.co/image/ab67616d0000b273ed46b10906511b1329ee66ab","1","10","241544","https://p.scdn.co/mp3-preview/c13bcbf82839ec78c20e956a1b04dbbba0f987ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","ITUM72400413","spotify:user:11135692880","2024-10-02T19:49:07Z"
"spotify:track:7kyOleSPiSg5rtARYbaIFk","Profezia","spotify:artist:14XRgLXin9R3eKTNXBNwos","Leon Faun","spotify:album:7a8pBg426ohFGpFaYWsvHf","LEON","spotify:artist:14XRgLXin9R3eKTNXBNwos","Leon Faun","2024-03-21","https://i.scdn.co/image/ab67616d0000b273b696c9dbfa799ebeb6cb86b7","1","1","138750","https://p.scdn.co/mp3-preview/200db7050eee2a1cbe2506d0fa91c239cd525d51?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","ITUM72300761","spotify:user:11135692880","2024-10-02T19:49:07Z"
"spotify:track:3DZa0s06F8I8euQ8LKUJ5T","The Island (feat. Hell Raton, En?gma, Slait)","spotify:artist:3hBQ4zniNdQf1cqqo6hzuW, spotify:artist:6g5SF1Yz63eoPUnJgRHfrz, spotify:artist:5pbBGJlVCUzwmdfd1Q1tEX, spotify:artist:2KXYAKQTxHuUHDtVgeGn6w","Salmo, Hell Raton, En?gma, Slait","spotify:album:1gjwWKqjQMhi5OvWG38ZEW","Midnite (Deluxe Version)","spotify:artist:3hBQ4zniNdQf1cqqo6hzuW","Salmo","2013-04-02","https://i.scdn.co/image/ab67616d0000b273beca846333b89312c1d971e8","1","14","222893","https://p.scdn.co/mp3-preview/54c10ddf62141262b4981557c80e1c48c7d11333?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","ITDF41300014","spotify:user:anedda.matteo3","2024-10-02T19:49:07Z"
"spotify:track:7INeCP91zoGzscgFF6MaXY","LA CANZONE DELLA SBORRA","spotify:artist:796NCMJ5AQMdnutcb8EVeJ","FUCKYOURCLIQUE","spotify:album:1434ACkYCAphEJZF2Dljwt","SCUSATE IL RITARDO","spotify:artist:796NCMJ5AQMdnutcb8EVeJ","FUCKYOURCLIQUE","2024-09-11","https://i.scdn.co/image/ab67616d0000b273c17acb501e1ddf8254dde519","1","8","164210","https://p.scdn.co/mp3-preview/5d576c125bd2c507a96bdf3045728d274c97f43b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","QZMEM2258992","spotify:user:11135692880","2024-10-02T19:49:07Z"
"spotify:track:2IqM0gOHG4LlL0MHuOjLOq","Pelé","spotify:artist:44DWomjW1oDuxIoBIRpmQ4, spotify:artist:4VmOlyJsnQB93ZIGMO2XWo","Rhove, Madfingerz","spotify:album:3q0jSQN78hoqBtXB2JDaw5","Popolari","spotify:artist:44DWomjW1oDuxIoBIRpmQ4","Rhove","2024-03-29","https://i.scdn.co/image/ab67616d0000b2735ebae283e448ee93736dabbe","1","6","133858","https://p.scdn.co/mp3-preview/fcae887f286b144768ec828ab0fc3c818558cddc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","ITUM72300441","spotify:user:anedda.matteo3","2024-10-02T19:49:07Z"
"spotify:track:4Dvkj6JhhA12EX05fT7y2e","As It Was","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:5r36AJ6VOJtp00oxSkBZ5h","Harry's House","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2022-05-20","https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0","1","4","167303","https://p.scdn.co/mp3-preview/c43dd07043b29e800c1a65b3a0102861fa3cf418?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","USSM12200612","spotify:user:11135692880","2024-10-02T19:49:07Z"
"spotify:track:4RVwu0g32PAqgUiJoXsdF8","Happier Than Ever","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:0JGOiO34nwfUdDrD612dOp","Happier Than Ever","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2021-07-30","https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e","1","15","298899","https://p.scdn.co/mp3-preview/667e62a782667b01e98006cd3ba42c9852b62bea?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USUM72105936","spotify:user:anedda.matteo3","2024-10-02T19:49:07Z"
