"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:6CRtIYDga4VKW5sV5rfAL3","DEJA VU","spotify:artist:1uXrhF4cZsmDQZDueF9uJT","dave rodgers","spotify:album:5IWYS5uU24ol0NotfK8XqV","SUPER EUROBEAT presents INITIAL D DAVE RODGERS SELECTION","spotify:artist:1uXrhF4cZsmDQZDueF9uJT","dave rodgers","2019-09-11","https://i.scdn.co/image/ab67616d0000b273d3c9d5ee352e0c2d932e6f9e","1","1","260555","https://p.scdn.co/mp3-preview/05d6105fa7960d6730e4021ea1d628f2e211dab4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","ITA879901174","spotify:user:11135692880","2022-01-01T21:19:17Z"
"spotify:track:6DlPa2rrVK3BygXJ48WYo3","RUNNING IN THE 90'S","spotify:artist:4aFf48VQYRT631OJGgVwUv","Max Coveri","spotify:album:1BbK1fKw0xg1HK3G0zVNTW","SUPER EUROBEAT presents INITIAL D 〜D SELECTION〜","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","1998-07-29","https://i.scdn.co/image/ab67616d0000b273c27e997313531dbc7b01b247","1","9","283833","https://p.scdn.co/mp3-preview/92d4a2ebbc49bbdd5ff8bc9570b4eda5be907015?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","ITB119700121","spotify:user:11135692880","2022-01-01T21:19:17Z"
"spotify:track:6tinyeimCbUv1CPuPBBQOH","NO ONE SLEEP IN TOKYO","spotify:artist:2qlGGrGnWPs3oqIib0oTSf","EDO BOYS","spotify:album:1BbK1fKw0xg1HK3G0zVNTW","SUPER EUROBEAT presents INITIAL D 〜D SELECTION〜","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","1998-07-29","https://i.scdn.co/image/ab67616d0000b273c27e997313531dbc7b01b247","1","2","302033","https://p.scdn.co/mp3-preview/905b2f2e750bfe0083d853d24e8e4ce2be5d7e00?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","JPB600990747","spotify:user:11135692880","2022-01-01T21:19:17Z"
"spotify:track:70p3HYq9iHZisJqpDmWd1U","Guren no Yumiya","spotify:artist:3eNYrVLcWfjJ9JdH9kiPJO","Linked Horizon","spotify:album:24pr7CLiiJk8rUsXcocSA4","Shingeki no Kiseki","spotify:artist:3eNYrVLcWfjJ9JdH9kiPJO","Linked Horizon","2017-05-17","https://i.scdn.co/image/ab67616d0000b27374164dc6fb6a320abf6a34fd","1","2","310680","https://p.scdn.co/mp3-preview/16186b457a6ddeb7c353167598d881631778a4a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","JPPC01300723","spotify:user:11135692880","2022-01-01T21:22:40Z"
"spotify:track:188vCXc4bAejLqGhpEVBGT","Jiyuu no Tsubasa","spotify:artist:3eNYrVLcWfjJ9JdH9kiPJO","Linked Horizon","spotify:album:24pr7CLiiJk8rUsXcocSA4","Shingeki no Kiseki","spotify:artist:3eNYrVLcWfjJ9JdH9kiPJO","Linked Horizon","2017-05-17","https://i.scdn.co/image/ab67616d0000b27374164dc6fb6a320abf6a34fd","1","7","331946","https://p.scdn.co/mp3-preview/677ac8656e5b4bc4f2fcb21b52617fe1db5a71df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","JPPC01300724","spotify:user:11135692880","2022-01-01T21:22:40Z"
"spotify:track:5uraJqtCBvLpwt3VeomZdq","Shinzo wo Sasageyo !","spotify:artist:3eNYrVLcWfjJ9JdH9kiPJO","Linked Horizon","spotify:album:24pr7CLiiJk8rUsXcocSA4","Shingeki no Kiseki","spotify:artist:3eNYrVLcWfjJ9JdH9kiPJO","Linked Horizon","2017-05-17","https://i.scdn.co/image/ab67616d0000b27374164dc6fb6a320abf6a34fd","1","11","341413","https://p.scdn.co/mp3-preview/9a6bffee121f2c40be36b75757cc7c6ca63048dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","JPPC01700575","spotify:user:11135692880","2022-01-01T21:22:40Z"
"spotify:track:0zvN9oq95bIEQjvfcdeZlX","Red Swan","spotify:artist:2EWIKpC6npt0GTe1Cq1KDm, spotify:artist:0ZXSQd2JNOfwJcLNbX0jpN","Yoshiki, HYDE","spotify:album:6I13Z2eInmybf3WZl4wduL","Red Swan","spotify:artist:2EWIKpC6npt0GTe1Cq1KDm, spotify:artist:0ZXSQd2JNOfwJcLNbX0jpN","Yoshiki, HYDE","2018-10-03","https://i.scdn.co/image/ab67616d0000b2735ce0fbd16dba08ae792dc1cf","1","1","263720","https://p.scdn.co/mp3-preview/eb8d191d44e61711b99bf537edd9e705d408e9c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","JPPC01801674","spotify:user:11135692880","2022-01-01T21:22:40Z"
"spotify:track:7lcTpZtdTyfiIgVIpmTVut","Shoukei to Shikabane no Michi","spotify:artist:3eNYrVLcWfjJ9JdH9kiPJO","Linked Horizon","spotify:album:36zFIAYiDzwr8ML2F6lEjH","Shinjitsu eno Shingeki","spotify:artist:3eNYrVLcWfjJ9JdH9kiPJO","Linked Horizon","2019-07-03","https://i.scdn.co/image/ab67616d0000b273497bef4805c998fe78632f93","1","1","276176","https://p.scdn.co/mp3-preview/d8e0e0431d4674ecf5fcdcbd5121ae67f04c0c37?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","JPPC01900848","spotify:user:11135692880","2022-01-01T21:22:40Z"
"spotify:track:3KhwEuqLNjHfsKaBDo1yVh","Boku no Sensou","spotify:artist:1ZnuqrjIR4q8zhgriUYsSo","Shinsei Kamattechan","spotify:album:1kA0xNfLOvk0eMeEM2M9tH","Boku no Sensou","spotify:artist:1ZnuqrjIR4q8zhgriUYsSo","Shinsei Kamattechan","2021-02-22","https://i.scdn.co/image/ab67616d0000b273953495ccff3d6488674ac770","1","1","280466","https://p.scdn.co/mp3-preview/69ab937e2d3f918eb655571c4e7f58256ff2c8f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","JPPC02002014","spotify:user:11135692880","2022-01-01T21:22:40Z"
"spotify:track:0qMip0B2D4ePEjBJvAtYre","紅蓮華","spotify:artist:0blbVefuxOGltDBa00dspv","LiSA","spotify:album:6qi56zXbhq7PU5lvzWNXIO","LEO-NiNE","spotify:artist:0blbVefuxOGltDBa00dspv","LiSA","2020-10-14","https://i.scdn.co/image/ab67616d0000b27364c8cf7bc530a05dd10e8efe","1","2","237586","https://p.scdn.co/mp3-preview/f76ce8208d4a829fdc8a1fa568bfbd14a6fb9b6f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","JPU901900905","spotify:user:11135692880","2022-01-01T21:23:07Z"
