"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:4M8filny20Mwlc2gnvtcgU","P.E.S.","spotify:artist:4dyfAiJCbl7jS1GHOCdiJv, spotify:artist:2jLEscFAP2hVe8fsJ0HO6I","Club Dogo, Giuliano Palma","spotify:album:7zl59AtJCTMwOhbDs5vTw8","Noi Siamo Il Club (Reloaded Edition)","spotify:artist:4dyfAiJCbl7jS1GHOCdiJv","Club Dogo","2012-01-01","https://i.scdn.co/image/ab67616d0000b2731a38b36b6bfba6ff02e198ef","1","10","228906","https://p.scdn.co/mp3-preview/2f1d33bf16ec48041b80f4ef92ddf4b0d5740151?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","ITUM71200288","spotify:user:","2024-08-05T06:32:21Z"
"spotify:track:45zJRuzK9e6AO527NOW7Fy","Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)","spotify:artist:1UCxzrM5WJh9ure5vCcsim, spotify:artist:23TFHmajVfBtlRx5MXqgoz, spotify:artist:06nvjg4wBANK6DCHjqtPNd, spotify:artist:7u710e44HW3K7A5eTnRqHC","Charlie Charles, Sfera Ebbasta, Mahmood, Fabri Fibra","spotify:album:4C6GUjan5T8tSGVDb07F2N","Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)","spotify:artist:1UCxzrM5WJh9ure5vCcsim","Charlie Charles","2019-04-26","https://i.scdn.co/image/ab67616d0000b273e36f44cec673374485d2d910","1","1","190699","https://p.scdn.co/mp3-preview/1d9b5d12293a3741a3fc4d346b1ad6d33a16f978?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","ITUM71900497","spotify:user:","2024-08-05T06:32:21Z"
"spotify:track:6ElWuGFrYbsf2mdHWUoGCk","Sempre In Due","spotify:artist:6p2OF8M4ob4KovaU0SUX4b","Carl Brave x Franco126","spotify:album:3RPTwOmoZNB0gNyUKscixz","Polaroid 2.0","spotify:artist:6p2OF8M4ob4KovaU0SUX4b","Carl Brave x Franco126","2018-02-16","https://i.scdn.co/image/ab67616d0000b273cf431bdf2803b80d4225da04","1","2","190451","https://p.scdn.co/mp3-preview/bf13a31057339914ed266a1893d10917717f18a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","ITLGE1700022","spotify:user:","2024-08-05T06:32:21Z"
"spotify:track:7piIo15vVy3ULGXSpFs5xc","Mambo Salentino","spotify:artist:4mAsWDGLUIEdo6imU77WG6, spotify:artist:2pjb5ffSoVTr5lRYQXlnPu","Boomdabash, Alessandra Amoroso","spotify:album:0JHCJWE4kAZqDw3wtNwA8D","Mambo Salentino","spotify:artist:4mAsWDGLUIEdo6imU77WG6, spotify:artist:2pjb5ffSoVTr5lRYQXlnPu","Boomdabash, Alessandra Amoroso","2019-06-07","https://i.scdn.co/image/ab67616d0000b27382f56c6b23241b9e5eab88da","1","1","155413","https://p.scdn.co/mp3-preview/b9e075a3124a7023f0c71cc98cb26bc0f513a233?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","ITUM71900611","spotify:user:","2024-08-05T06:32:21Z"
"spotify:track:3qtuOAI0YyfoBM1s7Tvm46","La Nuova Stella Di Broadway","spotify:artist:396Jr76018oUMR6QBnqT8T","Cesare Cremonini","spotify:album:3OpmNTT7hIZMoO9NNcKnmz","La Teoria Dei Colori","spotify:artist:396Jr76018oUMR6QBnqT8T","Cesare Cremonini","2012-01-01","https://i.scdn.co/image/ab67616d0000b27322ae5b5ba67f6f218b5f3e34","1","10","267746","https://p.scdn.co/mp3-preview/07cb8e5bb71b36537c622a2bb71162900e8c55a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","ITZL91200009","spotify:user:","2024-08-05T06:32:21Z"
"spotify:track:6RiprjTTheMrJ2ypJxz3H4","Riccione","spotify:artist:6YBgd2LKccEB3pX6UaW1Yp","Thegiornalisti","spotify:album:3RdwYV4TBwrGqnk5vnzrLC","Riccione","spotify:artist:6YBgd2LKccEB3pX6UaW1Yp","Thegiornalisti","2017-06-21","https://i.scdn.co/image/ab67616d0000b2735c330577a4f72da9538593d4","1","1","196860","https://p.scdn.co/mp3-preview/c7b167b1a177f7b4ae1b28fe7d2197b4e70c0317?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","ITB261700520","spotify:user:","2024-08-05T06:32:21Z"
"spotify:track:7yJZlPui7PYh2L9UXmtQWc","Oroscopo (feat. Takagi & Ketra) - Ghost track","spotify:artist:582KhTHEVOONNQLmQ5612r, spotify:artist:76UCIJTB0jcJvBaL0CdIqx","Calcutta , Takagi & Ketra","spotify:album:1ydmsbKjOxrWFBQmoz1O91","Mainstream +","spotify:artist:582KhTHEVOONNQLmQ5612r","Calcutta ","2017-02-24","https://i.scdn.co/image/ab67616d0000b273c646c7e3234fec58ffe0d415","4","1","198292","https://p.scdn.co/mp3-preview/a8ccfed997c2d58fb9912b75ae2be25a3c34f167?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","ITM381600065","spotify:user:","2024-08-05T06:32:21Z"
"spotify:track:6Lc0La3OwOmAouQjbID4uX","Nera","spotify:artist:5iot8OPcosJN9nCl7I5SdK","Irama","spotify:album:4L3EeygK6Qm1blF5q4PQyX","Plume","spotify:artist:5iot8OPcosJN9nCl7I5SdK","Irama","2018-06-01","https://i.scdn.co/image/ab67616d0000b273a6f221182f3372804a24a901","1","4","174146","https://p.scdn.co/mp3-preview/0b8952fe634426d7ba58ac271a6b4c0b283b5626?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","ITQ001800342","spotify:user:","2024-08-05T06:32:21Z"
"spotify:track:4nS6mZBLYgtksYyXsuXgBw","Si, ah","spotify:artist:7BgEOZ9w3Y4IMShXTMu1nN","Frah Quintale","spotify:album:2vdMQdtjraDA0paMwtEbVd","Regardez moi","spotify:artist:7BgEOZ9w3Y4IMShXTMu1nN","Frah Quintale","2017-11-24","https://i.scdn.co/image/ab67616d0000b273e7546ed84b9c6941fe0a1879","1","3","172850","https://p.scdn.co/mp3-preview/ab3f4fbcc1eb9877c6f385b210c3385d94ce55cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","ITNTP1700035","spotify:user:","2024-08-05T06:32:21Z"
"spotify:track:3Wrjm47oTz2sjIgck11l5e","Beggin'","spotify:artist:0lAWpj5szCSwM4rUMHYmrr","Måneskin","spotify:album:2qJw6w5XwQO0PQlSWPu7Tw","Chosen","spotify:artist:0lAWpj5szCSwM4rUMHYmrr","Måneskin","2017-12-08","https://i.scdn.co/image/ab67616d0000b273fa0ab3a28b5c52d8a5f97045","1","4","211560","https://p.scdn.co/mp3-preview/39cd7cd4317a9e4c4fa1277a51eeadb2e300c7de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","ITB001700846","spotify:user:","2024-08-05T06:32:21Z"
