"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:0c4iyKlYuKOVqA0yQfxvoN","Today is Gonna be a Great Day","spotify:artist:5ND0mGcL9SKSjWIjPd0xIb","Bowling For Soup","spotify:album:29OHw0hs03uERDcTbY9ojU","Phineas And Ferb","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2009-01-01","https://i.scdn.co/image/ab67616d0000b2733f8d4e14382223be14763aea","1","1","181093","https://p.scdn.co/mp3-preview/80ee0df23da575d4ad236b5fbdd09fe6f8abe8c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USWD10936377","spotify:user:11135692880","2020-03-30T03:54:40Z"
"spotify:track:7xOuAIh0n2ftmVmK4UBHub","Gitchee Gitchee Goo","spotify:artist:1pz6Uk6RETJmyNuxp4TD5m","Phineas and the Ferbtones","spotify:album:29OHw0hs03uERDcTbY9ojU","Phineas And Ferb","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2009-01-01","https://i.scdn.co/image/ab67616d0000b2733f8d4e14382223be14763aea","1","2","118173","https://p.scdn.co/mp3-preview/4feca42891141973d5e760cb888d28d5d36cf225?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USWD10936209","spotify:user:11135692880","2020-03-30T03:54:40Z"
"spotify:track:0bgkKdp3MGA3Z50lVcTXqU","Backyard Beach","spotify:artist:04K0BYv0Afn6AGrT2rsji2","Ferb","spotify:album:29OHw0hs03uERDcTbY9ojU","Phineas And Ferb","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2009-01-01","https://i.scdn.co/image/ab67616d0000b2733f8d4e14382223be14763aea","1","3","48000","https://p.scdn.co/mp3-preview/dcc5497f02584fceb6b87e1db4afc117711e4ab2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","USWD10936380","spotify:user:11135692880","2020-03-30T03:54:40Z"
"spotify:track:4vj0aNMnhOi42O5waUCZgj","Busted","spotify:artist:0zAjE3KMGAsizj1VNhYPxf, spotify:artist:5GwTFOTK3Hdj9xiXBUcny3","Candace, Vanessa","spotify:album:29OHw0hs03uERDcTbY9ojU","Phineas And Ferb","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2009-01-01","https://i.scdn.co/image/ab67616d0000b2733f8d4e14382223be14763aea","1","4","98893","https://p.scdn.co/mp3-preview/48c3356d356f71433a27a9f794117e5a6563dc49?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USWD10936379","spotify:user:11135692880","2020-03-30T03:54:40Z"
"spotify:track:48Rf7JYGhYrY5zkc3dld3O","Perry the Platypus Theme","spotify:artist:1uYWNGwHu2d2au8iOXZROv","Randy Crenshaw","spotify:album:29OHw0hs03uERDcTbY9ojU","Phineas And Ferb","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2009-01-01","https://i.scdn.co/image/ab67616d0000b2733f8d4e14382223be14763aea","1","5","47733","https://p.scdn.co/mp3-preview/d92d4b52081befa0622f493d6e9e22e501794663?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USWD10936381","spotify:user:11135692880","2020-03-30T03:54:40Z"
"spotify:track:7ymrbUUrrqvUKBMmdRvieZ","S.I.M.P. (Squirrels in My Pants)","spotify:artist:2HQvN6u2hFOIRsZOdXB6UM","2 Guys n the Parque","spotify:album:29OHw0hs03uERDcTbY9ojU","Phineas And Ferb","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2009-01-01","https://i.scdn.co/image/ab67616d0000b2733f8d4e14382223be14763aea","1","6","94106","https://p.scdn.co/mp3-preview/db1da30c134b359b478ad627a97bc562c1dee5db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","USWD10936382","spotify:user:11135692880","2020-03-30T03:54:40Z"
"spotify:track:3uJ0Sma98KPcto6erXN6O6","I'm Lindana and I Wanna Have Fun","spotify:artist:3zJoIfQDXEUCsyoV0bTj8G","Lindana","spotify:album:29OHw0hs03uERDcTbY9ojU","Phineas And Ferb","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2009-01-01","https://i.scdn.co/image/ab67616d0000b2733f8d4e14382223be14763aea","1","7","51666","https://p.scdn.co/mp3-preview/b0df58fc78609fdf29795551ff4122df095e295b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USWD10936387","spotify:user:11135692880","2020-03-30T03:54:40Z"
"spotify:track:0MhdZEjqOhWcpEHlGm9sGf","My Nemesis","spotify:artist:3J6ns49mHsAFXgp5EoDJjS","Danny Jacob","spotify:album:29OHw0hs03uERDcTbY9ojU","Phineas And Ferb","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2009-01-01","https://i.scdn.co/image/ab67616d0000b2733f8d4e14382223be14763aea","1","8","62226","https://p.scdn.co/mp3-preview/12965113df1f1c0d3ce243cb8eef2bd25a07d3b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USWD10936391","spotify:user:11135692880","2020-03-30T03:54:40Z"
"spotify:track:2ob7wnJNkbbPEeaoZOZqEW","My Goody Two-Shoes Brother","spotify:artist:4YfkwCJadzF61hRcKQwlaP","Dr. Doofenshmirtz","spotify:album:29OHw0hs03uERDcTbY9ojU","Phineas And Ferb","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2009-01-01","https://i.scdn.co/image/ab67616d0000b2733f8d4e14382223be14763aea","1","9","82133","https://p.scdn.co/mp3-preview/68a5e4e269cea411b90fca1f352bdc0fcfe665fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","USWD10936402","spotify:user:11135692880","2020-03-30T03:54:40Z"
"spotify:track:3iqbmQrLIkHcBvSt2LOgi7","Disco Miniature Golfing Queen","spotify:artist:24atAUm9yln5x8Os9PEIwv","Laura Dickinson","spotify:album:29OHw0hs03uERDcTbY9ojU","Phineas And Ferb","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2009-01-01","https://i.scdn.co/image/ab67616d0000b2733f8d4e14382223be14763aea","1","10","75706","https://p.scdn.co/mp3-preview/5bc3c6745c49702d0ea9e495b7693afa16812900?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","USWD10936388","spotify:user:11135692880","2020-03-30T03:54:40Z"
