"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:4dTZAG78TpWGifu1kMefaF","PARA' - feat. Tedua","spotify:artist:7FeObngbQ0GY3SojNwKdKn, spotify:artist:1AgAVqo74e2q4FVvg0xpT7","Bresh, Tedua","spotify:album:0EPRc36lZm7irBGc6dVQTY","CHE IO MI AIUTI","spotify:artist:7FeObngbQ0GY3SojNwKdKn","Bresh","2020-02-14","https://i.scdn.co/image/ab67616d0000b273999bba2d78592df3e96539db","1","4","176008","https://p.scdn.co/mp3-preview/b9547642aaf902930a4e3b0773531936a60d7012?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","ITB002000046","spotify:user:11135692880","2024-10-02T19:03:11Z"
"spotify:track:51zuoAf9f1DNTVmBJHVErg","Barcellona","spotify:artist:3egWSWp7Y4FyCKIyvXbw7L","Ghali","spotify:album:5XC9aklfsZpII3ybewZb2l","DNA","spotify:artist:3egWSWp7Y4FyCKIyvXbw7L","Ghali","2020-11-13","https://i.scdn.co/image/ab67616d0000b27385ffac2965b6696898f7f0b7","2","12","176166","https://p.scdn.co/mp3-preview/6d148c34d03232fb93290e079a613f61ee75bc05?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","IT4U12000010","spotify:user:60sjvj7fbnqexdy4f5xx3fxat","2024-10-02T19:03:11Z"
"spotify:track:0VMGL7KoAfjN3UnTL6aB5o","Sesto senso","spotify:artist:6PsQc21YZU7WNfiODG69Qk","Tony Boy","spotify:album:1IAGA62BsUpc8TjhBZuDsn","Going Hard 2","spotify:artist:6PsQc21YZU7WNfiODG69Qk","Tony Boy","2021-09-02","https://i.scdn.co/image/ab67616d0000b27323f14c95a49443cb70e79f18","1","6","181176","https://p.scdn.co/mp3-preview/934c21b1dedd5d93a858c7e695d31c99d496c826?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","ITK192100094","spotify:user:11135692880","2024-10-02T19:03:11Z"
"spotify:track:3mMjLv3IyxlEKmXg3JxCI5","Rubami la Notte","spotify:artist:6RdcIWVKYYzNzjQRd3oyHS","Pinguini Tattici Nucleari","spotify:album:6rOuSJCksAl2B5KUvVChR3","Fake News","spotify:artist:6RdcIWVKYYzNzjQRd3oyHS","Pinguini Tattici Nucleari","2022-12-02","https://i.scdn.co/image/ab67616d0000b273df8e97d294e5f3d8ec777f68","1","1","189583","https://p.scdn.co/mp3-preview/5eeee56154acce38dee2dbbe98b1660335dd5706?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","ITB002300914","spotify:user:60sjvj7fbnqexdy4f5xx3fxat","2024-10-02T19:03:11Z"
"spotify:track:2ihCaVdNZmnHZWt0fvAM7B","Little Talks","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","spotify:album:4p9dVvZDaZliSjTCbFRhJy","My Head Is An Animal","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","2012-01-01","https://i.scdn.co/image/ab67616d0000b273cb3f67e8026e2e493a1e8262","1","6","266600","https://p.scdn.co/mp3-preview/a5dad05d521739606a83da0f00d3dc48344c6d77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USUM71119106","spotify:user:11135692880","2024-10-02T19:03:11Z"
"spotify:track:2ixsaeFioXJmMgkkbd4uj1","Budapest","spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j","George Ezra","spotify:album:6mcMKGEgukjyiR5IKElQ2E","Wanted on Voyage (Expanded Edition)","spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j","George Ezra","2014-06-30","https://i.scdn.co/image/ab67616d0000b273d6df3bccf3ec41ea2f76debc","1","2","200733","https://p.scdn.co/mp3-preview/03e6f12a87c862370fe965eb330fbcab1f2ee93f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","GBARL1400477","spotify:user:11135692880","2024-10-02T19:03:11Z"
"spotify:track:003vvx7Niy0yvhvHt4a68B","Mr. Brightside","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","spotify:album:4piJq7R3gjUOxnYs6lDCTg","Hot Fuss","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","2004","https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d","1","2","222973","https://p.scdn.co/mp3-preview/848b1bd5544e82f62f9cfcec65362d0f5369781f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USIR20400274","spotify:user:11135692880","2024-10-02T19:03:11Z"
"spotify:track:1UqhkbzB1kuFwt2iy4h29Q","Cough Syrup","spotify:artist:4j56EQDQu5XnL7R3E9iFJT","Young the Giant","spotify:album:2ww7MYrkExsljnKhcINDse","Young The Giant (Special Edition)","spotify:artist:4j56EQDQu5XnL7R3E9iFJT","Young the Giant","2011","https://i.scdn.co/image/ab67616d0000b27351729fae66d02122c4951153","1","4","249520","https://p.scdn.co/mp3-preview/d7218e4269b429d546b8af4a333a4bbef4cc89ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","NLA321090389","spotify:user:11135692880","2024-10-02T19:03:11Z"
"spotify:track:6fNhZRFEkBfgW39W3wKARJ","Pompeii","spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc","Bastille","spotify:album:1jUoeAbO2HCADZ1uiyLYIo","Bad Blood","spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc","Bastille","2013-01-01","https://i.scdn.co/image/ab67616d0000b273b89cf022db28fa31376e0ed8","1","1","214147","https://p.scdn.co/mp3-preview/18da10d3596cdce4434dbeebf94fc75790217d50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBAAA1200795","spotify:user:11135692880","2024-10-02T19:03:11Z"
"spotify:track:3AJwUDP919kvQ9QcozQPxg","Yellow","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:6ZG5lRT77aJ3btmArcykra","Parachutes","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2000-07-10","https://i.scdn.co/image/ab67616d0000b2739164bafe9aaa168d93f4816a","1","5","266773","https://p.scdn.co/mp3-preview/c0d9119dc69cae75baf6463e21e43f433fdf5ff4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","GBAYE0000267","spotify:user:60sjvj7fbnqexdy4f5xx3fxat","2024-10-02T19:03:11Z"
