"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:50okpBf3MvXr4FyWB6jJIK","Torcida","spotify:artist:7FeObngbQ0GY3SojNwKdKn","Bresh","spotify:album:7bl7T20VOkLwcLSBHUcq9V","Torcida","spotify:artist:7FeObngbQ0GY3SojNwKdKn","Bresh","2024-05-10","https://i.scdn.co/image/ab67616d0000b273505392b81986d654a1a3cd03","1","1","174628","https://p.scdn.co/mp3-preview/8cc2fbb652f4c446872bcdb7fa612784c9986a30?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","ITB002400597","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5kf8d9DoYJbQmiaYjsPobn","Solo Guai","spotify:artist:6p2OF8M4ob4KovaU0SUX4b","Carl Brave x Franco126","spotify:album:3RPTwOmoZNB0gNyUKscixz","Polaroid 2.0","spotify:artist:6p2OF8M4ob4KovaU0SUX4b","Carl Brave x Franco126","2018-02-16","https://i.scdn.co/image/ab67616d0000b273cf431bdf2803b80d4225da04","1","1","167225","https://p.scdn.co/mp3-preview/d492987edb8288bec2d493129cd429c0b537ea50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","ITLGE1700021","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5OQo1GGSUcOSRKX9eSqdGU","DOPO LE 4 (feat. Bresh & Tedua)","spotify:artist:6CKch2otN4SPznHf9ms5JF, spotify:artist:7FeObngbQ0GY3SojNwKdKn, spotify:artist:1AgAVqo74e2q4FVvg0xpT7","Tony Effe, Bresh, Tedua","spotify:album:3IGuXyMxlXEZJOvBwMu13c","ICON","spotify:artist:6CKch2otN4SPznHf9ms5JF","Tony Effe","2024-05-22","https://i.scdn.co/image/ab67616d0000b27383a1b439e695c7898e2ddae6","1","10","182906","https://p.scdn.co/mp3-preview/d23134a51d38c27f6298d9b651541a9777d13622?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","ITUM72400338","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6ElWuGFrYbsf2mdHWUoGCk","Sempre In Due","spotify:artist:6p2OF8M4ob4KovaU0SUX4b","Carl Brave x Franco126","spotify:album:3RPTwOmoZNB0gNyUKscixz","Polaroid 2.0","spotify:artist:6p2OF8M4ob4KovaU0SUX4b","Carl Brave x Franco126","2018-02-16","https://i.scdn.co/image/ab67616d0000b273cf431bdf2803b80d4225da04","1","2","190451","https://p.scdn.co/mp3-preview/bf13a31057339914ed266a1893d10917717f18a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","ITLGE1700022","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2TOwRQ8fN69NDxXe3s602O","PER SEMPRE (feat. Bresh)","spotify:artist:2R4kNOwHUUsuDYhKsESVbF, spotify:artist:7FeObngbQ0GY3SojNwKdKn","Artie 5ive, Bresh","spotify:album:3QAPKcbmBIfyQUAwWvLap4","PER SEMPRE (feat. Bresh)","spotify:artist:2R4kNOwHUUsuDYhKsESVbF, spotify:artist:7FeObngbQ0GY3SojNwKdKn","Artie 5ive, Bresh","2024-09-11","https://i.scdn.co/image/ab67616d0000b2735426b38f57317bc7af7bd256","1","1","184848","https://p.scdn.co/mp3-preview/bb780f1501fe8558d9db4923b64e51b5ca2cfd93?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","ITTQB2400043","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3eSSVIw9YbVm1SLNxqtdjR","SOGNI MATTI (feat. Leon Faun & Drast)","spotify:artist:0hk4xVujcyOr6USD95wcWb, spotify:artist:4e250LmaRPGcp0rbUbJtJm, spotify:artist:14XRgLXin9R3eKTNXBNwos","Sick Luke, Drast, Leon Faun","spotify:album:6ZVOpNfX2JMfAFDqEfmyQ5","X2","spotify:artist:0hk4xVujcyOr6USD95wcWb","Sick Luke","2022-01-07","https://i.scdn.co/image/ab67616d0000b273e45f97fc68a12ca3601b1047","1","11","197009","https://p.scdn.co/mp3-preview/59d7f3ab0893b8fbd5d0bc50c0bf00983f718967?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","ITB262101050","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1ibVG0eXe9WlEPPLiwDD2B","MACCHINE (feat. Nicola Siciliano, Bresh)","spotify:artist:2DWRgncNMnTfwDiKSI0VoP, spotify:artist:0q0CTttRdwiuDFmDiN7jAt, spotify:artist:7FeObngbQ0GY3SojNwKdKn","TY1, Nicola Siciliano, Bresh","spotify:album:79Oed24d4hksRxWfyNtZbO","DJUNGLE UNCHAINED","spotify:artist:2DWRgncNMnTfwDiKSI0VoP","TY1","2022-12-16","https://i.scdn.co/image/ab67616d0000b273e2f116015b76343849e5a18b","1","3","192580","https://p.scdn.co/mp3-preview/ff0f5e8dc07cd3196def4d767083f117bd049dc7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","ITDF62277088","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:21iD885b2bwnXTrWT99WxL","00","spotify:artist:056KMTw6IztdQjBmFfVyO3, spotify:artist:1AgAVqo74e2q4FVvg0xpT7","Rkomi, Tedua","spotify:album:4cpbVkMPzHjWZajKY53SKJ","Dasein Sollen","spotify:artist:056KMTw6IztdQjBmFfVyO3","Rkomi","2016-10-13","https://i.scdn.co/image/ab67616d0000b273bb6ec510fce7d92c5c5c23be","1","6","191386","https://p.scdn.co/mp3-preview/9a49c239251d9172f9dd0fdf90e3e4f1807f997d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","ITDF61777058","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7uvYHwfvmsCCT0009ZNTZ0","Mai brillo – feat. Disme, Vaz Tè","spotify:artist:7FeObngbQ0GY3SojNwKdKn, spotify:artist:0CXnO9kUawdDjzToSqCC3p, spotify:artist:65ddsrNChT3wol9kEIJqKY","Bresh, Disme, Vaz Tè","spotify:album:2E7FoEPUap1gOqOQOgQWqc","Che io ci aiuti","spotify:artist:7FeObngbQ0GY3SojNwKdKn","Bresh","2020-07-24","https://i.scdn.co/image/ab67616d0000b273ac23cf0333827ba2da5f5f0b","1","4","174394","https://p.scdn.co/mp3-preview/d2d8ad9fe4407d6de08a1dcc7158706abe506dd2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","ITB002000422","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7L7QYf7S6wg6pseN2C0d6K","Gli occhi","spotify:artist:7BgEOZ9w3Y4IMShXTMu1nN","Frah Quintale","spotify:album:2vdMQdtjraDA0paMwtEbVd","Regardez moi","spotify:artist:7BgEOZ9w3Y4IMShXTMu1nN","Frah Quintale","2017-11-24","https://i.scdn.co/image/ab67616d0000b273e7546ed84b9c6941fe0a1879","1","9","142350","https://p.scdn.co/mp3-preview/91e1529645ebb712160ee68901a260ae07df5033?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","ITNTP1700037","spotify:user:","1970-01-01T00:00:00Z"
