"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:5ZrDlcxIDZyjOzHdYW1ydr","Barbie Girl","spotify:artist:6kBjAFKyd0he7LiA5GQ3Gz","Aqua","spotify:album:3hHmYc6mrl6NkmRW1ZwYvm","Aquarium (Special Edition)","spotify:artist:6kBjAFKyd0he7LiA5GQ3Gz","Aqua","1997-01-01","https://i.scdn.co/image/ab67616d0000b273f5768db89dd8ac30fd0e414f","1","3","197960","https://p.scdn.co/mp3-preview/e50666a04ed8364ec8f7cda1c8fe26f516c1da9c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","DKBKA9700403","spotify:user:simoneorru08","2024-05-20T10:07:13Z"
"spotify:track:5HOpkTTVcmZHnthgyxrIL8","The Fox (What Does the Fox Say?)","spotify:artist:2lEOFtf3cCyzomQcMHJGfZ","Ylvis","spotify:album:77QwsMRvonZJn7adV47V78","The Fox (What Does the Fox Say?)","spotify:artist:2lEOFtf3cCyzomQcMHJGfZ","Ylvis","2013-09-02","https://i.scdn.co/image/ab67616d0000b273078f1176c3c725de8e95f490","1","1","213708","https://p.scdn.co/mp3-preview/d3a46e6cb83d8d4f29dfbc75d2f92d244e9c7171?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","NOAGW1300374","spotify:user:k-i-a","2024-05-20T10:14:42Z"
"spotify:track:4PTG3Z6ehGkBFwjybzWkR8","Never Gonna Give You Up","spotify:artist:0gxyHStUsqpMadRV0Di1Qt","Rick Astley","spotify:album:6eUW0wxWtzkFdaEFsTJto6","Whenever You Need Somebody","spotify:artist:0gxyHStUsqpMadRV0Di1Qt","Rick Astley","1987-11-12","https://i.scdn.co/image/ab67616d0000b27315ebbedaacef61af244262a8","1","1","213573","https://p.scdn.co/mp3-preview/b4c682084c3fd05538726d0a126b7e14b6e92c83?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","GBARL9300135","spotify:user:k-i-a","2024-05-20T10:15:20Z"
"spotify:track:1B75hgRqe7A4fwee3g3Wmu","U Can't Touch This","spotify:artist:2rblp9fJo16ZPTcKDtlmKW","MC Hammer","spotify:album:4r1WecJyt5FOhglysp9zhN","Please Hammer Don't Hurt 'Em","spotify:artist:2rblp9fJo16ZPTcKDtlmKW","MC Hammer","1990-02-20","https://i.scdn.co/image/ab67616d0000b273f5e5babccf665ef8c912b190","1","2","257359","https://p.scdn.co/mp3-preview/a95e93f6b7c1a54556508e3ebb9e15930133c710?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USCA29000294","spotify:user:k-i-a","2024-05-20T10:15:23Z"
"spotify:track:4l2ljvyXOCVNbD5ff7NpM7","I Like To Move It (feat. The Mad Stuntman) ( Erick ""More"" Album Mix)","spotify:artist:4AXX8UN3xaPrxHSqrgE3Ta, spotify:artist:2rC7eyIFrDIYnFsxsbSxF5, spotify:artist:4DE0cYxMnEEmfKLwDkYwxb","Reel 2 Real, The Mad Stuntman, Erick Morillo","spotify:album:4scvdAWWY9lXFoRL7Bfqff","Move It!","spotify:artist:4AXX8UN3xaPrxHSqrgE3Ta","Reel 2 Real","1994-10-10","https://i.scdn.co/image/ab67616d0000b2734d77a0fda3414d90e6ecc367","1","1","230760","https://p.scdn.co/mp3-preview/d0e1ea8099d4ff64677bc609433f93ad2da88ded?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","QMRSZ1800990","spotify:user:k-i-a","2024-05-20T10:15:29Z"
"spotify:track:01apQz7E72krU1k1b4VWs7","Raining Tacos","spotify:artist:56P8qdYp640M24wkk9eTfc","Parry Gripp","spotify:album:0xbbsauKysPCTQDd38P2CW","Parry Gripp Mega-Party (2008 - 2012)","spotify:artist:56P8qdYp640M24wkk9eTfc","Parry Gripp","2013-02-26","https://i.scdn.co/image/ab67616d0000b273d5803f83b3d5466232f02d0c","1","44","92693","https://p.scdn.co/mp3-preview/9c23aea860cf8bc3006926085fb9e24c88535b08?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","TCABL1347463","spotify:user:k-i-a","2024-05-20T10:15:48Z"
"spotify:track:7eheoW4hxrH51ww2QePVwF","Gonna Make You Sweat (Everybody Dance Now) (feat. Freedom Williams)","spotify:artist:7krx6UBDKLwE0q3s3fesqF, spotify:artist:08MVPakTEdRJimQNV61NFR","C & C Music Factory, Freedom Williams","spotify:album:7wlnHCWKkBXBWtYgpaCaz7","Super Hits","spotify:artist:7krx6UBDKLwE0q3s3fesqF","C & C Music Factory","1990","https://i.scdn.co/image/ab67616d0000b273bf6cc1130a676e73730f6311","1","1","244093","https://p.scdn.co/mp3-preview/037f1c10599ee7239b5088caf1f25c24f9f61d42?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USSM19000533","spotify:user:k-i-a","2024-05-20T10:15:59Z"
"spotify:track:7K8QsHbmUpSX37oOCL4e2g","Kung Fu Fighting","spotify:artist:5Pqx4mXYDGIDcg8E5FYjZ8","Carl Douglas","spotify:album:53DDpuRxvNAUby9WODE3h2","Kung Fu Fighter","spotify:artist:5Pqx4mXYDGIDcg8E5FYjZ8","Carl Douglas","1974-01-01","https://i.scdn.co/image/ab67616d0000b273131815c9e03c070a5a953a43","1","1","197935","https://p.scdn.co/mp3-preview/9986a744a86515731713d009f2d113810fae3a5d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBAJE7400014","spotify:user:k-i-a","2024-05-20T10:16:10Z"
"spotify:track:1MQrMQwfqjgOjXEUaN9AMd","I'm Too Sexy","spotify:artist:15ajdFAi5bjj5pS9laBfBL","Right Said Fred","spotify:album:0GeBgrCuLqz4NKMiv1aRez","Up (Special Edition)","spotify:artist:15ajdFAi5bjj5pS9laBfBL","Right Said Fred","2007-11-19","https://i.scdn.co/image/ab67616d0000b273f50760066e15fada4be4fd26","1","3","170466","https://p.scdn.co/mp3-preview/7ed360ab4ecbd6548755b203eab0179ad2bfdfe9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","GBBRL9290469","spotify:user:k-i-a","2024-05-20T10:16:23Z"
"spotify:track:1H5tvpoApNDxvxDexoaAUo","Who Let The Dogs Out","spotify:artist:67FFKYikvTlvsPNk4NPOYJ","Baha Men","spotify:album:44UH34qoCNNfEqo0VnOkGd","Who Let The Dogs Out","spotify:artist:67FFKYikvTlvsPNk4NPOYJ","Baha Men","2000","https://i.scdn.co/image/ab67616d0000b27336c901204dd54a716c64932b","1","1","198400","https://p.scdn.co/mp3-preview/0c16f15b590639023663ed46d3aa1dfe184a1efe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USSC90000001","spotify:user:60sjvj7fbnqexdy4f5xx3fxat","2024-05-20T10:48:24Z"
