"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:0ZmkjefPVLvloVSgtmRu5M","Faith","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b2738fba5806a323efd272677c4d","1","1","219200","https://p.scdn.co/mp3-preview/59d10daeb4e9d346ca7f4c34ed4b71e403f0e2f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","GBARL1401198","spotify:user:pivimkh","2015-02-09T16:59:16Z"
"spotify:track:4J7CKHCF3mdL4diUsmW8lq","Under Control (feat. Hurts)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:4AVFqumd2ogHFlRbKIjp1t, spotify:artist:3w4VAlllkAWI6m0AV0Gn6a","Calvin Harris, Alesso, Hurts","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b2738fba5806a323efd272677c4d","1","2","184280","https://p.scdn.co/mp3-preview/bdd2f974192fe8f02b1c195c64b825837d6efd8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","GBARL1301271","spotify:user:pivimkh","2015-02-09T16:59:16Z"
"spotify:track:07nH4ifBxUB4lZcsf44Brn","Blame (feat. John Newman)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:34v5MVKeQnIo0CWYMbbrPf","Calvin Harris, John Newman","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b2738fba5806a323efd272677c4d","1","3","212960","https://p.scdn.co/mp3-preview/8cc0178f211851bea0780a38757d301509d20bd1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBARL1400567","spotify:user:pivimkh","2015-02-09T16:59:16Z"
"spotify:track:5vQctmBxi79lyQoc2DDAsP","Love Now (feat. All About She)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:4v31ZbEICHeUehSZdcc4ga","Calvin Harris, All About She","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b2738fba5806a323efd272677c4d","1","4","218373","https://p.scdn.co/mp3-preview/868a63cfbd54241e2ed4a2de32b5d438c3b9d022?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBARL1401199","spotify:user:pivimkh","2015-02-09T16:59:16Z"
"spotify:track:6GvXJZ8EQuUWzthpPFLr6f","Slow Acid","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b2738fba5806a323efd272677c4d","1","5","221786","https://p.scdn.co/mp3-preview/e8dcf55e975831fce8574c2525a3e81095b017cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBARL1401200","spotify:user:pivimkh","2015-02-09T16:59:16Z"
"spotify:track:7MmG8p0F9N3C4AXdK6o6Eb","Outside (feat. Ellie Goulding)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:0X2BH1fck6amBIoJhDVmmJ","Calvin Harris, Ellie Goulding","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b2738fba5806a323efd272677c4d","1","6","227266","https://p.scdn.co/mp3-preview/bb032e25471de6482ac8200e690bb1433d3166ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","GBARL1401201","spotify:user:pivimkh","2015-02-09T16:59:16Z"
"spotify:track:57EMMRviFnUVwYgsHgAlA2","It Was You","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:53YSn9tHwGJ6bq5P0gGoYo","Calvin Harris, Firebeatz","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b2738fba5806a323efd272677c4d","1","7","224386","https://p.scdn.co/mp3-preview/a261bd026707f673260bc66366a66b9ee39e76ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","GBARL1401202","spotify:user:pivimkh","2015-02-09T16:59:16Z"
"spotify:track:6YUTL4dYpB9xZO5qExPf05","Summer","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b2738fba5806a323efd272677c4d","1","8","222533","https://p.scdn.co/mp3-preview/f8877a2ec4963cb11fa2c282a18e9015f2e8bfad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","GBARL1400296","spotify:user:pivimkh","2015-02-09T16:59:16Z"
"spotify:track:07BCFbk1oCwf80lemfyzK6","Overdrive","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:7e1BNCygl2Gf7CX8LrByPv","Calvin Harris, Ummet Ozcan","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b2738fba5806a323efd272677c4d","1","9","291960","https://p.scdn.co/mp3-preview/6e634ebd20b4b0890cc2d198e14ab630b4412134?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","GBARL1401203","spotify:user:pivimkh","2015-02-09T16:59:16Z"
"spotify:track:4NH6M9tsx1dXL58zZTmTYE","Ecstasy (feat. Hurts)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:3w4VAlllkAWI6m0AV0Gn6a","Calvin Harris, Hurts","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b2738fba5806a323efd272677c4d","1","10","221680","https://p.scdn.co/mp3-preview/38ed31f6ce4e7122a0156cd35514e6de0cf903f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","GBARL1401204","spotify:user:pivimkh","2015-02-09T16:59:16Z"
"spotify:track:75kMrDKPJJpgEQaXVh7QMB","Pray to God (feat. HAIM)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:4Ui2kfOqGujY81UcPrb5KE","Calvin Harris, HAIM","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b2738fba5806a323efd272677c4d","1","11","232226","https://p.scdn.co/mp3-preview/a7519c5c1315067ba699e1e286105c4f3d93dde6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBARL1401205","spotify:user:pivimkh","2015-02-09T16:59:16Z"
"spotify:track:64j3Bd62HTe0pclk8Aq9BE","Open Wide (feat. Big Sean)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:0c173mlxpT3dSFRgMO8XPh","Calvin Harris, Big Sean","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b2738fba5806a323efd272677c4d","1","12","187546","https://p.scdn.co/mp3-preview/f07897c27a8e03745f3f5418d57dbffc581cb3de?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","GBARL1401206","spotify:user:pivimkh","2015-02-09T16:59:16Z"
"spotify:track:0otmDG441slQ7QYZUPgBcM","Together (feat. Gwen Stefani)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:4yiQZ8tQPux8cPriYMWUFP","Calvin Harris, Gwen Stefani","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b2738fba5806a323efd272677c4d","1","13","218440","https://p.scdn.co/mp3-preview/6a97c279874942e2e3f2c57fa36ae06558bd18be?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBARL1401207","spotify:user:pivimkh","2015-02-09T16:59:16Z"
"spotify:track:5lByoyTJti3jYo22bLQKOH","Burnin","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:6cEuCEZu7PAE9ZSzLLc2oQ","Calvin Harris, R3HAB","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b2738fba5806a323efd272677c4d","1","14","234773","https://p.scdn.co/mp3-preview/e643fc49151685498c8c9062357f5f4b2742750e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","GBARL1401208","spotify:user:pivimkh","2015-02-09T16:59:16Z"
"spotify:track:7sUrtg1AYRyrDECLqq6no9","Dollar Signs (feat. Tinashe)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:0NIIxcxNHmOoyBx03SfTCD","Calvin Harris, Tinashe","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b2738fba5806a323efd272677c4d","1","15","236066","https://p.scdn.co/mp3-preview/cacae14cdaff694968a82046b5a6212603d60819?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","GBARL1401209","spotify:user:pivimkh","2015-02-09T16:59:16Z"
"spotify:track:6G0RXhQJGDnjgUdbQfBZRk","Green Valley","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","spotify:album:7w19PFbxAjwZ7UVNp9z0uT","18 Months","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2012-10-29","https://i.scdn.co/image/ab67616d0000b273dcef905cb144d4867119850b","1","1","109106","https://p.scdn.co/mp3-preview/e80617e743c10824b35ae8bd5d4b23bc7a89af8e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GBARL1201386","spotify:user:pivimkh","2015-02-09T16:59:37Z"
"spotify:track:36cmM3MBMWWCFIiQ90U4J8","Bounce (feat. Kelis) - Radio Edit","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:0IF46mUS8NXjgHabxk2MCM","Calvin Harris, Kelis","spotify:album:7w19PFbxAjwZ7UVNp9z0uT","18 Months","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2012-10-29","https://i.scdn.co/image/ab67616d0000b273dcef905cb144d4867119850b","1","2","222186","https://p.scdn.co/mp3-preview/717d4802a66cd0df1df55d9513b728ad60f0df3d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBARL1100468","spotify:user:pivimkh","2015-02-09T16:59:37Z"
"spotify:track:1gihuPhrLraKYrJMAEONyc","Feel So Close - Radio Edit","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","spotify:album:7w19PFbxAjwZ7UVNp9z0uT","18 Months","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2012-10-29","https://i.scdn.co/image/ab67616d0000b273dcef905cb144d4867119850b","1","3","206413","https://p.scdn.co/mp3-preview/b8372b1a0b8d09a5004388a654f29bef6bc37021?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","GBARL1100748","spotify:user:pivimkh","2015-02-09T16:59:37Z"
"spotify:track:0385HqYimoTQaHZP17KwG1","We Found Love (feat. Rihanna)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Calvin Harris, Rihanna","spotify:album:7w19PFbxAjwZ7UVNp9z0uT","18 Months","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2012-10-29","https://i.scdn.co/image/ab67616d0000b273dcef905cb144d4867119850b","1","4","215520","https://p.scdn.co/mp3-preview/6a035bc6ac2041a2edcdde555df93cd2af89abef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBARL1201387","spotify:user:pivimkh","2015-02-09T16:59:37Z"
"spotify:track:7B1Dl3tXqySkB8OPEwVvSu","We'll Be Coming Back (feat. Example)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Calvin Harris, Example","spotify:album:7w19PFbxAjwZ7UVNp9z0uT","18 Months","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2012-10-29","https://i.scdn.co/image/ab67616d0000b273dcef905cb144d4867119850b","1","5","234360","https://p.scdn.co/mp3-preview/6e203c4db9b8d807282a610240d980d3f5f60a72?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBARL1200642","spotify:user:pivimkh","2015-02-09T16:59:37Z"
"spotify:track:4GlFGnToMsIrjHx73i0dTz","Mansion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","spotify:album:7w19PFbxAjwZ7UVNp9z0uT","18 Months","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2012-10-29","https://i.scdn.co/image/ab67616d0000b273dcef905cb144d4867119850b","1","6","127733","https://p.scdn.co/mp3-preview/2de52d8178481e9dd71aea0090edc9cff3bd4c04?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","GBARL1201388","spotify:user:pivimkh","2015-02-09T16:59:37Z"
