"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:1b9gSi3I7ei5NbnM974NOU","Hooligans","spotify:artist:7FeObngbQ0GY3SojNwKdKn, spotify:artist:5YV5crRpcdknHgEzystZHr","Bresh, SHUNE","spotify:album:2E7FoEPUap1gOqOQOgQWqc","Che io ci aiuti","spotify:artist:7FeObngbQ0GY3SojNwKdKn","Bresh","2020-07-24","https://i.scdn.co/image/ab67616d0000b273ac23cf0333827ba2da5f5f0b","1","2","147980","https://p.scdn.co/mp3-preview/f01eb54b67afe70798307ad4ef57e6ddf2539c66?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","ITB002000420","spotify:user:11135692880","2023-02-17T00:20:53Z"
"spotify:track:7uvYHwfvmsCCT0009ZNTZ0","Mai brillo – feat. Disme, Vaz Tè","spotify:artist:7FeObngbQ0GY3SojNwKdKn, spotify:artist:0CXnO9kUawdDjzToSqCC3p, spotify:artist:65ddsrNChT3wol9kEIJqKY","Bresh, Disme, Vaz Tè","spotify:album:2E7FoEPUap1gOqOQOgQWqc","Che io ci aiuti","spotify:artist:7FeObngbQ0GY3SojNwKdKn","Bresh","2020-07-24","https://i.scdn.co/image/ab67616d0000b273ac23cf0333827ba2da5f5f0b","1","4","174394","https://p.scdn.co/mp3-preview/d2d8ad9fe4407d6de08a1dcc7158706abe506dd2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","ITB002000422","spotify:user:11135692880","2023-02-17T00:20:53Z"
"spotify:track:2eTXrwuncNqUOAxw2YJ8lv","Il meglio di te","spotify:artist:7FeObngbQ0GY3SojNwKdKn, spotify:artist:5YV5crRpcdknHgEzystZHr","Bresh, SHUNE","spotify:album:0TYQyv9BG0D1M60K7l85xz","Il meglio di te","spotify:artist:7FeObngbQ0GY3SojNwKdKn, spotify:artist:5YV5crRpcdknHgEzystZHr","Bresh, SHUNE","2022-07-22","https://i.scdn.co/image/ab67616d0000b273199ee435d27fe47a4c0a5e38","1","1","157013","https://p.scdn.co/mp3-preview/fe82a0db140e259019ccd66dadb284e3ef7c267b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","ITB002200581","spotify:user:11135692880","2023-02-17T00:20:53Z"
"spotify:track:4zhLA5weCGODvT86i05DZL","VUOTO DENTRO (feat. Mara Sattei & Bresh)","spotify:artist:0hk4xVujcyOr6USD95wcWb, spotify:artist:0zoMmzmyi8N8LwzhyXPvtk, spotify:artist:7FeObngbQ0GY3SojNwKdKn","Sick Luke, Mara Sattei, Bresh","spotify:album:25LukES8zDfPWFqiAJBsqa","VUOTO DENTRO (feat. Mara Sattei & Bresh)","spotify:artist:0hk4xVujcyOr6USD95wcWb, spotify:artist:0zoMmzmyi8N8LwzhyXPvtk, spotify:artist:7FeObngbQ0GY3SojNwKdKn","Sick Luke, Mara Sattei, Bresh","2022-10-20","https://i.scdn.co/image/ab67616d0000b2736fb0ca627d93c64067f91e3d","1","1","212180","https://p.scdn.co/mp3-preview/5874a6d878f3219f2b7b715da19c1cf7ffe71aed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","ITB262201310","spotify:user:11135692880","2023-02-17T00:20:53Z"
"spotify:track:6oZJl2T2hdHnMYcZR6VJGb","Stay Away (feat. Ketama126, Side Baby & Franco126)","spotify:artist:2E6AK3UPEGCvjnzuygCh2h, spotify:artist:0pSx3asj3usz5PRt8COo0E, spotify:artist:6PXiPeUVFrlaC1n8511ijT, spotify:artist:2KkO9uXHF9BVNJASjLekAc","Night Skinny, Ketama126, Side Baby, Franco126","spotify:album:1l1cFQQfIbsDDbPavkCosf","Mattoni","spotify:artist:2E6AK3UPEGCvjnzuygCh2h","Night Skinny","2019-09-12","https://i.scdn.co/image/ab67616d0000b27325c6a5057608a4260583b88e","1","7","216000","https://p.scdn.co/mp3-preview/142780b5951f8758d7b5fb1da157f8d5bdeec8b7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","ITUM71900832","spotify:user:11135692880","2023-02-17T00:20:53Z"
"spotify:track:4pG3qucOJo5Y61uKL7JWdm","Punching In A Dream - Single Version","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","spotify:album:2gDOioMgafQmwPnnjSPFBX","Punching In A Dream","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","2010-01-01","https://i.scdn.co/image/ab67616d0000b273324fa2cba6ecec820b19f331","1","1","214226","https://p.scdn.co/mp3-preview/5804dc5332908a03957688da0898d50f104962da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","NZNK11000015","spotify:user:11135692880","2023-02-17T00:20:53Z"
"spotify:track:25nzKGDiua1lE9Qo5V19GL","Young Blood","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","spotify:album:5ImvJCAX33Pt2XGMaYaMia","Passive Me, Aggressive You","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","2010","https://i.scdn.co/image/ab67616d0000b273494e33d225ef37180f88c8ce","1","7","246600","https://p.scdn.co/mp3-preview/d90ad1c04bdbaa1f23775f6e450bb6ef4700feb6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","NZNK11000001","spotify:user:11135692880","2023-02-17T00:20:53Z"
"spotify:track:30TWvUkIFCbKAPF5FTrbGg","Akureyri","spotify:artist:4yUvIAm9mSJyLt1WLrOxAZ, spotify:artist:0hk4xVujcyOr6USD95wcWb","Mecna, Sick Luke","spotify:album:6dgoz9DGFVg97vGr0260sP","Neverland","spotify:artist:4yUvIAm9mSJyLt1WLrOxAZ, spotify:artist:0hk4xVujcyOr6USD95wcWb","Mecna, Sick Luke","2019-10-10","https://i.scdn.co/image/ab67616d0000b2732caa4733c5b47fd59141f0a5","1","5","256730","https://p.scdn.co/mp3-preview/5c12dcafac37916db3af20078c2b7bb3646f99d1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","32","ITUM71801342","spotify:user:11135692880","2023-02-17T00:20:53Z"
"spotify:track:7yDWlv3NjJLXG17O9bgr48","Sto Bene","spotify:artist:4oEO6Ud3efrjTNSR9SMleI, spotify:artist:5h8RF4h6OhX1zIssiLPndr","Silent Bob, Sick Budd","spotify:album:4zbd74XYn6lGfY8EXcjdXI","Sto Bene","spotify:artist:4oEO6Ud3efrjTNSR9SMleI, spotify:artist:5h8RF4h6OhX1zIssiLPndr","Silent Bob, Sick Budd","2021-04-16","https://i.scdn.co/image/ab67616d0000b27334299fc0a567ce1daa710247","1","1","156000","https://p.scdn.co/mp3-preview/40ad2983812253f4ed2cbe4ed975c2492e2253f2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","QZES72130055","spotify:user:11135692880","2023-02-17T00:20:53Z"
"spotify:track:0XziCMIyt5YkZSxMFrxKdi","Guardare Sotto","spotify:artist:63iLDTZb43E6k8Ign6voma","Quentin40","spotify:album:5ElAMiTYjmJgnWQ84ZzHaM","Guardare Sotto","spotify:artist:63iLDTZb43E6k8Ign6voma","Quentin40","2022-09-01","https://i.scdn.co/image/ab67616d0000b2733046504d37258beb99bcb610","1","1","166264","https://p.scdn.co/mp3-preview/1dab5da61db00e6eaa8c1c249386df074b146fd0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","24","ITUM72201299","spotify:user:11135692880","2023-02-17T00:20:53Z"
"spotify:track:7f5trao56t7sB7f14QDTmp","Juicy","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5, spotify:artist:5LHRHt1k9lMyONurDHEdrp","Doja Cat, Tyga","spotify:album:1MmVkhiwTH0BkNOU3nw5d3","Hot Pink","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","2019-11-07","https://i.scdn.co/image/ab67616d0000b273f14aa81116510d3a6df8432b","1","12","203093","https://p.scdn.co/mp3-preview/74aa9af9e83dc7afdcd3bb986c446c15e05095ac?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","USRC11901510","spotify:user:11135692880","2023-02-17T00:20:53Z"
"spotify:track:6PIIozbgyYav8XY061MuHZ","Camden Town","spotify:artist:7fE7lNK6tsXhCOfYfxQ3wT","Axos","spotify:album:4IJjj5J0czlB9pdqyLFYK4","Anima Mundi","spotify:artist:7fE7lNK6tsXhCOfYfxQ3wT","Axos","2020-10-29","https://i.scdn.co/image/ab67616d0000b273d6b9c181280c6a32a5d3be75","1","7","161234","https://p.scdn.co/mp3-preview/3b390df77fa3dcb0e702baf2a7971aedc28f7400?cid=9950ac751e34487dbbe027c4fd7f8e99","true","25","ITUM72001081","spotify:user:11135692880","2023-02-17T00:20:53Z"
