"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:3Qn3LhREMyvnvj9ujRugd3","Hyperparadise - Flume Remix","spotify:artist:6nxWCVXbOlEVRexSbLsTer","Flume","spotify:album:5vaoiQeWdC1ssSaM2WjcjZ","Flume: Deluxe Edition","spotify:artist:6nxWCVXbOlEVRexSbLsTer","Flume","2013-11-11","https://i.scdn.co/image/ab67616d0000b2739aa95cd8a6db301401b04b20","2","11","266527","https://p.scdn.co/mp3-preview/6d43f408496c510f23acfe5fe2f75d959d7fc522?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","AUEF00900673","spotify:user:11135692880","2015-03-21T14:38:08Z"
"spotify:track:4VySpxhRGy32u5zPCprzDn","Too Close","spotify:artist:5Tf4EH8tDvznnjULcFxkIl","Alex Clare","spotify:album:1EOD1KDQlcbuFqJFx0XOuQ","The Lateness Of The Hour","spotify:artist:5Tf4EH8tDvznnjULcFxkIl","Alex Clare","2011-01-01","https://i.scdn.co/image/ab67616d0000b273e11a503d7be9336b72a53899","1","4","256613","https://p.scdn.co/mp3-preview/d996733c03ea7a69f6eaaa5452cd59f7e2ad6ce5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBUM71101222","spotify:user:11135692880","2015-06-03T21:47:49Z"
"spotify:track:3iUPiVbXqOs7cWHFHwW9Gh","Pretty Thoughts","spotify:artist:6hfwwpXqZPRC9CsKI7qtv1, spotify:artist:0tOrKkXIn3VYyVHFEPG6Xd","Alina Baraz, Galimatias","spotify:album:3NWhMVs8nC4wbe3Td46fyl","Drift - Single","spotify:artist:3XnCBn7gzCJJE5OmumMfqJ, spotify:artist:6hfwwpXqZPRC9CsKI7qtv1, spotify:artist:0tOrKkXIn3VYyVHFEPG6Xd","Alina Baraz\, Galimatias, Alina Baraz, Galimatias","2013-12-10","https://i.scdn.co/image/ab67616d0000b2737801bc3a50d9f51259899888","1","2","211801","https://p.scdn.co/mp3-preview/0772ccb4d41265adf72737868574198c73e67fd3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA2P1395667","spotify:user:11135692880","2015-06-03T21:47:49Z"
"spotify:track:3Qt9PTdQ6KRt722DS63LPJ","Come Alive","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:3gpHG5MGwnipnap32lFYvI","2 (Deluxe Version)","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2012-01-01","https://i.scdn.co/image/ab67616d0000b273d1ca0c581773b5c1a13e65ce","1","4","249440","https://p.scdn.co/mp3-preview/474d26050f90a889433f0f284ba084631e66b363?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1200116","spotify:user:11135692880","2015-06-03T21:47:49Z"
"spotify:track:1uY4O332HuqLIcSSJlg4NX","A Reach for Glory","spotify:artist:08A9f7wRecEKFGN2PoylTl","Blackmill","spotify:album:0XHpO9qTpqJJQwa2zFxAAE","Reach for Glory","spotify:artist:08A9f7wRecEKFGN2PoylTl","Blackmill","2011-02-15","https://i.scdn.co/image/ab67616d0000b273407d854ec15648eda1803e7b","1","3","253718","https://p.scdn.co/mp3-preview/f8e776072fd776ddb9e8a3c9dfb400d0032f1a9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","TCAAW1119467","spotify:user:11135692880","2015-06-03T21:47:49Z"
"spotify:track:0rJu6zgrRvxdOpWgWAtqJj","FUSE","spotify:artist:6olWbKW2VLhFCHfOi0iEDb","Hudson Mohawke","spotify:album:3g3Z2HbOvMoGlG9r3KxyBy","Warp Records Sampler 2010","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2010-08-02","https://i.scdn.co/image/ab67616d0000b2733bc2badf57d9e4ad24d93276","1","15","192240","https://p.scdn.co/mp3-preview/df24bdf29a05db8d0d5e2cab727a182a805731e2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBBPW0900214","spotify:user:11135692880","2015-06-03T21:47:49Z"
"spotify:track:4zFgZQEatsyUhLhDtClcKl","Ghost - Oliver Nelson Remix","spotify:artist:7nDsS0l5ZAzMedVRKPP8F1, spotify:artist:4QAp87iZerUP9PKxtLhmW1","Ella Henderson, Oliver Nelson","spotify:album:40Rs6HcEc6Juj0FBeMa86M","Ghost (Remixes)","spotify:artist:7nDsS0l5ZAzMedVRKPP8F1","Ella Henderson","2014-06-08","https://i.scdn.co/image/ab67616d0000b2730030a0378c9f565f896b7c45","1","3","304840","https://p.scdn.co/mp3-preview/a52eab8d1dcabf224dfe6f35701c144076b445ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBHMU1400031","spotify:user:11135692880","2015-06-03T21:47:49Z"
"spotify:track:3VPBqHUd17ZvEgabW9ZOUU","Ghost Assassin - Original Mix","spotify:artist:6TaaqqCMRMSpvNHClfnbEL, spotify:artist:3CiuuHKIxxJPoNRvF94GtR","Maduk, Veela","spotify:album:3NmmUnjNr6G7wuBWSn0zKw","Ghost Assassin EP","spotify:artist:6TaaqqCMRMSpvNHClfnbEL, spotify:artist:3CiuuHKIxxJPoNRvF94GtR","Maduk, Veela","2012-07-16","https://i.scdn.co/image/ab67616d0000b273b85e2368d983a4851727a5a5","1","1","221624","https://p.scdn.co/mp3-preview/17ad59d7677ced819ee8b9ee2a3ebb7b5d2eab4c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","NLCK41016277","spotify:user:11135692880","2015-06-03T21:47:49Z"
"spotify:track:1mYK5f8QB2eWa55MEhuX7f","Gravity (feat. Isabel Higuero)","spotify:artist:6EmSzH0r12lNsYQCFzCFS3, spotify:artist:0sR2HReuACtkji40RUuymK","Tut Tut Child, Isabel Higuero","spotify:album:5uW2J8mH4icOLwE1O5nShZ","Impossible Things Before Breakfast","spotify:artist:6EmSzH0r12lNsYQCFzCFS3","Tut Tut Child","2013-07-15","https://i.scdn.co/image/ab67616d0000b27329573dcc9efb2f6694037174","1","2","336000","https://p.scdn.co/mp3-preview/adaec7a6889ec253ce14dbb029fa85aff9a7e114?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","CA6D21000262","spotify:user:11135692880","2015-06-03T21:47:49Z"
"spotify:track:7deMAYxxdfvibg3HxhbWJ7","Heartbeat (Rameses B Remix) [feat. Collin McLoughlin]","spotify:artist:0daugAjUgbJSqdlyYNwIbT, spotify:artist:6oKeE1UH8FizqNPScqM1NE","Vicetone, Collin McLoughlin","spotify:album:52a3DFKrvGeND802NGQPzA","Heartbeat (The Remixes)","spotify:artist:0daugAjUgbJSqdlyYNwIbT","Vicetone","2013-05-24","https://i.scdn.co/image/ab67616d0000b273b76f1b2d66c226b9d27e8c03","1","3","281125","https://p.scdn.co/mp3-preview/23732b2ac701888789863240a5fec24a4eebb9b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","CA6D21000225","spotify:user:11135692880","2015-06-03T21:47:49Z"
