"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:7gFYi3qFES6vExu9i1ogRF","Se Mi Perdo Altrove (feat. Ernia & Mecna)","spotify:artist:5FEh6KHK99CyLXp3qFvZFM, spotify:artist:3fhMfkPPzksWuw0hEm4ldm, spotify:artist:4yUvIAm9mSJyLt1WLrOxAZ","CoCo, Ernia, Mecna","spotify:album:3ezCvjIouNUHgo4x9xcBv0","Acquario","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","2019-05-24","https://i.scdn.co/image/ab67616d0000b27391461948df85822910562736","1","7","281802","https://p.scdn.co/mp3-preview/31a251f0572ec10d3b3a1cdd0825895b0eded817?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","ITUM71900520","spotify:user:11135692880","2020-12-31T05:05:56Z"
"spotify:track:7MzfsHSzbmarbGA3DzBw8a","Non Ho Più Amici (feat. Gemitaiz)","spotify:artist:5FEh6KHK99CyLXp3qFvZFM, spotify:artist:4upwdFMlZBmQ68jP9jPzjK","CoCo, Gemitaiz","spotify:album:3ezCvjIouNUHgo4x9xcBv0","Acquario","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","2019-05-24","https://i.scdn.co/image/ab67616d0000b27391461948df85822910562736","1","4","218499","https://p.scdn.co/mp3-preview/df4dedbfc4c47fe181c8ced8134575c2886b5745?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","ITUM71900503","spotify:user:11135692880","2020-12-31T05:05:56Z"
"spotify:track:0A2oBjxnkL09YM64obsw5x","Dietro Front","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","spotify:album:3ezCvjIouNUHgo4x9xcBv0","Acquario","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","2019-05-24","https://i.scdn.co/image/ab67616d0000b27391461948df85822910562736","1","9","206677","https://p.scdn.co/mp3-preview/fb96d9382a137af5b17164c2836be2b9d6b789ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","ITUM71900280","spotify:user:11135692880","2020-12-31T05:05:56Z"
"spotify:track:5vX0bufO2Zv2RNoSVXP9Yc","Meglio Se Ora Vai","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","spotify:album:3ezCvjIouNUHgo4x9xcBv0","Acquario","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","2019-05-24","https://i.scdn.co/image/ab67616d0000b27391461948df85822910562736","1","12","166333","https://p.scdn.co/mp3-preview/cfe92b88d6d5a44e9918a22c674d66a795a73726?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","ITUM71900525","spotify:user:11135692880","2020-12-31T05:05:56Z"
"spotify:track:62X34ukT59UWzhwhX3EK6U","Tutto Uguale","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","spotify:album:3ezCvjIouNUHgo4x9xcBv0","Acquario","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","2019-05-24","https://i.scdn.co/image/ab67616d0000b27391461948df85822910562736","1","1","216383","https://p.scdn.co/mp3-preview/2dc1cf6a6e905e693b9470cd5e908cb3fe1772e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","ITUM71900513","spotify:user:11135692880","2020-12-31T05:05:56Z"
"spotify:track:2NepnJwTN2kLJLiSsrKF2w","Nice 2 Meet U","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","spotify:album:3ezCvjIouNUHgo4x9xcBv0","Acquario","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","2019-05-24","https://i.scdn.co/image/ab67616d0000b27391461948df85822910562736","1","3","187545","https://p.scdn.co/mp3-preview/d190b1d9b231635c5cd0018b4cf2b72948b5c622?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","ITUM71900515","spotify:user:11135692880","2020-12-31T05:05:56Z"
"spotify:track:5TwCujSDAvWI9XT29YVdJM","Forse No","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","spotify:album:3ezCvjIouNUHgo4x9xcBv0","Acquario","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","2019-05-24","https://i.scdn.co/image/ab67616d0000b27391461948df85822910562736","1","6","201908","https://p.scdn.co/mp3-preview/30c5ce03db4d299a064aca6b84775c7381382871?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","ITUM71900519","spotify:user:11135692880","2020-12-31T05:05:56Z"
"spotify:track:4ilQPrjzyOqNRrxxEzeDu4","Non dirmi di no","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","spotify:album:2tOHbyesj9MgCyoCxsDM64","La vita giusta per me","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","2016-04-28","https://i.scdn.co/image/ab67616d0000b273de4b86898804132ba010099e","1","5","263972","https://p.scdn.co/mp3-preview/873eba7b57b73bec8d724a85c07018f4d8ec8e39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","FR2X41614196","spotify:user:11135692880","2020-12-31T05:05:56Z"
"spotify:track:0d0rlfhf8aCdbetNjIdJKb","Lasciarsi andare","spotify:artist:5FEh6KHK99CyLXp3qFvZFM, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","CoCo, Luchè","spotify:album:2tOHbyesj9MgCyoCxsDM64","La vita giusta per me","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","2016-04-28","https://i.scdn.co/image/ab67616d0000b273de4b86898804132ba010099e","1","6","301410","https://p.scdn.co/mp3-preview/8737f9c1859c5e6f1538d7b9c58ca092dbeda040?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","FR2X41614197","spotify:user:11135692880","2020-12-31T05:05:56Z"
"spotify:track:2eUpQRRJtjGdZufoiggkfF","Come mi vedi","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","spotify:album:2tOHbyesj9MgCyoCxsDM64","La vita giusta per me","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","2016-04-28","https://i.scdn.co/image/ab67616d0000b273de4b86898804132ba010099e","1","8","209229","https://p.scdn.co/mp3-preview/08e047563f91b30d55b06a1da38631b5592bf521?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","FR2X41614199","spotify:user:11135692880","2020-12-31T05:05:56Z"
