"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:4FXj4ZKMO2dSkqiAhV7L8t","Evil Beauty","spotify:artist:08A9f7wRecEKFGN2PoylTl","Blackmill","spotify:album:0XHpO9qTpqJJQwa2zFxAAE","Reach for Glory","spotify:artist:08A9f7wRecEKFGN2PoylTl","Blackmill","2011-02-15","https://i.scdn.co/image/ab67616d0000b273407d854ec15648eda1803e7b","1","1","228004","https://p.scdn.co/mp3-preview/a41ace891fe524f3bd6df35c1aadc31e081e6681?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","TCAAW1119465","spotify:user:pivimkh","2015-01-27T16:56:33Z"
"spotify:track:4ChBLndekjzQveHPsn3r6W","Let It Be (feat. Veela)","spotify:artist:08A9f7wRecEKFGN2PoylTl, spotify:artist:3CiuuHKIxxJPoNRvF94GtR","Blackmill, Veela","spotify:album:2ayhUoOppwZ5paYiXTRqqa","Miracle","spotify:artist:08A9f7wRecEKFGN2PoylTl","Blackmill","2011-12-21","https://i.scdn.co/image/ab67616d0000b2731e240c89392460689b7615a3","1","3","363433","https://p.scdn.co/mp3-preview/e3f33c43832976e40d06f298467b62b680ba6c40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","TCABC1144865","spotify:user:pivimkh","2015-01-27T16:56:33Z"
"spotify:track:30xEq2fEsfIc7Af0Z052S7","Epiphany - Ghosts of Paraguay Remix","spotify:artist:1Q0ug0ZkUQ3pyfY8vKE730, spotify:artist:6RQ9kYbHisp1UUbnfwHNeU, spotify:artist:3CiuuHKIxxJPoNRvF94GtR","TwoThirds, Feint, Veela","spotify:album:64j5TWi1LnQlAqIU1WykcF","Epiphany","spotify:artist:1Q0ug0ZkUQ3pyfY8vKE730, spotify:artist:6RQ9kYbHisp1UUbnfwHNeU, spotify:artist:3CiuuHKIxxJPoNRvF94GtR","TwoThirds, Feint, Veela","2011-09-26","https://i.scdn.co/image/ab67616d0000b2736dd35897cf537414a4654c9e","1","2","315234","https://p.scdn.co/mp3-preview/4070815cca9e92ae6f6e584d2899601e32b5cef3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB8KE1101262","spotify:user:pivimkh","2015-01-27T16:56:33Z"
"spotify:track:382ol6Yp9nnfvRE2CIuzin","Until We Bleed (feat. Lykke Li)","spotify:artist:2YL0l5fnyHE9FEf1bwFGCc, spotify:artist:6oBm8HB0yfrIc9IHbxs6in","Kleerup, Lykke Li","spotify:album:7v6M0qYnCGZcWlkvB6bF9I","Kleerup","spotify:artist:2YL0l5fnyHE9FEf1bwFGCc","Kleerup","2008-05-19","https://i.scdn.co/image/ab67616d0000b2733e120b8687d847a9fad4eda0","1","2","264040","https://p.scdn.co/mp3-preview/2074b55997a534bcc56493cbab96ed9505869e65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","SEAMA0800350","spotify:user:pivimkh","2015-01-27T16:56:33Z"
"spotify:track:0fPf9CDFzVnHpcfld5XVtO","You've Got The Love","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","spotify:album:77JmKGdCSo3JuNelG5fofU","You've Got The Love","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","2010-01-01","https://i.scdn.co/image/ab67616d0000b2731625df5ab22f3c818759e3b1","1","1","168666","https://p.scdn.co/mp3-preview/ee46b4b3acaee3f41f63a493a411e95d6dfe889d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBUM70900237","spotify:user:pivimkh","2015-01-27T16:56:33Z"
"spotify:track:0JKMuEAQvnI0tvB4s3lccr","The A Team - KOAN Sound Remix","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V, spotify:artist:1NCLweIUpq8knzemBwAwoo","Ed Sheeran, KOAN Sound","spotify:album:7jfNbUImln4VF01QtMpe0q","The A Team","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2011-06-10","https://i.scdn.co/image/ab67616d0000b273a1e62b56ea9f2827ee174ebe","1","3","279186","https://p.scdn.co/mp3-preview/44a0acd4fa04b0ea51ca3cca1861361c9ba117cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","GBAHS1100133","spotify:user:pivimkh","2015-01-27T16:56:33Z"
"spotify:track:5VQdYgOMD5DunteeIWztZs","Miracle","spotify:artist:08A9f7wRecEKFGN2PoylTl","Blackmill","spotify:album:2ayhUoOppwZ5paYiXTRqqa","Miracle","spotify:artist:08A9f7wRecEKFGN2PoylTl","Blackmill","2011-12-21","https://i.scdn.co/image/ab67616d0000b2731e240c89392460689b7615a3","1","1","356091","https://p.scdn.co/mp3-preview/0ec911a4a8cb5e4dfb4311c365c265a3acaa8889?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","TCABC1144791","spotify:user:pivimkh","2015-01-27T16:56:33Z"
"spotify:track:6eRPYyh1EPRqDhgb3Nardw","Spirit of Life","spotify:artist:08A9f7wRecEKFGN2PoylTl","Blackmill","spotify:album:2ayhUoOppwZ5paYiXTRqqa","Miracle","spotify:artist:08A9f7wRecEKFGN2PoylTl","Blackmill","2011-12-21","https://i.scdn.co/image/ab67616d0000b2731e240c89392460689b7615a3","1","2","375433","https://p.scdn.co/mp3-preview/4987e8bac04939db76de89a8f0172f4f0c1440eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","TCABC1144792","spotify:user:pivimkh","2015-01-27T16:56:33Z"
"spotify:track:40f9IDTMDpFf3CnTcPhY5F","Oh That I Had","spotify:artist:3YAy9OUnnRsk2JLTaOLcw2","Mt. Eden","spotify:album:11yxajuBoR78FebAWdU8lt","MEDS EP","spotify:artist:3YAy9OUnnRsk2JLTaOLcw2","Mt. Eden","2010-12-08","https://i.scdn.co/image/ab67616d0000b2732abf4d7ff8c4f670faad565e","1","5","314666","https://p.scdn.co/mp3-preview/a0634d2b6a525c621988089edeb40799fd9b351c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","SEYOK1019284","spotify:user:pivimkh","2015-01-27T16:56:33Z"
"spotify:track:0sVn1pc5KDCgBBnm4jHl6I","Pacifica - Kito & Reija Remix","spotify:artist:42EZt9LfgsaF0WHlDC3FoM","Spor","spotify:album:5709RpNkA5IjA3E9H3sQzu","Pacifica - EP","spotify:artist:42EZt9LfgsaF0WHlDC3FoM","Spor","2011","https://i.scdn.co/image/ab67616d0000b27343a6e4749389e45629583857","1","4","288257","https://p.scdn.co/mp3-preview/314cfcd2a979c4ca22b1d57571b259df0044e594?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","GBNGJ1100049","spotify:user:pivimkh","2015-01-27T16:56:33Z"
