"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:0FMjqbY3aWo1QDbo3GwXib","Always in My Head","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:2G4AUqfwxcV1UdQjm2ouYr","Ghost Stories","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2014-05-19","https://i.scdn.co/image/ab67616d0000b273e5a95573f1b91234630fd2cf","1","1","216626","https://p.scdn.co/mp3-preview/43b1d47e95cc4df8945c6d9b306ba36892657a71?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBAYE1400212","spotify:user:pivimkh","2015-02-13T20:02:27Z"
"spotify:track:23khhseCLQqVMCIT1WMAns","Magic","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:2G4AUqfwxcV1UdQjm2ouYr","Ghost Stories","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2014-05-19","https://i.scdn.co/image/ab67616d0000b273e5a95573f1b91234630fd2cf","1","2","285014","https://p.scdn.co/mp3-preview/bb218a3258eb112eca7bd22d2cdcd9f741b886c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBAYE1400206","spotify:user:pivimkh","2015-02-13T20:02:27Z"
"spotify:track:6c6W25YoDGjTq3qSPOga5t","Ink","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:2G4AUqfwxcV1UdQjm2ouYr","Ghost Stories","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2014-05-19","https://i.scdn.co/image/ab67616d0000b273e5a95573f1b91234630fd2cf","1","3","228373","https://p.scdn.co/mp3-preview/f6b265a38c98cb7c52e64ebb8b50b1904e673912?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBAYE1400213","spotify:user:pivimkh","2015-02-13T20:02:27Z"
"spotify:track:0fQuzbQNLcD1ofo7B2NcFI","True Love","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:2G4AUqfwxcV1UdQjm2ouYr","Ghost Stories","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2014-05-19","https://i.scdn.co/image/ab67616d0000b273e5a95573f1b91234630fd2cf","1","4","246000","https://p.scdn.co/mp3-preview/c29fff0c8711e29c8a55451a5cddbdcdd4fe79aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GBAYE1400214","spotify:user:pivimkh","2015-02-13T20:02:27Z"
"spotify:track:4GKk1uNzpxIptBuaY97Dkj","Midnight","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:2G4AUqfwxcV1UdQjm2ouYr","Ghost Stories","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2014-05-19","https://i.scdn.co/image/ab67616d0000b273e5a95573f1b91234630fd2cf","1","5","294666","https://p.scdn.co/mp3-preview/7137f38fe3fb525ccd07a38fafa2879138e90f70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBAYE1400202","spotify:user:pivimkh","2015-02-13T20:02:27Z"
"spotify:track:22uzF19LxQW87kOVkR79Fq","Another's Arms","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:2G4AUqfwxcV1UdQjm2ouYr","Ghost Stories","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2014-05-19","https://i.scdn.co/image/ab67616d0000b273e5a95573f1b91234630fd2cf","1","6","234413","https://p.scdn.co/mp3-preview/5ce982422af0e7d593124e1b6dc2d7101255e2ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBAYE1400215","spotify:user:pivimkh","2015-02-13T20:02:27Z"
"spotify:track:2u4uhtETtcULnkBfFHSnDX","Oceans","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:2G4AUqfwxcV1UdQjm2ouYr","Ghost Stories","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2014-05-19","https://i.scdn.co/image/ab67616d0000b273e5a95573f1b91234630fd2cf","1","7","321680","https://p.scdn.co/mp3-preview/f16e9e145bc86454c84fbf47bfd63ceb5a221d09?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBAYE1400216","spotify:user:pivimkh","2015-02-13T20:02:27Z"
"spotify:track:0FDzzruyVECATHXKHFs9eJ","A Sky Full of Stars","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:2G4AUqfwxcV1UdQjm2ouYr","Ghost Stories","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2014-05-19","https://i.scdn.co/image/ab67616d0000b273e5a95573f1b91234630fd2cf","1","8","267866","https://p.scdn.co/mp3-preview/870ebba9927cd7c73467fc5772f398a8a8999344?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","GBAYE1400217","spotify:user:pivimkh","2015-02-13T20:02:27Z"
"spotify:track:77yuzxCS3csrgTPSW0pvyk","O","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:2G4AUqfwxcV1UdQjm2ouYr","Ghost Stories","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2014-05-19","https://i.scdn.co/image/ab67616d0000b273e5a95573f1b91234630fd2cf","1","9","323480","https://p.scdn.co/mp3-preview/78f060c22ffc0026253fb746dccfadffefae0d08?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBAYE1400533","spotify:user:pivimkh","2015-02-13T20:02:27Z"
"spotify:track:3vCzHYgSjMuGjFMfJSCx4c","Mylo Xyloto","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:2R7iJz5uaHjLEVnMkloO18","Mylo Xyloto","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2011-10-24","https://i.scdn.co/image/ab67616d0000b273de0cd11d7b31c3bd1fd5983d","1","1","42106","https://p.scdn.co/mp3-preview/202450e54b407181c470428874d6c7998d80b7a1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBAYE1101178","spotify:user:pivimkh","2015-02-13T20:02:27Z"
