"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:4VrWlk8IQxevMvERoX08iC","Chandelier","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","spotify:album:3xFSl9lIRaYXIYkIn3OIl9","1000 Forms Of Fear","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","2014-07-04","https://i.scdn.co/image/ab67616d0000b2735d199c9f6e6562aafa5aa357","1","1","216120","https://p.scdn.co/mp3-preview/fa13db3d66f6daf051e9a3996090f7740532b9e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USRC11400498","spotify:user:pivimkh","2014-11-08T17:05:02Z"
"spotify:track:07nH4ifBxUB4lZcsf44Brn","Blame (feat. John Newman)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:34v5MVKeQnIo0CWYMbbrPf","Calvin Harris, John Newman","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b2738fba5806a323efd272677c4d","1","3","212960","https://p.scdn.co/mp3-preview/8cc0178f211851bea0780a38757d301509d20bd1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBARL1400567","spotify:user:pivimkh","2014-11-08T17:05:02Z"
"spotify:track:4th1RQAelzqgY7wL53UGQt","The Days","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","spotify:album:3j3cgkuyo015dghNYhHnZJ","The Days","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2014-01-01","https://i.scdn.co/image/ab67616d0000b273b9591cb18806aabd30d78aa8","1","1","278480","https://p.scdn.co/mp3-preview/5ce9760ccebc6f6aac747f716f95264287b553cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","CH3131340471","spotify:user:pivimkh","2014-11-08T17:05:02Z"
"spotify:track:0FDzzruyVECATHXKHFs9eJ","A Sky Full of Stars","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:2G4AUqfwxcV1UdQjm2ouYr","Ghost Stories","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2014-05-19","https://i.scdn.co/image/ab67616d0000b273e5a95573f1b91234630fd2cf","1","8","267866","https://p.scdn.co/mp3-preview/870ebba9927cd7c73467fc5772f398a8a8999344?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","GBAYE1400217","spotify:user:pivimkh","2014-11-08T17:05:02Z"
"spotify:track:3U4isOIWM3VvDubwSI3y7a","All of Me","spotify:artist:5y2Xq6xcjJb2jVM54GHK3t","John Legend","spotify:album:4OTAx9un4e6NfoHuVRiOrC","Love In The Future (Expanded Edition)","spotify:artist:5y2Xq6xcjJb2jVM54GHK3t","John Legend","2013-08-30","https://i.scdn.co/image/ab67616d0000b27394c9217a398f5174757c0c78","1","6","269560","https://p.scdn.co/mp3-preview/29f542e5e8b4b6bb7e4e71a52bc3ff35b6b962ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USSM11303954","spotify:user:pivimkh","2014-11-08T17:05:02Z"
"spotify:track:63bniwRWWFGoasyhX2eQHJ","Boom Clap","spotify:artist:25uiPmTg16RbhZWAqwLBy5","Charli xcx","spotify:album:5FfbtnqTQjMYjqphXDUoYG","Boom Clap","spotify:artist:25uiPmTg16RbhZWAqwLBy5","Charli xcx","2014-05-02","https://i.scdn.co/image/ab67616d0000b27355052bd3270a1c94a5b7a8e7","1","1","169293","https://p.scdn.co/mp3-preview/9ace654d50ca2e58e36cf23ec42c432196def289?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USAT21401900","spotify:user:pivimkh","2014-11-08T17:05:02Z"
"spotify:track:7IHOIqZUUInxjVkko181PB","Stay With Me","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","spotify:album:7p7RFI5jtwYDknwhnQgmlp","In The Lonely Hour (Deluxe Edition)","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","2014-01-01","https://i.scdn.co/image/ab67616d0000b27360b7e435520b0426265ac26f","1","3","172723","https://p.scdn.co/mp3-preview/a6673e86dccaf0232ab041314ec716e03e2f34fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBUM71308833","spotify:user:pivimkh","2014-11-08T17:05:02Z"
"spotify:track:0DKT3yIip1M0W0J1HYS1ru","Maps","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:2xOAAj0YESnHbb0Fcrle5N","V (Deluxe)","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2014-08-29","https://i.scdn.co/image/ab67616d0000b273892abc7071df009001376211","1","1","189973","https://p.scdn.co/mp3-preview/36f41e3d1e62e771fc4ceed91877785935881063?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUM71407116","spotify:user:pivimkh","2014-11-08T17:05:02Z"
"spotify:track:3SaIsrEzrQGDcG1jCeaK8q","Bang Bang","spotify:artist:2gsggkzM5R49q6jpPvazou, spotify:artist:66CXWjxzNUsdJxJ2JdwvnR, spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Jessie J, Ariana Grande, Nicki Minaj","spotify:album:3hQ64JbgfPMbXwYRvmZ41z","Sweet Talker (Deluxe Version)","spotify:artist:2gsggkzM5R49q6jpPvazou","Jessie J","2014-10-10","https://i.scdn.co/image/ab67616d0000b27301b57b2d37dad2a9e1fb10b9","1","4","199386","https://p.scdn.co/mp3-preview/e6f9a45cb4bf45d8d041d999f5904ed1d248cc15?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUM71409737","spotify:user:pivimkh","2014-11-08T17:05:02Z"
"spotify:track:23khhseCLQqVMCIT1WMAns","Magic","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:2G4AUqfwxcV1UdQjm2ouYr","Ghost Stories","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2014-05-19","https://i.scdn.co/image/ab67616d0000b273e5a95573f1b91234630fd2cf","1","2","285014","https://p.scdn.co/mp3-preview/bb218a3258eb112eca7bd22d2cdcd9f741b886c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBAYE1400206","spotify:user:pivimkh","2014-11-08T17:05:02Z"
