"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:1ktyKCzfI8hooCJP3X2yP5","uNa DiReZioNe giUsTa","spotify:artist:3l9OOqBvHs4SM91bWqtaQb, spotify:artist:54dqxLAclwu0QSaTwCyCaF, spotify:artist:19i93sA0D7yS9dYoVNBqAA","yungest Moonstar, Neffa, thasup","spotify:album:51yDwPiJNSAOouxDtp1t3G","uNa DiReZioNe giUsTa","spotify:artist:3l9OOqBvHs4SM91bWqtaQb, spotify:artist:54dqxLAclwu0QSaTwCyCaF, spotify:artist:19i93sA0D7yS9dYoVNBqAA","yungest Moonstar, Neffa, thasup","2021-07-30","https://i.scdn.co/image/ab67616d0000b2738c00ce72cafccefd8c005399","1","1","215516","https://p.scdn.co/mp3-preview/b0caca291a5af258c4803bca1c5730415a7ec231?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","ITL7B2100005","spotify:user:11135692880","2021-12-25T01:19:44Z"
"spotify:track:1mYShF0Y73yoKtpMwED679","fuck 3x","spotify:artist:19i93sA0D7yS9dYoVNBqAA","thasup","spotify:album:2zBib5x7l1D5KPXPEePOab","23 6451","spotify:artist:19i93sA0D7yS9dYoVNBqAA","thasup","2020-07-31","https://i.scdn.co/image/ab67616d0000b27358010f854f0b1052a934500f","1","4","161266","https://p.scdn.co/mp3-preview/627a414a71ad612ae2bb5b25c2094163851eb79a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","ITB001900529","spotify:user:11135692880","2021-12-25T01:20:08Z"
"spotify:track:0AcY3DEfZ9uoeP1XHLWJXJ","blun7 a swishland","spotify:artist:19i93sA0D7yS9dYoVNBqAA","thasup","spotify:album:2zBib5x7l1D5KPXPEePOab","23 6451","spotify:artist:19i93sA0D7yS9dYoVNBqAA","thasup","2020-07-31","https://i.scdn.co/image/ab67616d0000b27358010f854f0b1052a934500f","1","8","167760","https://p.scdn.co/mp3-preview/ca0b8fbdc4c561eb3d4281ae712eff10c0b4766f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","ITB001900530","spotify:user:11135692880","2021-12-25T01:20:08Z"
"spotify:track:1vOZ4ONGMNytLX7VJjF12V","m8nstar","spotify:artist:19i93sA0D7yS9dYoVNBqAA","thasup","spotify:album:2zBib5x7l1D5KPXPEePOab","23 6451","spotify:artist:19i93sA0D7yS9dYoVNBqAA","thasup","2020-07-31","https://i.scdn.co/image/ab67616d0000b27358010f854f0b1052a934500f","1","9","164825","https://p.scdn.co/mp3-preview/891a45d2bfc2d7df313e27429e5e6a5ffb746039?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","ITB001900255","spotify:user:11135692880","2021-12-25T01:20:08Z"
"spotify:track:5onoZsRp4HdY2k90k9Y2Bq","ch1 5ei te","spotify:artist:19i93sA0D7yS9dYoVNBqAA","thasup","spotify:album:2zBib5x7l1D5KPXPEePOab","23 6451","spotify:artist:19i93sA0D7yS9dYoVNBqAA","thasup","2020-07-31","https://i.scdn.co/image/ab67616d0000b27358010f854f0b1052a934500f","1","16","183762","https://p.scdn.co/mp3-preview/b63e44bcd8292be9bd18bf4eb0da5bf047630ccf?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","ITB001900536","spotify:user:11135692880","2021-12-25T01:20:08Z"
"spotify:track:1XQvMjA9IiIx1lAiTHSxQi","Spigoli","spotify:artist:29nrwultxQ8jENVmXoyMqK, spotify:artist:0zoMmzmyi8N8LwzhyXPvtk, spotify:artist:19i93sA0D7yS9dYoVNBqAA","Carl Brave, Mara Sattei, thasup","spotify:album:7d2mx3ECVdcvoLFLXrx8Qo","Spigoli","spotify:artist:29nrwultxQ8jENVmXoyMqK, spotify:artist:0zoMmzmyi8N8LwzhyXPvtk, spotify:artist:19i93sA0D7yS9dYoVNBqAA","Carl Brave, Mara Sattei, thasup","2020-05-12","https://i.scdn.co/image/ab67616d0000b2732ae4c4295bc46fdece0a5bb6","1","1","256788","https://p.scdn.co/mp3-preview/ea8dab683f1a17c070745a67eec7be38f268cbec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","ITUM72000490","spotify:user:11135692880","2021-12-25T01:20:15Z"
"spotify:track:46Au7GJaQ6XzjdQ4KJU1vt","Tuttecose (feat. Mara Sattei)","spotify:artist:7KFOc3T4Xo8DVZt4PWw2qN, spotify:artist:0zoMmzmyi8N8LwzhyXPvtk","Gazzelle, Mara Sattei","spotify:album:7dxiiqebvmLMlavUYgE4sf","OK UN CAZZO","spotify:artist:7KFOc3T4Xo8DVZt4PWw2qN","Gazzelle","2021-12-10","https://i.scdn.co/image/ab67616d0000b27309fe4f287a8be98a13cc15ba","1","12","197956","https://p.scdn.co/mp3-preview/8a864b72401d56e191d87d8cad4889a16ada9957?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ITIWE2100661","spotify:user:11135692880","2021-12-25T01:20:27Z"
"spotify:track:3vgclHni3T3qu7ZXz8idsk","Good Times","spotify:artist:3egWSWp7Y4FyCKIyvXbw7L","Ghali","spotify:album:5XC9aklfsZpII3ybewZb2l","DNA","spotify:artist:3egWSWp7Y4FyCKIyvXbw7L","Ghali","2020-11-13","https://i.scdn.co/image/ab67616d0000b27385ffac2965b6696898f7f0b7","2","4","163073","https://p.scdn.co/mp3-preview/886d557111bcbd9403910cba6f0352a67063d537?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","IT4U12000004","spotify:user:11135692880","2021-12-25T01:20:41Z"
"spotify:track:6oNJqGeekJO8rADd2Mktvi","ALTALENE (feat. Mara Sattei & Coez)","spotify:artist:0VitAFMCI2apQxKzDjg1PU, spotify:artist:2KXYAKQTxHuUHDtVgeGn6w, spotify:artist:19i93sA0D7yS9dYoVNBqAA, spotify:artist:0zoMmzmyi8N8LwzhyXPvtk, spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","BLOODY VINYL, Slait, thasup, Mara Sattei, Coez","spotify:album:1maHuPQQphzi9TIJ55dNxW","BV3","spotify:artist:0VitAFMCI2apQxKzDjg1PU, spotify:artist:2KXYAKQTxHuUHDtVgeGn6w","BLOODY VINYL, Slait","2020-10-02","https://i.scdn.co/image/ab67616d0000b273cc08fd1c89e82db9cbb105ce","1","7","186853","https://p.scdn.co/mp3-preview/e628dd157d8d2a68b9c02ec69f297bb47413b10a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","ITB002000446","spotify:user:11135692880","2021-12-25T01:21:25Z"
"spotify:track:0JsfWhQ2STKCqsvKse3Rgj","Come nelle canzoni","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","Coez","spotify:album:1mduA9KWQcE64fHeH8U17C","Volare","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","Coez","2021-12-03","https://i.scdn.co/image/ab67616d0000b273e5af26f04d5b735a694757a7","1","7","212897","https://p.scdn.co/mp3-preview/16f2cab879ec6c3c4ac30672e23550828cb28cbc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","2","ITLQU2100007","spotify:user:11135692880","2021-12-25T01:21:39Z"
