"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:6Vb2cNnIUQvWEk1JupBVop","Nu creature int’o munno","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu, spotify:artist:6yGn8XOk9ZS6vUFf10sP96, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","Cosang, Ntò, Luchè","spotify:album:6AJDbheXx2Y9zvBba38EoH","DINASTIA","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu","Cosang","2024-08-30","https://i.scdn.co/image/ab67616d0000b27371c75cfe2e18b76d11b160d4","1","1","150447","https://p.scdn.co/mp3-preview/0c34b45b5d70b4addede143d9c6981e8630e72f1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","ITQ002400858","spotify:user:11135692880","2024-09-03T08:42:24Z"
"spotify:track:51MHkF1fo45LhKjtVPiEY0","Carne e ossa","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4, spotify:artist:6yGn8XOk9ZS6vUFf10sP96","Cosang, Luchè, Ntò","spotify:album:6AJDbheXx2Y9zvBba38EoH","DINASTIA","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu","Cosang","2024-08-30","https://i.scdn.co/image/ab67616d0000b27371c75cfe2e18b76d11b160d4","1","2","154074","https://p.scdn.co/mp3-preview/22d8dff29227b8aaf084a9618a63f4017b2759de?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","ITQ002400859","spotify:user:11135692880","2024-09-03T08:42:24Z"
"spotify:track:1mIs94EvwoD8zLCFQXrdHA","Nun è mai fernut","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4, spotify:artist:6yGn8XOk9ZS6vUFf10sP96","Cosang, Luchè, Ntò","spotify:album:6AJDbheXx2Y9zvBba38EoH","DINASTIA","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu","Cosang","2024-08-30","https://i.scdn.co/image/ab67616d0000b27371c75cfe2e18b76d11b160d4","1","3","167999","https://p.scdn.co/mp3-preview/c411bd4e46a8c1e519482d2e06c520bcf90acfb1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","ITQ002400860","spotify:user:11135692880","2024-09-03T08:42:24Z"
"spotify:track:7H7NBg9NjyEy2eV8nQ22TR","Cchiù tiempo (feat. Club Dogo)","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu, spotify:artist:4dyfAiJCbl7jS1GHOCdiJv, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4, spotify:artist:6yGn8XOk9ZS6vUFf10sP96","Cosang, Club Dogo, Luchè, Ntò","spotify:album:6AJDbheXx2Y9zvBba38EoH","DINASTIA","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu","Cosang","2024-08-30","https://i.scdn.co/image/ab67616d0000b27371c75cfe2e18b76d11b160d4","1","4","203399","https://p.scdn.co/mp3-preview/b7b2937cf6db9d9e3782fa32673a08ff85d7bca6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","ITQ002400861","spotify:user:11135692880","2024-09-03T08:42:24Z"
"spotify:track:2IWIpzS9zuNIA29nwUE8jK","Sbagli e te ne vai (feat. LIBERATO)","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu, spotify:artist:4X89u81dkCXBSGo8i2DhMW, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4, spotify:artist:6yGn8XOk9ZS6vUFf10sP96","Cosang, LIBERATO, Luchè, Ntò","spotify:album:6AJDbheXx2Y9zvBba38EoH","DINASTIA","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu","Cosang","2024-08-30","https://i.scdn.co/image/ab67616d0000b27371c75cfe2e18b76d11b160d4","1","5","234230","https://p.scdn.co/mp3-preview/f872f86e50861391547b7c018f48f920b932f2a6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","ITQ002400862","spotify:user:11135692880","2024-09-03T08:42:24Z"
"spotify:track:4JkMzHPcaI9QJweua55aHf","Nu cuofn ‘e sord","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4, spotify:artist:6yGn8XOk9ZS6vUFf10sP96","Cosang, Luchè, Ntò","spotify:album:6AJDbheXx2Y9zvBba38EoH","DINASTIA","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu","Cosang","2024-08-30","https://i.scdn.co/image/ab67616d0000b27371c75cfe2e18b76d11b160d4","1","6","171428","https://p.scdn.co/mp3-preview/bed3214b1f3cc4ceb7ce5a6128e4cd086fdc23c0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","ITQ002400863","spotify:user:11135692880","2024-09-03T08:42:24Z"
"spotify:track:09N44sKefn4X4D5M0rkpod","Carnicero (feat. Marracash)","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu, spotify:artist:5AZuEF0feCXMkUCwQiQlW7, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4, spotify:artist:6yGn8XOk9ZS6vUFf10sP96","Cosang, Marracash, Luchè, Ntò","spotify:album:6AJDbheXx2Y9zvBba38EoH","DINASTIA","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu","Cosang","2024-08-30","https://i.scdn.co/image/ab67616d0000b27371c75cfe2e18b76d11b160d4","1","7","235999","https://p.scdn.co/mp3-preview/46140a6ae6a9ab93d8ea065ed0d234d79b5a39c0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","ITQ002400864","spotify:user:11135692880","2024-09-03T08:42:24Z"
"spotify:track:3gqv950H0dUXcUPKENFm7R","O primm post","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4, spotify:artist:6yGn8XOk9ZS6vUFf10sP96","Cosang, Luchè, Ntò","spotify:album:6AJDbheXx2Y9zvBba38EoH","DINASTIA","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu","Cosang","2024-08-30","https://i.scdn.co/image/ab67616d0000b27371c75cfe2e18b76d11b160d4","1","8","230399","https://p.scdn.co/mp3-preview/33c90569f8410ca03038a878ac4c3f1303073b25?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","ITQ002400865","spotify:user:11135692880","2024-09-03T08:42:24Z"
"spotify:track:4EWPslai3Dd1FBz4ipsMGR","Vincente","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4, spotify:artist:6yGn8XOk9ZS6vUFf10sP96","Cosang, Luchè, Ntò","spotify:album:6AJDbheXx2Y9zvBba38EoH","DINASTIA","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu","Cosang","2024-08-30","https://i.scdn.co/image/ab67616d0000b27371c75cfe2e18b76d11b160d4","1","9","201526","https://p.scdn.co/mp3-preview/e37477cd2727ea6ec4f77f166b4b590fe2d6e367?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","ITQ002400866","spotify:user:11135692880","2024-09-03T08:42:24Z"
"spotify:track:4vd7gUuDg8Ks19SzZxzeHD","Perdere ‘a capa (feat. Geolier)","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu, spotify:artist:27LlKWxS3KXW7RRAxN5S8s, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4, spotify:artist:6yGn8XOk9ZS6vUFf10sP96","Cosang, Geolier, Luchè, Ntò","spotify:album:6AJDbheXx2Y9zvBba38EoH","DINASTIA","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu","Cosang","2024-08-30","https://i.scdn.co/image/ab67616d0000b27371c75cfe2e18b76d11b160d4","1","10","220588","https://p.scdn.co/mp3-preview/00fb34cb1754295ccaeb1899c013b9aa812e1fbe?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","ITQ002400867","spotify:user:11135692880","2024-09-03T08:42:24Z"
