"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:75UvJXVZZKA6lMSupSf46d","NEED YOU MOST (So Sick)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","spotify:album:3YjfdLdpQcVI72uKhooZst","F*CK LOVE (SAVAGE)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2020-11-06","https://i.scdn.co/image/ab67616d0000b273df16d539f508603bfb1efe02","2","14","135227","https://p.scdn.co/mp3-preview/60ee9cc6ba06c9e5d70ac700739281ba8fec16f1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USSM12004216","spotify:user:11135692880","2020-12-31T05:20:26Z"
"spotify:track:1yP6g2Ka4CisR3i2cuIcjK","FEEL SOMETHING (feat. Marshmello)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:64KEffDW9EtZ1y2vBYgq8T","The Kid LAROI, Marshmello","spotify:album:3YjfdLdpQcVI72uKhooZst","F*CK LOVE (SAVAGE)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2020-11-06","https://i.scdn.co/image/ab67616d0000b273df16d539f508603bfb1efe02","1","5","139040","https://p.scdn.co/mp3-preview/063f8e45a7479e27caebfd39d5d4393c80efd23e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USSM12006584","spotify:user:11135692880","2020-12-31T05:20:26Z"
"spotify:track:33QXHN1SzNgHIRPr7qYknV","PIKACHU","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","spotify:album:3YjfdLdpQcVI72uKhooZst","F*CK LOVE (SAVAGE)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2020-11-06","https://i.scdn.co/image/ab67616d0000b273df16d539f508603bfb1efe02","1","1","133723","https://p.scdn.co/mp3-preview/6890988ec23b1e9eaf4064194572e1ec6c47437c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USSM12006581","spotify:user:11135692880","2020-12-31T05:20:26Z"
"spotify:track:3qgPpwtuRu5oP8EtFSj8HE","SO DONE","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","spotify:album:3YjfdLdpQcVI72uKhooZst","F*CK LOVE (SAVAGE)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2020-11-06","https://i.scdn.co/image/ab67616d0000b273df16d539f508603bfb1efe02","1","2","126521","https://p.scdn.co/mp3-preview/3e676279d46de5354ffc51b2b4f956893fa38d87?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USSM12005922","spotify:user:11135692880","2020-12-31T05:20:26Z"
"spotify:track:13EW51DKru044OJDJ9Bm8o","TRAGIC (feat. Youngboy Never Broke Again & Internet Money)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:7wlFDEWiM5OoIAt8RSli8b, spotify:artist:6MPCFvOQv5cIGfw3jODMF0","The Kid LAROI, YoungBoy Never Broke Again, Internet Money","spotify:album:3YjfdLdpQcVI72uKhooZst","F*CK LOVE (SAVAGE)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2020-11-06","https://i.scdn.co/image/ab67616d0000b273df16d539f508603bfb1efe02","1","3","153147","https://p.scdn.co/mp3-preview/db574ac2cc97d199a21483460440debfe58393dc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USSM12006582","spotify:user:11135692880","2020-12-31T05:20:26Z"
"spotify:track:3QCU8BT0zDS9LPVfEhRFEE","ALWAYS DO","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","spotify:album:3YjfdLdpQcVI72uKhooZst","F*CK LOVE (SAVAGE)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2020-11-06","https://i.scdn.co/image/ab67616d0000b273df16d539f508603bfb1efe02","1","4","151704","https://p.scdn.co/mp3-preview/dc0998ac905f910757fdbf82fa7c9d4b5dab2b8d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","1","USSM12006583","spotify:user:11135692880","2020-12-31T05:20:26Z"
"spotify:track:0DYNL4xbYWgNzppUamtyR4","F*CK YOU, GOODBYE (feat. Machine Gun Kelly)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:6TIYQ3jFPwQSRmorSezPxX","The Kid LAROI, mgk","spotify:album:3YjfdLdpQcVI72uKhooZst","F*CK LOVE (SAVAGE)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2020-11-06","https://i.scdn.co/image/ab67616d0000b273df16d539f508603bfb1efe02","1","6","144860","https://p.scdn.co/mp3-preview/0e404680d57e9101512d7b596fa8e713b305e78b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","1","USSM12006585","spotify:user:11135692880","2020-12-31T05:20:26Z"
"spotify:track:27OeeYzk6klgBh83TSvGMA","WITHOUT YOU","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","spotify:album:3YjfdLdpQcVI72uKhooZst","F*CK LOVE (SAVAGE)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2020-11-06","https://i.scdn.co/image/ab67616d0000b273df16d539f508603bfb1efe02","1","7","161384","https://p.scdn.co/mp3-preview/0cacbf2acaef9fc50d9ecd1f29eb33e543a5bc63?cid=9950ac751e34487dbbe027c4fd7f8e99","true","4","USSM12006586","spotify:user:11135692880","2020-12-31T05:20:26Z"
"spotify:track:7syEMMetYY9CmyR5aE2ia6","MAYBE","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","spotify:album:3YjfdLdpQcVI72uKhooZst","F*CK LOVE (SAVAGE)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2020-11-06","https://i.scdn.co/image/ab67616d0000b273df16d539f508603bfb1efe02","2","2","174182","https://p.scdn.co/mp3-preview/c0f60a61f610c924a0ee024ff6217455a52f8e2f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","1","USSM12004207","spotify:user:11135692880","2020-12-31T05:20:26Z"
"spotify:track:0OtK6gE4DipBy7u3rUWBvJ","WRONG (feat. Lil Mosey)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:5zctI4wO9XSKS8XwcnqEHk","The Kid LAROI, Lil Mosey","spotify:album:3YjfdLdpQcVI72uKhooZst","F*CK LOVE (SAVAGE)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2020-11-06","https://i.scdn.co/image/ab67616d0000b273df16d539f508603bfb1efe02","2","3","183567","https://p.scdn.co/mp3-preview/3af6a30dc710b88c5e0296dbef9c8bf8041905f8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USSM12004303","spotify:user:11135692880","2020-12-31T05:20:26Z"
