"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:6kqPWdv1pNXp6A2CowGSFA","Gang Gang","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","spotify:album:3UTp6spxkyTdvsmJDPfb7n","CrasH Talk","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","2019-04-26","https://i.scdn.co/image/ab67616d0000b273f2149422121d1674c6f4c009","1","1","135493","https://p.scdn.co/mp3-preview/c4ea4d132ff70368b602daa75a591f97ed2037f6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","USUM71905825","spotify:user:11135692880","2020-02-29T03:30:52Z"
"spotify:track:6kmSmIbfnGTaGCgwFW7umS","Tales","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","spotify:album:3UTp6spxkyTdvsmJDPfb7n","CrasH Talk","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","2019-04-26","https://i.scdn.co/image/ab67616d0000b273f2149422121d1674c6f4c009","1","2","173280","https://p.scdn.co/mp3-preview/a911571b7da42f6e5e1da1329627b56c6982b870?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","USUM71905828","spotify:user:11135692880","2020-02-29T03:30:52Z"
"spotify:track:2EGtBS7Ws3ajiSkJLviFJ4","CHopstix (feat. Travis Scott)","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","ScHoolboy Q, Travis Scott","spotify:album:3UTp6spxkyTdvsmJDPfb7n","CrasH Talk","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","2019-04-26","https://i.scdn.co/image/ab67616d0000b273f2149422121d1674c6f4c009","1","3","180453","https://p.scdn.co/mp3-preview/046a1124f24363098bc9ff4110e93636aacfb962?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","USUM71816223","spotify:user:11135692880","2020-02-29T03:30:52Z"
"spotify:track:6tByydPskASjm9jTPkNQq0","Numb Numb Juice","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","spotify:album:3UTp6spxkyTdvsmJDPfb7n","CrasH Talk","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","2019-04-26","https://i.scdn.co/image/ab67616d0000b273f2149422121d1674c6f4c009","1","4","107146","https://p.scdn.co/mp3-preview/4a7918b3fbf53c458ba6d148dc60ec7b99213deb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","USUM71901066","spotify:user:11135692880","2020-02-29T03:30:52Z"
"spotify:track:06Y14QBRyzmPRqrswAfF4J","Drunk (feat. 6LACK)","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m, spotify:artist:4IVAbR2w4JJNJDDRFP3E83","ScHoolboy Q, 6LACK","spotify:album:3UTp6spxkyTdvsmJDPfb7n","CrasH Talk","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","2019-04-26","https://i.scdn.co/image/ab67616d0000b273f2149422121d1674c6f4c009","1","5","212253","https://p.scdn.co/mp3-preview/9b59e76fe2dd67a41989117c336e5256beb1d8c6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","USUM71905829","spotify:user:11135692880","2020-02-29T03:30:52Z"
"spotify:track:7gPHxxAq4YjK7GoLT3Vch3","Lies (feat. Ty Dolla $ign & YG)","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq, spotify:artist:0A0FS04o6zMoto8OKPsDwY","ScHoolboy Q, Ty Dolla $ign, YG","spotify:album:3UTp6spxkyTdvsmJDPfb7n","CrasH Talk","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","2019-04-26","https://i.scdn.co/image/ab67616d0000b273f2149422121d1674c6f4c009","1","6","171000","https://p.scdn.co/mp3-preview/587260d4228fa101ed5af3eeb4c68bf7e666b92d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","41","USUM71905830","spotify:user:11135692880","2020-02-29T03:30:52Z"
"spotify:track:1e3GEwsaXtBNtPfooQimDn","5200","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","spotify:album:3UTp6spxkyTdvsmJDPfb7n","CrasH Talk","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","2019-04-26","https://i.scdn.co/image/ab67616d0000b273f2149422121d1674c6f4c009","1","7","211800","https://p.scdn.co/mp3-preview/f4e5d6bff1be62d3b5ddbd6a4c2212b6fd5566e6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","USUM71905831","spotify:user:11135692880","2020-02-29T03:30:52Z"
"spotify:track:1iWAx1WGCY6j2zAMdACQ6E","Black Folk","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","spotify:album:3UTp6spxkyTdvsmJDPfb7n","CrasH Talk","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","2019-04-26","https://i.scdn.co/image/ab67616d0000b273f2149422121d1674c6f4c009","1","8","147040","https://p.scdn.co/mp3-preview/d5942790348b58bef3c13b498ed8656280c97531?cid=9950ac751e34487dbbe027c4fd7f8e99","true","40","USUM71905832","spotify:user:11135692880","2020-02-29T03:30:52Z"
"spotify:track:4NN6N5TxBO5k9uqu0W4gfQ","Floating (feat. 21 Savage)","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m, spotify:artist:1URnnhqYAYcrqrcwql10ft","ScHoolboy Q, 21 Savage","spotify:album:3UTp6spxkyTdvsmJDPfb7n","CrasH Talk","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","2019-04-26","https://i.scdn.co/image/ab67616d0000b273f2149422121d1674c6f4c009","1","9","186826","https://p.scdn.co/mp3-preview/be2c3d08359dbfc7038b8ea6bc308e707cb31401?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","USUM71905833","spotify:user:11135692880","2020-02-29T03:30:52Z"
"spotify:track:0IH3D0P8OrQFs6ajcqbm0R","Dangerous (feat. Kid Cudi)","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m, spotify:artist:0fA0VVWsXO9YnASrzqfmYu","ScHoolboy Q, Kid Cudi","spotify:album:3UTp6spxkyTdvsmJDPfb7n","CrasH Talk","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","2019-04-26","https://i.scdn.co/image/ab67616d0000b273f2149422121d1674c6f4c009","1","10","150613","https://p.scdn.co/mp3-preview/07a009f45cce7c9ca2959d952ce8f7723b238d40?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","USUM71905834","spotify:user:11135692880","2020-02-29T03:30:52Z"
"spotify:track:4HWQFfYzolhGISAqveJYo9","Die Wit Em","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","spotify:album:3UTp6spxkyTdvsmJDPfb7n","CrasH Talk","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","2019-04-26","https://i.scdn.co/image/ab67616d0000b273f2149422121d1674c6f4c009","1","11","189120","https://p.scdn.co/mp3-preview/f5dd49c6724ce5f78aea8339b514d863a034bdcd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","40","USUM71905835","spotify:user:11135692880","2020-02-29T03:30:52Z"
"spotify:track:6BKAKoo7J2vwJGZJs5dhGD","CrasH","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","spotify:album:3UTp6spxkyTdvsmJDPfb7n","CrasH Talk","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","2019-04-26","https://i.scdn.co/image/ab67616d0000b273f2149422121d1674c6f4c009","1","12","161480","https://p.scdn.co/mp3-preview/60b3a99079b65f237d987d9f6e1b5360bb86238b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","USUM71905836","spotify:user:11135692880","2020-02-29T03:30:52Z"
"spotify:track:0wE6AaKnovGUAnwmSxHFrr","Water (feat. Lil Baby)","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m, spotify:artist:5f7VJjfbwm532GiveGC0ZK","ScHoolboy Q, Lil Baby","spotify:album:3UTp6spxkyTdvsmJDPfb7n","CrasH Talk","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","2019-04-26","https://i.scdn.co/image/ab67616d0000b273f2149422121d1674c6f4c009","1","13","162093","https://p.scdn.co/mp3-preview/9a76092e6e46eb23f2a4fc4fca8a43182b6a4bbc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","41","USUM71905837","spotify:user:11135692880","2020-02-29T03:30:52Z"
"spotify:track:1yYnT37zbmhaH6q3dVud0w","Attention","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","spotify:album:3UTp6spxkyTdvsmJDPfb7n","CrasH Talk","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","2019-04-26","https://i.scdn.co/image/ab67616d0000b273f2149422121d1674c6f4c009","1","14","201040","https://p.scdn.co/mp3-preview/72d8f0dc97c25636dd6ab88a5ab925e3e82ca38a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","40","USUM71905838","spotify:user:11135692880","2020-02-29T03:30:52Z"
"spotify:track:2aPTvyE09vUCRwVvj0I8WK","Sundress","spotify:artist:13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","spotify:album:3AlyvIIMZyT5LjWFeK5LSl","Sundress","spotify:artist:13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","2018-11-20","https://i.scdn.co/image/ab67616d0000b2731ae967e4a02c7a39eb3c189b","1","1","158205","https://p.scdn.co/mp3-preview/4cc0018584f7e316a81616be3bf66c9d9a42ed0e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USRC11803252","spotify:user:11135692880","2020-02-29T03:31:04Z"
"spotify:track:1jzIJcHCXneHw7ojC6LXiF","Potato Salad","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF, spotify:artist:13ubrt8QOOCPljQ2FL1Kca","Tyler\, The Creator, A$AP Rocky","spotify:album:02KFVEA5tnY0YnypmWY1tz","Potato Salad","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF, spotify:artist:13ubrt8QOOCPljQ2FL1Kca","Tyler\, The Creator, A$AP Rocky","2018-09-28","https://i.scdn.co/image/ab67616d0000b273215cac8c30b47bb1bfb9d2d1","1","1","182493","https://p.scdn.co/mp3-preview/4bbfab0e31b751d2eb30dc60162d0ac54f107706?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","USQX91802454","spotify:user:11135692880","2020-02-29T03:31:04Z"
"spotify:track:2N3U8uTYhjX2KwGT0pf5x0","Everyday (feat. Rod Stewart, Miguel & Mark Ronson)","spotify:artist:13ubrt8QOOCPljQ2FL1Kca, spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT, spotify:artist:360IAlyVv4PCEVjgyMZrxK, spotify:artist:3hv9jJF3adDNsBSIQDqcjp","A$AP Rocky, Rod Stewart, Miguel, Mark Ronson","spotify:album:3arNdjotCvtiiLFfjKngMc","AT.LONG.LAST.A$AP","spotify:artist:13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","2015-05-26","https://i.scdn.co/image/ab67616d0000b27381a6a2cafab2e7a4066b5eec","1","17","260986","https://p.scdn.co/mp3-preview/220febf485c664a356b31f667ac3dcdcb9ab33dd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USRC11500811","spotify:user:11135692880","2020-02-29T03:31:04Z"
"spotify:track:0dSIrRkA4PadGll16TgbnV","PICK IT UP (feat. A$AP Rocky)","spotify:artist:0WOxhx4hikIsyF3CRPLC8W, spotify:artist:13ubrt8QOOCPljQ2FL1Kca","Famous Dex, A$AP Rocky","spotify:album:5wCuMMmsjXNZ9yU91sEjf7","Dex Meets Dexter","spotify:artist:0WOxhx4hikIsyF3CRPLC8W","Famous Dex","2018-04-06","https://i.scdn.co/image/ab67616d0000b27324ef7429ba82789623ae8b14","1","9","191251","https://p.scdn.co/mp3-preview/7dfa73f415f80d48d6e04f60e936c2f9a38912f1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","QMCE31701365","spotify:user:11135692880","2020-02-29T03:31:04Z"
