"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:6koVCJ5xjklQr1MwdTQ553","La Prima Volta","spotify:artist:17O59ptnhN9Fgur5zIt051, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Lil Busso, Mr. Monkey","spotify:album:4cJlTZEmbpDT0Ua30Vh9fj","IPERMETROMONDO","spotify:artist:17O59ptnhN9Fgur5zIt051, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Lil Busso, Mr. Monkey","2020-02-07","https://i.scdn.co/image/ab67616d0000b273c6fe2f45af8e75438c4e3de8","1","1","172500","https://p.scdn.co/mp3-preview/0ca5081a0dd6c76247293a5980b1b36b56774a3d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","10","ITDF62077002","spotify:user:11135692880","2020-05-17T07:41:42Z"
"spotify:track:5xu6k82qkQVxbN85H1aCOk","Una Ragazza Un Giorno Mi Ha Spezzato Il Cuore","spotify:artist:17O59ptnhN9Fgur5zIt051, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Lil Busso, Mr. Monkey","spotify:album:4cJlTZEmbpDT0Ua30Vh9fj","IPERMETROMONDO","spotify:artist:17O59ptnhN9Fgur5zIt051, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Lil Busso, Mr. Monkey","2020-02-07","https://i.scdn.co/image/ab67616d0000b273c6fe2f45af8e75438c4e3de8","1","2","122033","https://p.scdn.co/mp3-preview/b8432a79c5f7b06a2785ba68d4a06e1ebdad7a3d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","ITDF62077003","spotify:user:11135692880","2020-05-17T07:41:42Z"
"spotify:track:1X6ZKwi9YnK4V1KxyWI6J1","Vesto La V (feat. Lil Kvneki)","spotify:artist:17O59ptnhN9Fgur5zIt051, spotify:artist:1sHljqzdPCaYRcFrkHW8if, spotify:artist:5NT6SamVXGrIp1Z1lE2Eyn","Lil Busso, Mr. Monkey, Lil Kvneki","spotify:album:4cJlTZEmbpDT0Ua30Vh9fj","IPERMETROMONDO","spotify:artist:17O59ptnhN9Fgur5zIt051, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Lil Busso, Mr. Monkey","2020-02-07","https://i.scdn.co/image/ab67616d0000b273c6fe2f45af8e75438c4e3de8","1","3","116691","https://p.scdn.co/mp3-preview/b5c5b22cd5d68a4cb624454e18775b19146af394?cid=9950ac751e34487dbbe027c4fd7f8e99","true","14","ITDF62077004","spotify:user:11135692880","2020-05-17T07:41:42Z"
"spotify:track:6TEqoZhwCVFdutiLJIKqWI","Oh My God","spotify:artist:17O59ptnhN9Fgur5zIt051, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Lil Busso, Mr. Monkey","spotify:album:4cJlTZEmbpDT0Ua30Vh9fj","IPERMETROMONDO","spotify:artist:17O59ptnhN9Fgur5zIt051, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Lil Busso, Mr. Monkey","2020-02-07","https://i.scdn.co/image/ab67616d0000b273c6fe2f45af8e75438c4e3de8","1","4","211125","https://p.scdn.co/mp3-preview/6d68aaef1e90236e51f850bec9e57bfbacab340c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","11","ITDF62077005","spotify:user:11135692880","2020-05-17T07:41:42Z"
"spotify:track:2VEB661P8xI3y5JX5qPSri","Magari Un Giorno Capirai","spotify:artist:17O59ptnhN9Fgur5zIt051, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Lil Busso, Mr. Monkey","spotify:album:4cJlTZEmbpDT0Ua30Vh9fj","IPERMETROMONDO","spotify:artist:17O59ptnhN9Fgur5zIt051, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Lil Busso, Mr. Monkey","2020-02-07","https://i.scdn.co/image/ab67616d0000b273c6fe2f45af8e75438c4e3de8","1","5","162711","https://p.scdn.co/mp3-preview/395cf3187cd1ab529b2ac16e771645955ac4842c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","11","ITDF62077006","spotify:user:11135692880","2020-05-17T07:41:42Z"
"spotify:track:7HdxdXcQcBDMdE05rEu4CR","Ragazzi In Fila","spotify:artist:17O59ptnhN9Fgur5zIt051, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Lil Busso, Mr. Monkey","spotify:album:4cJlTZEmbpDT0Ua30Vh9fj","IPERMETROMONDO","spotify:artist:17O59ptnhN9Fgur5zIt051, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Lil Busso, Mr. Monkey","2020-02-07","https://i.scdn.co/image/ab67616d0000b273c6fe2f45af8e75438c4e3de8","1","6","130909","https://p.scdn.co/mp3-preview/5b12b0dce06d9a7312d5c2e8b39e559da688a990?cid=9950ac751e34487dbbe027c4fd7f8e99","true","8","ITDF61977118","spotify:user:11135692880","2020-05-17T07:41:42Z"
"spotify:track:6o5nKMFzsjOxvzSuUjOdpZ","1€ / Secondo (con Tredici Pietro)","spotify:artist:17O59ptnhN9Fgur5zIt051, spotify:artist:0RENwV6Phsp2y8nnFJ54UC, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Lil Busso, Tredici Pietro, Mr. Monkey","spotify:album:4cJlTZEmbpDT0Ua30Vh9fj","IPERMETROMONDO","spotify:artist:17O59ptnhN9Fgur5zIt051, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Lil Busso, Mr. Monkey","2020-02-07","https://i.scdn.co/image/ab67616d0000b273c6fe2f45af8e75438c4e3de8","1","7","132000","https://p.scdn.co/mp3-preview/ff012a830dd61e45abfaa93832f36004a51ecbff?cid=9950ac751e34487dbbe027c4fd7f8e99","true","15","ITDF61977079","spotify:user:11135692880","2020-05-17T07:41:42Z"
"spotify:track:36jzkozloE2nFefpcJUw32","In peggio - prod. Strage","spotify:artist:0ffKEtMDnROKWyJtXUnLbJ","Dani Faiv","spotify:album:1ciuTRjD5uOeA4txQWuZnF","Scusate","spotify:artist:0ffKEtMDnROKWyJtXUnLbJ","Dani Faiv","2020-04-30","https://i.scdn.co/image/ab67616d0000b273bada514772612acd40239b86","1","1","164746","https://p.scdn.co/mp3-preview/db51fb271c0aab5d91b64683062ce93ad156d283?cid=9950ac751e34487dbbe027c4fd7f8e99","true","27","ITB002000241","spotify:user:11135692880","2020-05-17T07:41:52Z"
"spotify:track:5g3lnGtMq0m30T6xHElZqJ","Cioilflow (feat. Salmo) - prod. Strage","spotify:artist:0ffKEtMDnROKWyJtXUnLbJ, spotify:artist:3hBQ4zniNdQf1cqqo6hzuW","Dani Faiv, Salmo","spotify:album:1ciuTRjD5uOeA4txQWuZnF","Scusate","spotify:artist:0ffKEtMDnROKWyJtXUnLbJ","Dani Faiv","2020-04-30","https://i.scdn.co/image/ab67616d0000b273bada514772612acd40239b86","1","2","186160","https://p.scdn.co/mp3-preview/f9b40e4f7bc67bbca6eb97747a0a1a5ecff72f60?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","ITB002000253","spotify:user:11135692880","2020-05-17T07:41:52Z"
"spotify:track:7irVEmqGdd1eqs7uqLCYKW","Polvere e detriti (feat. Jake La Furia) - prod. Kanesh","spotify:artist:0ffKEtMDnROKWyJtXUnLbJ, spotify:artist:6JFRI91YaCXREGQYzHSnUH","Dani Faiv, Jake La Furia","spotify:album:1ciuTRjD5uOeA4txQWuZnF","Scusate","spotify:artist:0ffKEtMDnROKWyJtXUnLbJ","Dani Faiv","2020-04-30","https://i.scdn.co/image/ab67616d0000b273bada514772612acd40239b86","1","3","237200","https://p.scdn.co/mp3-preview/c395f4087fec9a04559215c9cdce730b86588b82?cid=9950ac751e34487dbbe027c4fd7f8e99","true","26","ITB002000254","spotify:user:11135692880","2020-05-17T07:41:52Z"
