"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:2ihCaVdNZmnHZWt0fvAM7B","Little Talks","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","spotify:album:4p9dVvZDaZliSjTCbFRhJy","My Head Is An Animal","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","2012-01-01","https://i.scdn.co/image/ab67616d0000b273cb3f67e8026e2e493a1e8262","1","6","266600","https://p.scdn.co/mp3-preview/a5dad05d521739606a83da0f00d3dc48344c6d77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USUM71119106","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6PwjJ58I4t7Mae9xfZ9l9v","Somebody Told Me","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","spotify:album:4piJq7R3gjUOxnYs6lDCTg","Hot Fuss","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","2004","https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d","1","4","197200","https://p.scdn.co/mp3-preview/9d5dccc54383f11aace0193ad05d28f6573be190?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USIR20400195","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1jJci4qxiYcOHhQR247rEU","Kids","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:6mm1Skz3JE6AXneya9Nyiv","Oracular Spectacular","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2007-12-14","https://i.scdn.co/image/ab67616d0000b2738b32b139981e79f2ebe005eb","1","5","302840","https://p.scdn.co/mp3-preview/efb065069d22384206b0fc703c6f99734d33411d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USSM10702135","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2aibwv5hGXSgw7Yru8IYTO","Snow (Hey Oh)","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:7xl50xr9NDkd3i2kBbzsNZ","Stadium Arcadium","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2006-05-09","https://i.scdn.co/image/ab67616d0000b27309fd83d32aee93dceba78517","1","2","334666","https://p.scdn.co/mp3-preview/d1e419a7f2aa9ba761be88802dbd3560b8f99776?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USWB10601591","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0ntQJM78wzOLVeCUAW7Y45","Sex on Fire","spotify:artist:2qk9voo8llSGYcZ6xrBzKx","Kings of Leon","spotify:album:5CZR6ljD0x9fTiS4mh9wMp","Only By The Night","spotify:artist:2qk9voo8llSGYcZ6xrBzKx","Kings of Leon","2008-09-23","https://i.scdn.co/image/ab67616d0000b2732519d01c0cca06f134eeadd8","1","3","203346","https://p.scdn.co/mp3-preview/6806855988e246016413cc8a34a2afe862f3988d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USRC10800300","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7BHPGtpuuWWsvE7cCaMuEU","Naive","spotify:artist:1GLtl8uqKmnyCWxHmw9tL4","The Kooks","spotify:album:03JPFQvZRnHHysSZrSFmKY","Inside In / Inside Out","spotify:artist:1GLtl8uqKmnyCWxHmw9tL4","The Kooks","2006-01-01","https://i.scdn.co/image/ab67616d0000b27363a28c5ecb7b13e9b329fe47","1","9","203506","https://p.scdn.co/mp3-preview/88783774f8fcfae47cb1d5ba727b203a805d9e1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBAAA0500836","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2fAIfPLrPUTW1AmJRR428Q","Ruby","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","spotify:album:4J2DGuw6IwLdEwQL94msiU","Yours Truly, Angry Mob","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","2007-01-01","https://i.scdn.co/image/ab67616d0000b2732f8974892b3dcc162d1a3686","1","1","204200","https://p.scdn.co/mp3-preview/e3bdd8e0b4eba3a9b3c3e46da3231c7142474701?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBDVX0600080","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6fNhZRFEkBfgW39W3wKARJ","Pompeii","spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc","Bastille","spotify:album:1jUoeAbO2HCADZ1uiyLYIo","Bad Blood","spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc","Bastille","2013-01-01","https://i.scdn.co/image/ab67616d0000b273b89cf022db28fa31376e0ed8","1","1","214147","https://p.scdn.co/mp3-preview/18da10d3596cdce4434dbeebf94fc75790217d50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBAAA1200795","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:003vvx7Niy0yvhvHt4a68B","Mr. Brightside","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","spotify:album:4piJq7R3gjUOxnYs6lDCTg","Hot Fuss","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","2004","https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d","1","2","222973","https://p.scdn.co/mp3-preview/848b1bd5544e82f62f9cfcec65362d0f5369781f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USIR20400274","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:67WTwafOMgegV6ABnBQxcE","Some Nights","spotify:artist:5nCi3BB41mBaMH9gfr6Su0","fun.","spotify:album:7m7F7SQ3BXvIpvOgjW51Gp","Some Nights","spotify:artist:5nCi3BB41mBaMH9gfr6Su0","fun.","2012-02-14","https://i.scdn.co/image/ab67616d0000b273a036e1724bc7f2bab15cfda8","1","2","277040","https://p.scdn.co/mp3-preview/270d1a141e0493689e31d43c42b464e23583b820?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USAT21104050","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7MXlTgQeo3IVlMpLnZuhxc","It's Time","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:6nxDQi0FeEwccEPJeNySoS","Night Visions","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-09-04","https://i.scdn.co/image/ab67616d0000b273407bd04707c463bbb3410737","1","3","240306","https://p.scdn.co/mp3-preview/390931351d05dfaf8a423f0981d1dc754f02a353?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USUM71200987","spotify:user:","1970-01-01T00:00:00Z"
