"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:3R6dPfF2yBO8mHySW1XDAa","Solo Dance","spotify:artist:4ehtJnVumNf6xzSCDk8aLB","Martin Jensen","spotify:album:7J6SYqcOQ705IYA0DUec38","Solo Dance","spotify:artist:4ehtJnVumNf6xzSCDk8aLB","Martin Jensen","2016-11-04","https://i.scdn.co/image/ab67616d0000b2736b5f7f452f8443896ab8347c","1","1","174933","https://p.scdn.co/mp3-preview/bc167a00bd4177368f5c68e567ab9e0291c95301?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","DK4YA1610901","spotify:user:11135692880","2017-04-29T01:17:13Z"
"spotify:track:5tf1VVWniHgryyumXyJM7w","Sugar (feat. Francesco Yates)","spotify:artist:3t5xRXzsuZmMDkQzgOX35S, spotify:artist:5X1JzPIIonP3u9lA580pPT","Robin Schulz, Francesco Yates","spotify:album:5XyJzEROSmup2TcWmVjTIt","Sugar","spotify:artist:3t5xRXzsuZmMDkQzgOX35S","Robin Schulz","2015-09-25","https://i.scdn.co/image/ab67616d0000b2733c9047f9aa5d0d1e03827039","1","2","219043","https://p.scdn.co/mp3-preview/702017a73955b159f7da9108fff25bcac045b8d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","DEA621501057","spotify:user:11135692880","2017-04-29T01:17:30Z"
"spotify:track:0uVyZywUNOp6S0dU5r8TS8","Prayer in C - Robin Schulz Radio Edit","spotify:artist:50OApTJurDusIo9dGTqSU4, spotify:artist:3t5xRXzsuZmMDkQzgOX35S","Lilly Wood and The Prick, Robin Schulz","spotify:album:1SrvubPy1Dg2BWJyTMcmgr","Prayer","spotify:artist:3t5xRXzsuZmMDkQzgOX35S","Robin Schulz","2014-09-16","https://i.scdn.co/image/ab67616d0000b273ec67f6776573462a1ad9ee2d","1","1","189399","https://p.scdn.co/mp3-preview/decf568095bab0c78ac54ce42546580800251802?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","DEA621400286","spotify:user:11135692880","2017-04-29T01:17:30Z"
"spotify:track:0tDC3KJPPu5eonGTtCURpq","Headlights (feat. Ilsey)","spotify:artist:3t5xRXzsuZmMDkQzgOX35S, spotify:artist:2ZKzqJz3pPfWKVRgz9b39j","Robin Schulz, Ilsey","spotify:album:5XyJzEROSmup2TcWmVjTIt","Sugar","spotify:artist:3t5xRXzsuZmMDkQzgOX35S","Robin Schulz","2015-09-25","https://i.scdn.co/image/ab67616d0000b2733c9047f9aa5d0d1e03827039","1","1","209208","https://p.scdn.co/mp3-preview/111e0cf465a46206fe1c61a2ba8fe18a367d0b29?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","DEA621500407","spotify:user:11135692880","2017-04-29T01:17:30Z"
"spotify:track:4zLBcDtvYNVtF9fnG6lme3","Sun Goes Down (feat. Jasmine Thompson) - Radio Mix","spotify:artist:3t5xRXzsuZmMDkQzgOX35S, spotify:artist:2TL8gYTNgD6nXkyuUdDrMg","Robin Schulz, Jasmine Thompson","spotify:album:1SrvubPy1Dg2BWJyTMcmgr","Prayer","spotify:artist:3t5xRXzsuZmMDkQzgOX35S","Robin Schulz","2014-09-16","https://i.scdn.co/image/ab67616d0000b273ec67f6776573462a1ad9ee2d","1","3","179960","https://p.scdn.co/mp3-preview/d7adcc0e1c18d1476c9c37dbaae76ed8371a7147?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","DEA621400666","spotify:user:11135692880","2017-04-29T01:18:11Z"
"spotify:track:4yZYf0wAozcCA2LOTV2nyq","Reality (feat. Janieck Devy)","spotify:artist:7f5Zgnp2spUuuzKplmRkt7, spotify:artist:5gtYjyZlmPOc1lLHvYzCON","Lost Frequencies, Janieck Devy","spotify:album:11Y5SOrTYwKVxrSYpA2GQu","Less is More","spotify:artist:7f5Zgnp2spUuuzKplmRkt7","Lost Frequencies","2016-10-21","https://i.scdn.co/image/ab67616d0000b2734d18b35912a61cb0ef1bf49e","1","5","158474","https://p.scdn.co/mp3-preview/9f5bf8bb09f339521222af289b12688b17a05689?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ITL019700682","spotify:user:11135692880","2017-04-29T01:19:51Z"
"spotify:track:5dHlSHMpTEr202XCEwpeE3","Are You With Me","spotify:artist:7f5Zgnp2spUuuzKplmRkt7","Lost Frequencies","spotify:album:11Y5SOrTYwKVxrSYpA2GQu","Less is More","spotify:artist:7f5Zgnp2spUuuzKplmRkt7","Lost Frequencies","2016-10-21","https://i.scdn.co/image/ab67616d0000b2734d18b35912a61cb0ef1bf49e","1","12","138842","https://p.scdn.co/mp3-preview/b35aeeb23f7bea0cfdd3d1b8c1b787f4a99231f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","NLF711403495","spotify:user:11135692880","2017-04-29T01:19:51Z"
"spotify:track:5masKPHeAOVNgxdLebIcK7","Stole the Show","spotify:artist:23fqKkggKUBHNkbKtXEls4, spotify:artist:48sLioddyaXkuhyHXSkpsB","Kygo, Parson James","spotify:album:0uMIzWh1uEpHEBell4rlF8","Cloud Nine","spotify:artist:23fqKkggKUBHNkbKtXEls4","Kygo","2016-05-13","https://i.scdn.co/image/ab67616d0000b27335590cb9280d5a1f5221ae1a","1","2","223186","https://p.scdn.co/mp3-preview/a012e893a15229bf45f75b7bede0122e75d5adbd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","SEBGA1500071","spotify:user:11135692880","2017-04-29T01:21:14Z"
"spotify:track:1I8tHoNBFTuoJAlh4hfVVE","Firestone","spotify:artist:23fqKkggKUBHNkbKtXEls4, spotify:artist:1rw8ZTLnDHd74TWDDukjVi","Kygo, Conrad Sewell","spotify:album:0uMIzWh1uEpHEBell4rlF8","Cloud Nine","spotify:artist:23fqKkggKUBHNkbKtXEls4","Kygo","2016-05-13","https://i.scdn.co/image/ab67616d0000b27335590cb9280d5a1f5221ae1a","1","5","271640","https://p.scdn.co/mp3-preview/fdc52b388511ac852714c41e37ade2cb51178716?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","SEBGA1400887","spotify:user:11135692880","2017-04-29T01:21:14Z"
"spotify:track:2Vhd5uZB4brKHmM0MNxkZo","Raging (feat. Kodaline)","spotify:artist:23fqKkggKUBHNkbKtXEls4, spotify:artist:4BxCuXFJrSWGi1KHcVqaU4","Kygo, Kodaline","spotify:album:0uMIzWh1uEpHEBell4rlF8","Cloud Nine","spotify:artist:23fqKkggKUBHNkbKtXEls4","Kygo","2016-05-13","https://i.scdn.co/image/ab67616d0000b27335590cb9280d5a1f5221ae1a","1","4","224486","https://p.scdn.co/mp3-preview/993826e96b9ae14242ac632fb3a86f0923ca424f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","SEBGA1600314","spotify:user:11135692880","2017-04-29T01:21:14Z"
