"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:2gqaJ48CQwyIEaQ4bLjT5i","Collana di Perle","spotify:artist:2AtGepWdw4TVBnE8cBszuL","Lanz Khan","spotify:album:6o0QSIkwI5zIvZ3jmuoCXH","Collana di perle","spotify:artist:2AtGepWdw4TVBnE8cBszuL","Lanz Khan","2021-02-22","https://i.scdn.co/image/ab67616d0000b273bcce0a8296f5fb94c7814359","1","4","224761","https://p.scdn.co/mp3-preview/d8b8cc33ebfee453dd718559721e283905b9090b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","ITB552116270","spotify:user:11135692880","2023-12-05T00:56:36Z"
"spotify:track:4mncSQeYC7c8J95glrH4LU","No Kizzy","spotify:artist:5PVCzkHVhVLRLadPdJUdXB, spotify:artist:0EUR8jz8L936AEbV2Spkca","18K, Kid Yugi","spotify:album:6mCi8Jod1d0F5U4AnF2Ziz","GROTTO","spotify:artist:5PVCzkHVhVLRLadPdJUdXB","18K","2022-10-14","https://i.scdn.co/image/ab67616d0000b273d45f5f547d26b627aec752e0","1","10","188460","https://p.scdn.co/mp3-preview/7e2e13c8d625a81b4d0a8e4be000f206f42c8dc4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","ITZRF2200039","spotify:user:11135692880","2023-12-05T00:56:36Z"
"spotify:track:3duAuWPGIhgsx5aJZRfx6E","Calimero (dNoise)","spotify:artist:2u9Wpl7T6gCu1t3ymd6aXL","IRBIS","spotify:album:3zTbuvdzrlTbE7XsNFhnGZ","Calimero (dNoise)","spotify:artist:2u9Wpl7T6gCu1t3ymd6aXL","IRBIS","2018-03-24","https://i.scdn.co/image/ab67616d0000b2739a23d998071b77f9505bf70f","1","1","155088","https://p.scdn.co/mp3-preview/1888c3eb1b8dd203f2901d2ed1cab226816bc930?cid=9950ac751e34487dbbe027c4fd7f8e99","true","14","QZBRF1882490","spotify:user:11135692880","2023-12-05T00:56:36Z"
"spotify:track:5lplLpXqbf51XmAtaPWvTx","Anestetico (feat. Mezzosangue)","spotify:artist:3av6zIgtT4g0kjJtDybSdb, spotify:artist:63isdzBiMOaYkMiX6XddfB","Johnny Marsiglia, Mezzosangue","spotify:album:1UZUZ2zX7x2g1SGL4gGzxX","GARA 7","spotify:artist:3av6zIgtT4g0kjJtDybSdb","Johnny Marsiglia","2023-06-16","https://i.scdn.co/image/ab67616d0000b273e91ad68b3c1fb166eb0a38b1","1","12","228706","https://p.scdn.co/mp3-preview/5e7331234a86cad530ea65237126ad7fea49f34d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","28","ITIDP2300013","spotify:user:11135692880","2023-12-05T00:56:36Z"
"spotify:track:7kY8rluA9SiBKw2QWq9s3L","Fiori Blu","spotify:artist:7djBWDVQvjaDbC8rSilpLC, spotify:artist:5appupCr1pI8I1k3AWstc6, spotify:artist:0zY3rKlVW1d0tMW7gZyX3T","Armani Doc, Garelli, ThinkFast","spotify:album:4PeFzkZFoR3WBkA8yVdxRa","Fiori Blu","spotify:artist:7djBWDVQvjaDbC8rSilpLC, spotify:artist:5appupCr1pI8I1k3AWstc6, spotify:artist:0zY3rKlVW1d0tMW7gZyX3T","Armani Doc, Garelli, ThinkFast","2023-06-07","https://i.scdn.co/image/ab67616d0000b27370c4a6750b5487b87bc7f914","1","4","229214","https://p.scdn.co/mp3-preview/f8e922980a494912273424dd0a60e1d2d0f2d563?cid=9950ac751e34487dbbe027c4fd7f8e99","true","6","FRX762374272","spotify:user:11135692880","2023-12-05T00:56:36Z"
"spotify:track:2KG5rI35fYx2JCMRM8xRBi","Bar Pensieri","spotify:artist:4v96hNMQEB8vDiVEeX91Dg, spotify:artist:7ulMUYKSjm1P2dECxip7dS","RICHIE!, UNDICI","spotify:album:2qBjgCxBrzlLFEYorDJIb5","Bar Pensieri","spotify:artist:4v96hNMQEB8vDiVEeX91Dg","RICHIE!","2023-05-19","https://i.scdn.co/image/ab67616d0000b2730fa32dfb3ebd5e8178316406","1","1","180039","https://p.scdn.co/mp3-preview/b27bc05b0705cf7e7e8d66d95d143d956fae81b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZK6P2370303","spotify:user:11135692880","2023-12-05T00:56:36Z"
"spotify:track:29cNIWFw9RJzd4OXsJLCNB","Radical","spotify:artist:5RUZs42sw44u16SpQQvubK","Giuse The Lizia","spotify:album:7lg6FSoBd77TI3KViyOPoT","Radical","spotify:artist:5RUZs42sw44u16SpQQvubK","Giuse The Lizia","2023-09-27","https://i.scdn.co/image/ab67616d0000b27382d095a4dedf09eed8d5a952","1","1","179550","https://p.scdn.co/mp3-preview/cc54a62cabf44cc7bf9a7643bf4adddb90f6a079?cid=9950ac751e34487dbbe027c4fd7f8e99","true","40","IT8U12300025","spotify:user:11135692880","2023-12-05T00:56:36Z"
"spotify:track:7Lf6L3PBhMcSVTIjxEhtWB","DOVE SEI","spotify:artist:6y3YL8atGp96e9pvlB3snd, spotify:artist:3MYT2UTOP4RHngspyochga","Faster, JXN","spotify:album:5K6rOCFPtt6Gdv6YHaPC2x","ONIRO","spotify:artist:6y3YL8atGp96e9pvlB3snd, spotify:artist:3MYT2UTOP4RHngspyochga","Faster, JXN","2021-06-25","https://i.scdn.co/image/ab67616d0000b273a9ea0f10cea8b1776baa0725","1","4","174720","https://p.scdn.co/mp3-preview/6a18775215017a804f49b4877e801aae67b2aeee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","IT2J82100027","spotify:user:11135692880","2023-12-05T00:56:36Z"
"spotify:track:4BGBqEVeu8njIm04eBg0Pk","Bambina","spotify:artist:2u9Wpl7T6gCu1t3ymd6aXL","IRBIS","spotify:album:5ZxFmTG5VYe0clpDkpfEpz","Boccadoro","spotify:artist:2u9Wpl7T6gCu1t3ymd6aXL","IRBIS","2018-04-09","https://i.scdn.co/image/ab67616d0000b27377a10303c2fb50b18c04897b","1","1","159230","https://p.scdn.co/mp3-preview/1d6a2d9685c182e0deca8a0a9669d69277cdc2d3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","16","QM4DW1834999","spotify:user:11135692880","2023-12-05T00:56:36Z"
"spotify:track:3kMqBRpIYXKTp1wsaJtOx4","F.I.E.N.D.S.","spotify:artist:5qkSgK2UUXXa0DDBks4vqt, spotify:artist:3hCo0MeLrjAvQxAzPknjhK","Carlo Corallo, Mattak","spotify:album:0pbaxeBm7EGjfBiiuD0LyE","Quando le canzoni finiscono","spotify:artist:5qkSgK2UUXXa0DDBks4vqt","Carlo Corallo","2022-03-25","https://i.scdn.co/image/ab67616d0000b27355a7d5b6760b94149bde621c","1","9","224516","https://p.scdn.co/mp3-preview/f45bcf6551ea493c084154332c791fdc9732423d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","ITSXH2200010","spotify:user:11135692880","2023-12-05T00:56:36Z"
