"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:2CPrEJ9AkeNcGhj3PPtQX2","CHICCHI DI MAIS","spotify:artist:57XSE1wSSI6Xnpx6LMWAKN, spotify:artist:10MRM6SOHyREmzwlDFbXof","Promessa, IDUA","spotify:album:7i3XfESmxvRbqhUAJrrehb","DANZA DEL GRANO","spotify:artist:57XSE1wSSI6Xnpx6LMWAKN","Promessa","2024-03-29","https://i.scdn.co/image/ab67616d0000b273cb78014306781294bdcbca56","1","11","170666","https://p.scdn.co/mp3-preview/51b8ffc0e1646fce0b76c9030a81ab46d7a800be?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","ITOL62400348","spotify:user:","2024-09-29T22:00:00Z"
"spotify:track:4BzKEyCFZzt38i7DFop6sb","Dovremmo Prendere Un Cane","spotify:artist:5eTXC0KSvFWwTT4hTMqa90","Labadessa","spotify:album:3ANxeNDYwckulEwDyASi0x","Dovremmo Prendere Un Cane","spotify:artist:5eTXC0KSvFWwTT4hTMqa90","Labadessa","2019-05-21","https://i.scdn.co/image/ab67616d0000b2738871ff8a2603e69c307720d8","1","1","152241","https://p.scdn.co/mp3-preview/1bab3417a1460db2c8a89ac30f28945c5cd1987c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","31","QZFYW1911977","spotify:user:","2024-09-29T22:00:00Z"
"spotify:track:57Ug0i4wCVeksjL3RH79dT","Vietnam","spotify:artist:5RUZs42sw44u16SpQQvubK, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Giuse The Lizia, Mr. Monkey","spotify:album:0fcCny01PeUIf8JeB9mtbr","Vietnam","spotify:artist:5RUZs42sw44u16SpQQvubK, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Giuse The Lizia, Mr. Monkey","2021-04-27","https://i.scdn.co/image/ab67616d0000b273c3812c5b3a792c826ed24852","1","1","192129","https://p.scdn.co/mp3-preview/4b9662a733a860f5554389420225c4f877aecdac?cid=9950ac751e34487dbbe027c4fd7f8e99","true","36","IT8U12100004","spotify:user:","2024-09-29T22:00:00Z"
"spotify:track:2OwDaBDgiW6E6r1JguSbi9","Quando un giorno tornerai","spotify:artist:6U8aUHDeArzovgvZazAK0z","Stokka & Madbuddy","spotify:album:3F57zSmT6EyCVv3kWmqi4p","Blocknotes","spotify:artist:6U8aUHDeArzovgvZazAK0z","Stokka & Madbuddy","2012-06-22","https://i.scdn.co/image/ab67616d0000b273a23df41daf3461e9a314e1bc","1","18","247600","https://p.scdn.co/mp3-preview/0acb5660246af2c03b5d9d80f70c7c3f9b1f5a57?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","ITC940500319","spotify:user:","2024-09-29T22:00:00Z"
"spotify:track:5TtC2O1iccjwk0BJxmcBSe","Non è abbastanza","spotify:artist:5tBnK7LvBMgvkXuePtfywp, spotify:artist:0L1f9i3L3fkMNENljDOsjG","lowlow, Rocco Hunt","spotify:album:2ZQCbhBvMVqM1gO3ZMy5xX","Metriche, Vol. 2","spotify:artist:5tBnK7LvBMgvkXuePtfywp","lowlow","2016-05-02","https://i.scdn.co/image/ab67616d0000b273940e22e765f20a39f5c9cfb2","1","9","204250","https://p.scdn.co/mp3-preview/e68fd6a744af640bb5045d6b3a0830a384d7876a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","41","IT1071500115","spotify:user:","2024-09-29T22:00:00Z"
"spotify:track:2VWI2jd8qzorAkxp1l1ju2","Euro Sporchi (feat. Silent Bob)","spotify:artist:2I7HXUVJWZJ8mHJq3pOZNt, spotify:artist:2w3jmxjfaLRyLhJ8GfqyiV, spotify:artist:4oEO6Ud3efrjTNSR9SMleI","Incis ZONE, Goss Vinyard, Silent Bob","spotify:album:3q4VZk659YiCdOoel7cdWY","CODICE DA INCIS","spotify:artist:2I7HXUVJWZJ8mHJq3pOZNt, spotify:artist:2w3jmxjfaLRyLhJ8GfqyiV","Incis ZONE, Goss Vinyard","2022-12-02","https://i.scdn.co/image/ab67616d0000b2730134b21d99c48e44efdba325","1","2","157250","https://p.scdn.co/mp3-preview/d3aad5c1c57d58e06af92b9464691e42bc69d846?cid=9950ac751e34487dbbe027c4fd7f8e99","true","40","ITUA12200012","spotify:user:","2024-09-29T22:00:00Z"
"spotify:track:3iHsSe2BFERH5xAIBnNcxg","Fumo e cenere","spotify:artist:5Pp7noxtW19NbiFiZzOZpB, spotify:artist:65U1A6j2pIHfZXLoitJFXz","Michele Venanzoni, Claver Gold","spotify:album:2PNMskPhTsI08X6tvVmKV8","Errare umano","spotify:artist:5Pp7noxtW19NbiFiZzOZpB","Michele Venanzoni","2018-11-14","https://i.scdn.co/image/ab67616d0000b27360dc4924d3a6b86bff8d69d0","1","2","171026","https://p.scdn.co/mp3-preview/77eb27c96eb3732ebd8e530d6e7318c0d18ab4b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","ITRSE1600669","spotify:user:","2024-09-29T22:00:00Z"
"spotify:track:7v8iAdePrZZstcxNhiLpE5","TUTT 'OK","spotify:artist:0ozb4x3nqp8fRb2WRgNKEn, spotify:artist:5Otk4eRecMMbC5YR4Iliou, spotify:artist:1fWDYRSANxGCdDew83u6Wc","Christian Liguori, Le-one, El Chapo Junior","spotify:album:7eEvdgRagpgRWPxjOpXNLQ","TUTT 'OK","spotify:artist:0ozb4x3nqp8fRb2WRgNKEn, spotify:artist:5Otk4eRecMMbC5YR4Iliou, spotify:artist:1fWDYRSANxGCdDew83u6Wc","Christian Liguori, Le-one, El Chapo Junior","2024-08-27","https://i.scdn.co/image/ab67616d0000b27390cca40692da4813f82eecdc","1","1","140307","https://p.scdn.co/mp3-preview/62c3d11da9cbbeff12c366e4ea598a177ca16f50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","TCAIR2440953","spotify:user:","2024-09-29T22:00:00Z"
"spotify:track:54MrGDkliLlPMhqPxaliRC","Scherzo (feat. Massimo Pericolo)","spotify:artist:6758RYtQUoFGOvE0jUxQvK, spotify:artist:1El4YQA8oCXX7ynFSxRTFq","Generic Animal, Massimo Pericolo","spotify:album:1YigLwtwSzGKFsDsWVCLy6","Presto","spotify:artist:6758RYtQUoFGOvE0jUxQvK","Generic Animal","2020-02-20","https://i.scdn.co/image/ab67616d0000b2734fc8ff71f22ba444bc12b5ca","1","4","227280","https://p.scdn.co/mp3-preview/a848b18840b6e413c22957b2f102cac62b2eec4f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","27","ITP841900186","spotify:user:","2024-09-29T22:00:00Z"
"spotify:track:4v2ZL1GVcp2HblPo82VRZi","Tik Tok","spotify:artist:4k6hMjEI3XFfMcRLCa9yd3, spotify:artist:51ltJZ6rB893AdzgCxSOV3, spotify:artist:5gYADZXuZoaJwrwfAPbKuH","Radical, Greg Willen, Rosa Chemical","spotify:album:5YO3TlciSKFSHn4PNdIPcu","Tik Tok","spotify:artist:4k6hMjEI3XFfMcRLCa9yd3, spotify:artist:5gYADZXuZoaJwrwfAPbKuH, spotify:artist:51ltJZ6rB893AdzgCxSOV3","Radical, Rosa Chemical, Greg Willen","2019-08-15","https://i.scdn.co/image/ab67616d0000b273223c05b8823293d180f6a85b","1","1","108063","https://p.scdn.co/mp3-preview/e9a3b87bc2fe59a7e23ff80e45376d45b8d0748d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","ushm81976172","spotify:user:","2024-09-29T22:00:00Z"
"spotify:track:2TfcMUAZ4vH4fTA9eF53v2","Cherofobia","spotify:artist:6Pm0wbsCPotfoZ7tdNO6Or","Martina Attili","spotify:album:0fXtFTHjUkPWfadpDLjuyW","Cherofobia","spotify:artist:6Pm0wbsCPotfoZ7tdNO6Or","Martina Attili","2018-11-23","https://i.scdn.co/image/ab67616d0000b273cffedb97a663ba2d8f571cac","1","1","171711","https://p.scdn.co/mp3-preview/1f098106dfed3bed93b0f869565bd0d536d5fbf4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","ITB001800613","spotify:user:","2024-09-29T22:00:00Z"
"spotify:track:1gqcqbJY50ort83GWbenPY","Sotto i raggi del sole","spotify:artist:0JiM9pPztubs4BdPqaqWn7","Brusco","spotify:album:17GjVKyLD8PhYB8dB8tgFX","Si fa presto a dire... Brusco","spotify:artist:0JiM9pPztubs4BdPqaqWn7","Brusco","2003-09-01","https://i.scdn.co/image/ab67616d0000b27388d06b9d9e53904486302676","1","2","186013","https://p.scdn.co/mp3-preview/f93dfbb2524f75bdcf5ecbd8814ff194d6d69407?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","ITL771903309","spotify:user:","2024-09-29T22:00:00Z"
