"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:5A0u3u09y7aSRgkoQ3YkkI","All'alba Sorgerò - di ""Frozen: Il Regno di Ghiaccio""/Colonna Sonora Originale","spotify:artist:3W4DyqpMjeSea3tV0tYZ67","Serena Autieri","spotify:album:2tNtI2r2SvhgQBU7Qzrq1N","Frozen: Il Regno di Ghiaccio - Colonna Sonora Originale/Deluxe Edition","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2013-01-01","https://i.scdn.co/image/ab67616d0000b2732f3380e146541cd369b2ffaa","1","5","224040","https://p.scdn.co/mp3-preview/6b8d2e9b221f7ea86a433ae80c563d488f344f74?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USWD11366447","spotify:user:11135692880","2024-07-27T22:29:09Z"
"spotify:track:2mNGJ3ULG5abS6llFjVt8Z","Oltre l'orizzonte - di ""Oceania""/Colonna Sonora Originale","spotify:artist:5nDEqav82qoReyDvxDs0l8","Chiara Grispo","spotify:album:4UKgY7QvwJwfEVqjYnOtVV","Moana/Vaiana/Oceania Multi-Language Songs, Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2016-12-16","https://i.scdn.co/image/ab67616d0000b27372a9e2fc35be84d62e044906","1","12","163386","https://p.scdn.co/mp3-preview/eb2e9b1a2b649e248ac407294a8009171e7b78ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USWD11678195","spotify:user:11135692880","2024-07-27T22:29:09Z"
"spotify:track:1d36tpKpByF5Wcndsqr4Bq","Farò di Te un Uomo","spotify:artist:2fiI8z6Gud1cfPBBUNXqpg, spotify:artist:2eJAB26hKyhjrMT0dmAuwm, spotify:artist:4e1ovRuN0EfLfFn5Pd0lGC, spotify:artist:7g553b3GtzaRGMs42HRRUP, spotify:artist:4Y8mhvWTaw8WF3SL6Gurk4, spotify:artist:36S4IuGrv4jCBEHQNO1VgC","S Pozzoli, V Matteucci, V Giannetti, G Giannolla, M Cataldi, E Papi","spotify:album:7GNc6okTFaZGLeuNU3JYbx","Mulan (Colonna Sonora Originale)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","1998-01-01","https://i.scdn.co/image/ab67616d0000b273f6aeefebb0716ee772e9b02d","1","5","201626","https://p.scdn.co/mp3-preview/ec036d5713d0cad1a9d2ba71d792bd983d535029?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USWD10526285","spotify:user:11135692880","2024-07-27T22:29:09Z"
"spotify:track:7HGltJJlC98GEjzsMRtpeD","Voglio Diventare Presto un Re","spotify:artist:05ALRM0xPk84q2U0jT1NEn, spotify:artist:2ZjgJAlKKCunmOO7up9ivl, spotify:artist:4NpKKMsMMOK5k2ljYjOPlM","George Castiglia, Perla Liberatori, Roberto Del Giudice","spotify:album:2pt89OAqjTL0f1z3w0KQNS","Il Re Leone (Edizione Speciale/Colonna Sonora Originale)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2003-01-01","https://i.scdn.co/image/ab67616d0000b273f9d8f6427eee255e5eb08ce7","1","2","171641","https://p.scdn.co/mp3-preview/55dcf5f9aaf74ce234db1f242141cd1a152c8242?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USWD10524317","spotify:user:11135692880","2024-07-27T22:29:09Z"
"spotify:track:4qrvyzq4D8nBLniwm1k1EN","Un sogno splende in me","spotify:artist:1FpNR2qaSG1EcxUcZv3CcU","Gaia","spotify:album:4dvcMDxKb4zT3k1oZCa4jp","Wish (Colonna Sonora Originale)","spotify:artist:0ZED1XzwlLHW4ZaG4lOT6m, spotify:artist:5OLl3QAQOcnab5ofRR05jM","Julia Michaels, Wish - Cast","2023-11-17","https://i.scdn.co/image/ab67616d0000b27354e09fb20a262af42ee41cef","1","3","205480","https://p.scdn.co/mp3-preview/3a545e3c0ac2fa528694605336d2794b14c7aa17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","USWD12329427","spotify:user:11135692880","2024-07-27T22:29:09Z"
"spotify:track:0nyHkVCyWOy3N1XzHXDah7","In Fondo Al Mar - di ""La Sirenetta""/Colonna Sonora Originale","spotify:artist:3X9Y3dWCa9EZFAyhFkftF7","Ronny Grant","spotify:album:0jLgMvzO7GBMAYVVgCT05Y","La Sirenetta (Colonna Sonora Originale)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","1989-01-01","https://i.scdn.co/image/ab67616d0000b273169c8d18eef3d7ec4626a15b","1","6","194493","https://p.scdn.co/mp3-preview/1542e8dd9206d20739acdac6659f24c7f1fcd816?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USWD10525162","spotify:user:11135692880","2024-07-27T22:29:09Z"
"spotify:track:2PIQEyapdxvzPehxhjYbsg","Sarò Re","spotify:artist:3OIPwMAZipDCLQwHmxS5EG, spotify:artist:1X5j4bH14OJi52Gz2vmGjN, spotify:artist:7tk0RaU8TtR9gjeT4h37W5, spotify:artist:1TRx1Hdp4aiiK7ka5nMnpD","Jim Cummings, Tullio Solenghi, Marco Guadagno, Rita Savagnone","spotify:album:2pt89OAqjTL0f1z3w0KQNS","Il Re Leone (Edizione Speciale/Colonna Sonora Originale)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2003-01-01","https://i.scdn.co/image/ab67616d0000b273f9d8f6427eee255e5eb08ce7","1","3","219320","https://p.scdn.co/mp3-preview/dcef8bf99960c49dc3143773c709c249543ccfd2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","USWD10524318","spotify:user:11135692880","2024-07-27T22:29:09Z"
"spotify:track:2wTWsIipb4bKBYeR5k4BoG","Il Mondo è Mio","spotify:artist:77cXewlG93uUn26YCoxIrP, spotify:artist:1sHJcNKCBu1QUmOHFeAtMm","Vincent Thoma, Cristina ","spotify:album:39zDbZ09dsq0g0OHRpW90b","Aladdin (Colonna Sonora Originale)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","1992-10-27","https://i.scdn.co/image/ab67616d0000b273eb2bf51cb0336fcbb524f8eb","1","9","159560","https://p.scdn.co/mp3-preview/02f1e2cbd7c890346a598b169b6074f3a63fdc07?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USWD10526539","spotify:user:11135692880","2024-07-27T22:29:09Z"
"spotify:track:22uWMEnDVFutka0oUljc9v","Hakuna Matata - Di ""Il Re Leone""/Colonna Sonora Originale","spotify:artist:6Jat7GgtxdqxpN0mD43DQu, spotify:artist:2atY8wkDSx53DvjIX7jrhi","Augusto Giardino, Roberto Stafoggia","spotify:album:2pt89OAqjTL0f1z3w0KQNS","Il Re Leone (Edizione Speciale/Colonna Sonora Originale)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2003-01-01","https://i.scdn.co/image/ab67616d0000b273f9d8f6427eee255e5eb08ce7","1","4","212466","https://p.scdn.co/mp3-preview/8dfacac0dbb86cdf95bfb02c86d64821c0f4969e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USWD10524319","spotify:user:11135692880","2024-07-27T22:29:09Z"
"spotify:track:4Db7CuFXtx4bdENzg3rDZO","Il Principe Ali","spotify:artist:4aztUD9n74oCxu7ss8C8UD","Gigi Proietti","spotify:album:39zDbZ09dsq0g0OHRpW90b","Aladdin (Colonna Sonora Originale)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","1992-10-27","https://i.scdn.co/image/ab67616d0000b273eb2bf51cb0336fcbb524f8eb","1","8","170733","https://p.scdn.co/mp3-preview/cc33c635fe5661a1405d9ee26c4423877623f3f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USWD10526538","spotify:user:11135692880","2024-07-27T22:29:09Z"
"spotify:track:7nNytD1sr7zFhLEZSPPVxo","Tranquilla! - Da ""Oceania""/Colonna Sonora Originale","spotify:artist:15kQ81uv3kFDZOOL7Icmqb","Fabrizio Vidale","spotify:album:4UKgY7QvwJwfEVqjYnOtVV","Moana/Vaiana/Oceania Multi-Language Songs, Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2016-12-16","https://i.scdn.co/image/ab67616d0000b27372a9e2fc35be84d62e044906","1","15","163893","https://p.scdn.co/mp3-preview/b7d2cb37168066f12fb9042fe4e8ff19167f38b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USWD11678198","spotify:user:11135692880","2024-07-27T22:29:09Z"
