"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:1chDsInt436ua2I0Owh8AZ","Earthquake - Edit (Explicit)","spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:6r20qOqY7qDWI0PPTxVMlC, spotify:artist:6e9YXVneoNtzARrkVUauiz","Diplo, DJ Fresh, Dominique Young Unique","spotify:album:7B9yGCjhUCT4TGETSQtRKo","Earthquake (DJ Fresh vs. Diplo) [feat. Dominique Young Unique]","spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:6r20qOqY7qDWI0PPTxVMlC","Diplo, DJ Fresh","2013-08-18","https://i.scdn.co/image/ab67616d0000b273281e334fdf1fe98c024b95e1","1","1","189994","","false","0","GBCEN1300369","spotify:user:pivimkh","2015-01-04T03:05:36Z"
"spotify:track:7ifq3etzDP60X1IRaFVngl","Tarantula - Original Mix","spotify:artist:7MqnCTCAX6SsIYYdJCQj9B","Pendulum","spotify:album:4FAfNNU21dqtKKhHWB2eOa","Hold Your Colour","spotify:artist:7MqnCTCAX6SsIYYdJCQj9B","Pendulum","2007-05-19","https://i.scdn.co/image/ab67616d0000b273487372b5d0b01811f54fe662","1","8","331240","https://p.scdn.co/mp3-preview/e638b5a20187b995148cbda5fed14176d54ec176?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBKBH0502208","spotify:user:pivimkh","2015-01-04T03:05:41Z"
"spotify:track:1Uskryv0fL3UjVfMiXdTGU","Louder - Radio Edit","spotify:artist:6r20qOqY7qDWI0PPTxVMlC, spotify:artist:2DTw633fgdoxrqv7uPdcCw","DJ Fresh, Sian Evans","spotify:album:04xDQsUCLQ42cy1ErCMM84","Nextlevelism (Deluxe Version)","spotify:artist:6r20qOqY7qDWI0PPTxVMlC","DJ Fresh","2012-10-01","https://i.scdn.co/image/ab67616d0000b27393fcf65d42795ab2fdd05cf6","1","1","208627","https://p.scdn.co/mp3-preview/f282df937938db8b55102fba652e9d4d6500ea00?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCEN1101013","spotify:user:pivimkh","2015-01-04T03:05:50Z"
"spotify:track:5wy6zXyYYYVF25OEyZgU8y","The Edge","spotify:artist:4xQ2BGOBUXgjxO2PAhrIyS, spotify:artist:6r20qOqY7qDWI0PPTxVMlC","Ayah Marar, DJ Fresh","spotify:album:04xDQsUCLQ42cy1ErCMM84","Nextlevelism (Deluxe Version)","spotify:artist:6r20qOqY7qDWI0PPTxVMlC","DJ Fresh","2012-10-01","https://i.scdn.co/image/ab67616d0000b27393fcf65d42795ab2fdd05cf6","1","5","202640","https://p.scdn.co/mp3-preview/f4323dbb7ac0ea57c2c8e7d3757fbf9dd270ef66?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCEN1201106","spotify:user:pivimkh","2015-01-04T03:05:56Z"
"spotify:track:4t80TQHYdtzwnUGBQC4yL1","All Or Nothing (feat. Diplo & Bunji Garlin)","spotify:artist:134GdR5tUtxJrf8cpsfpyY, spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:6nPHDCN7qmxO86eN1grP54","Elliphant, Diplo, Bunji Garlin","spotify:album:5lxQSbT8sQ4aUuv3dzshG4","Look Like You Love It","spotify:artist:134GdR5tUtxJrf8cpsfpyY","Elliphant","2014-04-01","https://i.scdn.co/image/ab67616d0000b27347e5a2b8ef400000bb4b094b","1","2","174165","https://p.scdn.co/mp3-preview/5b67937b5c26900dda9171af5791f656c8eb1193?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","USQX91302850","spotify:user:pivimkh","2015-01-04T03:06:59Z"
"spotify:track:18rDGEpDdyCaxqFrvjc4yv","Boy Oh Boy","spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:6M7RdR9ZP52h2mfNLmiHtU","Diplo, Good Times Ahead","spotify:album:4J33v6bVjOoyOrMIC3EAqW","Random White Dude Be Everywhere","spotify:artist:5fMUXHkw8R8eOP2RNVYEZX","Diplo","2014-07-29","https://i.scdn.co/image/ab67616d0000b273b68a4fe9961614714d03251a","1","5","174398","https://p.scdn.co/mp3-preview/d3d2a046190767c54313679463752332d32dd5df?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USZ4V1300276","spotify:user:pivimkh","2015-01-04T03:07:10Z"
"spotify:track:4NZg8df9BxJ6spPDnr6Z9T","Rollup - Baauer Remix","spotify:artist:2FmzVitXZjIkFolH8HXd4j","Flosstradamus","spotify:album:1pLo9QTyw1PgVaLbJNomPh","Ultra Trap","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2013-05-31","https://i.scdn.co/image/ab67616d0000b273d0949da371afdd7770930237","1","4","191053","https://p.scdn.co/mp3-preview/55a0d7f40608d7c84d3cbe1ec64e51cbdc949d51?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QMSDU1200100","spotify:user:pivimkh","2015-01-04T03:07:23Z"
"spotify:track:7FwsJLYnRNboaN7suQQePz","I.D.G.A.F.O.S.","spotify:artist:5R3Hr2cnCCjt220Jmt2xLf","Dillon Francis","spotify:album:2uOhp9nyBgEH3VGG2BOMlj","I.D.G.A.F.O.S.","spotify:artist:5R3Hr2cnCCjt220Jmt2xLf","Dillon Francis","2011-10-18","https://i.scdn.co/image/ab67616d0000b2732685e8a977ae95366c332b22","1","1","248727","https://p.scdn.co/mp3-preview/4e0e41271faed98c6e3d4f48760ff3fb78b0a60f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USZ4V1100091","spotify:user:pivimkh","2015-01-04T03:08:51Z"
"spotify:track:1JWy1Npfg39RdcLDfn6pXq","Running Low (feat. Beth Ditto)","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP, spotify:artist:7y8lzaGqtadGmtAtg2SGv4","Netsky, Beth Ditto","spotify:album:3hRAXEx0ahpZua6njjO1V8","Running Low (feat. Beth Ditto)","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2014-07-11","https://i.scdn.co/image/ab67616d0000b2731b2fca0b832170691e5d41ce","1","1","204506","https://p.scdn.co/mp3-preview/53e96f40575f9d13ad0eb7177112e825eb43adb8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","GBARL1400756","spotify:user:pivimkh","2015-01-04T03:09:26Z"
"spotify:track:2s754sU58bMMgsNsX2PuwK","Come Alive","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:0nK9AwR0NtXRF3aw0retF9","Come Alive","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2012-01-01","https://i.scdn.co/image/ab67616d0000b273e78ef3ae57e0417496cd056d","1","2","250240","https://p.scdn.co/mp3-preview/474d26050f90a889433f0f284ba084631e66b363?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1200116","spotify:user:pivimkh","2015-01-04T03:09:35Z"
"spotify:track:1CjPksPqtISBIWkxb9Xj75","Give & Take","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:5dDshL9BBsQNA1uX57aefz","Give & Take","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2012-02-26","https://i.scdn.co/image/ab67616d0000b273dce3962e097913c515ee2b05","1","1","252342","https://p.scdn.co/mp3-preview/9a40097e16bdb2aafdf252fca26e06a9f53b32a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1100197","spotify:user:pivimkh","2015-01-04T03:09:38Z"
"spotify:track:4n3uN2tCNDQaE3SUuF5Hjv","Your Way","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:7COgJTTuXB85D7eRxmxI26","Your Way / Daydreamin","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2010-04-26","https://i.scdn.co/image/ab67616d0000b273fdb3fee1e07ba9a1a71797c4","1","1","360000","https://p.scdn.co/mp3-preview/51fa48c325127b5f9131a1e880d64806fec432d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","NLCK41000690","spotify:user:pivimkh","2015-01-04T03:09:43Z"
"spotify:track:4IyMDHYBdekl79yQmeAgI2","Daydreaming","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:7COgJTTuXB85D7eRxmxI26","Your Way / Daydreamin","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2010-04-26","https://i.scdn.co/image/ab67616d0000b273fdb3fee1e07ba9a1a71797c4","1","2","392727","https://p.scdn.co/mp3-preview/ac6134535a9022f1442bb2be560393fbb5d1b544?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","NLCK41000691","spotify:user:pivimkh","2015-01-04T03:09:43Z"
"spotify:track:13xDNcUNMt4L9y6ckxeQJ1","Eyes Closed","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:2veUMliI1AoMvBHxygyYIl","Eyes Closed","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2010-04-12","https://i.scdn.co/image/ab67616d0000b2731471f00a157b8d6e0e5696d4","1","1","379275","https://p.scdn.co/mp3-preview/a89fcbe601eaeb62a91a5f7ee48da18d53da475f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBYEY1000007","spotify:user:pivimkh","2015-01-04T03:09:46Z"
"spotify:track:648brJRSHqwQAi7E5LXixk","Smile","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:2veUMliI1AoMvBHxygyYIl","Eyes Closed","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2010-04-12","https://i.scdn.co/image/ab67616d0000b2731471f00a157b8d6e0e5696d4","1","2","330520","https://p.scdn.co/mp3-preview/2206d873da96d786e1db7a3cf53d051c6311cacf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","GBYEY0900075","spotify:user:pivimkh","2015-01-04T03:09:46Z"
"spotify:track:1DsUkJm6hMrmr8qmwxy1LB","I Refuse","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:58bJbHAXc0eNw5JFYFOG35","I Refuse / Midnight Express","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2010","https://i.scdn.co/image/ab67616d0000b2735182e411888c375f5e1a098e","1","1","355862","https://p.scdn.co/mp3-preview/531658d2cd34359c539ea752d647cb22e6169925?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBQZQ0901130","spotify:user:pivimkh","2015-01-04T03:09:52Z"
"spotify:track:61gOZc3Fx4dYrVtS3QuOPw","Midnight Express","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:58bJbHAXc0eNw5JFYFOG35","I Refuse / Midnight Express","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2010","https://i.scdn.co/image/ab67616d0000b2735182e411888c375f5e1a098e","1","2","356571","https://p.scdn.co/mp3-preview/fde0698dbb1b4d50f08c5990bbda0aaed3f8b510?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBQZQ0901131","spotify:user:pivimkh","2015-01-04T03:09:52Z"
"spotify:track:1UN3h8g1oQH9xWqMUv50is","Moving With You","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP, spotify:artist:4uQD4KYQjo6uYeNhLyvIUe","Netsky, Jenna G","spotify:album:7GU7iRzZMGeYKJiwHbFHsB","Moving With You","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2010","https://i.scdn.co/image/ab67616d0000b273d983c8ebe54f54561ddbee69","1","1","313853","","false","0","GBCJY1016703","spotify:user:pivimkh","2015-01-04T03:09:52Z"
"spotify:track:5TTHPI2YBwEIW6nGlon0n2","Pirate Bay","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:7GU7iRzZMGeYKJiwHbFHsB","Moving With You","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2010","https://i.scdn.co/image/ab67616d0000b273d983c8ebe54f54561ddbee69","1","2","338620","https://p.scdn.co/mp3-preview/096818886e1fb4d1b16ee7ac6edf0aee5068bc99?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1016714","spotify:user:pivimkh","2015-01-04T03:09:52Z"
"spotify:track:6QrVmH0ccnWTLC3CuMAbL9","Escape - VIP Mix","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP, spotify:artist:58ZRLzk0lW889BWG8OtmGA","Netsky, Darrison","spotify:album:7GU7iRzZMGeYKJiwHbFHsB","Moving With You","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2010","https://i.scdn.co/image/ab67616d0000b273d983c8ebe54f54561ddbee69","1","3","361379","https://p.scdn.co/mp3-preview/444839a9e3ddcba616a85e548848706f09eab5c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1017203","spotify:user:pivimkh","2015-01-04T03:09:52Z"
"spotify:track:2fBzt7a2PeIUkqZ6Hb3Udp","Everyday","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:7EACeFoLFyKH6ADn8HiY1H","Everyday / Come Back Home","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2009-11-23","https://i.scdn.co/image/ab67616d0000b2732ffb7a89685425e5e4ca3139","1","1","319427","https://p.scdn.co/mp3-preview/80f6aeb66b44f017e18bac661cf4b307492ea4fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBLSB0900208","spotify:user:pivimkh","2015-01-04T03:10:04Z"
"spotify:track:109DRY1djWHs6e4I66Cadp","Come Back Home","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:7EACeFoLFyKH6ADn8HiY1H","Everyday / Come Back Home","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2009-11-23","https://i.scdn.co/image/ab67616d0000b2732ffb7a89685425e5e4ca3139","1","2","359349","https://p.scdn.co/mp3-preview/0c037ed3e5205469c4bcf5b20ca4cec453a677d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBLSB0900209","spotify:user:pivimkh","2015-01-04T03:10:04Z"
"spotify:track:3Kl0kG1KOK3R3amzApWxVD","Prisma","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:2yMeuYM33CyYgrp7NGmu9m","Prisma / Tomorrow's Another Day","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2009-07-27","https://i.scdn.co/image/ab67616d0000b273b9204e8c7d83dd490ca2ce66","1","1","360265","https://p.scdn.co/mp3-preview/a5410e920e111e05c80f93c2191c7a5a447e5b66?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBLSB0900191","spotify:user:pivimkh","2015-01-04T03:10:04Z"
"spotify:track:0tIfaLLKYuwJtivFdNXBcK","Tomorrow's Another Day","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:2yMeuYM33CyYgrp7NGmu9m","Prisma / Tomorrow's Another Day","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2009-07-27","https://i.scdn.co/image/ab67616d0000b273b9204e8c7d83dd490ca2ce66","1","2","340772","https://p.scdn.co/mp3-preview/b95018f27659fa2f0ed4368a6cac5561e63c3c1f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBLSB0900192","spotify:user:pivimkh","2015-01-04T03:10:04Z"
"spotify:track:0Ml24DukFtM8eJtW6uZ6QT","Starlight","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:2muNIZ5uNaV2d6x65phIUB","Starlight","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2009-07-27","https://i.scdn.co/image/ab67616d0000b2734d48e433c4bbd5d7cb8cff88","1","1","308040","https://p.scdn.co/mp3-preview/ef0a2a3b2e9769928515efbb16ccad3e5f063317?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","GBYEY0800027","spotify:user:pivimkh","2015-01-04T03:10:04Z"
"spotify:track:4cLYIACSqhueR0CP9hhphV","Young and Foolish","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:2muNIZ5uNaV2d6x65phIUB","Starlight","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2009-07-27","https://i.scdn.co/image/ab67616d0000b2734d48e433c4bbd5d7cb8cff88","1","2","393028","https://p.scdn.co/mp3-preview/da34b90a995c828ee5af9969a643b7c46e992ca2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","GBYEY0800026","spotify:user:pivimkh","2015-01-04T03:10:04Z"
"spotify:track:6BB1uAqSPj1UtGqzJeoAge","The Raver - Radio Edit","spotify:artist:4xQ2BGOBUXgjxO2PAhrIyS","Ayah Marar","spotify:album:09j92c9KobGlhxS5erfpLJ","UKF Drum & Bass 2012","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2012-12-09","https://i.scdn.co/image/ab67616d0000b273589e2cb76613b8364b35f181","1","7","168661","https://p.scdn.co/mp3-preview/85a6b6ee8fee7cc45ab3fda59abca7948a93584a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB2LD0901072","spotify:user:pivimkh","2015-01-04T03:10:16Z"
