"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:0vUEaciRww1BEKs6j7Zakg","Stardust","spotify:artist:6jsS2mOTAxVrlSUWiPLXpH, spotify:artist:1jSyzKmwy7ZqeZvZklLSas, spotify:artist:5iWNGhdgW9MA0l5AqFLqh9","T & Sugah, Miyoki, NCT","spotify:album:4Ue5oyDHfbP9tsbtACJIgc","NCS: The Best of 2015","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2015-12-23","https://i.scdn.co/image/ab67616d0000b2734c1d15887be3844b73c1589a","1","8","304827","https://p.scdn.co/mp3-preview/8397adb549241e1afad85fd22e7429f194015d3b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB2LD0902208","spotify:user:11135692880","2020-06-14T01:58:04Z"
"spotify:track:5NmENli4oodYuWrI0vSGK4","Why We Lose","spotify:artist:2sf28o6euxEDpYkG9dMtuM, spotify:artist:3GI8jWO0jwqs0qX3OtlbqY","Cartoon, Coleman Trapp","spotify:album:3RNJagqH7R68xyYoj2YwFR","Why We Lose","spotify:artist:2sf28o6euxEDpYkG9dMtuM","Cartoon","2015-06-11","https://i.scdn.co/image/ab67616d0000b273cc59b986696d9bc38ae44d3c","1","1","197485","https://p.scdn.co/mp3-preview/4a4018c50ca10fcd5eb9789f91940d302c04f786?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB2LD0902007","spotify:user:11135692880","2020-06-14T01:58:04Z"
"spotify:track:3VPBqHUd17ZvEgabW9ZOUU","Ghost Assassin - Original Mix","spotify:artist:6TaaqqCMRMSpvNHClfnbEL, spotify:artist:3CiuuHKIxxJPoNRvF94GtR","Maduk, Veela","spotify:album:3NmmUnjNr6G7wuBWSn0zKw","Ghost Assassin EP","spotify:artist:6TaaqqCMRMSpvNHClfnbEL, spotify:artist:3CiuuHKIxxJPoNRvF94GtR","Maduk, Veela","2012-07-16","https://i.scdn.co/image/ab67616d0000b273b85e2368d983a4851727a5a5","1","1","221624","https://p.scdn.co/mp3-preview/17ad59d7677ced819ee8b9ee2a3ebb7b5d2eab4c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","NLCK41016277","spotify:user:11135692880","2020-06-14T01:58:51Z"
"spotify:track:1CRESO4AuKm5B5Lqodk7t9","Frame of Mind","spotify:artist:28Ky95tmlHktB96DBUoB0g, spotify:artist:1SFSz2SewAsgPeFvGmAouI","Tristam, Braken","spotify:album:0G81TQmABHFW7GfWsYGdAP","Frame of Mind","spotify:artist:28Ky95tmlHktB96DBUoB0g, spotify:artist:1SFSz2SewAsgPeFvGmAouI","Tristam, Braken","2014-04-25","https://i.scdn.co/image/ab67616d0000b2732186a9cf4883b85e7e898209","1","1","274285","https://p.scdn.co/mp3-preview/e998b3fd41841cb387f4ed0823157dd1aed6aa69?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","CA6D21000357","spotify:user:11135692880","2020-06-14T02:01:55Z"
"spotify:track:5qsKdwDWbhNTygUO4mGpix","We Won't Be Alone (feat. Laura Brehm)","spotify:artist:6RQ9kYbHisp1UUbnfwHNeU, spotify:artist:7ddnIV2r4SLjuwyGlgLIWt","Feint, Laura Brehm","spotify:album:3aH62Qc5rMIwDOU2GDcFca","We Won't Be Alone (feat. Laura Brehm)","spotify:artist:6RQ9kYbHisp1UUbnfwHNeU","Feint","2015-09-18","https://i.scdn.co/image/ab67616d0000b2737cadc243a90cb98354dd531a","1","1","234475","https://p.scdn.co/mp3-preview/2506bbe1fc647011e36899cf02c325617b503fa5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","CA6D21500332","spotify:user:11135692880","2020-06-14T02:04:15Z"
"spotify:track:5fSVkZ2vrucuBJwvo3HOVl","Feeling Stronger (High Maintenance Remix) [feat. Charlotte Colley]","spotify:artist:4UNnRb4LN2hGtbtMfPzMhg, spotify:artist:6AahY7rodF2tNZlKD348pD","MUZZ, Charlotte Colley","spotify:album:1lOvB5kgfB4MN5niM27bZU","Get Crazy / Feeling Stronger (The Remixes)","spotify:artist:4UNnRb4LN2hGtbtMfPzMhg","MUZZ","2015-06-29","https://i.scdn.co/image/ab67616d0000b27380be5682d4db7645f770672a","1","3","252215","https://p.scdn.co/mp3-preview/26cabde4968e366cb1f7f9fb7b1b15c30656acf0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","CA6D21500271","spotify:user:11135692880","2020-06-14T02:06:06Z"
"spotify:track:2NoTwyjXKAG097NsTRStnK","This Time Last Year","spotify:artist:79PzyYqAyunWsVH4tY4vpr","Pola & Bryson","spotify:album:5Dxi4Fd8c5CPxX3D7pIUtb","This Time Last Year","spotify:artist:79PzyYqAyunWsVH4tY4vpr","Pola & Bryson","2016-08-08","https://i.scdn.co/image/ab67616d0000b27331c1bcf0a828417449f4fbb3","1","6","297400","https://p.scdn.co/mp3-preview/ba30ede579d68594d10b88493a39608febf8070a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB6TC1600024","spotify:user:11135692880","2020-06-14T02:11:35Z"
"spotify:track:2vPEWKbJhbwVY4D7nDgSlk","A Breath","spotify:artist:6r54QO0889i9vqaeuruUSn, spotify:artist:5wkyn0LxmKOSFsbgK6RxAc","Keeno, Alice Gasson","spotify:album:0N6wNVcGYMUcGpgomjMQj9","Futurist","spotify:artist:6r54QO0889i9vqaeuruUSn","Keeno","2016-02-26","https://i.scdn.co/image/ab67616d0000b27395fab44f79429f98aeab52ac","1","4","209388","https://p.scdn.co/mp3-preview/9eda7c81b4bcdf14eb0e90cc8ae73d17f58a5755?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1500342","spotify:user:11135692880","2020-06-14T02:14:09Z"
"spotify:track:02NzXhfuoN7tmJZCgYA67u","Control - Edit","spotify:artist:41iVQ05he8SrfIWbZQ58N7","Matrix & Futurebound","spotify:album:1BVzXWCa4R7HBczoJJ4agW","Control","spotify:artist:41iVQ05he8SrfIWbZQ58N7","Matrix & Futurebound","2013-12-29","https://i.scdn.co/image/ab67616d0000b27302174a4122cdfb0941156434","1","1","228969","https://p.scdn.co/mp3-preview/bf673984d77111185e5d082419baaafd3e8440e2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBSXS1300160","spotify:user:11135692880","2020-06-14T02:17:55Z"
"spotify:track:7HcZO1dultTkxUfeiSiUSo","Whatever I Do","spotify:artist:2sf28o6euxEDpYkG9dMtuM, spotify:artist:7BOIhtXWB8DCWOykIHF2dh, spotify:artist:4VIchDxh1kiaM8hiYZ86zS","Cartoon, Jéja, Kóstja","spotify:album:66Sy61az5MPm53gNPxohJ6","Alchemy (Liquicity Presents)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2015-10-02","https://i.scdn.co/image/ab67616d0000b273fa3ded677b7e8be13668d154","1","2","229760","https://p.scdn.co/mp3-preview/7dfb7cbe8263562d5be40b6280e464438e3f3cec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","NLCK41028024","spotify:user:11135692880","2020-06-14T02:20:36Z"
