"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:4jvjzW7Hm0yK4LvvE0Paz9","Falling Down - Bonus Track","spotify:artist:2kCcBybjl3SAtIcwdWpUe3, spotify:artist:15UsOTVnJzReFVN1VCnxy4","Lil Peep, XXXTENTACION","spotify:album:52JymrguPgkmmwLaWIusst","Come Over When You're Sober, Pt. 2","spotify:artist:2kCcBybjl3SAtIcwdWpUe3","Lil Peep","2018-11-09","https://i.scdn.co/image/ab67616d0000b27355e36b0dc5b0ef008fc85319","1","12","196400","https://p.scdn.co/mp3-preview/9404f45725ef5d46e29a539c7da1fc4315cf5a69?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USQX91802294","spotify:user:11135692880","2020-02-29T03:08:53Z"
"spotify:track:6akBF8JWM8lrpqejdwIfYI","16 Lines","spotify:artist:2kCcBybjl3SAtIcwdWpUe3","Lil Peep","spotify:album:52JymrguPgkmmwLaWIusst","Come Over When You're Sober, Pt. 2","spotify:artist:2kCcBybjl3SAtIcwdWpUe3","Lil Peep","2018-11-09","https://i.scdn.co/image/ab67616d0000b27355e36b0dc5b0ef008fc85319","1","6","244906","https://p.scdn.co/mp3-preview/6b52be8f3590ff5ce0b74cc5272ce0ef710eb018?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","USQX91802369","spotify:user:11135692880","2020-02-29T03:08:53Z"
"spotify:track:6trwNRKYjipVE9wUYSSG82","Sunlight On Your Skin - Bonus Track","spotify:artist:2kCcBybjl3SAtIcwdWpUe3, spotify:artist:3aGFCoR8xGN6DKwvdzeSja","Lil Peep, ILOVEMAKONNEN","spotify:album:52JymrguPgkmmwLaWIusst","Come Over When You're Sober, Pt. 2","spotify:artist:2kCcBybjl3SAtIcwdWpUe3","Lil Peep","2018-11-09","https://i.scdn.co/image/ab67616d0000b27355e36b0dc5b0ef008fc85319","1","13","200000","https://p.scdn.co/mp3-preview/a8db9ad2c01fb251cd22653d8c5aa3735277d8c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USQX91802407","spotify:user:11135692880","2020-02-29T03:08:53Z"
"spotify:track:6zZhlOWizcEG1T7zsTdI6N","IDGAF","spotify:artist:2kCcBybjl3SAtIcwdWpUe3","Lil Peep","spotify:album:52JymrguPgkmmwLaWIusst","Come Over When You're Sober, Pt. 2","spotify:artist:2kCcBybjl3SAtIcwdWpUe3","Lil Peep","2018-11-09","https://i.scdn.co/image/ab67616d0000b27355e36b0dc5b0ef008fc85319","1","9","214293","https://p.scdn.co/mp3-preview/c666405ffbf958799e80e2c160ad292f07b16dc1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","USQX91802372","spotify:user:11135692880","2020-02-29T03:08:53Z"
"spotify:track:6cX1iTffMIAU8lEWSOYIIO","Leanin'","spotify:artist:2kCcBybjl3SAtIcwdWpUe3","Lil Peep","spotify:album:52JymrguPgkmmwLaWIusst","Come Over When You're Sober, Pt. 2","spotify:artist:2kCcBybjl3SAtIcwdWpUe3","Lil Peep","2018-11-09","https://i.scdn.co/image/ab67616d0000b27355e36b0dc5b0ef008fc85319","1","5","206493","https://p.scdn.co/mp3-preview/918c7122f3de77406e7f1749f15a4e009ebee197?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","USQX91802368","spotify:user:11135692880","2020-02-29T03:08:53Z"
"spotify:track:7m9OqQk4RVRkw9JJdeAw96","Jocelyn Flores","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","spotify:album:5VdyJkLe3yvOs0l4xXbWp0","17","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","2017-08-25","https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5","1","2","119133","https://p.scdn.co/mp3-preview/df466c4bb30333c2ee904e7c876920e418d41732?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","USUYG1156892","spotify:user:11135692880","2020-02-29T03:08:53Z"
"spotify:track:1Knctxx9vGZxpZfF66BIEa","Legends","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","spotify:album:7zfsq2Hboh0SZMcWo2ASkD","Legends","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","2018-06-22","https://i.scdn.co/image/ab67616d0000b273f9061a1abb0b9a27a78c9916","1","1","191840","https://p.scdn.co/mp3-preview/4b3e1da250c0fb155aa87a4f5693c4565cd7e220?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USUG11801263","spotify:user:11135692880","2020-08-14T10:47:43Z"
"spotify:track:2H3wWrnO758y0fPH7Ilerg","Depression & Obsession","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","spotify:album:5VdyJkLe3yvOs0l4xXbWp0","17","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","2017-08-25","https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5","1","3","144733","https://p.scdn.co/mp3-preview/f537b69194593ff7f15e384abcd1433aa3051272?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USUYG1156893","spotify:user:11135692880","2020-02-29T03:08:53Z"
"spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW","Revenge","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","spotify:album:5VdyJkLe3yvOs0l4xXbWp0","17","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","2017-08-25","https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5","1","5","120026","https://p.scdn.co/mp3-preview/8f5fe8bb510463b2da20325c8600200bf2984d83?cid=9950ac751e34487dbbe027c4fd7f8e99","true","85","USUYG1156895","spotify:user:11135692880","2020-02-29T03:08:53Z"
"spotify:track:0JP9xo3adEtGSdUEISiszL","Moonlight","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","spotify:album:2Ti79nwTsont5ZHfdxIzAm","?","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","2018-03-16","https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c","1","3","135090","https://p.scdn.co/mp3-preview/fc7faf8b857409dd3655ccbc084d90c4f2551797?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USUG11800209","spotify:user:11135692880","2020-02-29T03:08:53Z"
"spotify:track:3ee8Jmje8o58CHK66QrVC2","SAD!","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","spotify:album:2Ti79nwTsont5ZHfdxIzAm","?","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","2018-03-16","https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c","1","4","166605","https://p.scdn.co/mp3-preview/056a1074f4687ab09a2d548baf72ca3e2fa42d79?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USUG11800208","spotify:user:11135692880","2020-02-29T03:08:53Z"
"spotify:track:4vaxvNDaLSoD36iZX515ug","Betrayed","spotify:artist:3EXdLajEO02ziZ90P90bSW","Lil Xan","spotify:album:2wmmYoAC48iNSTdU5Iwg6H","TOTAL XANARCHY","spotify:artist:3EXdLajEO02ziZ90P90bSW","Lil Xan","2018-04-06","https://i.scdn.co/image/ab67616d0000b273b1950512a3bc3b9a36ad317d","1","12","187173","https://p.scdn.co/mp3-preview/841dbee71fe0048cefcbd6ead5a970a919073116?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","USSM11708983","spotify:user:11135692880","2020-02-29T03:09:07Z"
"spotify:track:5bJ1DrEM4hNCafcDd1oxHx","Self Care","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","spotify:album:5wtE5aLX5r7jOosmPhJhhk","Swimming","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","2018-08-03","https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534","1","5","345133","https://p.scdn.co/mp3-preview/27213e78b82c3bb6ca91eb40cd6146e883827b2b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","USWB11801215","spotify:user:11135692880","2020-02-29T03:09:21Z"
"spotify:track:2BmCen4Ww7ps0EBbobxWsH","Broken","spotify:artist:5uLkZ7FWMTBUg1corQqdkR","Lund","spotify:album:2tBVH9mca2Da8rVmLGJO4p","Broken","spotify:artist:5uLkZ7FWMTBUg1corQqdkR","Lund","2016-10-25","https://i.scdn.co/image/ab67616d0000b273bed555b96b4fa5a99358fcca","1","1","200627","https://p.scdn.co/mp3-preview/9357e3d01b1cdd35951c4801bebf33b2350f4578?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","QM42K1605263","spotify:user:11135692880","2020-02-29T03:09:29Z"
"spotify:track:285pBltuF7vW8TeWk8hdRR","Lucid Dreams","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","spotify:album:6tkjU4Umpo79wwkgPMV3nZ","Goodbye & Good Riddance","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","2018-12-10","https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4","1","3","239835","https://p.scdn.co/mp3-preview/85ba40ef782e993bac9ee1c945f90c123b11ffec?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USUG11800685","spotify:user:11135692880","2020-02-29T03:09:37Z"
"spotify:track:7GX5flRQZVHRAGd6B4TmDO","XO Tour Llif3","spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","spotify:album:733e1ZfktLSwj96X5rsMeE","Luv Is Rage 2","spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","2017-08-25","https://i.scdn.co/image/ab67616d0000b27341b41e6f7924e530a9b00f9c","1","16","182706","https://p.scdn.co/mp3-preview/115d957b81400862451425d9591dfa938da476da?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USAT21703440","spotify:user:11135692880","2020-02-29T03:09:39Z"
"spotify:track:75ZvA4QfFiZvzhj2xkaWAh","I Fall Apart","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:5s0rmjP8XOPhP6HhqOhuyC","Stoney - Deluxe","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2016-12-09","https://i.scdn.co/image/ab67616d0000b27355404f712deb84d0650a4b41","1","7","223346","https://p.scdn.co/mp3-preview/2add5c025df9c2208c4b2c3b0357661f2d95eda5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USUM71614475","spotify:user:11135692880","2020-02-29T03:09:40Z"
"spotify:track:7thTA3hqO2MgOlzo0rPInX","Color Blind","spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:3EXdLajEO02ziZ90P90bSW","Diplo, Lil Xan","spotify:album:1V185X8sNGUrPGIdV9IBfX","Color Blind","spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:3EXdLajEO02ziZ90P90bSW","Diplo, Lil Xan","2018-03-22","https://i.scdn.co/image/ab67616d0000b273b08e9d9e74be3dc6d9f8712a","1","1","177480","https://p.scdn.co/mp3-preview/c45600e62caf598f6302f76a528e4ea1bd5a644b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USSM11802644","spotify:user:11135692880","2020-02-29T03:10:02Z"
"spotify:track:6HmWy7ttkeZGG2KEtt8AqX","Rules","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","spotify:album:7iwGw8ob3YLqZrbKzGFnHi","FREE 6LACK","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","2016-11-18","https://i.scdn.co/image/ab67616d0000b273e4f13cd87b3b1ead6735a520","1","2","211866","https://p.scdn.co/mp3-preview/d83a7524ded083451755b473593a045f2e2b16a3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","USUG11601106","spotify:user:11135692880","2020-02-29T03:10:57Z"
"spotify:track:4AtZRwSR8BOTTQg5ihSggt","PRBLMS","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","spotify:album:7iwGw8ob3YLqZrbKzGFnHi","FREE 6LACK","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","2016-11-18","https://i.scdn.co/image/ab67616d0000b273e4f13cd87b3b1ead6735a520","1","3","246773","https://p.scdn.co/mp3-preview/ef3073f59d504fce50c9b7a49ac55ff3280abfa1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","USUYG1102245","spotify:user:11135692880","2020-02-29T03:10:57Z"
"spotify:track:4Sv7Fo4bSpK0tM1WBspz4J","Free","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","spotify:album:7iwGw8ob3YLqZrbKzGFnHi","FREE 6LACK","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","2016-11-18","https://i.scdn.co/image/ab67616d0000b273e4f13cd87b3b1ead6735a520","1","4","263013","https://p.scdn.co/mp3-preview/13720acdafb638f60a69d0f81f6f005e9504a0a3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","USUG11601107","spotify:user:11135692880","2020-02-29T03:10:57Z"
"spotify:track:1MQ8ydvrTnn2QJgXFATJvD","Ex Calling","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","spotify:album:7iwGw8ob3YLqZrbKzGFnHi","FREE 6LACK","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","2016-11-18","https://i.scdn.co/image/ab67616d0000b273e4f13cd87b3b1ead6735a520","1","10","211960","https://p.scdn.co/mp3-preview/575fbeb0fddfecff4fcc7d1fb0b2679e8479dd9a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","USUYG1107545","spotify:user:11135692880","2020-02-29T03:10:57Z"
"spotify:track:2V8OJ8i3WBh4Los9wG6OKQ","Learn Ya","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","spotify:album:7iwGw8ob3YLqZrbKzGFnHi","FREE 6LACK","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","2016-11-18","https://i.scdn.co/image/ab67616d0000b273e4f13cd87b3b1ead6735a520","1","5","215680","https://p.scdn.co/mp3-preview/57ed75fffc78444686606faa5e550e53bce4a805?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","USUG11601108","spotify:user:11135692880","2020-02-29T03:11:19Z"
"spotify:track:1S4sxNGmCASkyRI08YhLtT","Gettin' Old","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","spotify:album:7iwGw8ob3YLqZrbKzGFnHi","FREE 6LACK","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","2016-11-18","https://i.scdn.co/image/ab67616d0000b273e4f13cd87b3b1ead6735a520","1","8","215000","https://p.scdn.co/mp3-preview/b1358527db5a10b6bf36aaff1223089718dc41dc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","USUG11601111","spotify:user:11135692880","2020-02-29T03:11:43Z"
"spotify:track:2wc4wFgsQUDD79jItn4cHs","Worst Luck","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","spotify:album:7iwGw8ob3YLqZrbKzGFnHi","FREE 6LACK","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","2016-11-18","https://i.scdn.co/image/ab67616d0000b273e4f13cd87b3b1ead6735a520","1","9","206133","https://p.scdn.co/mp3-preview/f69965646992b849ab5770fafdef61e1ad9bc217?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","USUG11601112","spotify:user:11135692880","2020-02-29T03:11:49Z"
"spotify:track:35r28RDot7nPE7y9K9H7l0","Feeling Whitney","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:5s0rmjP8XOPhP6HhqOhuyC","Stoney - Deluxe","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2016-12-09","https://i.scdn.co/image/ab67616d0000b27355404f712deb84d0650a4b41","1","18","257265","https://p.scdn.co/mp3-preview/a9b5657d264e42c738f68fa7f8a06689809cb621?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USUM71614505","spotify:user:11135692880","2020-02-29T03:12:06Z"
