"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:4aIZQ7kJLS1TgFw2pEj0RD","Legend","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:2bfWH730j0HtAJrNcg1LuP","If You're Reading This It's Too Late","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2015-02-12","https://i.scdn.co/image/ab67616d0000b2735e371c9d44d7ab36d8969c81","1","1","241853","https://p.scdn.co/mp3-preview/3c93008bf20c6bb5abbd1d28a57cdc9f68a7cbb8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USCM51500010","spotify:user:pivimkh","2015-02-27T16:12:59Z"
"spotify:track:39h7qYbmksGgxQzDH9X7Aq","Energy","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:2bfWH730j0HtAJrNcg1LuP","If You're Reading This It's Too Late","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2015-02-12","https://i.scdn.co/image/ab67616d0000b2735e371c9d44d7ab36d8969c81","1","2","181933","https://p.scdn.co/mp3-preview/0d3414f734e3bb1f205dd5948b4c79cbe5d04a6c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USCM51500012","spotify:user:pivimkh","2015-02-27T16:12:59Z"
"spotify:track:0Qdbw4psZRGYANJauFqbdt","10 Bands","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:2bfWH730j0HtAJrNcg1LuP","If You're Reading This It's Too Late","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2015-02-12","https://i.scdn.co/image/ab67616d0000b2735e371c9d44d7ab36d8969c81","1","3","177733","https://p.scdn.co/mp3-preview/74083a170c7e438f84a3c9954f4609a2d5b629e8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USCM51500014","spotify:user:pivimkh","2015-02-27T16:12:59Z"
"spotify:track:2WzpOMkCaakq1T3luPCjLH","Know Yourself","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:2bfWH730j0HtAJrNcg1LuP","If You're Reading This It's Too Late","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2015-02-12","https://i.scdn.co/image/ab67616d0000b2735e371c9d44d7ab36d8969c81","1","4","275840","https://p.scdn.co/mp3-preview/cfd9ec3b216ac1b28c51e1f1750c8264fb7f2a56?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USUM71502037","spotify:user:pivimkh","2015-02-27T16:12:59Z"
"spotify:track:2xpoTj7AeSFVuvD0ibD3Pg","No Tellin'","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:2bfWH730j0HtAJrNcg1LuP","If You're Reading This It's Too Late","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2015-02-12","https://i.scdn.co/image/ab67616d0000b2735e371c9d44d7ab36d8969c81","1","5","310933","https://p.scdn.co/mp3-preview/24e219b9f3a54f6a6a15cc477c3697b6d04a338a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USCM51500017","spotify:user:pivimkh","2015-02-27T16:12:59Z"
"spotify:track:0kCYaxWtR15Ljm0rvVvPQw","Madonna","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:2bfWH730j0HtAJrNcg1LuP","If You're Reading This It's Too Late","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2015-02-12","https://i.scdn.co/image/ab67616d0000b2735e371c9d44d7ab36d8969c81","1","6","177840","https://p.scdn.co/mp3-preview/c96c39c3e9dbbb267948300751ac4edfc881094a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USCM51500019","spotify:user:pivimkh","2015-02-27T16:12:59Z"
"spotify:track:0GQKP2WgHvBA8Nzb4xZu36","6 God","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:2bfWH730j0HtAJrNcg1LuP","If You're Reading This It's Too Late","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2015-02-12","https://i.scdn.co/image/ab67616d0000b2735e371c9d44d7ab36d8969c81","1","7","180666","https://p.scdn.co/mp3-preview/30f721ff8f457bf651a57d15607d8cc096e4a8a4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USCM51500021","spotify:user:pivimkh","2015-02-27T16:12:59Z"
"spotify:track:6Zmu6xxHXVYccyNKxHvZCD","Star67","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:2bfWH730j0HtAJrNcg1LuP","If You're Reading This It's Too Late","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2015-02-12","https://i.scdn.co/image/ab67616d0000b2735e371c9d44d7ab36d8969c81","1","8","294973","https://p.scdn.co/mp3-preview/3c1ba33dd30baaf0c521de7f075eec1d8c31c448?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USCM51500023","spotify:user:pivimkh","2015-02-27T16:12:59Z"
"spotify:track:7n4Kv0ArEyRh8p4wO5fG78","Preach","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:2HPaUgqeutzr3jx5a9WyDV","Drake, PARTYNEXTDOOR","spotify:album:2bfWH730j0HtAJrNcg1LuP","If You're Reading This It's Too Late","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2015-02-12","https://i.scdn.co/image/ab67616d0000b2735e371c9d44d7ab36d8969c81","1","9","236973","https://p.scdn.co/mp3-preview/bc47a4b4e8620ec59d520b6faf748751cab13c4f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USCM51500025","spotify:user:pivimkh","2015-02-27T16:12:59Z"
"spotify:track:4xsUpuoiYy06Of1LtLcz0G","Wednesday Night Interlude","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:2HPaUgqeutzr3jx5a9WyDV","Drake, PARTYNEXTDOOR","spotify:album:2bfWH730j0HtAJrNcg1LuP","If You're Reading This It's Too Late","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2015-02-12","https://i.scdn.co/image/ab67616d0000b2735e371c9d44d7ab36d8969c81","1","10","212280","https://p.scdn.co/mp3-preview/a114dfc9fb19f66e5823dd96b81a6c5d38b52aa6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USCM51500041","spotify:user:pivimkh","2015-02-27T16:12:59Z"
