"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:1gbFjmpWPOrFEsxumYviI0","I Do It","spotify:artist:17lzZA2AlOHwCwFALHttmp, spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:55Aa2cqylxrFIXC767Z865","2 Chainz, Drake, Lil Wayne","spotify:album:5egYYjj06RlBCP2bVhnblH","B.O.A.T.S. II #METIME (Deluxe)","spotify:artist:17lzZA2AlOHwCwFALHttmp","2 Chainz","2013-01-01","https://i.scdn.co/image/ab67616d0000b273a225f4a060d8536732c6ddfb","1","5","373693","https://p.scdn.co/mp3-preview/bc419e7ded7e50029f3f88ff03617aa4e881789c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USUM71311186","spotify:user:pivimkh","2014-12-10T19:19:49Z"
"spotify:track:48xRRHkn5kw0QxaKvdIDdD","I Luv Dem Strippers","spotify:artist:17lzZA2AlOHwCwFALHttmp, spotify:artist:0hCNtLu0JehylgoiP8L4Gh","2 Chainz, Nicki Minaj","spotify:album:3p6wrYqeSr2KPNzJpxNWSc","Based On A T.R.U. Story","spotify:artist:17lzZA2AlOHwCwFALHttmp","2 Chainz","2012-08-14","https://i.scdn.co/image/ab67616d0000b2735e56a98706b678ee481c7f37","1","8","239573","https://p.scdn.co/mp3-preview/574d6087db5c7e1dc8d164d598a56b96f0f7aed3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USUM71208024","spotify:user:pivimkh","2014-12-10T19:19:49Z"
"spotify:track:7JqPsPXRKhYRbiqw9RN7Yj","Rich As Fuck","spotify:artist:17lzZA2AlOHwCwFALHttmp, spotify:artist:55Aa2cqylxrFIXC767Z865","2 Chainz, Lil Wayne","spotify:album:0fhXRWRn1ip8rG35gVsXUK","Different World","spotify:artist:17lzZA2AlOHwCwFALHttmp","2 Chainz","2013-03-23","https://i.scdn.co/image/ab67616d0000b2738afde8922df4d57ef27a5e6c","1","4","223283","https://p.scdn.co/mp3-preview/17072bc6f6da6492f1feedf8a585aa17ee721b45?cid=9950ac751e34487dbbe027c4fd7f8e99","true","9","FR6V81642145","spotify:user:pivimkh","2014-12-10T19:19:49Z"
"spotify:track:0JJsFAzl63AwTuZ0yXbOs8","Marble Floors","spotify:artist:17lzZA2AlOHwCwFALHttmp, spotify:artist:1sBkRIssrMs1AbVkOJbc7a, spotify:artist:55Aa2cqylxrFIXC767Z865, spotify:artist:6vXTefBL93Dj5IqAWq6OTv","2 Chainz, Rick Ross, Lil Wayne, French Montana","spotify:album:0fhXRWRn1ip8rG35gVsXUK","Different World","spotify:artist:17lzZA2AlOHwCwFALHttmp","2 Chainz","2013-03-23","https://i.scdn.co/image/ab67616d0000b2738afde8922df4d57ef27a5e6c","1","10","231000","https://p.scdn.co/mp3-preview/5a341b1a188119544852753547892884c7fbdf59?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","FR6V81642151","spotify:user:pivimkh","2014-12-10T19:19:49Z"
"spotify:track:4TyY4vah59nsckspWdSGPn","No Lie","spotify:artist:17lzZA2AlOHwCwFALHttmp, spotify:artist:3TVXtAsR1Inumwj472S9r4","2 Chainz, Drake","spotify:album:62LtCWORi6w9y8qwK6kD1L","No Lie","spotify:artist:17lzZA2AlOHwCwFALHttmp","2 Chainz","2012-01-01","https://i.scdn.co/image/ab67616d0000b27399bcf0488c5f8b6ad59dabc0","1","1","239186","https://p.scdn.co/mp3-preview/cd3b148540b80eebe4dcee607b05537989751962?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USUM71204666","spotify:user:pivimkh","2014-12-10T19:19:49Z"
"spotify:track:68LR4RQ7JLHwRodWxPOB0k","Hustle Hard Remix","spotify:artist:31HjiqargV4NAw4GZqUale, spotify:artist:1sBkRIssrMs1AbVkOJbc7a, spotify:artist:55Aa2cqylxrFIXC767Z865","Ace Hood, Rick Ross, Lil Wayne","spotify:album:64k1x2JZhoJoh9dyldECx4","Blood Sweat & Tears (Deluxe)","spotify:artist:31HjiqargV4NAw4GZqUale","Ace Hood","2011-01-01","https://i.scdn.co/image/ab67616d0000b2739ab889fff31b30b871dc8d1d","1","12","285693","https://p.scdn.co/mp3-preview/4292867d5e2b3eacbd801a2dbd99cafc931b1b60?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","USUM71104921","spotify:user:pivimkh","2014-12-10T19:19:49Z"
"spotify:track:6SNiD8agLKTdLZK5Dv6oDm","Space Jam","spotify:artist:3oHjuEyaFp7MddhOXddXbx, spotify:artist:55Aa2cqylxrFIXC767Z865","Audio Push, Lil Wayne","spotify:album:7wdo0T0ODBr5oe7hlYSNWN","Space Jam","spotify:artist:3oHjuEyaFp7MddhOXddXbx, spotify:artist:55Aa2cqylxrFIXC767Z865","Audio Push, Lil Wayne","2013-01-01","https://i.scdn.co/image/ab67616d0000b2732d66c675c4cf52416a3abd6f","1","1","258640","https://p.scdn.co/mp3-preview/b9ca03972cae76afba7eaf80eb0ac3f3acaace01?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USUM71310092","spotify:user:pivimkh","2014-12-10T19:19:49Z"
"spotify:track:3ZAMtgYJFoHwJjFkhkXqKr","Dance (A$$) Remix","spotify:artist:0c173mlxpT3dSFRgMO8XPh, spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Big Sean, Nicki Minaj","spotify:album:2fRLnox9PQ9nos2YYdcYwE","Finally Famous","spotify:artist:0c173mlxpT3dSFRgMO8XPh","Big Sean","2011-01-01","https://i.scdn.co/image/ab67616d0000b2735634a639afe491a0bffcd54b","1","13","220293","https://p.scdn.co/mp3-preview/3052a6749f8afc645ce1e0212bca9272a068d11c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","USUM71116321","spotify:user:pivimkh","2014-12-10T19:19:49Z"
"spotify:track:2x5YsiXAqOEqSZ1iHWITHS","Thank You","spotify:artist:1YfEcTuGvBQ8xSD1f53UnK, spotify:artist:3ZotbHeyVQKxQCPDJuQ4SU, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:55Aa2cqylxrFIXC767Z865","Busta Rhymes, Q-Tip, Kanye West, Lil Wayne","spotify:album:6b5Z2IWnLMe2wQPYAZkvN3","Thank You","spotify:artist:1YfEcTuGvBQ8xSD1f53UnK","Busta Rhymes","2013-01-01","https://i.scdn.co/image/ab67616d0000b27337cbe518fb37464ea275ce0a","1","1","240413","https://p.scdn.co/mp3-preview/4e525fa10f68fa85973a196eb5646eb60da96d9a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","USCM51300940","spotify:user:pivimkh","2014-12-10T19:19:49Z"
"spotify:track:0O0EjYBFPRB9QtrpJXjV9E","Don't Think They Know","spotify:artist:7bXgB6jMjp9ATFy66eO08Z, spotify:artist:0urTpYCsixqZwgNTkPJOJ4","Chris Brown, Aaliyah","spotify:album:1yrt5XQNZmQsSuim7lf127","Don't Think They Know","spotify:artist:7bXgB6jMjp9ATFy66eO08Z","Chris Brown","2013-06-17","https://i.scdn.co/image/ab67616d0000b273fd9f0bf78fdb09114db0b3d8","1","1","240626","https://p.scdn.co/mp3-preview/9217a134eab576b2daa6ac50e1a08fc93346ddfc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USRC11300939","spotify:user:pivimkh","2014-12-10T19:21:17Z"
"spotify:track:2ZcJHck9I6Jmmp0rM5Hen0","Bassline","spotify:artist:7bXgB6jMjp9ATFy66eO08Z","Chris Brown","spotify:album:6jalkiil3TF60R64sOxw4d","Fortune (Deluxe Version)","spotify:artist:7bXgB6jMjp9ATFy66eO08Z","Chris Brown","2012-07-02","https://i.scdn.co/image/ab67616d0000b2734cad5f5067988a3b194838c3","1","2","238986","https://p.scdn.co/mp3-preview/2de1ac77c79144a031a40c99e5f1acefd95a0fd1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USRC11200557","spotify:user:pivimkh","2014-12-10T19:21:17Z"
"spotify:track:2oUQPiwR8LovWPgfTondZ9","Trumpet Lights","spotify:artist:7bXgB6jMjp9ATFy66eO08Z, spotify:artist:5S7xvAK69ZuUuATe40XJv3","Chris Brown, Sabrina Antionette","spotify:album:6jalkiil3TF60R64sOxw4d","Fortune (Deluxe Version)","spotify:artist:7bXgB6jMjp9ATFy66eO08Z","Chris Brown","2012-07-02","https://i.scdn.co/image/ab67616d0000b2734cad5f5067988a3b194838c3","1","14","227160","https://p.scdn.co/mp3-preview/f97394bf156e0275d7358537060c872c5a3aeaed?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USRC11200569","spotify:user:pivimkh","2014-12-10T19:21:17Z"
"spotify:track:6e8lA4dJYNRNcPAUYX4QOk","I Can Transform Ya (feat. Swizz Beatz & Lil' Wayne)","spotify:artist:7bXgB6jMjp9ATFy66eO08Z, spotify:artist:2cADQgiLMjNhbsfeN52Bf3, spotify:artist:55Aa2cqylxrFIXC767Z865","Chris Brown, Swizz Beatz, Lil Wayne","spotify:album:48EeZrTQV6AbXo3HjoMW3k","Graffiti","spotify:artist:7bXgB6jMjp9ATFy66eO08Z","Chris Brown","2009-12-04","https://i.scdn.co/image/ab67616d0000b2736f33acdab3fc71fc05e16647","1","1","228640","https://p.scdn.co/mp3-preview/348345dd7e5e79ebc9df8f43bdeb5c72f826b864?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USJI10900612","spotify:user:pivimkh","2014-12-10T19:21:17Z"
"spotify:track:3JsPQbdGRRN6C7n8OsNTnj","Loyal (East Coast Version)","spotify:artist:7bXgB6jMjp9ATFy66eO08Z, spotify:artist:55Aa2cqylxrFIXC767Z865, spotify:artist:6vXTefBL93Dj5IqAWq6OTv","Chris Brown, Lil Wayne, French Montana","spotify:album:3UYujcv27RT9gjjld4l5wA","Loyal (East Coast Version)","spotify:artist:7bXgB6jMjp9ATFy66eO08Z","Chris Brown","2013-12-19","https://i.scdn.co/image/ab67616d0000b2731760404401acfbe5578fcec2","1","1","264400","https://p.scdn.co/mp3-preview/82a1a5e1219649cca96d07b8f40131ed3d785d64?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USRC11302348","spotify:user:pivimkh","2014-12-10T19:21:17Z"
