"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:3QpaiRj9N9npDiuyTcqFDV","Be Together - Vanic Remix","spotify:artist:738wLrAtLtCtFOLvQBXOXp, spotify:artist:4wHZkzWXD9GPr4RQAYjUcv, spotify:artist:2LY0E3xg8svCVYXVNTze5T","Major Lazer, Wild Belle, Vanic","spotify:album:2Vrovs0ox24aKH9pgiZcNB","Peace Is The Mission (Extended)","spotify:artist:738wLrAtLtCtFOLvQBXOXp","Major Lazer","2015-11-27","https://i.scdn.co/image/ab67616d0000b2732236ac983588045e42fef5ed","1","15","273000","https://p.scdn.co/mp3-preview/3fa91311e892d3b9880d0a6e12c7b1287451381f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","QMUY41900017","spotify:user:11135692880","2020-09-19T13:13:09Z"
"spotify:track:3lO38SiB2WAQRqTAHN7WTC","Borderline - Vanic Remix","spotify:artist:2QSPrJfYeRXaltEEiriXN9, spotify:artist:2LY0E3xg8svCVYXVNTze5T","Tove Styrke, Vanic","spotify:album:6ZjNI6my7T7lPW6Ch7zaWS","Borderline (Vanic Remix)","spotify:artist:2QSPrJfYeRXaltEEiriXN9","Tove Styrke","2015-03-31","https://i.scdn.co/image/ab67616d0000b273ad7e11015eb1959e6bbb0776","1","1","256500","https://p.scdn.co/mp3-preview/96821de5485887a64bc99b31084330bf762a50d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","SEBGA1500079","spotify:user:11135692880","2020-09-19T13:13:21Z"
"spotify:track:1lhLZGDYPwXeOjfpxMWtQZ","Hypnotic - Vanic Remix","spotify:artist:100sLnojEpcadRx4edEBA6","Zella Day","spotify:album:6IVGaowP9mYgdj9c1QR4gT","Hypnotic (Vanic Remix)","spotify:artist:100sLnojEpcadRx4edEBA6","Zella Day","2016-01-15","https://i.scdn.co/image/ab67616d0000b2733b3f81c7823090217ada3d14","1","1","282000","https://p.scdn.co/mp3-preview/edf2d0e5116d8a54d4e94acf6b87f28615022e63?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USHR11536885","spotify:user:11135692880","2020-09-19T13:14:37Z"
"spotify:track:7BaZHpJA6pv2KxiAkh9igc","Save Yourself","spotify:artist:2LY0E3xg8svCVYXVNTze5T, spotify:artist:1DUd25ybTBglvAohsXTmBx","Vanic, Gloria Kim","spotify:album:79WPgm84LgMQxggdXXTtl1","Save Yourself","spotify:artist:2LY0E3xg8svCVYXVNTze5T, spotify:artist:1DUd25ybTBglvAohsXTmBx","Vanic, Gloria Kim","2019-05-10","https://i.scdn.co/image/ab67616d0000b2733666c7a0001a6a54f4bf9af3","1","1","274639","https://p.scdn.co/mp3-preview/f0c8f410827e91a6d882ac44f8ba459eae06460e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","USRC11900240","spotify:user:11135692880","2020-09-19T13:15:55Z"
"spotify:track:2UPXQ1UumX1qBh8COMbo6K","Staring At The Sun","spotify:artist:2LY0E3xg8svCVYXVNTze5T","Vanic","spotify:album:7GmZwFZLgrPff5qyPhfeEn","Staring At The Sun","spotify:artist:2LY0E3xg8svCVYXVNTze5T","Vanic","2017-06-02","https://i.scdn.co/image/ab67616d0000b2730b1bd252c256c04c386cb6f5","1","1","265142","https://p.scdn.co/mp3-preview/833be172f67fe3ed407e4f8ff69cc5e5ae57c1c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USRC11701159","spotify:user:11135692880","2020-09-19T13:16:26Z"
"spotify:track:6QFEH8O2MHhPvVxlABBrIE","What U R","spotify:artist:2mwfx4gHhYVlrKjhEM5Q3R","Eskei83","spotify:album:6qyS4eOh75natpZ8maT4xm","What U R","spotify:artist:2mwfx4gHhYVlrKjhEM5Q3R","Eskei83","2020-02-14","https://i.scdn.co/image/ab67616d0000b27312bc9649373d5f6d876fff89","1","1","144093","https://p.scdn.co/mp3-preview/b60c73e7ff7eb2c47b2ee785f847c31408908a3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","DEA812000022","spotify:user:11135692880","2020-09-19T13:18:10Z"
"spotify:track:6jq6rcOikCZAmjliAgAmfT","Light","spotify:artist:0jNDKefhfSbLR9sFvcPLHo","San Holo","spotify:album:4k2ygY7kW4n1eVtR2i0F0H","Light","spotify:artist:0jNDKefhfSbLR9sFvcPLHo","San Holo","2017-02-10","https://i.scdn.co/image/ab67616d0000b273a5c1582e2b2b087ee7862758","1","1","239853","https://p.scdn.co/mp3-preview/df4cd25e3fe93b489e81b0ace76cc112fedb0192?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","NLRD51630379","spotify:user:11135692880","2020-10-01T11:49:10Z"
"spotify:track:7uSZPbd8DxdkmSauCKnITY","We Rise","spotify:artist:0jNDKefhfSbLR9sFvcPLHo","San Holo","spotify:album:1fgSS7d1R3fin79TUkhuxW","We Rise","spotify:artist:0jNDKefhfSbLR9sFvcPLHo","San Holo","2015-02-23","https://i.scdn.co/image/ab67616d0000b2738d5c2b2e93cf42bf6d9337db","1","1","266482","https://p.scdn.co/mp3-preview/1de777954296fe464bfbe3c05c961ffc9e659f79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USQY51530657","spotify:user:11135692880","2020-10-01T11:49:10Z"
"spotify:track:7snnEDYwv30hRtmifVni8P","lift me from the ground","spotify:artist:0jNDKefhfSbLR9sFvcPLHo, spotify:artist:5pKrorYHoVt088MOxEhNLg","San Holo, Sofie Winterson","spotify:album:3KHPqtzQKRPKup29xEQWtg","album1","spotify:artist:0jNDKefhfSbLR9sFvcPLHo","San Holo","2018-09-21","https://i.scdn.co/image/ab67616d0000b2738575368e908e229a76460564","1","2","260903","https://p.scdn.co/mp3-preview/662596a6ef8f30fe4af927826c76cc2ad61d4f12?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","NLRD51632165","spotify:user:11135692880","2020-10-01T11:49:10Z"
"spotify:track:0q7oMII7kWTj1ZSX6GT6LU","Crawl Outta Love","spotify:artist:45eNHdiiabvmbp4erw26rg, spotify:artist:0kErUwb6xgWfkdn0RyZWHZ","ILLENIUM, Annika Wells","spotify:album:5rvIgXvAPGWspXY4rDLkeU","Awake","spotify:artist:45eNHdiiabvmbp4erw26rg","ILLENIUM","2017-09-21","https://i.scdn.co/image/ab67616d0000b273ad3b5398f9086d7f6e19331b","1","2","242011","https://p.scdn.co/mp3-preview/c8202d02fc57231a942cfa561ec42b2087208d37?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","CAR071600435","spotify:user:11135692880","2020-10-01T11:49:23Z"
"spotify:track:2BVUOGciUUUqOPSLtHwLGp","GUD VIBRATIONS","spotify:artist:76M2Ekj8bG8W7X2nbx2CpF, spotify:artist:20DZAfCuP1TKZl5KcY7z3Q","NGHTMRE, SLANDER","spotify:album:1ABYsJwhqu0MoN3HVn3tKi","GUD VIBRATIONS","spotify:artist:76M2Ekj8bG8W7X2nbx2CpF, spotify:artist:20DZAfCuP1TKZl5KcY7z3Q","NGHTMRE, SLANDER","2016-10-26","https://i.scdn.co/image/ab67616d0000b273dcdf83db248a1b14719f8ec9","1","1","224210","https://p.scdn.co/mp3-preview/bac641be053ea7f01337dfd66497c447cbba1523?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USZ4V1600245","spotify:user:11135692880","2020-10-01T11:49:40Z"
"spotify:track:3WtCu35qpzGCLIGa8pczdu","Colors - Audien Remix","spotify:artist:26VFTg2z8YR0cCuwLzESi2, spotify:artist:4xnMDfgEmXZEEDdITKcGuE","Halsey, Audien","spotify:album:2bAp2LAAVgN0al3qSI9U0u","Complementary Colors","spotify:artist:26VFTg2z8YR0cCuwLzESi2","Halsey","2016-04-22","https://i.scdn.co/image/ab67616d0000b2735bbc443de242173bf1563eb3","1","2","270222","https://p.scdn.co/mp3-preview/cac0b63d459b9e74e6a33c8c389ddace4cc62cd2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USUM71603274","spotify:user:11135692880","2020-10-01T11:50:05Z"
"spotify:track:0JITWDB1tVUH2VUXmVtYpL","Sunburn","spotify:artist:0u18Cq5stIQLUoIaULzDmA","DROELOE","spotify:album:742dpn7EzKscmLaqEkDCNE","Sunburn","spotify:artist:0u18Cq5stIQLUoIaULzDmA","DROELOE","2017-08-15","https://i.scdn.co/image/ab67616d0000b27316b145d0659570091ada3dc6","1","1","226981","https://p.scdn.co/mp3-preview/d380b1c1676c7557b7fb8c1321c893c06ef72ab0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","NLRD51632058","spotify:user:11135692880","2020-10-01T11:51:20Z"
"spotify:track:4g64deYSvQZ4w9uGpYz2sL","Fire","spotify:artist:7wg1qvie3KqDNQbAkTdbX0, spotify:artist:68WwJXWrpo1yVOOIZjLSeT","Louis The Child, Evalyn","spotify:album:6sC4PlgvhDaQrqFdeROIga","Fire","spotify:artist:7wg1qvie3KqDNQbAkTdbX0, spotify:artist:68WwJXWrpo1yVOOIZjLSeT","Louis The Child, Evalyn","2016-09-30","https://i.scdn.co/image/ab67616d0000b273d25a311908ccb77e387abea6","1","1","205617","https://p.scdn.co/mp3-preview/adac079e5d801d63e4a26f40e301e65b5dab8eac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USUS11600415","spotify:user:11135692880","2020-10-01T11:51:30Z"
"spotify:track:0c8X4ApJu6CNEXoIb5VKMo","Frontlines","spotify:artist:67qogtRNI0GjUr8PlaG6Zh, spotify:artist:76M2Ekj8bG8W7X2nbx2CpF, spotify:artist:54pgkpWVgQYbQXD8bkUP8n","Zeds Dead, NGHTMRE, GG Magree","spotify:album:2LZwWAjsqA2xIldp2c6kRX","Northern Lights","spotify:artist:67qogtRNI0GjUr8PlaG6Zh","Zeds Dead","2016-10-14","https://i.scdn.co/image/ab67616d0000b273d4ff5532f233618df9e0d4b5","1","8","214733","https://p.scdn.co/mp3-preview/f577458984912c3d32e19c81ebe6cd9200323d37?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","CAUM81600132","spotify:user:11135692880","2020-10-01T11:52:02Z"
"spotify:track:7f4Pjqs3XHSfV1UwX5vjxo","Came Up","spotify:artist:2FmzVitXZjIkFolH8HXd4j, spotify:artist:53ixqKNKVTgtSx3m3DGMA2, spotify:artist:4E69riquObrTmBTVuF1b7B, spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:2tMOCIpxj6jwM9e6pmwGiP","Flosstradamus, FKi 1st, graves, Post Malone, KEY!","spotify:album:1UKFMf12OfFIpeRFLvgfqD","Came Up","spotify:artist:2FmzVitXZjIkFolH8HXd4j, spotify:artist:53ixqKNKVTgtSx3m3DGMA2, spotify:artist:4E69riquObrTmBTVuF1b7B","Flosstradamus, FKi 1st, graves","2016-07-29","https://i.scdn.co/image/ab67616d0000b273876e79bafc921ca0c84050c8","1","1","214929","https://p.scdn.co/mp3-preview/5cb1f5ecd8f342b721c22fa7217d1617df865363?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USUS11600316","spotify:user:11135692880","2020-10-01T11:53:00Z"
