"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:49BKftqk9HqLF5EhIngeRn","Starship","spotify:artist:1D2acYwVzm55CayJwUwqB5, spotify:artist:5GImm0oU5MkW7OHkb91jwu","Phos Toni, Wolfgang Lohr","spotify:album:025m5i0hXQ3cpG0NqT90oh","Starship","spotify:artist:1D2acYwVzm55CayJwUwqB5, spotify:artist:5GImm0oU5MkW7OHkb91jwu","Phos Toni, Wolfgang Lohr","2024-09-12","https://i.scdn.co/image/ab67616d0000b2735831ac89cc665ba8d95ab02e","1","1","168350","https://p.scdn.co/mp3-preview/002eff55dd40063765438648df6a28e6f8695c73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","CH7812417073","spotify:user:soundrop","2024-09-13T11:25:59Z"
"spotify:track:2hc01SdAtZibqpVFvDFVis","Estate Italiana","spotify:artist:0MCy2uUaKHn4iNMAih50Vg, spotify:artist:2i1i4w0EZ19SIJzPhAEp4i","Betty Booom, Glenn Gatsby","spotify:album:7xWL8alS67XMLduUok0EZd","Estate Italiana","spotify:artist:0MCy2uUaKHn4iNMAih50Vg, spotify:artist:2i1i4w0EZ19SIJzPhAEp4i","Betty Booom, Glenn Gatsby","2024-09-11","https://i.scdn.co/image/ab67616d0000b2735fed70304a5cb71fc8ba7988","1","1","137832","https://p.scdn.co/mp3-preview/c6f951260211fc41b260e56606a44195b4777628?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","CH7812415507","spotify:user:soundrop","2024-09-13T11:25:59Z"
"spotify:track:2jY8iXCpM1WEIY5rrmodaz","Swing & Sway","spotify:artist:4y5ZRG0GFlXyExOMnQaoWg, spotify:artist:68SoerIOP3azx4b0nTCyrh","Retronic, Jive Jack","spotify:album:2dbXP4OYFqr3vecHPEfoeN","Swing & Sway","spotify:artist:4y5ZRG0GFlXyExOMnQaoWg, spotify:artist:68SoerIOP3azx4b0nTCyrh","Retronic, Jive Jack","2024-09-25","https://i.scdn.co/image/ab67616d0000b273626c3220724843e091553658","1","1","146999","https://p.scdn.co/mp3-preview/ee44dc6f0fa0e4ae946a0cb904160dca76f1fc9e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","CH7812416787","spotify:user:soundrop","2024-09-27T08:41:39Z"
"spotify:track:00uHnxNJKth2qo2SdDIK1k","Lovefool - Electro Swing Mix","spotify:artist:2i1i4w0EZ19SIJzPhAEp4i","Glenn Gatsby","spotify:album:1DQLuoh4YvX21o1F2xFaNT","Mission Prohibition","spotify:artist:2i1i4w0EZ19SIJzPhAEp4i","Glenn Gatsby","2024-08-23","https://i.scdn.co/image/ab67616d0000b273154f8c766cab8c7ccbe49d57","1","4","194806","https://p.scdn.co/mp3-preview/04e8852d33400fedf66a0a320f0129a434c78863?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","CH7812414380","spotify:user:soundrop","2024-08-30T10:32:24Z"
"spotify:track:35zzVxYKA6y5It1vnFFZUz","Raggy Doll","spotify:artist:6DmqHeHxcu5cQicAfz7aDJ, spotify:artist:5vGFSHIJP1qybpvmu06F2i","Emma Lea, Tom ESC","spotify:album:0URvcOTy2klMAn9qk5o5oG","Raggy Doll","spotify:artist:6DmqHeHxcu5cQicAfz7aDJ, spotify:artist:5vGFSHIJP1qybpvmu06F2i","Emma Lea, Tom ESC","2024-08-30","https://i.scdn.co/image/ab67616d0000b2733d75c2fa08f7d48276d4ab55","1","1","205483","https://p.scdn.co/mp3-preview/78739b8db09161151348a3c0b1b3cdbce5e3b991?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","GB8KE2418616","spotify:user:soundrop","2024-09-06T10:43:26Z"
"spotify:track:4SBUmzOhysoW5SD2PYZk7C","Knock Knock Crazy Dance","spotify:artist:1D9QYipRiTgOfVMGbBiyeC","Musique Boutique","spotify:album:3RfNDsoP0sn0nmwqawbkRW","Knock Knock Crazy Dance","spotify:artist:1D9QYipRiTgOfVMGbBiyeC","Musique Boutique","2024-09-13","https://i.scdn.co/image/ab67616d0000b2739078a7a3f08f6228723af312","1","1","177701","https://p.scdn.co/mp3-preview/6af9c65842d1ce00d5fc313f847fd4d18046bf7d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","CH7812415899","spotify:user:soundrop","2024-09-20T08:49:26Z"
"spotify:track:2k3ITAnkIZ8e5O2QLQ6kND","Little Saturday","spotify:artist:7D5flI7hB9nzew9W2KnKm8","The Fly Guy Five","spotify:album:4yPbunKnIMvzOJOuJlwGV7","Little Saturday","spotify:artist:7D5flI7hB9nzew9W2KnKm8","The Fly Guy Five","2024-07-30","https://i.scdn.co/image/ab67616d0000b2732ef562b9d85bbc88826d95fb","1","1","141987","https://p.scdn.co/mp3-preview/2d6c310fbf4da48205e36d7b6297551c3c7235b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","SE5Q52402312","spotify:user:soundrop","2024-08-30T10:32:24Z"
"spotify:track:1IDLuqGUTQIWpyxM9jorQV","Favela Swing","spotify:artist:1bchORmrFrz4QUD9JhVm8s","LVDS","spotify:album:5myow9120QXJPUUp0M4Ttl","Favela Swing","spotify:artist:1bchORmrFrz4QUD9JhVm8s","LVDS","2024-09-04","https://i.scdn.co/image/ab67616d0000b27394677f1f2c2300818d30ef7e","1","1","159249","https://p.scdn.co/mp3-preview/414a0175d8f36850e300a6a566e4e031a51c22ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","CH7812414584","spotify:user:soundrop","2024-09-06T10:43:26Z"
"spotify:track:6coVGnkLCHmsE0lZkPJPni","Twenties - Betty Booom Remix","spotify:artist:5GImm0oU5MkW7OHkb91jwu, spotify:artist:1TgSFLGyPHVMMJkEJqZq73, spotify:artist:0MCy2uUaKHn4iNMAih50Vg","Wolfgang Lohr, Loredana Grimaudo, Betty Booom","spotify:album:0KchiioViAsUmn1YG07skU","Twenties (Betty Booom Remix)","spotify:artist:5GImm0oU5MkW7OHkb91jwu, spotify:artist:1TgSFLGyPHVMMJkEJqZq73, spotify:artist:0MCy2uUaKHn4iNMAih50Vg","Wolfgang Lohr, Loredana Grimaudo, Betty Booom","2024-07-10","https://i.scdn.co/image/ab67616d0000b27329f0ea10f1a528080d796a3c","1","1","217973","https://p.scdn.co/mp3-preview/8cda55350eaefc5b0f55856ad2fd4c334ff5a20f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","CH7812412983","spotify:user:soundrop","2024-07-12T09:03:06Z"
"spotify:track:6izoTco9XaPXFEZr7FemEj","Ein Tag wie Gold - Electro Swing Mix","spotify:artist:1lIykTsydAXqQKYWLlRH7a, spotify:artist:5GImm0oU5MkW7OHkb91jwu","The Soulmate Project, Wolfgang Lohr","spotify:album:3A3EZC2SjhFdrxOX1HFUqo","Ein Tag wie Gold (Electro Swing Mix)","spotify:artist:1lIykTsydAXqQKYWLlRH7a, spotify:artist:5GImm0oU5MkW7OHkb91jwu","The Soulmate Project, Wolfgang Lohr","2024-08-16","https://i.scdn.co/image/ab67616d0000b273c059e8a421310d916108faf2","1","1","204556","https://p.scdn.co/mp3-preview/c7e27c3b2adb5574657b95a89032aea72783a06a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","CH7812414551","spotify:user:soundrop","2024-08-30T10:32:12Z"
"spotify:track:3iMSwcPf3znAlas9Klw1yD","Endless Night (Waves of 84 Remix)","spotify:artist:4oQFVFnnGSF6iFstCV0b7b","The Swing Bot","spotify:album:5rKly4NVaZW1B3iFYLHE13","Endless Night (Waves of 84 Remix)","spotify:artist:4oQFVFnnGSF6iFstCV0b7b","The Swing Bot","2024-08-30","https://i.scdn.co/image/ab67616d0000b27327f5225d3939082004f0710e","1","1","264483","https://p.scdn.co/mp3-preview/592e4b79ded5bc5ab662d992f9b6b1a73a775767?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","GBJCN2434101","spotify:user:soundrop","2024-08-30T10:32:24Z"
"spotify:track:2wbl2qV95UsqmidoZUg7sX","Pennies From Heaven - Electro Swing Mix","spotify:artist:4MNo9G7XM48L5HtEohmKLC, spotify:artist:67y03uxU2IlGCVCx544bq2","DJ Weide, Bonny Bee","spotify:album:3iUnp0UyeORpqiV4aCXtqe","Pennies From Heaven (Electro Swing Mix)","spotify:artist:4MNo9G7XM48L5HtEohmKLC, spotify:artist:67y03uxU2IlGCVCx544bq2","DJ Weide, Bonny Bee","2024-06-05","https://i.scdn.co/image/ab67616d0000b273e91ad81190a8b5b98cc8a897","1","1","153500","https://p.scdn.co/mp3-preview/5c9575f225e1e27f92c1c34f348ddaa2c1608979?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","CH7812409784","spotify:user:soundrop","2024-06-14T11:08:16Z"
"spotify:track:0onK2I2SqpvmpYvrcUkd2P","Smoke Rings - Swing Hop Mix","spotify:artist:2i1i4w0EZ19SIJzPhAEp4i, spotify:artist:68SoerIOP3azx4b0nTCyrh","Glenn Gatsby, Jive Jack","spotify:album:4QARvbfgA9P3yZkAIONe46","Smoke Rings (Swing Hop Mix)","spotify:artist:2i1i4w0EZ19SIJzPhAEp4i, spotify:artist:68SoerIOP3azx4b0nTCyrh","Glenn Gatsby, Jive Jack","2024-06-26","https://i.scdn.co/image/ab67616d0000b273191d1a093680b76f13124fa2","1","1","105494","https://p.scdn.co/mp3-preview/d3aa478c727467c2282abe9a1b929e19e7a0b9c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","CH7812410945","spotify:user:soundrop","2024-06-28T08:59:10Z"
