"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:7rU41mEvxEGMz3OtEF4suw","Written Emotions - Original Mix","spotify:artist:16yUpGkBRgc2eDMd3bB3Uw","MitiS","spotify:album:0uf7tHNLxD65l6Zk0IqOEx","Straight Up Dubstep! Vol. 5","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2012-09-17","https://i.scdn.co/image/ab67616d0000b273b8e8f90ba854250a15ccb05c","1","8","283272","https://p.scdn.co/mp3-preview/15bf603a7b9aab17cf3703cf315fc294898cb0df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","US8DZ1200980","spotify:user:pivimkh","2015-01-04T20:08:13Z"
"spotify:track:10ZPH4BRelQTWzP2jZCsAt","Cinema - Skrillex Remix","spotify:artist:4Ws2otunReOa6BbwxxpCt6, spotify:artist:6beTArFVpUujvkHi9FVPqs","Benny Benassi, Gary Go","spotify:album:1fxkuyz7vpXJLuRtkkoEMT","Electroman","spotify:artist:4Ws2otunReOa6BbwxxpCt6","Benny Benassi","2011","https://i.scdn.co/image/ab67616d0000b273fcf2b95a6549d333217349b2","1","14","308026","https://p.scdn.co/mp3-preview/6d1c8e6cae87c4a28c67099dbb53a8a2f53538f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUS11000977","spotify:user:pivimkh","2015-01-04T20:08:13Z"
"spotify:track:5i7fZq3chLyCHo3VeB6goD","First of the Year (Equinox)","spotify:artist:5he5w2lnU9x7JFhnwcekXX","Skrillex","spotify:album:7ltvnXQCjQRwTlMy55XcCz","More Monsters and Sprites EP","spotify:artist:5he5w2lnU9x7JFhnwcekXX","Skrillex","2011-06-07","https://i.scdn.co/image/ab67616d0000b273d3004c7f9c57d391bbdb0850","1","1","261517","https://p.scdn.co/mp3-preview/d0e18e357256f2b94131079eac9d6dc5d4314cd9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USAT21100831","spotify:user:pivimkh","2015-01-04T20:08:13Z"
"spotify:track:6AbVJjzv7thIvmMCuhZrmK","Make It Bun Dem","spotify:artist:5he5w2lnU9x7JFhnwcekXX, spotify:artist:3QJzdZJYIAcoET1GcfpNGi","Skrillex, Damian Marley","spotify:album:381oom8nio77eU6BuUb4UO","Make It Bun Dem","spotify:artist:5he5w2lnU9x7JFhnwcekXX, spotify:artist:3QJzdZJYIAcoET1GcfpNGi","Skrillex, Damian Marley","2012-05-01","https://i.scdn.co/image/ab67616d0000b273599d75148c77c356edd9ea6f","1","1","213696","https://p.scdn.co/mp3-preview/c8f71b4d3cc1c18ac4d9ab019cbd030213e03643?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USAT21202262","spotify:user:pivimkh","2015-01-04T20:08:13Z"
"spotify:track:5f6igUw1asUL4AGXSvgTW8","Levels - Skrillex Remix","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6, spotify:artist:5he5w2lnU9x7JFhnwcekXX","Avicii, Skrillex","spotify:album:42z0CzDpHpFYXLmKIk6NuC","Levels (Remixes)","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2011-12-16","https://i.scdn.co/image/ab67616d0000b27398b2942df06b3ec74223920c","1","1","281146","https://p.scdn.co/mp3-preview/6904a2e39eafee6c29f024735dd7a70172a988d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","SEUM71101146","spotify:user:pivimkh","2015-01-04T20:08:13Z"
"spotify:track:6I9sncEmtGc9rpKyb8U1f8","Kill EVERYBODY","spotify:artist:5he5w2lnU9x7JFhnwcekXX","Skrillex","spotify:album:35tQBmq1RblVUzAvfsw5uO","Scary Monsters and Nice Sprites EP","spotify:artist:5he5w2lnU9x7JFhnwcekXX","Skrillex","2010-12-21","https://i.scdn.co/image/ab67616d0000b27381cfaf3b1359f7b579ea05e5","1","3","297986","https://p.scdn.co/mp3-preview/5ec21c9fc79638957c32bc2e941209b33834092d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBTDG1000197","spotify:user:pivimkh","2015-01-04T20:08:13Z"
"spotify:track:2l01nCr1aULfmyLs9phUE5","Scatta (feat. Foreign Beggars & Bare Noize)","spotify:artist:5he5w2lnU9x7JFhnwcekXX, spotify:artist:1rMry8Rh7VRoaKFWezSaMB, spotify:artist:0sQ1wgSdRpoysgsa1VnI4G","Skrillex, Bare Noize, Foreign Beggars","spotify:album:6HbNEBza64W10MQxUFq6QL","Scary Monsters and Nice Sprites (Deluxe Tour Edition)","spotify:artist:5he5w2lnU9x7JFhnwcekXX","Skrillex","2010-12-21","https://i.scdn.co/image/ab67616d0000b2730d9a6a2a68b4010c5b21a38c","1","5","234891","https://p.scdn.co/mp3-preview/4f384b04411d19e6aacd62ecb56650c2d961e23b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBTDG1000199","spotify:user:pivimkh","2015-01-04T20:08:13Z"
"spotify:track:5bPokvOlgW9dRySVnVmyJ9","Scary Monsters and Nice Sprites - Noisia Remix","spotify:artist:5he5w2lnU9x7JFhnwcekXX, spotify:artist:4YWj8sohRDjL9deiuRvEEY","Skrillex, Noisia","spotify:album:6HbNEBza64W10MQxUFq6QL","Scary Monsters and Nice Sprites (Deluxe Tour Edition)","spotify:artist:5he5w2lnU9x7JFhnwcekXX","Skrillex","2010-12-21","https://i.scdn.co/image/ab67616d0000b2730d9a6a2a68b4010c5b21a38c","1","7","204154","https://p.scdn.co/mp3-preview/e23cd3d5237daca56e0f12e20b7a75f56c7550f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","GBTDG1000201","spotify:user:pivimkh","2015-01-04T20:08:13Z"
"spotify:track:1yUkvI4Pv8mbJ8VRvmAVP9","Holdin' On - Skrillex & Nero Remix","spotify:artist:3yWCAtesP5BFtJnBbgfv8b","I See MONSTAS","spotify:album:0H5uAcAnAZWbnwWSqtXJFJ","I See Monstas","spotify:artist:3yWCAtesP5BFtJnBbgfv8b","I See MONSTAS","2012-10-23","https://i.scdn.co/image/ab67616d0000b273c6e758a19eb59a5f31c7504c","1","1","237241","https://p.scdn.co/mp3-preview/231bfacb33fad2eedb6e74af5cc17fa9812d6eaa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USQY51320574","spotify:user:pivimkh","2015-01-04T20:08:13Z"
"spotify:track:3bbtEl3UDzQn0ti5TqPtRH","Sunlight","spotify:artist:5zYJziKktyqWwmoAWXrShP","Modestep","spotify:album:106OFKaEPbbSgh4X9LjNJj","Sunlight (2011)","spotify:artist:5zYJziKktyqWwmoAWXrShP","Modestep","2011-01-01","https://i.scdn.co/image/ab67616d0000b27306cb9a51f5ed75ca99fed62e","1","1","230120","https://p.scdn.co/mp3-preview/b7730444a903ac4380c463bf0d08c253ebd97cb0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBUM71104769","spotify:user:pivimkh","2015-01-04T20:08:13Z"
