"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:4xLBViRSAqsg0zK8xUl23o","Mercedes (feat. Papa V)","spotify:artist:1V4Yspflqmghgh91FQJW9n, spotify:artist:0vAALEhfbmllIOX1t7k5KU","Kuremino, Papa V","spotify:album:1JTbdGtXi6D1y4o9s0SSUW","9K","spotify:artist:1V4Yspflqmghgh91FQJW9n","Kuremino","2024-09-26","https://i.scdn.co/image/ab67616d0000b27391b2ce3aed2e8344dc743076","1","4","137957","https://p.scdn.co/mp3-preview/72bf526f9b546b6a39704aebcc2c8442d3caa65c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","ITUM72401093","spotify:user:hl5mhshhm4jh9kzfw342abfgk","2024-09-29T15:15:50Z"
"spotify:track:5qV4HuHG5pJYrIIvfAuo55","Dissennatori (feat. Artie 5ive)","spotify:artist:1LGeIi5WWtxGRavjH50STe, spotify:artist:5VTNrKBvvSe0NdWMW8qTwa, spotify:artist:2R4kNOwHUUsuDYhKsESVbF","Melons, Ddusi, Artie 5ive","spotify:album:3hTj9C1jqATON2UDb4vvzz","Osama 2","spotify:artist:1LGeIi5WWtxGRavjH50STe","Melons","2024-09-27","https://i.scdn.co/image/ab67616d0000b2734cc16d9643fc300a49519ff6","1","2","167272","https://p.scdn.co/mp3-preview/acd7468ebb5be784c81675d8b107036ce96c56a9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","ITTQB2400053","spotify:user:hl5mhshhm4jh9kzfw342abfgk","2024-09-29T15:16:07Z"
"spotify:track:0fsWQEJigMTXNrLKq179Y4","MOCRO SCHOOL (feat. Yunes LaGrintaa, Hani, Kassimi)","spotify:artist:1CGjnYcvLGQhbAGVIR8aBW, spotify:artist:2Ny7KtAFxJ0Ac3FPBiClWW, spotify:artist:4kuGWktJ7E7vy1Ttz5QNv4, spotify:artist:2SLBMi00NHiYhfnJ36aTvd","Fre_nky, Yunes LaGrintaa, Hani, Kassimi","spotify:album:4eIDWt7ND4Dq8e5IrLcD3e","N.47","spotify:artist:1CGjnYcvLGQhbAGVIR8aBW","Fre_nky","2024-09-27","https://i.scdn.co/image/ab67616d0000b273b644e4c23dd71d333e914d37","1","1","277647","https://p.scdn.co/mp3-preview/c6ce3c4c361eb5090ccf19cfb03b61178ca696fd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","ITQ002401306","spotify:user:hl5mhshhm4jh9kzfw342abfgk","2024-09-29T15:16:44Z"
"spotify:track:5TjFfUhKdmUVGUfKUq4FIs","FAI L'UOMO (feat. Mondo Marcio)","spotify:artist:7lfWprbkwMtTCuOoKGoYNt, spotify:artist:6Fd10Q3sQq1NsvpFTlvMsN, spotify:artist:7CYwuhZwBcxavIrRhnZxQc","Heartman, Mondo Marcio, Yazee","spotify:album:3RnfH34u4stBu0eYKCFGMd","FAI L'UOMO (feat. Mondo Marcio)","spotify:artist:7lfWprbkwMtTCuOoKGoYNt, spotify:artist:6Fd10Q3sQq1NsvpFTlvMsN, spotify:artist:7CYwuhZwBcxavIrRhnZxQc","Heartman, Mondo Marcio, Yazee","2024-09-27","https://i.scdn.co/image/ab67616d0000b273a064ab7a17d895f08fcfaa22","1","1","164911","https://p.scdn.co/mp3-preview/410bedce395a92a7ab6f91150e2bba291b0ad4a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","ITM382400185","spotify:user:hl5mhshhm4jh9kzfw342abfgk","2024-09-29T15:16:31Z"
"spotify:track:3yMPFIdu0UpkYfJUrFJGAp","DAVVERO","spotify:artist:3DzlFEEKyk4jj7FuYnJSZZ, spotify:artist:5PVCzkHVhVLRLadPdJUdXB, spotify:artist:0wBVwV8gukXKLSrVjQVJTE","Macello, 18K, 4997","spotify:album:76FAJXP4DcfHlnZj8fBCty","DAVVERO","spotify:artist:3DzlFEEKyk4jj7FuYnJSZZ, spotify:artist:5PVCzkHVhVLRLadPdJUdXB, spotify:artist:0wBVwV8gukXKLSrVjQVJTE","Macello, 18K, 4997","2024-09-20","https://i.scdn.co/image/ab67616d0000b2738674610d8b079e78535f3f1b","1","1","193846","https://p.scdn.co/mp3-preview/6019e611f25cdaec4c16828fbf83b456d9d99c06?cid=9950ac751e34487dbbe027c4fd7f8e99","true","40","QZTBE2459795","spotify:user:hl5mhshhm4jh9kzfw342abfgk","2024-09-22T15:50:43Z"
"spotify:track:64GKrQAVK4FkHADJyypJrh","RAS","spotify:artist:36d2YCS9iJeuNEMS5PLps7","Bekkeria","spotify:album:7quU1MPOiGK5vpcXZ8CWUp","RAS","spotify:artist:36d2YCS9iJeuNEMS5PLps7","Bekkeria","2024-09-13","https://i.scdn.co/image/ab67616d0000b2736fd4b19231022b4d5a6ddeaa","1","1","180310","https://p.scdn.co/mp3-preview/8a3f51d6ca2f4238f6613ba4d55b25a5d3faee91?cid=9950ac751e34487dbbe027c4fd7f8e99","true","21","ITYKP2400015","spotify:user:hl5mhshhm4jh9kzfw342abfgk","2024-09-22T15:48:12Z"
"spotify:track:2PITEsf2iAwNBAH4FBVNCr","DRIP (feat. Simba La Rue)","spotify:artist:6cE2WyjXwngsJynb3uk1WO, spotify:artist:2iRUfXetAwNoxIN42BQ5hq, spotify:artist:2PEMswqQspTSsAltdeF5kO","Néza, FT Kings, Simba La Rue","spotify:album:0XG50AZzowdXkiVcePYgPs","DRIP (feat. Simba La Rue)","spotify:artist:6cE2WyjXwngsJynb3uk1WO, spotify:artist:2iRUfXetAwNoxIN42BQ5hq, spotify:artist:2PEMswqQspTSsAltdeF5kO","Néza, FT Kings, Simba La Rue","2024-09-20","https://i.scdn.co/image/ab67616d0000b273ad9a61eae036981eb5e15893","1","1","133548","https://p.scdn.co/mp3-preview/ac6f90acff5326afea63d40ba1a0a8e3aa17fd57?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","IT9VB2411116","spotify:user:hl5mhshhm4jh9kzfw342abfgk","2024-09-22T15:47:09Z"
"spotify:track:45xmYIV3MJyA3Ei1VKY3Cy","DIEGO DIEGO","spotify:artist:5UylpZwZKc12wY1kBQuC3p","BADMAN","spotify:album:68r0qWuu0QjzwSxqBXNGNd","DIEGO DIEGO","spotify:artist:5UylpZwZKc12wY1kBQuC3p","BADMAN","2024-09-20","https://i.scdn.co/image/ab67616d0000b273b4fd98cdffa6116126953d5c","1","1","121785","https://p.scdn.co/mp3-preview/66b7879dfcd5d7c9b9ba179ff30ebb86cf18c820?cid=9950ac751e34487dbbe027c4fd7f8e99","true","22","ITVU12400011","spotify:user:hl5mhshhm4jh9kzfw342abfgk","2024-09-22T15:49:45Z"
"spotify:track:4HeOiMGIHqTbknru5JDOT2","VIEN","spotify:artist:6egOVydoArbWCk87BHbf2F, spotify:artist:0vAALEhfbmllIOX1t7k5KU","Rue Diego, Papa V","spotify:album:07lUE05Kpe2i0K7u8jgZm5","VIEN","spotify:artist:6egOVydoArbWCk87BHbf2F, spotify:artist:0vAALEhfbmllIOX1t7k5KU","Rue Diego, Papa V","2024-09-19","https://i.scdn.co/image/ab67616d0000b273f27a62c515533f7bcb1a3024","1","1","126060","https://p.scdn.co/mp3-preview/cca6eab7a73dd141d8d35fb2e9eeab85ce594f32?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","ITTJD2400005","spotify:user:hl5mhshhm4jh9kzfw342abfgk","2024-09-22T15:47:22Z"
"spotify:track:5j8kpzB89BYpAI62Odv7NO","7 Colpi","spotify:artist:4bvY1rC6kHzkbt2ome594m","Scaccia","spotify:album:7AlKB6Djrl8f2voxGmlwYI","7 Colpi","spotify:artist:4bvY1rC6kHzkbt2ome594m","Scaccia","2024-09-20","https://i.scdn.co/image/ab67616d0000b273c8384d0218c402cb53a1d21f","1","1","107998","https://p.scdn.co/mp3-preview/97829865cb0933cca0a5d7275b129fbd4ef4d8ca?cid=9950ac751e34487dbbe027c4fd7f8e99","true","32","ITYKP2400017","spotify:user:hl5mhshhm4jh9kzfw342abfgk","2024-09-22T15:48:22Z"
