"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:7G2nbVN4BploMoPEikh7Yl","Come Taste The Rainbow","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","spotify:album:2oKuUzfRZt1ECns933beiE","The Evolution of Man","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","2012-11-19","https://i.scdn.co/image/ab67616d0000b27378243406fb9f24045b8b388a","1","1","251607","https://p.scdn.co/mp3-preview/f99b897f70844167a82119a0f571f3107b6ddac7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCEN1201189","spotify:user:pivimkh","2015-01-04T03:16:39Z"
"spotify:track:2qRaaiKwZ77H3Jk2Cax4Oh","Close Enemies","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","spotify:album:2oKuUzfRZt1ECns933beiE","The Evolution of Man","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","2012-11-19","https://i.scdn.co/image/ab67616d0000b27378243406fb9f24045b8b388a","1","2","262910","https://p.scdn.co/mp3-preview/ee479cf984a66c72cf0d232dc7361c11f6ad5529?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCEN1201265","spotify:user:pivimkh","2015-01-04T03:16:39Z"
"spotify:track:5MPdmn3kmrARhTPbTXicm2","Perfect Replacement","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","spotify:album:2oKuUzfRZt1ECns933beiE","The Evolution of Man","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","2012-11-19","https://i.scdn.co/image/ab67616d0000b27378243406fb9f24045b8b388a","1","3","207678","https://p.scdn.co/mp3-preview/cc537a6de8f704bd217c368602e269f9689622a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCEN1201191","spotify:user:pivimkh","2015-01-04T03:16:39Z"
"spotify:track:2NuxZ3fQDNEn6xIxatpBhh","Crying Out For Help","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","spotify:album:2oKuUzfRZt1ECns933beiE","The Evolution of Man","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","2012-11-19","https://i.scdn.co/image/ab67616d0000b27378243406fb9f24045b8b388a","1","4","253512","https://p.scdn.co/mp3-preview/e100463e287a327bb771962e439cff6844249ccd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCEN1201262","spotify:user:pivimkh","2015-01-04T03:16:39Z"
"spotify:track:2my2FiXT7puXlTu8UCty8Z","Queen of Your Dreams","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","spotify:album:2oKuUzfRZt1ECns933beiE","The Evolution of Man","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","2012-11-19","https://i.scdn.co/image/ab67616d0000b27378243406fb9f24045b8b388a","1","5","192014","https://p.scdn.co/mp3-preview/739fa3fe99550096c6aea4dca83ff85adccf82d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCEN1201263","spotify:user:pivimkh","2015-01-04T03:16:39Z"
"spotify:track:5LfOweG8acvYEHLWFf1rnN","Say Nothing - Radio Edit","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","spotify:album:2oKuUzfRZt1ECns933beiE","The Evolution of Man","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","2012-11-19","https://i.scdn.co/image/ab67616d0000b27378243406fb9f24045b8b388a","1","6","222640","https://p.scdn.co/mp3-preview/e2300a9a7fcd1cee803dcdf62a47d200e5f77cc8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCEN1201008","spotify:user:pivimkh","2015-01-04T03:16:39Z"
"spotify:track:1BziSbToREHNBi1jzHn6e9","All My Lows","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","spotify:album:2oKuUzfRZt1ECns933beiE","The Evolution of Man","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","2012-11-19","https://i.scdn.co/image/ab67616d0000b27378243406fb9f24045b8b388a","1","7","350438","https://p.scdn.co/mp3-preview/6c36b589f1fbeba3b666dcb8b44d738061ad95a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCEN1201192","spotify:user:pivimkh","2015-01-04T03:16:39Z"
"spotify:track:23BjN98IO34Or0x4Fn1a8y","The Evolution of Man","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","spotify:album:2oKuUzfRZt1ECns933beiE","The Evolution of Man","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","2012-11-19","https://i.scdn.co/image/ab67616d0000b27378243406fb9f24045b8b388a","1","8","236970","https://p.scdn.co/mp3-preview/07f4bba94d0974ff6c27ed81016ba7f6008cd53c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCEN1201193","spotify:user:pivimkh","2015-01-04T03:16:39Z"
"spotify:track:2BUyVd8mcwvZL4rFcNwmPD","One Way Mirror","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","spotify:album:2oKuUzfRZt1ECns933beiE","The Evolution of Man","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","2012-11-19","https://i.scdn.co/image/ab67616d0000b27378243406fb9f24045b8b388a","1","9","279149","https://p.scdn.co/mp3-preview/a6fb72197396f4778fc4493d84013a6f05f2165c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCEN1201266","spotify:user:pivimkh","2015-01-04T03:16:39Z"
"spotify:track:5QlAqabJuxZXOkqiK0oEK4","Snakeskin","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","spotify:album:2oKuUzfRZt1ECns933beiE","The Evolution of Man","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","2012-11-19","https://i.scdn.co/image/ab67616d0000b27378243406fb9f24045b8b388a","1","10","261958","https://p.scdn.co/mp3-preview/72c0883a00d9d6cd55a4be304fafab27ff6ef216?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCEN1201267","spotify:user:pivimkh","2015-01-04T03:16:39Z"
"spotify:track:4q7QZ0YRnvFZq3BC92ayw8","Blood From A Stone","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","spotify:album:2oKuUzfRZt1ECns933beiE","The Evolution of Man","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","2012-11-19","https://i.scdn.co/image/ab67616d0000b27378243406fb9f24045b8b388a","1","11","289885","https://p.scdn.co/mp3-preview/784b3ae49dce9f6650562b9bb67dd4ab7e2a2fb5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCEN1201268","spotify:user:pivimkh","2015-01-04T03:16:39Z"
"spotify:track:40REbwUlv4nJy6PX2rgBA2","Are You Sitting Comfortably?","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","spotify:album:2oKuUzfRZt1ECns933beiE","The Evolution of Man","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","2012-11-19","https://i.scdn.co/image/ab67616d0000b27378243406fb9f24045b8b388a","1","12","217067","https://p.scdn.co/mp3-preview/d94528c8bd931bb95a3fe42418693248d235d3a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCEN1201269","spotify:user:pivimkh","2015-01-04T03:16:39Z"
"spotify:track:1LEUoZqCZ7aJQZiaeu6AGy","We’ll Be Coming Back","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Calvin Harris, Example","spotify:album:2oKuUzfRZt1ECns933beiE","The Evolution of Man","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","2012-11-19","https://i.scdn.co/image/ab67616d0000b27378243406fb9f24045b8b388a","1","13","236467","https://p.scdn.co/mp3-preview/6e203c4db9b8d807282a610240d980d3f5f60a72?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBARL1200642","spotify:user:pivimkh","2015-01-04T03:16:39Z"
"spotify:track:7HOAFZvAX87A5MVr2FJVLH","Skies Don’t Lie","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","spotify:album:5GOWAMssLctXwAkTFVghau","Playing In The Shadows","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","2011-01-01","https://i.scdn.co/image/ab67616d0000b273158fd1ca61db332c7ca5f3dc","1","1","265280","https://p.scdn.co/mp3-preview/9083524a2ddef0085ea8d74ef6572fcf873d7b6b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCEN1101216","spotify:user:pivimkh","2015-01-04T03:16:39Z"
"spotify:track:1QQWjRwOJRRaPE45bK6LVV","Stay Awake","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","spotify:album:5GOWAMssLctXwAkTFVghau","Playing In The Shadows","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","2011-01-01","https://i.scdn.co/image/ab67616d0000b273158fd1ca61db332c7ca5f3dc","1","2","204360","https://p.scdn.co/mp3-preview/a711bde1e6988037c2362dbf4b4e2b7986ed3741?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCEN1101217","spotify:user:pivimkh","2015-01-04T03:16:39Z"
"spotify:track:6A7rxFwKFYoSMVZQeBJE30","Changed The Way You Kiss Me","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","spotify:album:5GOWAMssLctXwAkTFVghau","Playing In The Shadows","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","2011-01-01","https://i.scdn.co/image/ab67616d0000b273158fd1ca61db332c7ca5f3dc","1","3","192840","https://p.scdn.co/mp3-preview/eb29b78b4f2792b6652d58bff479a4be0974abc8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCEN1101218","spotify:user:pivimkh","2015-01-04T03:16:39Z"
"spotify:track:7b7Z2lQV75Zlv4cK7E0WQB","The Way","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","spotify:album:5GOWAMssLctXwAkTFVghau","Playing In The Shadows","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","2011-01-01","https://i.scdn.co/image/ab67616d0000b273158fd1ca61db332c7ca5f3dc","1","4","268826","https://p.scdn.co/mp3-preview/b394a11055213234b1182b2e79507551fba1ebaf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCEN1101219","spotify:user:pivimkh","2015-01-04T03:16:39Z"
"spotify:track:4vZXSZrsC7BEsxOp5D0H6n","Natural Disaster - Laidback Luke vs. Example - Album Extended","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW, spotify:artist:53cQZtWDwDJwVCNZlfJ6Qk","Example, Laidback Luke","spotify:album:5GOWAMssLctXwAkTFVghau","Playing In The Shadows","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","2011-01-01","https://i.scdn.co/image/ab67616d0000b273158fd1ca61db332c7ca5f3dc","1","5","305866","https://p.scdn.co/mp3-preview/d730428c3f288f63123a894b25790647de735e59?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCEN1101220","spotify:user:pivimkh","2015-01-04T03:16:39Z"
