"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:1PpfeNl5uYRBhfFcig2Uz6","19-2000 - Soulchild Remix","spotify:artist:3AA28KZvwAUcZuOKwyblJQ","Gorillaz","spotify:album:4tUxQkrduOE8sfgwJ5BI2F","Gorillaz","spotify:artist:3AA28KZvwAUcZuOKwyblJQ","Gorillaz","2001-03-26","https://i.scdn.co/image/ab67616d0000b273f6c46838e4425ea96e2562fe","1","17","209386","https://p.scdn.co/mp3-preview/e5ac585c06184af16f344483d87a14c801a8c480?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBAYE0100564","spotify:user:11135692880","2021-04-28T05:11:57Z"
"spotify:track:0mr34YS5FIX0b2mi03HuhE","Já Sei Namorar - 2004 Digital Remaster","spotify:artist:4laQz4PaKeh2Hu6QL6evVD","Tribalistas","spotify:album:3TfJKyVNYU2Q56EVDWgkXH","Tribalistas","spotify:artist:4laQz4PaKeh2Hu6QL6evVD","Tribalistas","2002","https://i.scdn.co/image/ab67616d0000b27331b082597f724c33276ae4ce","1","12","196986","https://p.scdn.co/mp3-preview/dfafe413932f0a37dbb72c16d4887307dc31669f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","BRONE0400012","spotify:user:11135692880","2021-04-28T05:11:57Z"
"spotify:track:1t8TCORVxdItzE3zy1X0tv","L.S.F.","spotify:artist:11wRdbnoYqRddKBrpHt4Ue","Kasabian","spotify:album:0VyDvw4MT9XDoSzE24yBCc","Kasabian","spotify:artist:11wRdbnoYqRddKBrpHt4Ue","Kasabian","2004-01-30","https://i.scdn.co/image/ab67616d0000b273558be881d52a45a43ca9578b","1","6","197600","https://p.scdn.co/mp3-preview/0a98ac20e0b399e7d529164b80c8d2ce40262dc1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBARL0400609","spotify:user:11135692880","2021-04-28T05:11:57Z"
"spotify:track:2f14Vwn28w1soYnolluueL","Young Folks","spotify:artist:6u11Qbko2N2hP4lTBYjX86","Peter Bjorn and John","spotify:album:3IwEf97aLsY6O517SFJiLa","Electronic Beats Collectables Volume 1 Digital","spotify:artist:01WRXWwb8qCeMyLOPQ3Otc","Electronic Beats","2007-10-19","https://i.scdn.co/image/ab67616d0000b273cc543efc9a8e1eaf9a0ba832","1","11","278719","https://p.scdn.co/mp3-preview/38f624104fa4ca3f5d250cdb80e46fca58678c85?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ATW050777560","spotify:user:11135692880","2021-04-28T05:11:57Z"
"spotify:track:1jJci4qxiYcOHhQR247rEU","Kids","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:6mm1Skz3JE6AXneya9Nyiv","Oracular Spectacular","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2007-12-14","https://i.scdn.co/image/ab67616d0000b2738b32b139981e79f2ebe005eb","1","5","302840","https://p.scdn.co/mp3-preview/efb065069d22384206b0fc703c6f99734d33411d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USSM10702135","spotify:user:11135692880","2021-04-28T05:11:57Z"
"spotify:track:5QK2sScML06601G6K7mOtD","Can't Sleep - Radio Edit","spotify:artist:5kp9Qhzri9LrDkzrtjt5Sh","Adrian Lux","spotify:album:6BkZfIX1UOG3sa3cB7jJtA","Adrian Lux","spotify:artist:5kp9Qhzri9LrDkzrtjt5Sh","Adrian Lux","2012-04-03","https://i.scdn.co/image/ab67616d0000b273ede59cf72d4c5333b110c048","1","5","191373","https://p.scdn.co/mp3-preview/3c51c2a824790ffceb7c29deed36f19e27acd186?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUS11000384","spotify:user:11135692880","2021-04-28T05:11:57Z"
"spotify:track:2TffLAylCcpWANRIuUCwDg","Tighten Up","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","spotify:album:11MXME31usZz8K3Gd7WHCp","Tighten Up","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","2010-04-13","https://i.scdn.co/image/ab67616d0000b273c40f1baee7afa2d0d7ce88e7","1","1","211080","https://p.scdn.co/mp3-preview/8a50a06177898374f5c2c3d42bcc995f2bb57cfb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","USNO11000078","spotify:user:11135692880","2021-04-28T05:11:57Z"
"spotify:track:5K6TfvT7sKAuEatUpHVvPQ","Odessa","spotify:artist:4aEnNH9PuU1HF3TsZTru54","Caribou","spotify:album:0UP8fME7u9wS7mSQlkzCCO","Swim","spotify:artist:4aEnNH9PuU1HF3TsZTru54","Caribou","2010-04-20","https://i.scdn.co/image/ab67616d0000b2737d276068e4bfbb9bfebef00d","1","1","315506","https://p.scdn.co/mp3-preview/76b3d5f4f397d5936373701e1386b4400b36bd9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","DED621000414","spotify:user:11135692880","2021-04-28T05:11:57Z"
"spotify:track:0tkF0KZHvO1wttR02Hq9T0","El Bombo (Tequemen El Bombo)","spotify:artist:6tkyhGe9hGI3Lcfo4gVh6Z","ChocQuibTown","spotify:album:4PaA3ptu4gX6D3pkbZEzkd","Oro","spotify:artist:6tkyhGe9hGI3Lcfo4gVh6Z","ChocQuibTown","2010-03-02","https://i.scdn.co/image/ab67616d0000b273aa1ddfee56c3020b049bd41d","1","3","215640","https://p.scdn.co/mp3-preview/0841e8ce50d7f91da788aa79b8462ed3d36dae0f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","US66W0901749","spotify:user:11135692880","2021-04-28T05:11:57Z"
"spotify:track:2cC48Dvkkw5YK9rLIr83OG","Don't Turn the Lights On","spotify:artist:2mV8aJphiSHYJf43DxL7Gt","Chromeo","spotify:album:7iZU6KMPD0iT7QqtMkTmL1","Business Casual","spotify:artist:2mV8aJphiSHYJf43DxL7Gt","Chromeo","2010-09-13","https://i.scdn.co/image/ab67616d0000b27394d575ac1724df66089721dc","1","4","272453","https://p.scdn.co/mp3-preview/a3b575401919f070221bc4b8cb03deeb30ee60b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","USAT21001137","spotify:user:11135692880","2021-04-28T05:11:57Z"
