"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:3yvZ1VUso9Xi7EvIyLaj4o","Royals","spotify:artist:163tK9Wjr9P9DmM0AVK7lm","Lorde","spotify:album:3Ywlsvgu3H6L3q9NHydNR3","Pure Heroine","spotify:artist:163tK9Wjr9P9DmM0AVK7lm","Lorde","2013-01-01","https://i.scdn.co/image/ab67616d0000b27387d0bed9a1173c7fdc6f85c4","1","3","190185","https://p.scdn.co/mp3-preview/a55bfd8c565813d4ca388bac8c9fcf7779e49f6a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","NZUM71200031","spotify:user:11135692880","2017-04-29T01:52:12Z"
"spotify:track:5KcYtdjhsQrNNMjJOSAUEz","Team","spotify:artist:163tK9Wjr9P9DmM0AVK7lm","Lorde","spotify:album:3Ywlsvgu3H6L3q9NHydNR3","Pure Heroine","spotify:artist:163tK9Wjr9P9DmM0AVK7lm","Lorde","2013-01-01","https://i.scdn.co/image/ab67616d0000b27387d0bed9a1173c7fdc6f85c4","1","6","193058","https://p.scdn.co/mp3-preview/48fffa154188d885e332e8980b2a6a0f021c5f6c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","NZUM71300124","spotify:user:11135692880","2017-04-29T01:52:12Z"
"spotify:track:5WNF8VIyabNOd3mVKVKtfL","Tennis Court","spotify:artist:163tK9Wjr9P9DmM0AVK7lm","Lorde","spotify:album:3Ywlsvgu3H6L3q9NHydNR3","Pure Heroine","spotify:artist:163tK9Wjr9P9DmM0AVK7lm","Lorde","2013-01-01","https://i.scdn.co/image/ab67616d0000b27387d0bed9a1173c7fdc6f85c4","1","1","198907","https://p.scdn.co/mp3-preview/7ca6e3b780c6c1ad469b9cec692f85cc2cf7fe80?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","NZUM71300023","spotify:user:11135692880","2017-04-29T01:52:12Z"
"spotify:track:5LYQSNHZxEA880URXFHg6h","Lust for Life (with The Weeknd)","spotify:artist:00FQb4jTyendYWaN8pK0wa, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","Lana Del Rey, The Weeknd","spotify:album:36HlMFtb9FiBpglTJqZUmZ","Lust for Life (with The Weeknd)","spotify:artist:00FQb4jTyendYWaN8pK0wa, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","Lana Del Rey, The Weeknd","2017-04-19","https://i.scdn.co/image/ab67616d0000b273cc907289ff9b1a11a9aa7aae","1","1","264011","https://p.scdn.co/mp3-preview/9769a2606db7ff3280d9e976afe4cba6292fd09c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBUM71701127","spotify:user:11135692880","2017-04-29T01:52:20Z"
"spotify:track:5UzTtUZper0CphnqZYvsIu","Young And Beautiful","spotify:artist:00FQb4jTyendYWaN8pK0wa","Lana Del Rey","spotify:album:4X0NHS8CbsJVAMBxhSaHtD","Young And Beautiful","spotify:artist:00FQb4jTyendYWaN8pK0wa","Lana Del Rey","2013-04-23","https://i.scdn.co/image/ab67616d0000b273254deb29b1e07b974e38c182","1","1","236053","https://p.scdn.co/mp3-preview/6da9d2d9c70066c8052a8b4b0b66d3c447cdf33c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBUM71301823","spotify:user:11135692880","2017-04-29T01:52:20Z"
"spotify:track:4ZA9Wslz50PEWECwtv52pC","Jerome","spotify:artist:100sLnojEpcadRx4edEBA6","Zella Day","spotify:album:2m7sthMgHCs8Tm9m0kfM63","Kicker","spotify:artist:100sLnojEpcadRx4edEBA6","Zella Day","2015-01-01","https://i.scdn.co/image/ab67616d0000b2736db37b93dbfe59294b003ca4","1","1","212720","https://p.scdn.co/mp3-preview/da831dee7b678b2b9e98c49b9966f58ba46984fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USHR11536246","spotify:user:11135692880","2017-04-29T01:52:30Z"
"spotify:track:1jgFBgIUIOAFSotrZIOUTg","High","spotify:artist:100sLnojEpcadRx4edEBA6","Zella Day","spotify:album:2m7sthMgHCs8Tm9m0kfM63","Kicker","spotify:artist:100sLnojEpcadRx4edEBA6","Zella Day","2015-01-01","https://i.scdn.co/image/ab67616d0000b2736db37b93dbfe59294b003ca4","1","2","217800","https://p.scdn.co/mp3-preview/c7d00208047f6157025f45dfa6d58fe61ab6e9c1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USHR11536247","spotify:user:11135692880","2017-04-29T01:52:30Z"
"spotify:track:1IH3J28dADEDxpMXBGQUCP","Ace of Hearts","spotify:artist:100sLnojEpcadRx4edEBA6","Zella Day","spotify:album:2m7sthMgHCs8Tm9m0kfM63","Kicker","spotify:artist:100sLnojEpcadRx4edEBA6","Zella Day","2015-01-01","https://i.scdn.co/image/ab67616d0000b2736db37b93dbfe59294b003ca4","1","3","217573","https://p.scdn.co/mp3-preview/f6e957cfa37cec80dbc2a3670739a60b9308e6f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USHR11536248","spotify:user:11135692880","2017-04-29T01:52:30Z"
"spotify:track:3EmQVnfu66ykBrL7Ul8KC2","1965","spotify:artist:100sLnojEpcadRx4edEBA6","Zella Day","spotify:album:2m7sthMgHCs8Tm9m0kfM63","Kicker","spotify:artist:100sLnojEpcadRx4edEBA6","Zella Day","2015-01-01","https://i.scdn.co/image/ab67616d0000b2736db37b93dbfe59294b003ca4","1","4","218546","https://p.scdn.co/mp3-preview/eeebfe7e8229ff297dbfac7fce617267db492eff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TCABY1452029","spotify:user:11135692880","2017-04-29T01:52:30Z"
"spotify:track:6Y6Z0DqcNrtN4Yh0a1iURq","East of Eden","spotify:artist:100sLnojEpcadRx4edEBA6","Zella Day","spotify:album:2m7sthMgHCs8Tm9m0kfM63","Kicker","spotify:artist:100sLnojEpcadRx4edEBA6","Zella Day","2015-01-01","https://i.scdn.co/image/ab67616d0000b2736db37b93dbfe59294b003ca4","1","5","186213","https://p.scdn.co/mp3-preview/6410f52be07c35e0ebd952e0da12ef5d7b9e8a89?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TCABY1452166","spotify:user:11135692880","2017-04-29T01:52:30Z"
