"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:2ABUUwQ1E5gHkhk0uckzgo","Act A Fool","spotify:artist:3ipn9JLAPI5GUEo4y4jcoi","Ludacris","spotify:album:66ra5fwVX0PtekQhagN5D4","2 Fast 2 Furious (Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2003-01-01","https://i.scdn.co/image/ab67616d0000b273717f57d090a50a922a10a4f1","1","2","270733","https://p.scdn.co/mp3-preview/99d6d5e0645f8a7b14654d756f6741ed43344188?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USDJ20300493","spotify:user:11135692880","2017-07-16T02:37:18Z"
"spotify:track:6rDpSUMSpjIIUln0VmPzCk","Pump It Up","spotify:artist:1SAugjIcuwNPKS4urSB7A6","Joe Budden","spotify:album:66ra5fwVX0PtekQhagN5D4","2 Fast 2 Furious (Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2003-01-01","https://i.scdn.co/image/ab67616d0000b273717f57d090a50a922a10a4f1","1","9","251453","https://p.scdn.co/mp3-preview/2b5c8564c9710ea4869f7bc918b5826d89f0444b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USDJ20300173","spotify:user:11135692880","2017-07-16T02:38:06Z"
"spotify:track:7M4U4c8FGupPws553L9HHo","Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack","spotify:artist:7HBai5xymOxIWoMWvWshe1","Teriyaki Boyz","spotify:album:3Xbiur7vS6BsOH6oxFAumZ","The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2006-06-20","https://i.scdn.co/image/ab67616d0000b2731ac9ce801650e0bed9a6a85b","1","1","255173","https://p.scdn.co/mp3-preview/c977ff73b3b0df8c23dc3a5eba8115562dd5dec0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUG10600159","spotify:user:11135692880","2017-07-16T02:38:40Z"
"spotify:track:16xC6ZAyPx2iJfiAoXCCzn","Six Days - Remix","spotify:artist:5CE2IfdYZEQGIDsfiRm8SI, spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO","DJ Shadow, Mos Def","spotify:album:3Xbiur7vS6BsOH6oxFAumZ","The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2006-06-20","https://i.scdn.co/image/ab67616d0000b2731ac9ce801650e0bed9a6a85b","1","2","232000","https://p.scdn.co/mp3-preview/adb7f0981a39a93646b351671fb3e98e8d658f5d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBAQH0200041","spotify:user:11135692880","2017-07-16T02:38:52Z"
"spotify:track:78IL8sfyGkrI6LgmFbx8JR","Go Off (with Lil Uzi Vert, Quavo & Travis Scott)","spotify:artist:4O15NlyKLIASxsJ0PrXPfz, spotify:artist:0VRj0yCOv2FXJNP47XQnx5, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Lil Uzi Vert, Quavo, Travis Scott","spotify:album:4AVogX4JTiGvjt1EsEjDtT","Fast & Furious 8: The Album","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2017-04-14","https://i.scdn.co/image/ab67616d0000b273ec967aa380d1992f8c76381d","1","2","217560","https://p.scdn.co/mp3-preview/f1e6a8f49845f059be5a50aa90f338742cfbadd8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USAT21700464","spotify:user:11135692880","2017-07-16T02:40:24Z"
"spotify:track:59PL9AwYjIrIpP04n9gmMR","Ride Out","spotify:artist:6KZDXtSj0SzGOV705nNeh3, spotify:artist:5LHRHt1k9lMyONurDHEdrp, spotify:artist:67nwj3Y5sZQLl72VNUHEYE, spotify:artist:0A0FS04o6zMoto8OKPsDwY, spotify:artist:5lHRUCqkQZCIWeX7xG4sYT","Kid Ink, Tyga, Wale, YG, Rich Homie Quan","spotify:album:7hTMaPfK488vRcC1Ar4bOm","Furious 7: Original Motion Picture Soundtrack","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2015-03-17","https://i.scdn.co/image/ab67616d0000b273658f35df0da6f9393a501fbf","1","1","211908","https://p.scdn.co/mp3-preview/32e5d4103866f552ec22812db52ee4f05d00b436?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","USAT21500307","spotify:user:11135692880","2017-07-16T02:40:41Z"
"spotify:track:2QJnTfMpNG05KFf2E3gVIJ","Go Hard or Go Home","spotify:artist:137W8MRPWKqSmrBGDBFSop, spotify:artist:5yG7ZAZafVaAlMTeBybKAL","Wiz Khalifa, Iggy Azalea","spotify:album:7hTMaPfK488vRcC1Ar4bOm","Furious 7: Original Motion Picture Soundtrack","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2015-03-17","https://i.scdn.co/image/ab67616d0000b273658f35df0da6f9393a501fbf","1","5","232772","https://p.scdn.co/mp3-preview/2d132238ed8fb978e93ff3abd6b25944201f6d31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USAT21500311","spotify:user:11135692880","2017-07-16T02:40:41Z"
"spotify:track:5cXAuTYvFXkL0ombvLGmci","Payback","spotify:artist:5gCRApTajqwbnHHPbr2Fpi, spotify:artist:1gPhS1zisyXr5dHTYZyiMe, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i, spotify:artist:6d47Z08T4snK50HgTEHo5Z","Juicy J, Kevin Gates, Future, Sage The Gemini","spotify:album:7hTMaPfK488vRcC1Ar4bOm","Furious 7: Original Motion Picture Soundtrack","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2015-03-17","https://i.scdn.co/image/ab67616d0000b273658f35df0da6f9393a501fbf","1","8","237996","https://p.scdn.co/mp3-preview/683a814a5824aed61f156ef1586e374962adfbe8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","USAT21500314","spotify:user:11135692880","2017-07-16T02:40:41Z"
"spotify:track:478Na2QYMk3jp6x0gTO8Dl","Off-set","spotify:artist:4OBJLual30L7gRl5UkeRcT, spotify:artist:50co4Is1HCEo8bhOyUWKpn","T.I., Young Thug","spotify:album:7hTMaPfK488vRcC1Ar4bOm","Furious 7: Original Motion Picture Soundtrack","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2015-03-17","https://i.scdn.co/image/ab67616d0000b273658f35df0da6f9393a501fbf","1","2","193263","https://p.scdn.co/mp3-preview/20dc77189ebc090d2149217e22f81a1fc3c7287d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","USAT21500308","spotify:user:11135692880","2017-07-16T02:41:09Z"
"spotify:track:5DD9jE8Z3LvpVn2TxknJyX","We Own It (Fast & Furious)","spotify:artist:17lzZA2AlOHwCwFALHttmp, spotify:artist:137W8MRPWKqSmrBGDBFSop","2 Chainz, Wiz Khalifa","spotify:album:0SnSqNH4ay5Ymd4Lmv4Mcr","Fast & Furious 6","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2013-01-01","https://i.scdn.co/image/ab67616d0000b2733f04ce56f3786307572fc944","1","1","227893","https://p.scdn.co/mp3-preview/4313aba8c2e8e66e531280b9c93922154e25e032?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USUM71305173","spotify:user:11135692880","2017-07-16T02:42:15Z"
