"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:4F64QXRV1EGHSm5jIeMmcQ","Song 2","spotify:artist:7MhMgCo0Bl0Kukl93PZbYS","Blur","spotify:album:6Gv1zpuMsO4XfWSw22YQhP","Blur","spotify:artist:7MhMgCo0Bl0Kukl93PZbYS","Blur","1997","https://i.scdn.co/image/ab67616d0000b273dff4d9297426f6ea9b60088a","1","2","121306","https://p.scdn.co/mp3-preview/2c2b4ad08b6ef072182e9b38c386f54623aef4fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBAYE9600015","spotify:user:11135692880","2017-06-11T01:47:56Z"
"spotify:track:6dL46HEj2hzaSach8EFyCi","Tubthumping","spotify:artist:0TcYeHEK9sBtv7xPbKhzHz","Chumbawamba","spotify:album:6eyMFUCmtqA8Pj4p5BAaSm","Tubthumper","spotify:artist:0TcYeHEK9sBtv7xPbKhzHz","Chumbawamba","1997-09-01","https://i.scdn.co/image/ab67616d0000b273a13d158327d68f002556deba","1","1","279226","https://p.scdn.co/mp3-preview/135ed2e5aff4240f7a3ee668a303eb87c2c01898?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","DEA349700542","spotify:user:11135692880","2017-06-11T01:47:56Z"
"spotify:track:3Qvf812dY5JVlaZEbzI3nZ","The Rockafeller Skank - Full Version","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","spotify:album:4qicpEx9YhJukXDyin0bkC","You've Come A Long Way, Baby","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","1998-09-14","https://i.scdn.co/image/ab67616d0000b273c7e778ef5af408cd762995d4","1","2","412640","https://p.scdn.co/mp3-preview/9e4b75c6581f61158a4d8d1bac742c186417f6e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBBMQ9800025","spotify:user:11135692880","2017-06-11T01:47:56Z"
"spotify:track:2P2WxNOdEjjJ98dIeajyqu","Stop the Rock","spotify:artist:37f9cjf8Ic4t7vYNRYAzI7","Apollo 440","spotify:album:379Bo4dM3eDQUxay8qE8Ez","Gettin' High On Your Own Supply","spotify:artist:37f9cjf8Ic4t7vYNRYAzI7","Apollo 440","1999-10-25","https://i.scdn.co/image/ab67616d0000b273dcf4d8ea6ad701800feaae6e","1","2","212706","https://p.scdn.co/mp3-preview/1cc07b68ddc0f951f1f030b971acf010d9904ee9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBBBM9902148","spotify:user:11135692880","2017-06-11T01:47:56Z"
"spotify:track:29zM5UkD4YEwGykKeoKIKw","Call It Brisco (And Why Not?)","spotify:artist:6ihTqrjBvMSgztCI4BTQCY","Elite Force","spotify:album:4tDxo4D3ohOpV8uoZs42Uv","Elite Force Back Catalogue","spotify:artist:6ihTqrjBvMSgztCI4BTQCY","Elite Force","2009-03-06","https://i.scdn.co/image/ab67616d0000b27393ef79356f3abc0ef93276a8","1","3","413906","","false","0","DEZ650814706","spotify:user:11135692880","2017-06-11T01:47:56Z"
"spotify:track:6SJ1hWFVBIiUgGgHKvwXCQ","Sell Out","spotify:artist:3bXhZFreBJF4QDUUiMmtZW","Reel Big Fish","spotify:album:5nO5x1Qgnf7zwmO83qrHRn","Turn The Radio Off","spotify:artist:3bXhZFreBJF4QDUUiMmtZW","Reel Big Fish","1996","https://i.scdn.co/image/ab67616d0000b273ef883c94c02915cacc3b5b36","1","1","227493","https://p.scdn.co/mp3-preview/655f6c0f66137da789d7d67a5f92c471435ee956?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USJI10200004","spotify:user:11135692880","2017-06-11T01:47:56Z"
"spotify:track:4nz2GT9bHKUkl8eiGQwSUf","It's Only Us","spotify:artist:2HcwFjNelS49kFbfvMxQYw","Robbie Williams","spotify:album:3KnJzJIjhNYr7G1VErTLH3","In And Out Of Consciousness: Greatest Hits 1990 - 2010","spotify:artist:2HcwFjNelS49kFbfvMxQYw","Robbie Williams","2010-01-01","https://i.scdn.co/image/ab67616d0000b27392b320c0a45db23a69e2c366","1","28","171613","https://p.scdn.co/mp3-preview/2351a2ac0f86392262b2478b87097abf13bba3a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","GBAYK9900061","spotify:user:11135692880","2017-06-11T01:47:56Z"
"spotify:track:3O8H3HOCwGiae4zMMFpD0h","Bodyrock","spotify:artist:3OsRAKCvk37zwYcnzRf5XF","Moby","spotify:album:1ZFjvEN3C2J1Q1xVhu2YaC","Play","spotify:artist:3OsRAKCvk37zwYcnzRf5XF","Moby","1999","https://i.scdn.co/image/ab67616d0000b27328b5ffb477f5dc8cf9b3c6a9","1","7","216426","https://p.scdn.co/mp3-preview/921eb8e577583b3925e5938127578f2bd67e26e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBAJH9900040","spotify:user:11135692880","2017-06-11T01:47:56Z"
"spotify:track:3QqpuxOVpfu6myl9QNtnWj","We Luv U","spotify:artist:1PejumODzFLOsSJHSt9GDk","Grand Theft Audio","spotify:album:4aJbv37SMTGog4Xl4tho4q","Blame Everyone","spotify:artist:1PejumODzFLOsSJHSt9GDk","Grand Theft Audio","2000-09-22","https://i.scdn.co/image/ab67616d0000b2736dd17e4a0288a20180b5181a","1","2","204586","https://p.scdn.co/mp3-preview/bc8ff67100218cb27d59a161810d59ee8682f1f5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","USSI10000077","spotify:user:11135692880","2017-06-11T01:47:56Z"
"spotify:track:082I99bWU8WB7JVx2WMraX","Funky Music","spotify:artist:2KB6LGMBaOYYYdvvgyptFH","Utah Saints","spotify:album:4xyD4zHTWAjTN4aTss0eoc","Two","spotify:artist:2KB6LGMBaOYYYdvvgyptFH","Utah Saints","2000","https://i.scdn.co/image/ab67616d0000b2738c998f3b2ccee14a118e0260","1","6","216960","https://p.scdn.co/mp3-preview/1ef48e1ed91508e298a8a9745e09d08c29261192?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","CAN110200332","spotify:user:11135692880","2017-06-11T01:47:56Z"
