"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:7tTkOzia040L2S8eSibzPh","Get Away With It","spotify:artist:3XTDF3ka1IRLXu61qd36zK","Animal Kingdom","spotify:album:0MRj2Cde7plF4FJKu2PQfk","The Looking Away","spotify:artist:3XTDF3ka1IRLXu61qd36zK","Animal Kingdom","2012-06-05","https://i.scdn.co/image/ab67616d0000b273995a7cc6fbc610fa28372ffb","1","2","195266","https://p.scdn.co/mp3-preview/f04573c79dc56a6b2074ed869937b21917512655?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USQE91200091","spotify:user:11135692880","2018-07-25T06:51:40Z"
"spotify:track:78xOxDHxkTTgdnQ4ItdG4K","Mark IV with Joshua Radin (From Fifa13)","spotify:artist:2CbWPZkwLi0ZAcL9dtqjWk","Ashtar Command","spotify:album:1XZXaHFhHXc9sZ4GPrObDt","Mark IV with Joshua Radin (From Fifa13)","spotify:artist:2CbWPZkwLi0ZAcL9dtqjWk","Ashtar Command","2012-10-01","https://i.scdn.co/image/ab67616d0000b27326d63a90aef98d21379b8d8e","1","1","341761","https://p.scdn.co/mp3-preview/3f2e094eba242501c19088650dbe40040a945874?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","TCABJ1265301","spotify:user:11135692880","2018-07-25T06:51:40Z"
"spotify:track:4itiW5Mona3QCo5h7RLQkU","Panda","spotify:artist:0V2YTCyeeSs4sivZL99x3g","Astro","spotify:album:13qihen9GFDj4qMDvJFM83","Astro","spotify:artist:0V2YTCyeeSs4sivZL99x3g","Astro","2012","https://i.scdn.co/image/ab67616d0000b2731f7f3c8efbf44b5deccf884b","1","5","168438","https://p.scdn.co/mp3-preview/402f39fe9f3667ec518eed61a5fb5be7f7f6d848?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TCABB1167489","spotify:user:11135692880","2018-07-25T06:51:40Z"
"spotify:track:7buyFRaLJqKZwmoE92K92R","Feud","spotify:artist:0OdUWJ0sBjDrqHygGUXeCF","Band of Horses","spotify:album:5XGwgWYQQK8tHwoNuLMCP9","Mirage Rock","spotify:artist:0OdUWJ0sBjDrqHygGUXeCF","Band of Horses","2012-09-14","https://i.scdn.co/image/ab67616d0000b27319bd0bc55b449812d4a8d58e","1","9","176813","https://p.scdn.co/mp3-preview/0b8b20cea23774abb294e81976716437d4ae3d3b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USQX91201239","spotify:user:11135692880","2018-07-25T06:51:40Z"
"spotify:track:1gMdzMMXQtGl679vLSqzYP","We Are Not Good People","spotify:artist:3MM8mtgFzaEJsqbjZBSsHJ","Bloc Party","spotify:album:3ZXgFGLEaVRAHkbqMWNyJI","Four","spotify:artist:3MM8mtgFzaEJsqbjZBSsHJ","Bloc Party","2012-08-21","https://i.scdn.co/image/fb7125d0c68c59a5d179590f4a3ac5b3fcb7d530","1","12","200150","https://p.scdn.co/mp3-preview/43046f3afe2f141e67b5ae910c40af6b07cb406f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USJMZ1200063","spotify:user:11135692880","2018-07-25T06:51:40Z"
"spotify:track:0MMWj8de7P5rm4OnsJzlMn","Follow","spotify:artist:75EZuo5MHV2572NRpMWotC","Crystal Fighters","spotify:album:1bj3W2riKHMas7gH2TxNrn","Star Of Love","spotify:artist:75EZuo5MHV2572NRpMWotC","Crystal Fighters","2010-10-03","https://i.scdn.co/image/ab67616d0000b273628a068f51c63aa85e385dbc","1","11","196480","https://p.scdn.co/mp3-preview/d7286a5a17973cef18a0c53acdea3b897e17ca82?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBE7C1000010","spotify:user:11135692880","2018-07-25T06:51:40Z"
"spotify:track:6MghhLg3H4lVTOOyOwlsFg","Professional Griefers - Vocal Mix","spotify:artist:1lBPPfZPLmVNH44KLMie5Q","deadmau5 feat. Gerard Way","spotify:album:1vMgldzxJtkE59LTr4cLZL","Professional Griefers","spotify:artist:7A5O46d0VYiiHrTcQxadKk","deadmau5 ft. Gerard Way","2012-08-14","https://i.scdn.co/image/ab67616d0000b2735858f7ad18bd2428b2565381","1","1","243750","https://p.scdn.co/mp3-preview/de217430845de33eecd146c7377b3d2f967d5a31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBTDG1200462","spotify:user:11135692880","2018-07-25T06:51:40Z"
"spotify:track:5JnK4kM4w9NVXd9XW8JH8X","Hail Bop","spotify:artist:2ARO60gI5do88ho6azmzab","Django Django","spotify:album:2iKuaJUhHIXk8p9xNFM7d9","Django Django","spotify:artist:2ARO60gI5do88ho6azmzab","Django Django","2012-01-23","https://i.scdn.co/image/ab67616d0000b273da5866583ad5a31936a8e69d","1","2","243693","https://p.scdn.co/mp3-preview/2c7fd0cf2dbff5ed857e83c358702f5fbc8b0a22?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBMVH1100600","spotify:user:11135692880","2018-07-25T06:51:40Z"
"spotify:track:71WuBJBWDkgKusbyBJIOsp","On Top Of The World","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:5eJa2BP7rrqkrpFpTiANPg","Continued Silence EP","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-01-01","https://i.scdn.co/image/ab67616d0000b2730837ae6114e37279146de65b","1","3","190160","https://p.scdn.co/mp3-preview/63c233fd86794fed3c0b3a3ba5e1e4916e1a23bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","USUM71201073","spotify:user:11135692880","2018-07-25T06:51:40Z"
"spotify:track:7aFn9J0XgYPb4ByNLimVnO","Got That Fire (Oh La Ha) [feat. Pugs Atomz and Ill Legit]","spotify:artist:4OZcFrBu7oCltVhvi9wVrd","Featurecast","spotify:album:23wGmiUZm2o0743JXesucT","Run for Cover","spotify:artist:4OZcFrBu7oCltVhvi9wVrd","Featurecast","2012-09-17","https://i.scdn.co/image/ab67616d0000b273c50b39381e6f53a0e5938ddf","1","1","222041","https://p.scdn.co/mp3-preview/2bd8a39e9bce1e6f23eb739d0c9ba4e4352308ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBFBC1200839","spotify:user:11135692880","2018-07-25T06:51:40Z"
"spotify:track:72yHcYTFilEkFY1cJigOaE","Let It Roll","spotify:artist:0jnsk9HBra6NMjO2oANoPY","Flo Rida","spotify:album:0wmVf2KCcKnQbAYclahHYb","Wild Ones","spotify:artist:0jnsk9HBra6NMjO2oANoPY","Flo Rida","2012-06-22","https://i.scdn.co/image/ab67616d0000b27387be2cd7396e138e74cb347c","1","3","194453","https://p.scdn.co/mp3-preview/deb682c3e40a5c7e9a216d4d20b98ca1c78ebbd3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USAT21202580","spotify:user:11135692880","2018-07-25T06:51:40Z"
