"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:7bLk4tjwot6OunULKjPcPA","Lights & Music","spotify:artist:4EENT7N7rCBwrddM3s0vFS","Cut Copy","spotify:album:38nUXdExQ8R3JWyMLyEIi9","In Ghost Colours","spotify:artist:4EENT7N7rCBwrddM3s0vFS","Cut Copy","2008-01-01","https://i.scdn.co/image/ab67616d0000b273059a4436bfeb34c8f11b0f15","1","3","277360","https://p.scdn.co/mp3-preview/c7483111af7b2478579f4de6383820df4936ecc6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","AUUM70800086","spotify:user:pivimkh","2014-11-30T23:50:17Z"
"spotify:track:0n53SLNjbv6dOtrAVKohvp","Olympic Airways","spotify:artist:6FQqZYVfTNQ1pCqfkwVFEa","Foals","spotify:album:4alxFphjDkCRemfJRU7xax","Antidotes","spotify:artist:6FQqZYVfTNQ1pCqfkwVFEa","Foals","2008-03-21","https://i.scdn.co/image/ab67616d0000b27391a17c8046146556834be0df","1","4","252093","https://p.scdn.co/mp3-preview/7559e582b97b88a7201d65654977d141215ceee2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GBKZV0725308","spotify:user:pivimkh","2014-11-30T23:50:17Z"
"spotify:track:7lsFHOFeMyWiqaKrESLudT","Ready For The Floor","spotify:artist:37uLId6Z5ZXCx19vuruvv5","Hot Chip","spotify:album:7KUjoofW5kTfAHFDyGA953","Made In The Dark","spotify:artist:37uLId6Z5ZXCx19vuruvv5","Hot Chip","2008-01-22","https://i.scdn.co/image/ab67616d0000b2739366bdbc82c887312c89f5b7","1","3","234240","https://p.scdn.co/mp3-preview/7c5e3ce49a7bc71df69270a324fb029a65f34232?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBAYE0703181","spotify:user:pivimkh","2014-11-30T23:50:17Z"
"spotify:track:28EbMRXDSSGEfb22Bpmeef","I'm A Villain","spotify:artist:5AwSSPenez3AiWILIOdPZb","Jakobínarína","spotify:album:1VSwD3BaBKSUyMi9TepTgL","The First Crusade","spotify:artist:5AwSSPenez3AiWILIOdPZb","Jakobínarína","2007-07-23","https://i.scdn.co/image/ab67616d0000b2735e9f965f23688f72c729c9c7","1","10","245501","https://p.scdn.co/mp3-preview/835de90d111b7f8980135255f6ce8cc51baffa84?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","GB01A0700825","spotify:user:pivimkh","2014-11-30T23:50:17Z"
"spotify:track:63gAbtTyfL5iP7ranuU0Nf","Runaway","spotify:artist:0ucLPotcQNI7AViFytdhBz","Ladytron","spotify:album:1c6U04OZfk2yBuNRpXlldW","Velocifero","spotify:artist:0ucLPotcQNI7AViFytdhBz","Ladytron","2008-05-30","https://i.scdn.co/image/ab67616d0000b2731fb46feb262227a872c843c4","1","4","289960","https://p.scdn.co/mp3-preview/abcb98a8e1320db54bb9f04b14112041b4c04561?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","CAN110800032","spotify:user:pivimkh","2014-11-30T23:50:17Z"
"spotify:track:0ABUwW2eGGtBMc696DHGkk","Kids - Soulwax Mix","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE, spotify:artist:43mWhBXSflupNLuNjM5vff","MGMT, Soulwax","spotify:album:1FkaYbK8wmw0qZPfI04di3","Kids (Soulwax Mix)","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2008-10-10","https://i.scdn.co/image/ab67616d0000b27340b1a560fbb2ed3bdf2d1db6","1","1","338293","https://p.scdn.co/mp3-preview/af9d82fb1ff32b254d14de1d3063e89c12b5dd33?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","USSM10804088","spotify:user:pivimkh","2014-11-30T23:50:17Z"
"spotify:track:4FxOAj1L7plvcF0Ll8Th9U","Drive Me","spotify:artist:6cygtyj4D0riFvZSzm8UTR","Najwajean","spotify:album:6I8WNpsIOtKhH0gqtnImCm","Till It Breaks","spotify:artist:6cygtyj4D0riFvZSzm8UTR","Najwajean","2008-04-01","https://i.scdn.co/image/ab67616d0000b273d83933a471d4813b95bb40fd","1","11","341746","https://p.scdn.co/mp3-preview/e6eeaab4f221b389dd8b951a8b723c1f8367a1c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","ES5080800355","spotify:user:pivimkh","2014-11-30T23:50:17Z"
"spotify:track:7zafbDGCBZVs8wvzEGQoJQ","Open Your Window","spotify:artist:14GEKKALFIO2oB9IdGXg2e","Reverend And The Makers","spotify:album:6HhDEqdBWQnX1jUA5L7rNg","Open Your Window","spotify:artist:14GEKKALFIO2oB9IdGXg2e","Reverend And The Makers","2007-11-11","https://i.scdn.co/image/ab67616d0000b273656241c39dc54eaef7aa8d53","1","1","211800","https://p.scdn.co/mp3-preview/eff18cbf74dca20d780b8cc1fa0c0ef7c0611c3f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBENL0700848","spotify:user:pivimkh","2014-11-30T23:50:17Z"
"spotify:track:3r75N7oxD1zkJDfIljJ7vO","Black & Gold - Marcussen Album Version","spotify:artist:0H0rBbf7vHXO3qh50Wap7y","Sam Sparro","spotify:album:6ZWLe5l5eUVXUPRgLi2114","Sam Sparro","spotify:artist:0H0rBbf7vHXO3qh50Wap7y","Sam Sparro","2008-01-01","https://i.scdn.co/image/ab67616d0000b2735d8b1705d82ffac17ce7d82d","1","2","275293","https://p.scdn.co/mp3-preview/71e15177fe7bcbaefe79f885dcf3d31d725649ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBUM70805256","spotify:user:pivimkh","2014-11-30T23:50:17Z"
"spotify:track:6nrwV1i4sdQ1RvOGb3fCCC","Victory","spotify:artist:2RJBv9wXbW6m539q9NOfW1","Soprano","spotify:album:1FtwNjBT3Sogf3Aspbyq25","Victory","spotify:artist:2RJBv9wXbW6m539q9NOfW1","Soprano","2008-08-22","https://i.scdn.co/image/ab67616d0000b273b0358649ebb06bd5e7e58084","1","1","263960","https://p.scdn.co/mp3-preview/94528d5590c9a3221015710091eda94477e0b61a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","FRZ110801914","spotify:user:pivimkh","2014-11-30T23:50:17Z"
