"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:3weNRklVDqb4Rr5MhKBR3D","Nuvole Bianche","spotify:artist:2uFUBdaVGtyMqckSeCl0Qj","Ludovico Einaudi","spotify:album:0Ryad9M1b1MxSjgXdHCh1c","Una Mattina","spotify:artist:2uFUBdaVGtyMqckSeCl0Qj","Ludovico Einaudi","2004-01-01","https://i.scdn.co/image/ab67616d0000b273c0c021c0ac135d923b3a0ddc","1","12","357706","https://p.scdn.co/mp3-preview/2723c15965e766ef25996115ae25deefdceae9f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","ITB280400109","spotify:user:11135692880","2024-02-05T22:54:57Z"
"spotify:track:6DESft0qm6RhoYf5wzeoGH","Holocene","spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ","Bon Iver","spotify:album:3JKDDYSBFozqcjWwSV3Yj3","Bon Iver","spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ","Bon Iver","2011-06-20","https://i.scdn.co/image/ab67616d0000b2736880235a103031a13ff8c902","1","3","336613","https://p.scdn.co/mp3-preview/b04aea21beb0ad1181f219390be169b97b32e9fb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","27","US38Y1113503","spotify:user:11135692880","2024-02-05T22:54:57Z"
"spotify:track:2usrT8QIbIk9y0NEtQwS4j","Intro","spotify:artist:3iOvXCl6edW5Um0fXEBRXy","The xx","spotify:album:2av2ZSHlvD7rvLSsMvtYCG","xx","spotify:artist:3iOvXCl6edW5Um0fXEBRXy","The xx","2009-08-16","https://i.scdn.co/image/ab67616d0000b27348a95897fd91eb34032a93e3","1","1","127920","https://p.scdn.co/mp3-preview/f720524ac3d0fdae06db3f3c6384f70e3b791114?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBBKS0900196","spotify:user:11135692880","2024-02-05T22:54:57Z"
"spotify:track:0ofHAoxe9vBkTCp2UQIavz","Dreams - 2004 Remaster","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:0BwWUstDMUbgq2NYONRqlu","Rumours (Super Deluxe)","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1977-02-04","https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b","1","2","257800","https://p.scdn.co/mp3-preview/30d63954de3ee9c0bc3600a4560260cb252d4fbd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USWB11301111","spotify:user:11135692880","2024-02-05T22:54:57Z"
"spotify:track:5NORWMFC27ywGSZxi8uquP","Ophelia","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","spotify:album:5y1YWb4OONEGbxZQLRNUwO","Cleopatra","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","2016-04-08","https://i.scdn.co/image/ab67616d0000b273e4c3db3e7ebfc22bc080f334","1","2","160097","https://p.scdn.co/mp3-preview/040c362f0aa0354e3a58549d4443ec70e348f2bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USDMG1673802","spotify:user:11135692880","2024-02-05T22:54:57Z"
"spotify:track:4Q66chx9WzqWcLItXoZ5r4","Cherry Wine - Live","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","spotify:album:0Uv83rRhY5QvHKkQoULRKk","Hozier","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","2014-09-19","https://i.scdn.co/image/ab67616d0000b2737a9bf5f82e32d33d4503fe7b","1","13","240147","https://p.scdn.co/mp3-preview/0494934e89375487fbdda7728e8d1f8a48281963?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","IEACJ1300034","spotify:user:11135692880","2024-02-05T22:54:57Z"
"spotify:track:0BCPKOYdS2jbQ8iyB56Zns","Clocks","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:0RHX9XECH8IVI3LNgWDpmQ","A Rush of Blood to the Head","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2002-08-27","https://i.scdn.co/image/ab67616d0000b273de09e02aa7febf30b7c02d82","1","5","307879","https://p.scdn.co/mp3-preview/f7af250125a083c8212e4b7dd508a12c12aeac37?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","GBAYE0200771","spotify:user:11135692880","2024-02-05T22:54:57Z"
"spotify:track:71iSmEeF0qRVyULABxP75P","Shake It Out","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","spotify:album:19J2iqK89BCrNG4El2FRi5","Ceremonials (Original Deluxe Version)","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","2011-01-01","https://i.scdn.co/image/ab67616d0000b2736a8c1075f751a78e0b7799c7","1","2","277600","https://p.scdn.co/mp3-preview/04003bb778ddf8d2632d28c2a8cebb9fa8128e81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBUM71107355","spotify:user:11135692880","2024-02-05T22:54:57Z"
"spotify:track:2jdAk8ATWIL3dwT47XpRfu","Slow Dancing in a Burning Room","spotify:artist:0hEurMDQu99nJRq8pTxO14","John Mayer","spotify:album:1Xsprdt1q9rOzTic7b9zYM","Continuum","spotify:artist:0hEurMDQu99nJRq8pTxO14","John Mayer","2006-09-11","https://i.scdn.co/image/ab67616d0000b2737af5fdc5ef048a68db62b85f","1","8","242000","https://p.scdn.co/mp3-preview/6d12adc4a57955aea80caa0f6b81b71c6301788e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USSM10603632","spotify:user:11135692880","2024-02-05T22:54:57Z"
"spotify:track:7jqzZyJJLrpkRFYGpkqSK6","Breathe Me","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","spotify:album:5HRQFmLEuzQP8e12o8DzB5","Colour The Small One","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","2004-01-01","https://i.scdn.co/image/ab67616d0000b273940e6dd89f311e726fb5687c","1","3","272800","https://p.scdn.co/mp3-preview/b0a9fb99af7064a89f0e205fa1774bad0b7d3f2b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBAAN0300590","spotify:user:11135692880","2024-02-05T22:54:57Z"
