"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:0eMGIcWRTh8mYD9DNPjdo3","we can't be friends (wait for your love) - Spotify Singles","spotify:artist:3hu0zovv9ZERrUy09lIsTH","Paravi","spotify:album:7hMUB0og6WfdFk0C1Z2td0","we can't be friends (wait for your love) - Spotify Singles","spotify:artist:3hu0zovv9ZERrUy09lIsTH","Paravi","2024-05-15","https://i.scdn.co/image/ab67616d0000b273af18daaf884d89756fa38576","1","1","245233","https://p.scdn.co/mp3-preview/8ef0d765274697c5f9dbba42d1ef8b464a2bbfae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","QZMEM2488047","spotify:user:","2024-10-02T20:53:17Z"
"spotify:track:0kIsnEg0TzJTsb6wTVHSeG","Watermelon Sugar - Spotify Singles","spotify:artist:7E2aQQjErJocovYFjYLzWU","Emei","spotify:album:0kKBZgTc90Mdudfsu3bDl3","Watermelon Sugar (Spotify Singles)","spotify:artist:7E2aQQjErJocovYFjYLzWU","Emei","2024-05-15","https://i.scdn.co/image/ab67616d0000b273227e96dd01634fa0f5c0ed0e","1","1","129656","https://p.scdn.co/mp3-preview/62df8ba95858a3fc88d891d4d3b22dc5ee671608?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","SE5752498535","spotify:user:","2024-10-02T20:53:17Z"
"spotify:track:2fyn9gJRCGG6o2u3EIGBjg","Time to Pretend - Spotify Singles","spotify:artist:1Yq3rS7K1SQKqjMOHXpqqt","Towa Bird","spotify:album:1WNVeIIhcUl4dU2TerEdz7","Time to Pretend (Spotify Singles)","spotify:artist:1Yq3rS7K1SQKqjMOHXpqqt","Towa Bird","2024-05-15","https://i.scdn.co/image/ab67616d0000b2737ac93bf59032e1e70f440c64","1","1","243035","https://p.scdn.co/mp3-preview/9bc3b4d7f2e4b87b7df2989d8b2be50e12d83a51?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","USUM72405289","spotify:user:","2024-10-02T20:53:17Z"
"spotify:track:4GCMUoBhLMELZ9yf1xHQbc","ALL THESE KIDS","spotify:artist:7E2aQQjErJocovYFjYLzWU","Emei","spotify:album:2PiygkH7sI89FdZc9GVdKM","ALL THESE KIDS","spotify:artist:7E2aQQjErJocovYFjYLzWU","Emei","2024-09-20","https://i.scdn.co/image/ab67616d0000b2736f3a09edced85acd0f35a7bc","1","1","117091","https://p.scdn.co/mp3-preview/02605b1653813e5d6dcbfa01f46f4f5bcae77f40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","SE6QE2457550","spotify:user:","2024-10-02T20:53:17Z"
"spotify:track:0onhIULeudqAHzp2MSPWc4","RABBITHOLE","spotify:artist:7E2aQQjErJocovYFjYLzWU","Emei","spotify:album:2PiygkH7sI89FdZc9GVdKM","ALL THESE KIDS","spotify:artist:7E2aQQjErJocovYFjYLzWU","Emei","2024-09-20","https://i.scdn.co/image/ab67616d0000b2736f3a09edced85acd0f35a7bc","1","2","141443","https://p.scdn.co/mp3-preview/1b867ef25b2d126e099c2c33671b91920faf9ed6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","SE6I32456606","spotify:user:","2024-10-02T20:53:17Z"
"spotify:track:60SugyNV4FdewZfktXfXte","Irresponsible","spotify:artist:7E2aQQjErJocovYFjYLzWU","Emei","spotify:album:59S6Jtnow51dgkKl1pKBKd","Irresponsible","spotify:artist:7E2aQQjErJocovYFjYLzWU","Emei","2023-05-26","https://i.scdn.co/image/ab67616d0000b2738acaf435620427b6d164178e","1","1","124751","https://p.scdn.co/mp3-preview/85ca84d272cfa9bfb22f267c415272561e5d3c4e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","SE6QE2316816","spotify:user:","2024-10-02T20:53:17Z"
"spotify:track:2IehkByzIu1b7iaq21L4Qo","Rat Race","spotify:artist:1Yq3rS7K1SQKqjMOHXpqqt","Towa Bird","spotify:album:6ZzZBkpGHRxmmPwYXwwH2G","Rat Race","spotify:artist:1Yq3rS7K1SQKqjMOHXpqqt","Towa Bird","2024-09-27","https://i.scdn.co/image/ab67616d0000b2739aed60c69652711e1a2edf5d","1","1","185238","https://p.scdn.co/mp3-preview/813e47bbd5b20c16564c674c25e07a0dc5ae600e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","USUM72410592","spotify:user:","2024-10-02T20:53:17Z"
"spotify:track:76GjDH9LkZWfmWmBlKkAlK","Sorry Sorry","spotify:artist:1Yq3rS7K1SQKqjMOHXpqqt","Towa Bird","spotify:album:21HMENCxfw31djGv60lk88","American Hero","spotify:artist:1Yq3rS7K1SQKqjMOHXpqqt","Towa Bird","2024-06-28","https://i.scdn.co/image/ab67616d0000b2732da5238866c91a743f21af6c","1","5","208840","https://p.scdn.co/mp3-preview/e588247b6dd5c113cedd142b2b36e2572540629e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USUM72404051","spotify:user:","2024-10-02T20:53:17Z"
"spotify:track:1tt66eqtpHZWD7mr4SxZlM","Wild Heart","spotify:artist:1Yq3rS7K1SQKqjMOHXpqqt","Towa Bird","spotify:album:21HMENCxfw31djGv60lk88","American Hero","spotify:artist:1Yq3rS7K1SQKqjMOHXpqqt","Towa Bird","2024-06-28","https://i.scdn.co/image/ab67616d0000b2732da5238866c91a743f21af6c","1","4","177013","https://p.scdn.co/mp3-preview/510f13ea4fae7c893bc417d18b4150359926076a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USUM72303261","spotify:user:","2024-10-02T20:53:17Z"
"spotify:track:0Qj4YyHTtV01Fvfl2fibea","Cloud 9","spotify:artist:3hu0zovv9ZERrUy09lIsTH","Paravi","spotify:album:4fa2ZcM78pgy7iB9xwl1lq","Cloud 9","spotify:artist:3hu0zovv9ZERrUy09lIsTH","Paravi","2021-06-01","https://i.scdn.co/image/ab67616d0000b27313b8fda23507e53a65eef02b","1","1","142000","https://p.scdn.co/mp3-preview/fb327fb7ce1511bd5f45a6648c73de6271393c5b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USRC12101330","spotify:user:","2024-10-02T20:53:17Z"
