"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:2ixHrwHianfv01Bc7QGD2G","GHETTO SUPERSTAR (feat. Ghali)","spotify:artist:0jdNdfi4vAuVi7a6cPDFBM, spotify:artist:3egWSWp7Y4FyCKIyvXbw7L","Lazza, Ghali","spotify:album:0wYy8LTZuhiAyvchPppHPj","LOCURA","spotify:artist:0jdNdfi4vAuVi7a6cPDFBM","Lazza","2024-09-19","https://i.scdn.co/image/ab67616d0000b27312b860c1df72545a88313518","1","6","241250","https://p.scdn.co/mp3-preview/29e499eb41763b5a3e5938fc8b6ba69a7865ecdc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","ITUM72400977","spotify:user:","2024-09-19T23:01:00Z"
"spotify:track:05Wr6HJmrXiK42rE7Gu8FB","BUONANOTTE ❈ (con NOYZ NARCOS, FRANCO126 & SIDE BABY)","spotify:artist:7gjqZ8coFZimZDtdk04WP1, spotify:artist:49UAapOfpOg1ZOU4xf2NgY, spotify:artist:2KkO9uXHF9BVNJASjLekAc, spotify:artist:6PXiPeUVFrlaC1n8511ijT","MACE, Noyz Narcos, Franco126, Side Baby","spotify:album:64ZUYtdEVuy4OXk63R579s","OBE","spotify:artist:7gjqZ8coFZimZDtdk04WP1","MACE","2021-06-17","https://i.scdn.co/image/ab67616d0000b2730d02a40b925b640241e25913","1","4","208853","https://p.scdn.co/mp3-preview/70a170e39643328ea973d6bbe74885b2f0af26bc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","ITUM72001375","spotify:user:","2024-09-19T23:01:00Z"
"spotify:track:2MbdDtCv5LUVjYy9RuGTgC","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","spotify:artist:2LIk90788K0zvyj2JJVwkJ, spotify:artist:2jku7tDXc6XoB6MO2hFuqg, spotify:artist:4r63FhuTkUYltbVAg5TQnk, spotify:artist:55Aa2cqylxrFIXC767Z865","Jack Harlow, Tory Lanez, DaBaby, Lil Wayne","spotify:album:36jrqYRpGVpJqztuqCii22","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]","spotify:artist:2LIk90788K0zvyj2JJVwkJ, spotify:artist:2jku7tDXc6XoB6MO2hFuqg","Jack Harlow, Tory Lanez","2020-06-24","https://i.scdn.co/image/ab67616d0000b273b5f0a8d46cef9647548c64dc","1","1","227478","https://p.scdn.co/mp3-preview/5362b7871570a2a4b4af8bead9049dd14808875e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","USAT22003620","spotify:user:","2024-09-19T23:01:00Z"
"spotify:track:5onoZsRp4HdY2k90k9Y2Bq","ch1 5ei te","spotify:artist:19i93sA0D7yS9dYoVNBqAA","thasup","spotify:album:2zBib5x7l1D5KPXPEePOab","23 6451","spotify:artist:19i93sA0D7yS9dYoVNBqAA","thasup","2020-07-31","https://i.scdn.co/image/ab67616d0000b27358010f854f0b1052a934500f","1","16","183762","https://p.scdn.co/mp3-preview/b63e44bcd8292be9bd18bf4eb0da5bf047630ccf?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","ITB001900536","spotify:user:","2024-09-19T23:01:00Z"
"spotify:track:4MTlIhliwFJnTfbEoctDyB","AIRFORCE (feat. Madame)","spotify:artist:1El4YQA8oCXX7ynFSxRTFq, spotify:artist:3o1cwVQfiDWafhYA02k13C, spotify:artist:1vgQksyJ0IVz8y9XerEOy3","Massimo Pericolo, Crookers, Madame","spotify:album:7I9kWuzlJwWCtP0jDgqpcw","SOLO TUTTO","spotify:artist:1El4YQA8oCXX7ynFSxRTFq, spotify:artist:3o1cwVQfiDWafhYA02k13C","Massimo Pericolo, Crookers","2021-03-26","https://i.scdn.co/image/ab67616d0000b2734cc0a98b340788f236b65918","1","5","220235","https://p.scdn.co/mp3-preview/46cf46e2f9755d34a1c024478b1a23152bcaca90?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","ITRWL2000090","spotify:user:","2024-09-19T23:01:00Z"
"spotify:track:1tkg4EHVoqnhR6iFEXb60y","What You Know Bout Love","spotify:artist:0eDvMgVFoNV3TpwtrVCoTj","Pop Smoke","spotify:album:7e7t0MCrNDcJZsPwUKjmOc","Shoot For The Stars Aim For The Moon","spotify:artist:0eDvMgVFoNV3TpwtrVCoTj","Pop Smoke","2020-07-03","https://i.scdn.co/image/ab67616d0000b27377ada0863603903f57b34369","1","15","160000","https://p.scdn.co/mp3-preview/adb8009cc6cbbe5fdf39cdbe0501849fa328871a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","USUM72013339","spotify:user:","2024-09-19T23:01:00Z"
"spotify:track:1XQvMjA9IiIx1lAiTHSxQi","Spigoli","spotify:artist:29nrwultxQ8jENVmXoyMqK, spotify:artist:0zoMmzmyi8N8LwzhyXPvtk, spotify:artist:19i93sA0D7yS9dYoVNBqAA","Carl Brave, Mara Sattei, thasup","spotify:album:7d2mx3ECVdcvoLFLXrx8Qo","Spigoli","spotify:artist:29nrwultxQ8jENVmXoyMqK, spotify:artist:0zoMmzmyi8N8LwzhyXPvtk, spotify:artist:19i93sA0D7yS9dYoVNBqAA","Carl Brave, Mara Sattei, thasup","2020-05-12","https://i.scdn.co/image/ab67616d0000b2732ae4c4295bc46fdece0a5bb6","1","1","256788","https://p.scdn.co/mp3-preview/ea8dab683f1a17c070745a67eec7be38f268cbec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","ITUM72000490","spotify:user:","2024-09-19T23:01:00Z"
"spotify:track:11AXfsh0V6zCCU7Po6kQiY","Bling Bling (Oro)","spotify:artist:7F2utINZ6tSokSiZTQBE27","Guè","spotify:album:6facASUoGUBZNCEWiQ9I3R","Sinatra","spotify:artist:7F2utINZ6tSokSiZTQBE27","Guè","2018-11-29","https://i.scdn.co/image/ab67616d0000b27356b3dbf7c86139180a477363","1","5","208506","https://p.scdn.co/mp3-preview/702cc35d5dd6b46397256477f8991a1de16fd8c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","ITUM71800771","spotify:user:","2024-09-19T23:01:00Z"
"spotify:track:40iJIUlhi6renaREYGeIDS","Fair Trade (with Travis Scott)","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Drake, Travis Scott","spotify:album:3SpBlxme9WbeQdI9kx7KAV","Certified Lover Boy","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2021-09-03","https://i.scdn.co/image/ab67616d0000b273cd945b4e3de57edd28481a3f","1","6","291175","https://p.scdn.co/mp3-preview/eb11d1cbc3babe956721c8292a3c825dbf326bcf?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USUG12104402","spotify:user:","2024-09-19T23:01:00Z"
"spotify:track:5vGLcdRuSbUhD8ScwsGSdA","Whoopty","spotify:artist:7arQA31aZVS8yS6zUveWzb","CJ","spotify:album:5oBYG6dEI2Er6EeLnmonGE","Whoopty","spotify:artist:7arQA31aZVS8yS6zUveWzb","CJ","2020-08-20","https://i.scdn.co/image/ab67616d0000b2735038c2513329a3123b62923d","1","1","123262","https://p.scdn.co/mp3-preview/bf6fd3cbe55af994e5cb911d93e2df39908aa3bc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","USA2P2031043","spotify:user:","2024-09-19T23:01:00Z"
