"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:1fr92Vupmcs2vgLMFVQ7rd","In the Shadows","spotify:artist:76ptJV8617638xrpeoUtzl","The Rasmus","spotify:album:1J9W7Fkg34vdOVa8gR7dx7","Dead Letters","spotify:artist:76ptJV8617638xrpeoUtzl","The Rasmus","2003-03-24","https://i.scdn.co/image/ab67616d0000b2739ee03a565b0bbf6af8b9733c","1","2","257920","https://p.scdn.co/mp3-preview/c720eedfca3d850dcf5ecade2c31ab5101c12fe2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","SEVJH0201601","spotify:user:11135692880","2022-05-12T20:35:40Z"
"spotify:track:6TfBA04WJ3X1d1wXhaCFVT","You're Gonna Go Far, Kid","spotify:artist:5LfGQac0EIXyAN8aUwmNAQ","The Offspring","spotify:album:67v63ubEsvDUQkYMzI7A9t","Rise And Fall, Rage And Grace","spotify:artist:5LfGQac0EIXyAN8aUwmNAQ","The Offspring","2008-06-17","https://i.scdn.co/image/ab67616d0000b273890ce61533a89e00ce593fcb","1","3","177826","https://p.scdn.co/mp3-preview/c98446a305d38e595073b7fe52b0202ea15532df?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USSM10801605","spotify:user:11135692880","2022-05-12T20:36:05Z"
"spotify:track:4EchqUKQ3qAQuRNKmeIpnf","The Kids Aren't Alright","spotify:artist:5LfGQac0EIXyAN8aUwmNAQ","The Offspring","spotify:album:2RNTBrSO8U8XjjEj9RVvZ5","Americana","spotify:artist:5LfGQac0EIXyAN8aUwmNAQ","The Offspring","1998-11-16","https://i.scdn.co/image/ab67616d0000b273cbd2ee7dff77bfb2b5f0af52","1","5","180160","https://p.scdn.co/mp3-preview/cba307a1db5d09d3c95b58b4a8b44a207d3486e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USSM19804363","spotify:user:11135692880","2022-05-12T20:36:05Z"
"spotify:track:0jqK7sGTLsHPkQrrcrGuKD","Still Waiting","spotify:artist:0qT79UgT5tY4yudH9VfsdT","Sum 41","spotify:album:2iOJEUCKJaYseov1qA8ot8","Does This Look Infected?","spotify:artist:0qT79UgT5tY4yudH9VfsdT","Sum 41","2002-01-01","https://i.scdn.co/image/ab67616d0000b273d6176a711e031d6522840c52","1","4","158733","https://p.scdn.co/mp3-preview/c5e47340dff047c7d5b5b598f89d4de27f024357?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","USIR20200792","spotify:user:11135692880","2022-05-12T20:40:08Z"
"spotify:track:6hqt1z34Oz0OZtSfy62OFD","The Hell Song","spotify:artist:0qT79UgT5tY4yudH9VfsdT","Sum 41","spotify:album:2iOJEUCKJaYseov1qA8ot8","Does This Look Infected?","spotify:artist:0qT79UgT5tY4yudH9VfsdT","Sum 41","2002-01-01","https://i.scdn.co/image/ab67616d0000b273d6176a711e031d6522840c52","1","1","198493","https://p.scdn.co/mp3-preview/6ab2bfa87d2b215dbe787453a0ae851e617b87a2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","USIR20200791","spotify:user:11135692880","2022-05-12T20:40:13Z"
"spotify:track:5vfjUAhefN7IjHbTvVCT4Z","Holiday","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:1SPzhFzjXrz9OXLP2rKg1C","Holiday","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","2005-03-30","https://i.scdn.co/image/ab67616d0000b2731bb1db39abc18755d7ab2114","1","1","233026","https://p.scdn.co/mp3-preview/ea295ac5934a84378cb21d0f904fefff545af974?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USRE10500451","spotify:user:11135692880","2022-05-12T20:40:15Z"
"spotify:track:0MsrWnxQZxPAcov7c74sSo","Holiday / Boulevard of Broken Dreams","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:5dN7F9DV0Qg1XRdIgW8rke","American Idiot","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","2004-09-21","https://i.scdn.co/image/ab67616d0000b27308a1b1e0674086d3f1995e1b","1","3","493400","https://p.scdn.co/mp3-preview/322f461996396ac53bbb8a33b459e352ddf5d2c0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USRE10401218","spotify:user:11135692880","2022-05-12T20:40:24Z"
"spotify:track:1FTSo4v6BOZH9QxKc3MbVM","Song 2 - 2012 Remaster","spotify:artist:7MhMgCo0Bl0Kukl93PZbYS","Blur","spotify:album:7HvIrSkKGJCzd8AKyjTJ6Q","Blur (Special Edition)","spotify:artist:7MhMgCo0Bl0Kukl93PZbYS","Blur","1997-02-10","https://i.scdn.co/image/ab67616d0000b273de114203356c1f7b136960b6","1","2","121160","https://p.scdn.co/mp3-preview/2c2b4ad08b6ef072182e9b38c386f54623aef4fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","GBAYE1200348","spotify:user:11135692880","2022-05-12T20:40:27Z"
"spotify:track:2B17416FS7vL5qljgqfm7L","The Future Is Now","spotify:artist:5LfGQac0EIXyAN8aUwmNAQ","The Offspring","spotify:album:43NzXURI2kqUYBxWyV6Ep9","Days Go By","spotify:artist:5LfGQac0EIXyAN8aUwmNAQ","The Offspring","2012-06-26","https://i.scdn.co/image/ab67616d0000b2734b44a3bf666de660a08f3b8d","1","1","248413","https://p.scdn.co/mp3-preview/e1133d32faefd56f698a5f287eda779285bd6cd4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USSM11202772","spotify:user:11135692880","2022-05-12T20:40:32Z"
"spotify:track:6L89mwZXSOwYl76YXfX13s","Basket Case","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:4uG8q3GPuWHQlRbswMIRS6","Dookie","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","1994-02-01","https://i.scdn.co/image/ab67616d0000b273db89b08034de626ebee6823d","1","7","181533","https://p.scdn.co/mp3-preview/f055a866d726bac8593f15953d772c631505df7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USRE19900151","spotify:user:11135692880","2022-05-12T20:40:34Z"
"spotify:track:5qtwzv99vOr5UTwnTixn7j","Know Your Enemy","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:1AHZd3C3S8m8fFrhFxyk79","21st Century Breakdown","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","2009-05-15","https://i.scdn.co/image/ab67616d0000b273c2ced39899b0d67cd5a724fa","1","3","190986","https://p.scdn.co/mp3-preview/fdbd09a4a00b22127850ea9dd130b38a744443ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USRE10900522","spotify:user:11135692880","2022-05-12T20:40:35Z"
"spotify:track:5EYdTPdJD74r9EVZBztqGG","The Bad Touch","spotify:artist:6nDLku5uL3ou60kvCGZorh","Bloodhound Gang","spotify:album:7BuCGZPiQkZpyn0Wj8rxIh","Hooray For Boobies","spotify:artist:6nDLku5uL3ou60kvCGZorh","Bloodhound Gang","1999-10-04","https://i.scdn.co/image/ab67616d0000b273d6d86be2779b5b6b4980feb9","1","10","260506","https://p.scdn.co/mp3-preview/61e0ed385aa272cbd70dc5f1c0b319933ee713db?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","USIR19902530","spotify:user:11135692880","2022-05-12T20:40:39Z"
