"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:5xC8uOesnn0udeXAYlAnoY","Alright","spotify:artist:0sHeX8oQ6o7xic3wMf4NBU","Supergrass","spotify:album:3YfIjaJEWqiSbKPguS9Bxd","I Should Coco","spotify:artist:0sHeX8oQ6o7xic3wMf4NBU","Supergrass","1995-05-15","https://i.scdn.co/image/ab67616d0000b2737d2fd2378160e40c96bc61ff","1","4","180880","https://p.scdn.co/mp3-preview/5662323fe09d95d506c2ef5211f66ff38efaf16f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","GBAYE9500044","spotify:user:11135692880","2020-08-09T18:22:52Z"
"spotify:track:15BiArQuUNvotHbRktrpBU","Always Love","spotify:artist:11zHPjHnZN0ACA50rSnTcy","Nada Surf","spotify:album:06QnZm7l0gp3pLq7d3wMFV","Music From The WB Television Series One Tree Hill Volume 2: Friends With Benefit","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2006-02-07","https://i.scdn.co/image/ab67616d0000b273fdfd382d0f122b1050cba547","1","4","197679","https://p.scdn.co/mp3-preview/24abb59a235c7306b1dadfd68861263e8d8fd95a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USBS50510433","spotify:user:11135692880","2020-08-09T18:22:52Z"
"spotify:track:0s8XHbX2z7vNIbOyqKk5YB","Back Door Santa","spotify:artist:7lffJlv0nRl0sIsHDmo0SB","Clarence Carter","spotify:album:56Fl7uCKwUbcRA1V172BbK","Soul Christmas","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","1991-01-01","https://i.scdn.co/image/ab67616d0000b27395909a2337a886da3cec92f3","1","1","129239","https://p.scdn.co/mp3-preview/61118a7ac693542e4f17aa949bf3bb846c5b1b44?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USAT20106236","spotify:user:11135692880","2020-08-09T18:22:52Z"
"spotify:track:1KKtXGMe7A8IxlZ2PhzbMs","Beach Comber","spotify:artist:41SQP16hv1TioVYqdckmxT","Real Estate","spotify:album:1l4G9J2zfB4a53IwIBD2sc","Real Estate","spotify:artist:41SQP16hv1TioVYqdckmxT","Real Estate","2009-11-17","https://i.scdn.co/image/ab67616d0000b273e7e0138ab315267549a99e1f","1","1","270466","https://p.scdn.co/mp3-preview/393799268cde9ce92db29255bad7383a108369c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","US2FD0910073","spotify:user:11135692880","2020-08-09T18:22:52Z"
"spotify:track:7IUBNrgkUH8XzlEWTOb1Qc","Better","spotify:artist:3z6Gk257P9jNcZbBXJNX5i","Regina Spektor","spotify:album:0ssMZRCnobXKQXjQ2R5A5a","Begin to Hope (Special Edition)","spotify:artist:3z6Gk257P9jNcZbBXJNX5i","Regina Spektor","2006-06-13","https://i.scdn.co/image/ab67616d0000b2737fd2d3669c086850c0f766e8","1","2","201840","https://p.scdn.co/mp3-preview/f3b30c8f448e04114e4ffdefb1881fc5b801b190?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USWB10600588","spotify:user:11135692880","2020-08-09T18:22:52Z"
"spotify:track:7LygtNjQ65PSdzVjUnHXQb","Cherry Pie","spotify:artist:7HLvzuM9p11k9lUQfSM4Rq","Warrant","spotify:album:4LgsHyufRmmcB1HIqTES19","Cherry Pie","spotify:artist:7HLvzuM9p11k9lUQfSM4Rq","Warrant","1990-10-14","https://i.scdn.co/image/ab67616d0000b273ca00891c544ffcab44bf7a34","1","1","201026","https://p.scdn.co/mp3-preview/f7cf53d1feacf1886bb7410bb13d8ed219f566a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USSM10006917","spotify:user:11135692880","2020-08-09T18:22:52Z"
"spotify:track:3l6EkMrhwXPSVEuTDksWB8","Cigarettes And Chocolate Milk","spotify:artist:2PfBzriIMRsCXPDtSy9vg8","Rufus Wainwright","spotify:album:3RemoZn6fcabqoN5zmgEXx","Poses","spotify:artist:2PfBzriIMRsCXPDtSy9vg8","Rufus Wainwright","2001-01-01","https://i.scdn.co/image/ab67616d0000b2738cb15e481d6e690c8051bd73","1","1","280360","https://p.scdn.co/mp3-preview/bde2c794161519c76c476a0c91d10a78111eeddd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USDW10022134","spotify:user:11135692880","2020-08-09T18:22:52Z"
"spotify:track:6B618H5CuCdEzcVs0NKTlt","Counting Blue Cars (Tell Me Your Thoughts On God)","spotify:artist:6F3NW2aC9Sni1FH7QPSLvw","Dishwalla","spotify:album:2h1bf0d6LNtyoEugJYLFdy","Pet Your Friends","spotify:artist:6F3NW2aC9Sni1FH7QPSLvw","Dishwalla","1995-01-01","https://i.scdn.co/image/ab67616d0000b273b5dcc1e0cb6bbfda3298c65b","1","3","291906","https://p.scdn.co/mp3-preview/b487f22a57348f3cff055fc75942779e99f83588?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USAM19500646","spotify:user:11135692880","2020-08-09T18:22:52Z"
"spotify:track:0j0Hq8quGUcLhf3rWW9zbV","Downtown Train","spotify:artist:13ccXrK7AmXb4TddMkE7jy","Everything But The Girl","spotify:album:0cG1n5iheDz2RHpZ2RQhgZ","Acoustic","spotify:artist:13ccXrK7AmXb4TddMkE7jy","Everything But The Girl","1992-06-02","https://i.scdn.co/image/ab67616d0000b2736ac96e2d941cfca8b52e3de7","1","5","186440","https://p.scdn.co/mp3-preview/d74a3af427268ce0fd617339bfa74bd4e986c287?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBAHT0003915","spotify:user:11135692880","2020-08-09T18:22:52Z"
"spotify:track:173wd2gfNMJJJ8l1EqCEBH","The Funeral","spotify:artist:0OdUWJ0sBjDrqHygGUXeCF","Band of Horses","spotify:album:0CPLPlz7CkxSEyBcd6q6aJ","The Funeral","spotify:artist:0OdUWJ0sBjDrqHygGUXeCF","Band of Horses","2007","https://i.scdn.co/image/ab67616d0000b273740d7757c8f405379ff6eaee","1","1","322226","https://p.scdn.co/mp3-preview/a3d4810ce9c8ea8771bf5d2de93cadc44ec1ee77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBKTA0700005","spotify:user:11135692880","2020-08-09T18:22:52Z"
"spotify:track:6aCRBSgPRgyOZBxrAgXhQB","Glad Girls","spotify:artist:4oV5EVJ0XFWsJKoOvdRPvl","Guided By Voices","spotify:album:53KpX4dhIypkmTZkfgQdS6","The Best of Guided By Voices: Human Amusements At Hourly Rates","spotify:artist:4oV5EVJ0XFWsJKoOvdRPvl","Guided By Voices","2003-11-04","https://i.scdn.co/image/ab67616d0000b2730df1b9494dc6be20bc35d1ae","1","16","229826","https://p.scdn.co/mp3-preview/162e3e15664573f98eff56b9ec62a73199c3e57d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USTV10100131","spotify:user:11135692880","2020-08-09T18:22:52Z"
"spotify:track:6ZHa4WN0lqua4sQHRQFpkc","Guiding Light","spotify:artist:0S7Zur2g8YhqlzqtlYStli","Television","spotify:album:630o1rKTDsLeIPreOY1jqP","Marquee Moon","spotify:artist:0S7Zur2g8YhqlzqtlYStli","Television","1977-02-08","https://i.scdn.co/image/ab67616d0000b27318b36d985b0ae01163ca9cf6","1","6","332733","https://p.scdn.co/mp3-preview/ee5b00d478c29dca167ce6cc79b4da830fe3d029?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USEE10181886","spotify:user:11135692880","2020-08-09T18:22:52Z"
"spotify:track:7DjpeMh3CDLp33hPkervNu","Heaven","spotify:artist:6kFay2DQ5aZfeu5OsrF3Pw","The Walkmen","spotify:album:03YfPy2hpQweAAf7h5Xcor","Heaven - Single","spotify:artist:6kFay2DQ5aZfeu5OsrF3Pw","The Walkmen","2012-04-17","https://i.scdn.co/image/ab67616d0000b27329427505158dd23af393d1d5","1","1","262293","https://p.scdn.co/mp3-preview/4376753d31e523216fc27c0dacd03f964f1e4626?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","USFP71227311","spotify:user:11135692880","2020-08-09T18:22:52Z"
"spotify:track:3s48Baskq9lB3ARIDuv3IU","Here I Dreamt I Was an Architect","spotify:artist:7ITd48RbLVpUfheE7B86o2","The Decemberists","spotify:album:1RFOcMeZN0jGQaiQMDq03d","Castaways and Cutouts","spotify:artist:7ITd48RbLVpUfheE7B86o2","The Decemberists","2002-05-21","https://i.scdn.co/image/ab67616d0000b273c3ae7f4267863234499d716a","1","2","269146","https://p.scdn.co/mp3-preview/c93e290081b87b7e01aac35f6f4549a98355d663?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USKRS0339702","spotify:user:11135692880","2020-08-09T18:22:52Z"
"spotify:track:458jTlaoleWTGRV4QTdQNZ","Hey","spotify:artist:6zvul52xwTWzilBZl6BUbT","Pixies","spotify:album:6K979jujI5LEc7QIVQNnS9","Wave Of Mutilation: Best Of Pixies","spotify:artist:6zvul52xwTWzilBZl6BUbT","Pixies","2004-05-03","https://i.scdn.co/image/ab67616d0000b27312f470e711af0f6e826dd5c3","1","8","210933","https://p.scdn.co/mp3-preview/2b26cd70babe309473dec2cfde9241e57914e8a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBAFL8900017","spotify:user:11135692880","2020-08-09T18:22:52Z"
"spotify:track:1CsMuJeMzRqNgS7G0fo1Gv","How to Fight Loneliness","spotify:artist:2QoU3awHVdcHS8LrZEKvSM","Wilco","spotify:album:1JpaFJzzcsiulO6MdIcQdK","Summerteeth","spotify:artist:2QoU3awHVdcHS8LrZEKvSM","Wilco","1999-03-08","https://i.scdn.co/image/ab67616d0000b27321c8fd8cba79e6aaccc8ebf8","1","8","232026","https://p.scdn.co/mp3-preview/25cddab435a98655f215f970815dd84f000f62c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USRE19800776","spotify:user:11135692880","2020-08-09T18:22:52Z"
"spotify:track:3ra5Z9aRFoY3QpvW1tnglc","If I Could Split","spotify:artist:23yoMONerB8J7wfu2nY8GZ","Kite Flying Society","spotify:album:78hp5fxKQFVIAB4Elzxj8O","Where Is The Glow?","spotify:artist:23yoMONerB8J7wfu2nY8GZ","Kite Flying Society","2006-08-08","https://i.scdn.co/image/ab67616d0000b273d5dd5e6a694512a0fbd7d578","1","9","237586","https://p.scdn.co/mp3-preview/e2e6254c696bc5d79d6a0f95a7abef1b2550b167?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","ushm80614703","spotify:user:11135692880","2020-08-09T18:22:52Z"
"spotify:track:3xNO6JUk9ySYjxuqzcZYRB","If You See Her, Say Hello","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","spotify:album:4WD4pslu83FF6oMa1e19mF","Blood On The Tracks","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","1975-01-17","https://i.scdn.co/image/ab67616d0000b27372ca15b8637acbc7d15ff5ba","1","8","288000","https://p.scdn.co/mp3-preview/2a9881615d34fbadc9fd095c9481d4efc6203760?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USSM19906475","spotify:user:11135692880","2020-08-09T18:22:52Z"
"spotify:track:66S14BkJDxgkYxLl5DCqOz","I'm Gonna Be (500 Miles)","spotify:artist:1A92IAcd7A6npCA33oGM5i","The Proclaimers","spotify:album:7hPq9fDWwXPo1tT0oi3XcM","Finest","spotify:artist:1A92IAcd7A6npCA33oGM5i","The Proclaimers","2003-09-01","https://i.scdn.co/image/ab67616d0000b273b0c0201a8796d8a536253a61","1","1","219466","https://p.scdn.co/mp3-preview/42b4d0af211d3a2ad254c010254a1957297f3f24?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBAYK8800055","spotify:user:11135692880","2020-08-09T18:22:52Z"
"spotify:track:27LPgrREXjfc1drKHHoofp","It Was Love","spotify:artist:4XlCuR2K45h5RxyxpnyXpB","The Elected","spotify:album:5SfiJ2MndBpBvrAvWWJVvO","Sun, Sun, Sun","spotify:artist:4XlCuR2K45h5RxyxpnyXpB","The Elected","2006-01-24","https://i.scdn.co/image/ab67616d0000b273d5b7595258cc32eeff06e252","1","5","215106","https://p.scdn.co/mp3-preview/032ce26cf2b77f6bcf60fcabcd6bdb2229a0b759?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USSUB0670105","spotify:user:11135692880","2020-08-09T18:22:52Z"
