"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:66S14BkJDxgkYxLl5DCqOz","I'm Gonna Be (500 Miles)","spotify:artist:1A92IAcd7A6npCA33oGM5i","The Proclaimers","spotify:album:7hPq9fDWwXPo1tT0oi3XcM","Finest","spotify:artist:1A92IAcd7A6npCA33oGM5i","The Proclaimers","2003-09-01","https://i.scdn.co/image/ab67616d0000b273b0c0201a8796d8a536253a61","1","1","219466","https://p.scdn.co/mp3-preview/42b4d0af211d3a2ad254c010254a1957297f3f24?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBAYK8800055","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2qIvyLKvf2HjJfDvBaqZGF","Good Feeling - 2002 Remastered Version","spotify:artist:0rpMdBzQXf7aYRnu5fDBJy","Violent Femmes","spotify:album:2G9onFLGqlMJd1ThYf0vIB","Violent Femmes","spotify:artist:0rpMdBzQXf7aYRnu5fDBJy","Violent Femmes","1983","https://i.scdn.co/image/ab67616d0000b273e189ca336471c85cf01d1635","1","10","232333","https://p.scdn.co/mp3-preview/3f33e6270d012c1357e4e7ec6754cdd698ff70e2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USRH10900147","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:53VHRWhYdLLkBli26hQ1hz","Voices","spotify:artist:1LB8qB5BPb3MHQrfkvifXU","Cheap Trick","spotify:album:37P9MBdJRekfOIbPSX9alR","The Essential Cheap Trick","spotify:artist:1LB8qB5BPb3MHQrfkvifXU","Cheap Trick","2004-03-02","https://i.scdn.co/image/ab67616d0000b273bbf0089563c42c7710b7ca2f","1","17","262760","https://p.scdn.co/mp3-preview/e668dcfb392f805327b2855fd8d6f2bd6721e1b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USSM19917194","spotify:user:himym","2009-08-04T19:13:34Z"
"spotify:track:1TAjfIRWe3C2twoss2dS2R","Spit On A Stranger","spotify:artist:3inCNiUr4R6XQ3W43s9Aqi","Pavement","spotify:album:51UTkXK54wyYlVNO9KNYTI","Terror Twilight","spotify:artist:3inCNiUr4R6XQ3W43s9Aqi","Pavement","1999-01-01","https://i.scdn.co/image/ab67616d0000b273944ea674e7f253d7780bbe3d","1","1","184293","https://p.scdn.co/mp3-preview/b6c0a999be6b1570386faeb5b863b5d59c86c03f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCEL9900130","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1DQrPZrUcoHteMEt69XTeW","Rewind","spotify:artist:0VvTc0cpuq38K7Gqdg7hjm","Goldspot","spotify:album:2MpEfeJy9qmb1Ar2ree4ML","Tally Of The Yes Men","spotify:artist:0VvTc0cpuq38K7Gqdg7hjm","Goldspot","2005","https://i.scdn.co/image/ab67616d0000b27356d142713babfa37ba47893e","1","1","215266","https://p.scdn.co/mp3-preview/b7d49d36da29b8c9a012ff2439567592acfa9c3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","GBUM70604777","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4VJBbbqzm2u4E6C5pm8vAy","Kokomo - 1995 - Remaster","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","spotify:album:2mocmg4uVKhxos3jxfZ2dU","The Very Best Of The Beach Boys","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","2001","https://i.scdn.co/image/ab67616d0000b2731f5214408d594ab22ae53959","1","30","215733","https://p.scdn.co/mp3-preview/8a33ab47e93de0203c7e3fd39fc41d5513884d4e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USEE10001285","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0bV4WoGRzmYV6y7OojZvqr","Don't Go Breaking My Heart","spotify:artist:3PhoLpVuITZKcymswpck5b, spotify:artist:4vjGlQWexbru6aOUCLTVir","Elton John, Kiki Dee","spotify:album:1vsWzNT3lzLt7RNLUdUVZB","Rocket Man (Deluxe Edition)","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","2007-03-26","https://i.scdn.co/image/ab67616d0000b273d7094d37cb88fd125c26e701","2","5","275386","https://p.scdn.co/mp3-preview/a1ac078e1ebc26f93431ccd9b5eec2c8c6dc2272?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBALX7600007","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1yJZJeaRHqxwFTMRxfYmlm","Beautiful Beat","spotify:artist:11zHPjHnZN0ACA50rSnTcy","Nada Surf","spotify:album:6MmirAieAFn33CIOcEFb9h","Lucky","spotify:artist:11zHPjHnZN0ACA50rSnTcy","Nada Surf","2008-02-04","https://i.scdn.co/image/ab67616d0000b27317d36f1cb68000410ab313c9","1","3","278480","https://p.scdn.co/mp3-preview/37943c6dec11010e1343ef6198835c9fd0b9784c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","USBS50711543","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5yc59J3MR3tVDPTOgwgRI5","Soul Meets Body","spotify:artist:0YrtvWJMgSdVrk3SfNjTbx","Death Cab for Cutie","spotify:album:1NFGnxmeIEBakre4DvLaJq","Plans","spotify:artist:0YrtvWJMgSdVrk3SfNjTbx","Death Cab for Cutie","2005-08-29","https://i.scdn.co/image/ab67616d0000b273c985bcc18dd81da80839e5a9","1","2","229413","https://p.scdn.co/mp3-preview/a77e42b774c708a5a0586ef78cf0cdd62da8e5c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USAT20504676","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3UOxw3sJCP18ZXxpZHXC2R","Black Tears","spotify:artist:1Wt3ycP2i213My68YsgGBx","Miss Derringer","spotify:album:2pQj1O2fqwAsHahaaEg3zQ","Black Tears 7""","spotify:artist:1Wt3ycP2i213My68YsgGBx","Miss Derringer","2007-06-12","https://i.scdn.co/image/ab67616d0000b273230f52b291a7275e59ea4f13","1","1","196929","https://p.scdn.co/mp3-preview/5b36c0307092e167dc36ea3342e9f05273be37ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USA560659834","spotify:user:","1970-01-01T00:00:00Z"
