"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:4pG3qucOJo5Y61uKL7JWdm","Punching In A Dream - Single Version","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","spotify:album:2gDOioMgafQmwPnnjSPFBX","Punching In A Dream","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","2010-01-01","https://i.scdn.co/image/ab67616d0000b273324fa2cba6ecec820b19f331","1","1","214226","https://p.scdn.co/mp3-preview/5804dc5332908a03957688da0898d50f104962da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","NZNK11000015","spotify:user:11135692880","2020-09-14T18:54:07Z"
"spotify:track:5InOp6q2vvx0fShv3bzFLZ","Know Yourself","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:0ptlfJfwGTy0Yvrk14JK1I","If You're Reading This It's Too Late","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2015-02-12","https://i.scdn.co/image/ab67616d0000b2732090f4f6cc406e6d3c306733","1","4","275840","https://p.scdn.co/mp3-preview/cfd9ec3b216ac1b28c51e1f1750c8264fb7f2a56?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","USUM71502037","spotify:user:11135692880","2020-09-14T18:49:54Z"
"spotify:track:25J3gcZhNjzBwcaDfZjQli","Notti","spotify:artist:23TFHmajVfBtlRx5MXqgoz","Sfera Ebbasta","spotify:album:0jCjYC7ABAxCsSf0wqFbsc","Sfera Ebbasta","spotify:artist:23TFHmajVfBtlRx5MXqgoz","Sfera Ebbasta","2016-09-09","https://i.scdn.co/image/ab67616d0000b2730b5557811b1eab235b1fade4","1","4","170840","https://p.scdn.co/mp3-preview/1be04ca7905aeb7d26dc4c851af0fe30652853bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","ITUM71600878","spotify:user:11135692880","2020-09-14T18:49:54Z"
"spotify:track:23OXdR7YuUBVWh5hSnYJau","Chlorine","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:621cXqrTSSJi1WqDMSLmbL","Trench","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2018-10-05","https://i.scdn.co/image/ab67616d0000b273d1d301e737da4324479c6660","1","5","324466","https://p.scdn.co/mp3-preview/08d5802772357860f04dfafedda7035bcc374bfa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USAT21810687","spotify:user:11135692880","2020-09-14T18:49:54Z"
"spotify:track:6eT7xZZlB2mwyzJ2sUKG6w","White Iverson","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:5s0rmjP8XOPhP6HhqOhuyC","Stoney - Deluxe","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2016-12-09","https://i.scdn.co/image/ab67616d0000b27355404f712deb84d0650a4b41","1","6","256532","https://p.scdn.co/mp3-preview/41e53886e926c6f76a2259927622a2d1112a2068?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USUM71511528","spotify:user:11135692880","2020-09-14T18:52:32Z"
"spotify:track:6Z8R6UsFuGXGtiIxiD8ISb","Safe And Sound","spotify:artist:4gwpcMTbLWtBUlOijbVpuu","Capital Cities","spotify:album:3WrufJir7I61NkvkDwxero","In A Tidal Wave Of Mystery - Deluxe Edition","spotify:artist:4gwpcMTbLWtBUlOijbVpuu","Capital Cities","2013","https://i.scdn.co/image/ab67616d0000b27313c6cb6a81c8db4dbc8b9924","1","1","192789","https://p.scdn.co/mp3-preview/5e9a012f06d4c8612a3d378cde706104c00ec621?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USCA21203108","spotify:user:11135692880","2020-10-03T13:13:52Z"
"spotify:track:5AHqRXh1GcsBp8C0Ahwaaw","Marylin","spotify:artist:3co0PkJ0FkzdkjRPkBf9WM","Tauro Boys","spotify:album:7cwfsBUolv41vtpOSheaq6","TauroTape2","spotify:artist:3co0PkJ0FkzdkjRPkBf9WM","Tauro Boys","2018-10-05","https://i.scdn.co/image/ab67616d0000b273fa0aaee65c603d126a29c263","1","2","196243","https://p.scdn.co/mp3-preview/25ae77a713f943b31f0260ad883f669e790c3184?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","ITDF61877069","spotify:user:11135692880","2020-12-04T02:19:28Z"
"spotify:track:6oZJl2T2hdHnMYcZR6VJGb","Stay Away (feat. Ketama126, Side Baby & Franco126)","spotify:artist:2E6AK3UPEGCvjnzuygCh2h, spotify:artist:0pSx3asj3usz5PRt8COo0E, spotify:artist:6PXiPeUVFrlaC1n8511ijT, spotify:artist:2KkO9uXHF9BVNJASjLekAc","Night Skinny, Ketama126, Side Baby, Franco126","spotify:album:1l1cFQQfIbsDDbPavkCosf","Mattoni","spotify:artist:2E6AK3UPEGCvjnzuygCh2h","Night Skinny","2019-09-12","https://i.scdn.co/image/ab67616d0000b27325c6a5057608a4260583b88e","1","7","216000","https://p.scdn.co/mp3-preview/142780b5951f8758d7b5fb1da157f8d5bdeec8b7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","ITUM71900832","spotify:user:11135692880","2020-12-04T02:19:38Z"
"spotify:track:5qf1k7zubHxjR3uinHmIKg","Autostima","spotify:artist:0fskdccy6fvnWMNMNPqEro","PSICOLOGI","spotify:album:3q8IwSG70YDBQQNxapkx1c","2001","spotify:artist:0fskdccy6fvnWMNMNPqEro","PSICOLOGI","2019-07-19","https://i.scdn.co/image/ab67616d0000b273f7bcc0622a73f546ee1a4084","1","3","148205","https://p.scdn.co/mp3-preview/1e05f83d320ca00a549e65dc72f4470b3f944754?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","ITLGE1900030","spotify:user:11135692880","2020-12-04T02:20:15Z"
"spotify:track:5OmIiHpRSb3QtQVZQXcAfM","Università (feat. Franco126)","spotify:artist:26PZBCQnswFp61ccTrVJOa, spotify:artist:2KkO9uXHF9BVNJASjLekAc","Gianni Bismark, Franco126","spotify:album:47AvAzkaPvmiqRgSQex8SD","Re Senza Corona","spotify:artist:26PZBCQnswFp61ccTrVJOa","Gianni Bismark","2019-01-18","https://i.scdn.co/image/ab67616d0000b273673d65a32ebf287cc5c29820","1","6","159010","https://p.scdn.co/mp3-preview/f2430e3cb47a23c500b3e60a03538cfe50f8fa7b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","ITUM71801372","spotify:user:11135692880","2020-12-04T02:20:59Z"
