"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:3G2grVPTDrTQskKKsoEnRA","White Iverson","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:4IDkY5fkVbMfyfB9hOTGDp","White Iverson","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2015-08-14","https://i.scdn.co/image/ab67616d0000b2739dbd9c0b6124eb3aed735e57","1","1","255173","https://p.scdn.co/mp3-preview/41e53886e926c6f76a2259927622a2d1112a2068?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USUM71511528","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:3pZVOJUUOdheb1yqBHc6gw","Escapee","spotify:artist:60eT7q88iLWKnuSXed1AGr","Architecture In Helsinki","spotify:album:1HHd1Fj2ZywpZEBUnV7YIc","Moment Bends","spotify:artist:60eT7q88iLWKnuSXed1AGr","Architecture In Helsinki","2011-04-11","https://i.scdn.co/image/ab67616d0000b273cc641c6e280474be1def2de4","1","2","178146","https://p.scdn.co/mp3-preview/43d250a5143010936ee91673dfb873028990bc20?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBUM71100361","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:3smAYCIyUKT0uiw4HMpIJl","Tighten Up","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","spotify:album:0gVxPZ2tcMgyzLxyw8k1z7","Brothers (Deluxe Edition)","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","2010-10-18","https://i.scdn.co/image/ab67616d0000b2738f5567f5c20e8d5882c37afa","1","3","211040","https://p.scdn.co/mp3-preview/8a50a06177898374f5c2c3d42bcc995f2bb57cfb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USNO11000078","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:3DErCJ2zr1Zoazj8YoQL4Z","Go Flex","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:5dNDFl36R5XWnFee8uOiDJ","Go Flex","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2016-04-22","https://i.scdn.co/image/ab67616d0000b27395b5f312085f63cea3b19153","1","1","182000","https://p.scdn.co/mp3-preview/2242cc1dd61306b72850f2e8ef16d89018cf9ee2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USUM71603455","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:3M3XmdO3X08mmrlT1LfuTE","Bliss Out","spotify:artist:1369EOxSlL69yV9Yp1nVaR","Hadouken!","spotify:album:2Q3RDfmo70xroodcVfdb7x","Every Weekend","spotify:artist:1369EOxSlL69yV9Yp1nVaR","Hadouken!","2013-03-18","https://i.scdn.co/image/ab67616d0000b27344a98a74e175ab87d39301a5","1","3","203965","https://p.scdn.co/mp3-preview/bcb34294e4bdceecfd5e5a552d403477048d64ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB2ME1200753","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:2CdNHP8DJ5tfbRoIRdcTeE","Quesadilla","spotify:artist:6DIS6PRrLS3wbnZsf7vYic","WALK THE MOON","spotify:album:1QhonXpNQq8wrGEKX0ofbk","Walk The Moon","spotify:artist:6DIS6PRrLS3wbnZsf7vYic","WALK THE MOON","2012-06-19","https://i.scdn.co/image/ab67616d0000b2737f768e99c363b6ee0995556e","1","1","195280","https://p.scdn.co/mp3-preview/5c941ecf2b0ff62d78c4fea5745fb1fcae1ccd4d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USRC11200439","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:6mVD1SfTvlFAPVi7txFL5H","Machu Picchu","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","spotify:album:6Jx4cGhWHewTcfKDJKguBQ","Angles","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","2011-03-21","https://i.scdn.co/image/ab67616d0000b273397d02cfe1aab2923f9d1697","1","1","209626","https://p.scdn.co/mp3-preview/c7a9400a625e16063428d401f86010ee05ca2ca1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USRC11100046","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:0d28khcov6AiegSCpG5TuT","Feel Good Inc.","spotify:artist:3AA28KZvwAUcZuOKwyblJQ","Gorillaz","spotify:album:0bUTHlWbkSQysoM3VsWldT","Demon Days","spotify:artist:3AA28KZvwAUcZuOKwyblJQ","Gorillaz","2005-05-23","https://i.scdn.co/image/ab67616d0000b27319d85a472f328a6ed9b704cf","1","6","222640","https://p.scdn.co/mp3-preview/b13a1bb2d8a04132982a49b6efee933cc9d67c7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","GBAYE0500172","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:62tW8h5l2UrgqvdbhZaXL1","Wild","spotify:artist:1niOQVlqnlW8hFqKSlbx7p","Royal Teeth","spotify:album:2YbooGIxGDQicg1UUjSzKw","Glow","spotify:artist:1niOQVlqnlW8hFqKSlbx7p","Royal Teeth","2013-08-13","https://i.scdn.co/image/ab67616d0000b273cdc6004f954d058a2f98a304","1","3","274226","https://p.scdn.co/mp3-preview/8427d5de2b7d4d1bb9d804842e2d69b0121a4107?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","US3R21208801","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:09MdUOjFcCD5UCb4KL9iTD","Too Young","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:1T7E1GMQCXmC3GLBNpqZRO","Too Young","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2015-10-09","https://i.scdn.co/image/ab67616d0000b273e588d643ed1732ecfc752e8b","1","1","237626","https://p.scdn.co/mp3-preview/0761ae36351fea291d24e2298948645b2343100d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USUM71515989","spotify:user:","2016-12-03T00:00:00Z"
