"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:6Ep6BzIOB9tz3P4sWqiiAB","Radioactive","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:1vAEF8F0HoRFGiYOEeJXHW","Night Visions (Deluxe)","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-09-04","https://i.scdn.co/image/ab67616d0000b273dee648abe19dd6e10902c4ae","1","1","186813","https://p.scdn.co/mp3-preview/10a6946f6466990d6ffee5821d745999c1492932?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUM71201074","spotify:user:pivimkh","2014-11-08T12:59:29Z"
"spotify:track:6YUFByainM0IB52DNObY5t","Tiptoe","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:1vAEF8F0HoRFGiYOEeJXHW","Night Visions (Deluxe)","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-09-04","https://i.scdn.co/image/ab67616d0000b273dee648abe19dd6e10902c4ae","1","2","193000","https://p.scdn.co/mp3-preview/6edcc212489fbb2309830ef40ba7cfa1021468aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUM71208576","spotify:user:pivimkh","2014-11-08T12:59:29Z"
"spotify:track:3xqF04FdMK7gpIPG3SPFpY","It's Time","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:1vAEF8F0HoRFGiYOEeJXHW","Night Visions (Deluxe)","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-09-04","https://i.scdn.co/image/ab67616d0000b273dee648abe19dd6e10902c4ae","1","3","237986","https://p.scdn.co/mp3-preview/390931351d05dfaf8a423f0981d1dc754f02a353?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUM71200987","spotify:user:pivimkh","2014-11-08T12:59:29Z"
"spotify:track:2Oehrcv4Kov0SuIgWyQY9e","Demons","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:1vAEF8F0HoRFGiYOEeJXHW","Night Visions (Deluxe)","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-09-04","https://i.scdn.co/image/ab67616d0000b273dee648abe19dd6e10902c4ae","1","4","175200","https://p.scdn.co/mp3-preview/dffa47dbbfe06cff32e8b676e66e7d50ad358ca7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","USUM71201071","spotify:user:pivimkh","2014-11-08T12:59:29Z"
"spotify:track:4eLSCSELtKxZwXnFbNLXT5","On Top Of The World","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:1vAEF8F0HoRFGiYOEeJXHW","Night Visions (Deluxe)","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-09-04","https://i.scdn.co/image/ab67616d0000b273dee648abe19dd6e10902c4ae","1","5","189840","https://p.scdn.co/mp3-preview/63c233fd86794fed3c0b3a3ba5e1e4916e1a23bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUM71201073","spotify:user:pivimkh","2014-11-08T12:59:29Z"
"spotify:track:6nYD1UPZzBfnA9aL5TrWTc","Amsterdam","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:1vAEF8F0HoRFGiYOEeJXHW","Night Visions (Deluxe)","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-09-04","https://i.scdn.co/image/ab67616d0000b273dee648abe19dd6e10902c4ae","1","6","241426","https://p.scdn.co/mp3-preview/68acc772a73c9f25ec137302554a1414c7b8ffc8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUM71208568","spotify:user:pivimkh","2014-11-08T12:59:29Z"
"spotify:track:6wWphSJNz9GiKWb6EcealX","Hear Me","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:1vAEF8F0HoRFGiYOEeJXHW","Night Visions (Deluxe)","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-09-04","https://i.scdn.co/image/ab67616d0000b273dee648abe19dd6e10902c4ae","1","7","232240","https://p.scdn.co/mp3-preview/7aa89a455d9087cfc1a2b2a31504e24543d20fc0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUM71208571","spotify:user:pivimkh","2014-11-08T12:59:29Z"
"spotify:track:0CpQCN7nEz6tH6THwcJdzw","Every Night","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:1vAEF8F0HoRFGiYOEeJXHW","Night Visions (Deluxe)","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-09-04","https://i.scdn.co/image/ab67616d0000b273dee648abe19dd6e10902c4ae","1","8","215533","https://p.scdn.co/mp3-preview/2880de9b7687e77885b857e6f5a4e445ba58f947?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUM71208570","spotify:user:pivimkh","2014-11-08T12:59:29Z"
"spotify:track:4ivxQTDPvf8nrUh8H2pfnr","Shots","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:5fKZipOvBwrsRYpgjUtv9G","Shots","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2015-01-27","https://i.scdn.co/image/ab67616d0000b27352098ae40ec89f396ca67443","1","1","232346","https://p.scdn.co/mp3-preview/f4593d6aa3a1747670edc4f4feb2df352b035d57?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUM71417944","spotify:user:pivimkh","2015-01-28T14:06:50Z"
"spotify:track:0RchWnEHETINMAyrTrlBmo","Bleeding Out","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:1vAEF8F0HoRFGiYOEeJXHW","Night Visions (Deluxe)","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-09-04","https://i.scdn.co/image/ab67616d0000b273dee648abe19dd6e10902c4ae","1","9","221053","https://p.scdn.co/mp3-preview/3054d037907202b9f5ffea8c66cc9d4eab84526b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUM71208569","spotify:user:pivimkh","2014-11-08T12:59:29Z"
"spotify:track:0uRxBrnv51zUxq55y6yDzx","Underdog","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:1vAEF8F0HoRFGiYOEeJXHW","Night Visions (Deluxe)","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-09-04","https://i.scdn.co/image/ab67616d0000b273dee648abe19dd6e10902c4ae","1","10","206706","https://p.scdn.co/mp3-preview/2e78d645e946c10ee3e9d9051f3fd0ddc26b529f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUM71208577","spotify:user:pivimkh","2014-11-08T12:59:29Z"
"spotify:track:1DirzC3jiBhwQ15rajeobq","Nothing Left To Say / Rocks - Medley","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:1vAEF8F0HoRFGiYOEeJXHW","Night Visions (Deluxe)","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-09-04","https://i.scdn.co/image/ab67616d0000b273dee648abe19dd6e10902c4ae","1","11","536053","https://p.scdn.co/mp3-preview/a56c6cdbaa6f753a03669e10f26c1489df635acd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUM71208578","spotify:user:pivimkh","2014-11-08T12:59:29Z"
