"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:7wW9scVNLYFLsmBb1yAUmS","Blue Eyes","spotify:artist:7uIbLdzzSEqnX0Pkrb56cR","Yo Yo Honey Singh","spotify:album:2iPimv2hsVBJZU1fvBfwkB","Blue Eyes","spotify:artist:7uIbLdzzSEqnX0Pkrb56cR","Yo Yo Honey Singh","2013-11-08","https://i.scdn.co/image/ab67616d0000b27346a4f62d210c2cb02158eac7","1","1","220943","https://p.scdn.co/mp3-preview/656611d17a4ac9ffe174a3ae2a5883e746e3c57b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","INS181306486","spotify:user:11135692880","2023-04-03T23:52:23Z"
"spotify:track:1QZRCi2Z1DQQaR6bGAzhtN","Love Dose","spotify:artist:7uIbLdzzSEqnX0Pkrb56cR","Yo Yo Honey Singh","spotify:album:3IbKcMtNRze5t0ANwdp45H","Desi Kalakaar","spotify:artist:7uIbLdzzSEqnX0Pkrb56cR, spotify:artist:6y16j3NM7yVHoPxDjVquuq","Yo Yo Honey Singh, Lil Golu","2014-09-26","https://i.scdn.co/image/ab67616d0000b27365ce8c712e4fb894bc88461b","1","2","224444","https://p.scdn.co/mp3-preview/70818a9df6612bdf8d75176ad74229d599fc880b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","INS181402053","spotify:user:11135692880","2023-04-03T23:52:36Z"
"spotify:track:0oUfa6l7wLkVAdXpuZv1Es","Tu Te Sharaab","spotify:artist:3TozxPbDes76aGFdfv7PMv","Jordan Sandhu","spotify:album:2WkHsdB7xX7Iogc6V3mMCc","Tu Te Sharab","spotify:artist:3TozxPbDes76aGFdfv7PMv","Jordan Sandhu","2023-02-06","https://i.scdn.co/image/ab67616d0000b2735b8d67770544b687131b5c47","1","1","195000","https://p.scdn.co/mp3-preview/1693fa79f811e62cc508fd7ecc27eb4f7dcdac99?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","INM432300017","spotify:user:11135692880","2023-04-03T23:53:02Z"
"spotify:track:7Kluc7HsLzZKAaO2sH1N1C","Koka (From ""Babe Bhangra Paunde Ne"")","spotify:artist:2FKWNmZWDBZR4dE5KX4plR, spotify:artist:2WcrD17Io276ir3miEHCrc, spotify:artist:1vKd2cgDOiLcV5YA5uy7GG, spotify:artist:183DgO92lAqgpVVNKI7ZKF","Diljit Dosanjh, Sargi Maan, Avvy Sra, Raj Ranjodh","spotify:album:47f2MUOb3fDwsMVgHySIP9","Koka (From ""Babe Bhangra Paunde Ne"") - Single","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2022-09-23","https://i.scdn.co/image/ab67616d0000b27330a0533f0f02b4d618172d18","1","1","150566","https://p.scdn.co/mp3-preview/4061809c59f84006ee70d94ea8f0dd2b49fcd60e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","INH102214497","spotify:user:11135692880","2023-04-03T23:53:19Z"
"spotify:track:2EKPi0tqWGoCMRUm0OimC1","Surma","spotify:artist:2qqPV8ZkTpVdwfMOKSsb8N, spotify:artist:0RMirruXjTtSl8fckjj6v9","Khan Bhaini, Raj Shoker","spotify:album:0mynneCJOCqAWYEW8Eg6JM","Surma","spotify:artist:2qqPV8ZkTpVdwfMOKSsb8N","Khan Bhaini","2021-06-15","https://i.scdn.co/image/ab67616d0000b273d22add5658ba3d9d4e679345","1","1","218965","https://p.scdn.co/mp3-preview/06858799db0ef41d8071957087e606327bfb38a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","INM432100084","spotify:user:11135692880","2023-04-03T23:53:32Z"
"spotify:track:5TjVLCESR9XIp5vDAWYfmi","Players","spotify:artist:0y59o4v8uw5crbN9M3JiL1, spotify:artist:6DARBhWbfcS9E4yJzcliqQ, spotify:artist:0V8aeNb0fnR2P8eZVrx3lI","Badshah, Karan Aujla, Devika Badyal","spotify:album:2ap6wepv8WNqHCxJiclPIL","Players","spotify:artist:0y59o4v8uw5crbN9M3JiL1, spotify:artist:6DARBhWbfcS9E4yJzcliqQ","Badshah, Karan Aujla","2022-12-21","https://i.scdn.co/image/ab67616d0000b273ecdab71336ca522eca0631f7","1","1","171272","https://p.scdn.co/mp3-preview/eda6a315a6ae2273ec7f1fe20c744e07d31ced5f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","INUM72200285","spotify:user:11135692880","2023-04-03T23:53:49Z"
"spotify:track:6Pxq8WosWicxmEqp9BFZ2s","What Ve","spotify:artist:2FKWNmZWDBZR4dE5KX4plR, spotify:artist:0ea0y5ZxnN5TbEDzNtx5Fk","Diljit Dosanjh, Nimrat Khaira","spotify:album:5uR3tuzwfgecmNPsCfxeUi","What Ve","spotify:artist:2FKWNmZWDBZR4dE5KX4plR","Diljit Dosanjh","2021-12-16","https://i.scdn.co/image/ab67616d0000b273f9ed212803c11b74760a65ad","1","1","188000","https://p.scdn.co/mp3-preview/6f3d5694e7137ee9391d110046774bc61c79087e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","TCAFY2137004","spotify:user:11135692880","2023-04-03T23:54:24Z"
"spotify:track:4bAimZUcP0JK806hdCuAjt","Yeh Baby","spotify:artist:7M3xY5iHSzEtoL3FpqOD75","Garry Sandhu","spotify:album:2tNLI0zZIICrQRlC4c3CVn","Yeh Baby","spotify:artist:7M3xY5iHSzEtoL3FpqOD75","Garry Sandhu","2018-04-03","https://i.scdn.co/image/ab67616d0000b2739537baa44dca699fd80d779b","1","1","185454","https://p.scdn.co/mp3-preview/606746abc4b4e5a5fcfb554a13f2eb5c12577c2f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","FR2X41808337","spotify:user:11135692880","2023-04-03T23:54:32Z"
"spotify:track:6LvHrLiW1z8PS7MIAiufKg","Bad Boy X Bad Girl (feat. Nikhita Gandhi)","spotify:artist:0y59o4v8uw5crbN9M3JiL1, spotify:artist:3tPQOjkxO3mrYrrgkTeXgH","Badshah, Nikhita Gandhi","spotify:album:2zBorimEpgHINDifNil0Un","Bad Boy X Bad Girl (feat. Nikhita Gandhi)","spotify:artist:0y59o4v8uw5crbN9M3JiL1","Badshah","2021-09-17","https://i.scdn.co/image/ab67616d0000b273cec99b43df372b68b6648f81","1","1","199402","https://p.scdn.co/mp3-preview/33dd8b35fc53bc8d3910da87e0b0051d927dda96?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","INS172103888","spotify:user:11135692880","2023-04-03T23:54:42Z"
"spotify:track:7HNHIRAYrKeuobsj6n3l1y","Designer","spotify:artist:5rQoBDKFnd1n6BkdbgVaRL, spotify:artist:7uIbLdzzSEqnX0Pkrb56cR, spotify:artist:5tQK6I2uZ8bZUwjc2eNep9","Guru Randhawa, Yo Yo Honey Singh, Divya Khosla Kumar","spotify:album:1TodfeqA8d0lKML7bf1ziA","Designer","spotify:artist:5rQoBDKFnd1n6BkdbgVaRL, spotify:artist:7uIbLdzzSEqnX0Pkrb56cR","Guru Randhawa, Yo Yo Honey Singh","2022-05-19","https://i.scdn.co/image/ab67616d0000b273fce593bc54cf4058c8cea172","1","1","219095","https://p.scdn.co/mp3-preview/eed44960a63fb6a74e21eb09ac1269256fa0faa3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","INS182201019","spotify:user:11135692880","2023-04-03T23:54:56Z"
