"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:5lTTuESHokJHpSsEvvSR64","Romantico Ma Muori","spotify:artist:6RdcIWVKYYzNzjQRd3oyHS","Pinguini Tattici Nucleari","spotify:album:0js12ciEGYY4tTcCLKgwwY","Romantico Ma Muori","spotify:artist:6RdcIWVKYYzNzjQRd3oyHS","Pinguini Tattici Nucleari","2024-09-13","https://i.scdn.co/image/ab67616d0000b273d850d10b72e8ccd5658ab77d","1","1","166330","https://p.scdn.co/mp3-preview/b009e845cca0dc0873e70c6e9eba466a0471a830?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","ITM382400179","spotify:user:","2024-10-02T10:02:09Z"
"spotify:track:2cpZJsQFxwHvBF0KB5dCaB","Tutto Qui","spotify:artist:7KFOc3T4Xo8DVZt4PWw2qN","Gazzelle","spotify:album:7c4WZWTbWCodNxtex7owQN","Tutto Qui","spotify:artist:7KFOc3T4Xo8DVZt4PWw2qN","Gazzelle","2024-02-07","https://i.scdn.co/image/ab67616d0000b2736050d18ee430aeb069589a27","1","1","211783","https://p.scdn.co/mp3-preview/49d57471b90d6c5b8add74705143e9f7bc2d7fa7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","IT8U12400002","spotify:user:","2024-10-02T10:02:09Z"
"spotify:track:73L86FIIQk4iQBARHArhaA","Ghiaccio (feat. chiello)","spotify:artist:1RpjdVVigmI1T1UW8gxXJz, spotify:artist:5mjasIBQQPIqA9GV2Ys61h, spotify:artist:34woewpITSXZtVzNi9tAPS","ceneri, chiello, B-CROMA","spotify:album:0D6bgRc96ZW45n5qTmZjZq","Ghiaccio (feat. chiello)","spotify:artist:1RpjdVVigmI1T1UW8gxXJz, spotify:artist:5mjasIBQQPIqA9GV2Ys61h, spotify:artist:34woewpITSXZtVzNi9tAPS","ceneri, chiello, B-CROMA","2024-09-27","https://i.scdn.co/image/ab67616d0000b2731f75cc6c3abd1d57aa3af01b","1","1","215969","https://p.scdn.co/mp3-preview/09faddcbeeae9c91d773ad8c052b77838ea694b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","ITF0C2400017","spotify:user:","2024-10-02T10:02:09Z"
"spotify:track:0RIfczN0zU09Jl1ZzsUS2Y","RUGGINE ⚮ (con chiello & Coez)","spotify:artist:7gjqZ8coFZimZDtdk04WP1, spotify:artist:5mjasIBQQPIqA9GV2Ys61h, spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","MACE, chiello, Coez","spotify:album:5qmAywH16FCK4UjPk1pnVD","RUGGINE ⚮ (con chiello & Coez)","spotify:artist:7gjqZ8coFZimZDtdk04WP1, spotify:artist:5mjasIBQQPIqA9GV2Ys61h, spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","MACE, chiello, Coez","2024-03-07","https://i.scdn.co/image/ab67616d0000b27302bf978e1bf6fc4c2e4a3cee","1","1","197766","https://p.scdn.co/mp3-preview/39960aa1442131fb5286e9e62c5c0a194c759383?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","ITUM72400404","spotify:user:","2024-10-02T10:02:09Z"
"spotify:track:3MMF2zfkCej8jAjWxS87tY","Carnevale","spotify:artist:0dT9auvD1fYqJgta100xHK","dile","spotify:album:2xlTIUyWTbi7LYa1PHqrit","Carnevale","spotify:artist:0dT9auvD1fYqJgta100xHK","dile","2024-09-06","https://i.scdn.co/image/ab67616d0000b27342a809b54fa9a55fc3abda0e","1","1","156649","https://p.scdn.co/mp3-preview/55bdb916ed50b9b6c407d8fc8ff33fc98232517d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","DGA092430146","spotify:user:","2024-10-02T10:02:09Z"
"spotify:track:5TgNeqlMXzIYaaZyYNx6KG","Festa","spotify:artist:2n92OcdDhE5g2CpDI1rjH6","Fast Animals and Slow Kids","spotify:album:2fuci5VXQkIHoxwDe8R1aI","Festa","spotify:artist:2n92OcdDhE5g2CpDI1rjH6","Fast Animals and Slow Kids","2024-09-20","https://i.scdn.co/image/ab67616d0000b273313828ab288e4141ac0c755c","1","1","189910","https://p.scdn.co/mp3-preview/3d2be18dc78a3c0b16c1ae1cae8db65604f3effe?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","ITCV32412203","spotify:user:","2024-10-02T10:02:09Z"
"spotify:track:3i4rci1J95OdMxer9kxjqW","Le parole più grandi","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","Coez","spotify:album:633YqTzw4kncLmIwFfsP0K","Niente che non va","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","Coez","2015-09-04","https://i.scdn.co/image/ab67616d0000b2737a3ac958bb7d53520cd8d798","1","11","224931","https://p.scdn.co/mp3-preview/beefcc535584219184f5546ac746b1a190b8ace1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","ITB261500610","spotify:user:","2024-10-02T10:02:09Z"
"spotify:track:7yS8LfvvFEhtGhKLk29j5a","2minuti","spotify:artist:582KhTHEVOONNQLmQ5612r","Calcutta ","spotify:album:4fPV5OWBxzBVaYRbXduGtj","RELAX","spotify:artist:582KhTHEVOONNQLmQ5612r","Calcutta ","2023-10-20","https://i.scdn.co/image/ab67616d0000b2738acaa7da2fb43a4038d962c6","1","4","214291","https://p.scdn.co/mp3-preview/dec8bf0ded325c45c86117ee46815da09cc54996?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","ITLGE2300083","spotify:user:","2024-10-02T10:02:09Z"
"spotify:track:07JD3mo4jLWXoSOuSzL8Bp","La ghigliottina","spotify:artist:2p2SZoUTvT4dbL2xXXJXwy","Brunori Sas","spotify:album:5irwCesxjZvde8AFNOW3at","La ghigliottina","spotify:artist:2p2SZoUTvT4dbL2xXXJXwy","Brunori Sas","2024-09-18","https://i.scdn.co/image/ab67616d0000b273370e85a69006dcf2e79e6a0c","1","1","222750","https://p.scdn.co/mp3-preview/80bfa0534a878abcf3c5d4c1c0fa6fa4d1991b3c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","ITUM72401061","spotify:user:","2024-10-02T10:02:09Z"
"spotify:track:2Ha4DVGmLkLfNyeA8o9B9k","Bandiera","spotify:artist:3nydqw1voiqBuNl0ccolW2","Giulia Mei","spotify:album:4AeNEwWelAQE0PNnO2B1Jt","Bandiera","spotify:artist:3nydqw1voiqBuNl0ccolW2","Giulia Mei","2023-11-24","https://i.scdn.co/image/ab67616d0000b273c9bff1415e4bb59d452763f8","1","1","181523","https://p.scdn.co/mp3-preview/bdea33c96a51cc24fe97437cb4eee968a6021673?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","ITBSF2300017","spotify:user:","2024-10-02T10:02:09Z"
