"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:6q4n5f3IFIZohAy1ibN88e","Gaetano","spotify:artist:582KhTHEVOONNQLmQ5612r","Calcutta ","spotify:album:1ydmsbKjOxrWFBQmoz1O91","Mainstream +","spotify:artist:582KhTHEVOONNQLmQ5612r","Calcutta ","2017-02-24","https://i.scdn.co/image/ab67616d0000b273c646c7e3234fec58ffe0d415","1","1","242320","https://p.scdn.co/mp3-preview/c18e791a4ab69c5d7c7da87d9e2946f7b7a7c768?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","ITL771502057","spotify:user:11135692880","2017-09-30T01:44:59Z"
"spotify:track:7yJZlPui7PYh2L9UXmtQWc","Oroscopo (feat. Takagi & Ketra) - Ghost track","spotify:artist:582KhTHEVOONNQLmQ5612r, spotify:artist:76UCIJTB0jcJvBaL0CdIqx","Calcutta , Takagi & Ketra","spotify:album:1ydmsbKjOxrWFBQmoz1O91","Mainstream +","spotify:artist:582KhTHEVOONNQLmQ5612r","Calcutta ","2017-02-24","https://i.scdn.co/image/ab67616d0000b273c646c7e3234fec58ffe0d415","4","1","198292","https://p.scdn.co/mp3-preview/a8ccfed997c2d58fb9912b75ae2be25a3c34f167?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","ITM381600065","spotify:user:11135692880","2017-09-30T01:45:05Z"
"spotify:track:6ORYfxqtaGHAWF0dNp5iDy","Cosa mi manchi a fare","spotify:artist:582KhTHEVOONNQLmQ5612r","Calcutta ","spotify:album:1ydmsbKjOxrWFBQmoz1O91","Mainstream +","spotify:artist:582KhTHEVOONNQLmQ5612r","Calcutta ","2017-02-24","https://i.scdn.co/image/ab67616d0000b273c646c7e3234fec58ffe0d415","1","2","169306","https://p.scdn.co/mp3-preview/a5e8b98ae6ae1ccf226577060b84f878c9757a96?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","ITL771502058","spotify:user:11135692880","2017-09-30T01:44:59Z"
"spotify:track:1RBJCBxcfYeeUKPVZCgGnA","Milano","spotify:artist:582KhTHEVOONNQLmQ5612r","Calcutta ","spotify:album:1ydmsbKjOxrWFBQmoz1O91","Mainstream +","spotify:artist:582KhTHEVOONNQLmQ5612r","Calcutta ","2017-02-24","https://i.scdn.co/image/ab67616d0000b273c646c7e3234fec58ffe0d415","1","4","242760","https://p.scdn.co/mp3-preview/9280261ec1d47fe9a52e7e99d0508057368d2f95?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","ITL771502060","spotify:user:11135692880","2017-09-30T01:44:59Z"
"spotify:track:0jgQtvWCxZHLJyZF64VGLe","Limonata","spotify:artist:582KhTHEVOONNQLmQ5612r","Calcutta ","spotify:album:1ydmsbKjOxrWFBQmoz1O91","Mainstream +","spotify:artist:582KhTHEVOONNQLmQ5612r","Calcutta ","2017-02-24","https://i.scdn.co/image/ab67616d0000b273c646c7e3234fec58ffe0d415","1","5","133586","https://p.scdn.co/mp3-preview/b5fb2e7231553754fd0f1486e972ae248cdc250d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","ITL771502061","spotify:user:11135692880","2017-09-30T01:44:59Z"
"spotify:track:1MamHbefdCyXn6rAzgYvLq","Frosinone","spotify:artist:582KhTHEVOONNQLmQ5612r","Calcutta ","spotify:album:1ydmsbKjOxrWFBQmoz1O91","Mainstream +","spotify:artist:582KhTHEVOONNQLmQ5612r","Calcutta ","2017-02-24","https://i.scdn.co/image/ab67616d0000b273c646c7e3234fec58ffe0d415","1","6","189440","https://p.scdn.co/mp3-preview/cbbf4c93addb0f83454da7acb7476b84e2b6b78a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","ITL771502062","spotify:user:11135692880","2017-09-30T01:44:59Z"
"spotify:track:0s5CJEetUuZsvHLkf4CXuL","Del verde","spotify:artist:582KhTHEVOONNQLmQ5612r","Calcutta ","spotify:album:1ydmsbKjOxrWFBQmoz1O91","Mainstream +","spotify:artist:582KhTHEVOONNQLmQ5612r","Calcutta ","2017-02-24","https://i.scdn.co/image/ab67616d0000b273c646c7e3234fec58ffe0d415","1","8","228480","https://p.scdn.co/mp3-preview/e4329da8687e5bdecfdd5a0d2f0550f1f083c8b4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","ITL771502064","spotify:user:11135692880","2017-09-30T01:44:59Z"
"spotify:track:1ddPRs2kkR0lKdKdjMJFvW","Le barche","spotify:artist:582KhTHEVOONNQLmQ5612r","Calcutta ","spotify:album:1ydmsbKjOxrWFBQmoz1O91","Mainstream +","spotify:artist:582KhTHEVOONNQLmQ5612r","Calcutta ","2017-02-24","https://i.scdn.co/image/ab67616d0000b273c646c7e3234fec58ffe0d415","1","10","120653","https://p.scdn.co/mp3-preview/9a45ada809d7edf2b2d08bf185279b64c79280aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","ITL771502066","spotify:user:11135692880","2017-09-30T01:44:59Z"
"spotify:track:2BREI07DqMBmBNn0Ih2lu9","Albero","spotify:artist:582KhTHEVOONNQLmQ5612r","Calcutta ","spotify:album:1ydmsbKjOxrWFBQmoz1O91","Mainstream +","spotify:artist:582KhTHEVOONNQLmQ5612r","Calcutta ","2017-02-24","https://i.scdn.co/image/ab67616d0000b273c646c7e3234fec58ffe0d415","1","11","144213","https://p.scdn.co/mp3-preview/c55f22d1b79e45710afb5dcbc3fbe6680c7cd370?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","ITM381600066","spotify:user:11135692880","2017-09-30T01:44:59Z"
"spotify:track:6RiprjTTheMrJ2ypJxz3H4","Riccione","spotify:artist:6YBgd2LKccEB3pX6UaW1Yp","Thegiornalisti","spotify:album:3RdwYV4TBwrGqnk5vnzrLC","Riccione","spotify:artist:6YBgd2LKccEB3pX6UaW1Yp","Thegiornalisti","2017-06-21","https://i.scdn.co/image/ab67616d0000b2735c330577a4f72da9538593d4","1","1","196860","https://p.scdn.co/mp3-preview/c7b167b1a177f7b4ae1b28fe7d2197b4e70c0317?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","ITB261700520","spotify:user:11135692880","2017-09-30T01:45:51Z"
