"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:7kzKAuUzOITUauHAhoMoxA","Last Nite","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","spotify:album:2yNaksHgeMQM9Quse463b5","Is This It","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","2001-07-30","https://i.scdn.co/image/ab67616d0000b273a388a3f20d1bf2123249cc79","1","7","193506","https://p.scdn.co/mp3-preview/9757c503fb2174e4db5ff087bb14d5d7d0b8f62a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USRC10100765","spotify:user:11135692880","2020-02-14T04:44:54Z"
"spotify:track:5dKBaysNJtfpyNTRa5lqDb","A-Punk","spotify:artist:5BvJzeQpmsdsFp4HGUYUEx","Vampire Weekend","spotify:album:5oXBmKbyJeQftWMo87cQ9F","Vampire Weekend","spotify:artist:5BvJzeQpmsdsFp4HGUYUEx","Vampire Weekend","2008-01-27","https://i.scdn.co/image/ab67616d0000b27301e2ebfbf4f8147621c8a866","1","3","137760","https://p.scdn.co/mp3-preview/3afe492f2ee66f7a77041a6a5c2a5f4b523fe3d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","GBBKS0700527","spotify:user:11135692880","2020-02-14T04:44:54Z"
"spotify:track:7BHPGtpuuWWsvE7cCaMuEU","Naive","spotify:artist:1GLtl8uqKmnyCWxHmw9tL4","The Kooks","spotify:album:03JPFQvZRnHHysSZrSFmKY","Inside In / Inside Out","spotify:artist:1GLtl8uqKmnyCWxHmw9tL4","The Kooks","2006-01-01","https://i.scdn.co/image/ab67616d0000b27363a28c5ecb7b13e9b329fe47","1","9","203506","https://p.scdn.co/mp3-preview/88783774f8fcfae47cb1d5ba727b203a805d9e1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBAAA0500836","spotify:user:11135692880","2020-02-14T04:44:54Z"
"spotify:track:5G1sTBGbZT5o4PNRc75RKI","Lonely Boy","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","spotify:album:5DLhV9yOvZ7IxVmljMXtNm","El Camino","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","2011-12-06","https://i.scdn.co/image/ab67616d0000b2736a21b97de47168df4f0c1993","1","1","193653","https://p.scdn.co/mp3-preview/cb384c17027f77dd419356db04186415edea2b90?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USNO11100273","spotify:user:11135692880","2020-02-14T04:44:54Z"
"spotify:track:3m6KkYKdnbffMpGd9Pm9FP","Seven Nation Army","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:0rRNLpdA8nA8Sm8Fk490b9","Elephant","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2003-04-01","https://i.scdn.co/image/ab67616d0000b273f5ae4810a9529d7614e28e76","1","1","231920","https://p.scdn.co/mp3-preview/eca519f0a85862d9510d57d59df557081d375e3a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBBKS0200608","spotify:user:11135692880","2020-02-14T04:44:54Z"
"spotify:track:305WCRhhS10XUcH6AEwZk6","Are You Gonna Be My Girl","spotify:artist:5ypxebeHEIXjMtJb17uJlI","Jet","spotify:album:6NrLpQCPYrNS3kVWxDgIlg","Get Born","spotify:artist:5ypxebeHEIXjMtJb17uJlI","Jet","2003-09-15","https://i.scdn.co/image/ab67616d0000b27376ccf87cba2e754a5138cc23","1","2","213800","https://p.scdn.co/mp3-preview/cd8bc93c853849caa21fe05bc4b6f1b097e8aabc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USEE10340526","spotify:user:11135692880","2020-02-14T04:45:39Z"
"spotify:track:20I8RduZC2PWMWTDCZuuAN","Take Me Out","spotify:artist:0XNa1vTidXlvJ2gHSsRi4A","Franz Ferdinand","spotify:album:0vi5ePiEHrGZJF7QhnDW2z","Franz Ferdinand","spotify:artist:0XNa1vTidXlvJ2gHSsRi4A","Franz Ferdinand","2004-02-16","https://i.scdn.co/image/ab67616d0000b27309a90531b85be7899c3234c4","1","3","237026","https://p.scdn.co/mp3-preview/f91cfdf3dd5f7114cf47f8c8b2567b7a8a76d9ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBCEL0300192","spotify:user:11135692880","2020-02-14T04:45:39Z"
"spotify:track:1bCmvezFg5MRcENzCGG1Cy","Chelsea Dagger","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","spotify:album:7avNT7QnpWXl1Khqnsguaw","Costello Music","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","2006-01-01","https://i.scdn.co/image/ab67616d0000b273adba877024420660db2f124e","1","4","215306","https://p.scdn.co/mp3-preview/7ccbcfbc1a9aeac0cc6fb9be415b6dc1012fa750?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBUM70601571","spotify:user:11135692880","2020-02-14T04:45:39Z"
"spotify:track:5xC8uOesnn0udeXAYlAnoY","Alright","spotify:artist:0sHeX8oQ6o7xic3wMf4NBU","Supergrass","spotify:album:3YfIjaJEWqiSbKPguS9Bxd","I Should Coco","spotify:artist:0sHeX8oQ6o7xic3wMf4NBU","Supergrass","1995-05-15","https://i.scdn.co/image/ab67616d0000b2737d2fd2378160e40c96bc61ff","1","4","180880","https://p.scdn.co/mp3-preview/5662323fe09d95d506c2ef5211f66ff38efaf16f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","GBAYE9500044","spotify:user:11135692880","2020-02-14T04:45:39Z"
"spotify:track:3n3Ppam7vgaVa1iaRUc9Lp","Mr. Brightside","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","spotify:album:4OHNH3sDzIxnmUADXzv2kT","Hot Fuss","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","2004-06-15","https://i.scdn.co/image/ab67616d0000b2739c284a6855f4945dc5a3cd73","1","2","222200","https://p.scdn.co/mp3-preview/2680d69581c6b0f816db29fa8ef6a612965c9a17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBFFP0300052","spotify:user:11135692880","2020-02-14T04:45:39Z"
