"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:2x8evxqUlF0eRabbW2JBJd","Fluorescent Adolescent","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:1XkGORuUX2QGOEIL4EbJKm","Favourite Worst Nightmare","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2007-04-22","https://i.scdn.co/image/ab67616d0000b273b1f8da74f225fa1225cdface","1","5","183893","https://p.scdn.co/mp3-preview/bd2ab6609fef9aa8cc35c75739d89dc5a72bfc80?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","GBCEL0700067","spotify:user:","2024-08-12T08:10:49Z"
"spotify:track:20I8RduZC2PWMWTDCZuuAN","Take Me Out","spotify:artist:0XNa1vTidXlvJ2gHSsRi4A","Franz Ferdinand","spotify:album:0vi5ePiEHrGZJF7QhnDW2z","Franz Ferdinand","spotify:artist:0XNa1vTidXlvJ2gHSsRi4A","Franz Ferdinand","2004-02-16","https://i.scdn.co/image/ab67616d0000b27309a90531b85be7899c3234c4","1","3","237026","https://p.scdn.co/mp3-preview/f91cfdf3dd5f7114cf47f8c8b2567b7a8a76d9ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBCEL0300192","spotify:user:","2024-08-12T08:10:49Z"
"spotify:track:20j7B6mL9gnNvG3ic6Vwh5","Hate To Say I Told You So","spotify:artist:4DToQR3aKrHQSSRzSz8Nzt","The Hives","spotify:album:1C4UGzx5gD9b3X0UfAhY7z","Veni Vidi Vicious","spotify:artist:4DToQR3aKrHQSSRzSz8Nzt","The Hives","2000-09-12","https://i.scdn.co/image/ab67616d0000b27385c160f9951c570a8e81f998","1","6","200693","https://p.scdn.co/mp3-preview/355df725e7fa05b4f9f185c5f6886e2c62d59c02?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","SEVHC0007060","spotify:user:","2024-08-12T08:10:49Z"
"spotify:track:7kzKAuUzOITUauHAhoMoxA","Last Nite","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","spotify:album:2yNaksHgeMQM9Quse463b5","Is This It","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","2001-07-30","https://i.scdn.co/image/ab67616d0000b273a388a3f20d1bf2123249cc79","1","7","193506","https://p.scdn.co/mp3-preview/9757c503fb2174e4db5ff087bb14d5d7d0b8f62a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USRC10100765","spotify:user:","2024-08-12T08:10:49Z"
"spotify:track:3dPQuX8Gs42Y7b454ybpMR","Seven Nation Army","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:6D9urpsOWWKtYvF6PaorGE","Elephant","spotify:artist:4F84IBURUo98rz4r61KF70, spotify:artist:4FZ3j1oH43e7cukCALsCwf","The White Stripes, Jack White","2003-04-01","https://i.scdn.co/image/ab67616d0000b273a69f71a8794e2d867a52f98f","1","1","232106","https://p.scdn.co/mp3-preview/eca519f0a85862d9510d57d59df557081d375e3a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USVT10300001","spotify:user:","2024-08-12T08:10:49Z"
"spotify:track:3n3Ppam7vgaVa1iaRUc9Lp","Mr. Brightside","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","spotify:album:4OHNH3sDzIxnmUADXzv2kT","Hot Fuss","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","2004-06-15","https://i.scdn.co/image/ab67616d0000b2739c284a6855f4945dc5a3cd73","1","2","222200","https://p.scdn.co/mp3-preview/2680d69581c6b0f816db29fa8ef6a612965c9a17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBFFP0300052","spotify:user:","2024-08-12T08:10:49Z"
"spotify:track:4yffABDkB5A9flvr9vQFck","Howlin' for You","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","spotify:album:7lhJVTvqL3QbwGN12QLiVj","Brothers (Deluxe Remastered Anniversary Edition)","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","2020-12-18","https://i.scdn.co/image/ab67616d0000b2736e4e600f0885f93e48d8d49f","1","4","191956","https://p.scdn.co/mp3-preview/e67cee2f2b90c1ece56ed686e299e4e8e57b1a36?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USNO12000174","spotify:user:","2024-08-12T08:10:49Z"
"spotify:track:305WCRhhS10XUcH6AEwZk6","Are You Gonna Be My Girl","spotify:artist:5ypxebeHEIXjMtJb17uJlI","Jet","spotify:album:6NrLpQCPYrNS3kVWxDgIlg","Get Born","spotify:artist:5ypxebeHEIXjMtJb17uJlI","Jet","2003-09-15","https://i.scdn.co/image/ab67616d0000b27376ccf87cba2e754a5138cc23","1","2","213800","https://p.scdn.co/mp3-preview/cd8bc93c853849caa21fe05bc4b6f1b097e8aabc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USEE10340526","spotify:user:","2024-08-12T08:10:49Z"
"spotify:track:7wCmS9TTVUcIhRalDYFgPy","Where Is My Mind? - 2007 Remaster","spotify:artist:6zvul52xwTWzilBZl6BUbT","Pixies","spotify:album:50j4Wm1b9hLpSpPIA39Vp9","Surfer Rosa (2007 Remaster)","spotify:artist:6zvul52xwTWzilBZl6BUbT","Pixies","1988-03-21","https://i.scdn.co/image/ab67616d0000b2738aa545a0ea869940cce358b5","1","7","234973","https://p.scdn.co/mp3-preview/03da0b85c9fa2fb5e621e97d4fb145a17aaf7ef1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","GBAFL0700145","spotify:user:","2024-08-12T08:10:49Z"
"spotify:track:2WRFD9WczJ975X2K1Y9YVs","Heads Will Roll","spotify:artist:3TNt4aUIxgfy9aoaft5Jj2","Yeah Yeah Yeahs","spotify:album:6w21zEx5okRPCYJejLVRdR","It's Blitz!","spotify:artist:3TNt4aUIxgfy9aoaft5Jj2","Yeah Yeah Yeahs","2009-01-01","https://i.scdn.co/image/ab67616d0000b273e922211eede5ae8017ff802f","1","2","221000","https://p.scdn.co/mp3-preview/0ec26f7078e60462e703543483c0a4947737b3d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBUM70900924","spotify:user:","2024-08-12T08:10:49Z"
