"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:79XrkTOfV1AqySNjVlygpW","Energy","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:0ptlfJfwGTy0Yvrk14JK1I","If You're Reading This It's Too Late","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2015-02-12","https://i.scdn.co/image/ab67616d0000b2732090f4f6cc406e6d3c306733","1","2","181933","https://p.scdn.co/mp3-preview/0d3414f734e3bb1f205dd5948b4c79cbe5d04a6c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USCM51500012","spotify:user:5y6y9khgzazu8rn7cxfoq5kfd","2019-11-14T10:37:34Z"
"spotify:track:4zLOwx1yRJXWkHKt1XzF1p","Now & Forever","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:0ptlfJfwGTy0Yvrk14JK1I","If You're Reading This It's Too Late","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2015-02-12","https://i.scdn.co/image/ab67616d0000b2732090f4f6cc406e6d3c306733","1","13","281320","https://p.scdn.co/mp3-preview/9860e72e3c0147b36fec4673d2259a748cb1cc38?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","USCM51500031","spotify:user:5y6y9khgzazu8rn7cxfoq5kfd","2019-11-14T10:37:40Z"
"spotify:track:7yNK27ZTpHew0c55VvIJgm","Dark Fantasy","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:20r762YmB5HeofjMCiPMLv","My Beautiful Dark Twisted Fantasy","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2010-11-22","https://i.scdn.co/image/ab67616d0000b273d9194aa18fa4c9362b47464f","1","1","280786","https://p.scdn.co/mp3-preview/5fe328e2d5aa8c93f5134e77f6755a6064cd0318?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USUM71027263","spotify:user:5y6y9khgzazu8rn7cxfoq5kfd","2019-11-14T10:37:50Z"
"spotify:track:3glqlA5qY3bbo8UaUDGPnw","Triumph (feat. Ol' Dirty Bastard, Inspectah Deck, Method Man, Cappadonna, U-God, RZA, GZA, Masta Killa, Ghostface Killah & Raekwon)","spotify:artist:34EP7KEpOjXcM2TCat1ISk, spotify:artist:50NoVNy9GU1lCrDV8iGpyu, spotify:artist:4OBbOrkD4geIjOLrICN3wO, spotify:artist:4VmEWwd8y9MCLwexFMdpwt, spotify:artist:0dS5xeDefwoUNasLUHnCjR, spotify:artist:0G070wUUUBptmqGEKAAUVx, spotify:artist:4iCwCMnqsNZ6atvRiADgtn, spotify:artist:6ns6XAOsw4B0nDUIovAOUO, spotify:artist:0ME1RawvWt3qOJnYnxVqeh, spotify:artist:6FD0unjzGQhX3b6eMccMJe, spotify:artist:2yQf6b8hxahZaT5dHlWaB1","Wu-Tang Clan, Ol' Dirty Bastard, Inspectah Deck, Method Man, Cappadonna, U-God, RZA, GZA, Masta Killa, Ghostface Killah, Raekwon","spotify:album:4r3TaXjF2b1qwCpxjIpW43","Wu-Tang Forever","spotify:artist:34EP7KEpOjXcM2TCat1ISk","Wu-Tang Clan","1997-06-03","https://i.scdn.co/image/ab67616d0000b27377e8e20e0ac6182f94654a23","2","2","338186","https://p.scdn.co/mp3-preview/5a6e8bec4846a5a650774ed0a01e3580005ee475?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","USLR59900487","spotify:user:5y6y9khgzazu8rn7cxfoq5kfd","2019-11-14T10:38:01Z"
"spotify:track:17SQ4n6IxM3DoOGtrRFB4l","No Church in the Wild","spotify:artist:2MRmwfhBUelExXfUECIV6D, spotify:artist:523DmwgD1gR3sTr9Tzitee","A Surgeon, Jay Z and Kayne West","spotify:album:09cv42fHEvSiAhpqzVCPDz","Soul Movements 2","spotify:artist:2MRmwfhBUelExXfUECIV6D","A Surgeon","2012-08-21","https://i.scdn.co/image/ab67616d0000b2737eafce0c401948e61d7667ae","1","1","380309","https://p.scdn.co/mp3-preview/615e38321d917b2707bd99f4301260f190d6d3b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","FR6V80176304","spotify:user:5y6y9khgzazu8rn7cxfoq5kfd","2019-11-14T10:39:11Z"
"spotify:track:0ekMehNXQgeMJXfCPrlTTf","Quelli che benpensano (feat. Riccardo Sinigallia)","spotify:artist:15tvxTXbemwnKQq1aRoPpI, spotify:artist:43wEeBstQu4lBC5V6oRdNG","Frankie hi-nrg mc, Riccardo Sinigallia","spotify:album:1iMtC9ZMR2zqC74aNP510k","La Morte Dei Miracoli & Diff. Coupling","spotify:artist:15tvxTXbemwnKQq1aRoPpI","Frankie hi-nrg mc","1998-05-12","https://i.scdn.co/image/ab67616d0000b2739407e43722be1fb06baf1c5a","1","2","249506","https://p.scdn.co/mp3-preview/f6aae5076aa1dcacdbe97b33dcf14ad45ca75e39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","ITB009700230","spotify:user:5y6y9khgzazu8rn7cxfoq5kfd","2019-11-14T10:39:21Z"
"spotify:track:0BnTBAGmr9FtYwkZrwKhwS","Just Us (feat. SZA)","spotify:artist:0QHgL1lAIqAw0HtD7YldmP, spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","DJ Khaled, SZA","spotify:album:1YgX8BWKleDlDeCOFklRfz","Father Of Asahd","spotify:artist:0QHgL1lAIqAw0HtD7YldmP","DJ Khaled","2019-05-17","https://i.scdn.co/image/ab67616d0000b273fa2741071b31bb94cb4232ae","1","4","221378","https://p.scdn.co/mp3-preview/84ad6448bfc9030fb15f333535de44d3ab21b621?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","USSM11903537","spotify:user:5y6y9khgzazu8rn7cxfoq5kfd","2019-11-14T10:39:32Z"
"spotify:track:6MMuI4k4Vs5ghtDH5i2hBg","One Mic","spotify:artist:20qISvAhX20dpIbOOzGK3q","Nas","spotify:album:0cLzuJG2UDa0axMQkF7JR6","Stillmatic","spotify:artist:20qISvAhX20dpIbOOzGK3q","Nas","2001-12-18","https://i.scdn.co/image/ab67616d0000b273e263bba2f829ca98b6235e5a","1","7","268666","https://p.scdn.co/mp3-preview/32f89b03b59258be006d1bb1cb0c4ef71038e3c7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","USSM10113251","spotify:user:5y6y9khgzazu8rn7cxfoq5kfd","2019-11-14T10:39:36Z"
"spotify:track:4F8rYEoiBjPaRgQXLVtN5a","The Art of Peer Pressure","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:748dZDqSZy6aPXKcI9H80u","good kid, m.A.A.d city (Deluxe)","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2012-10-22","https://i.scdn.co/image/ab67616d0000b27378de8b28de36a74afc0348b5","1","4","324533","https://p.scdn.co/mp3-preview/1f511cd3e541f2d2beb99c20694364f2dc9a256b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","USUM71210778","spotify:user:5y6y9khgzazu8rn7cxfoq5kfd","2019-11-14T10:39:50Z"
"spotify:track:6HZILIRieu8S0iqY8kIKhj","DNA.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:4eLPsYPBmXABThSJ821sqY","DAMN.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2017-04-14","https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699","1","2","185946","https://p.scdn.co/mp3-preview/107655a6c41a8d0f62a53b5573e1d9288a498e68?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USUM71703079","spotify:user:5y6y9khgzazu8rn7cxfoq5kfd","2019-11-14T10:39:54Z"
"spotify:track:4kTBakk3h2S678cajDcVTw","Latch","spotify:artist:6nS5roXSAGhTGr34W6n7Et, spotify:artist:2wY79sveU1sp5g7SokKOiI","Disclosure, Sam Smith","spotify:album:0v5BqH7RQlIuJIWfQCl1Bp","Settle - Deluxe Version","spotify:artist:6nS5roXSAGhTGr34W6n7Et","Disclosure","2013-06-03","https://i.scdn.co/image/ab67616d0000b273d3462d1395189dc76a326031","1","3","255631","https://p.scdn.co/mp3-preview/733fff5cce9ecc2127aa9a4e6413c62aecc93b98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBUM71302810","spotify:user:5y6y9khgzazu8rn7cxfoq5kfd","2019-11-22T11:59:54Z"
"spotify:track:11kDth1aKUEUMq9r1pqyds","5% TINT","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","spotify:album:41GuZcammIkupMPKH2OJ6I","ASTROWORLD","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","2018-08-03","https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3","1","9","196138","https://p.scdn.co/mp3-preview/c1bcb779bca4da7d1dd96c378c42297fd410678a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","USSM11806666","spotify:user:5y6y9khgzazu8rn7cxfoq5kfd","2019-11-22T12:00:07Z"
"spotify:track:0JP9xo3adEtGSdUEISiszL","Moonlight","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","spotify:album:2Ti79nwTsont5ZHfdxIzAm","?","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","2018-03-16","https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c","1","3","135090","https://p.scdn.co/mp3-preview/fc7faf8b857409dd3655ccbc084d90c4f2551797?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USUG11800209","spotify:user:5y6y9khgzazu8rn7cxfoq5kfd","2019-11-22T12:00:19Z"
"spotify:track:4dVpf9jZjcORqGTLUaeYj9","Plain Jane","spotify:artist:5dHt1vcEm9qb8fCyLcB3HL","A$AP Ferg","spotify:album:0tQ7Iu6EicQTPyhYRNWjaT","Still Striving","spotify:artist:5dHt1vcEm9qb8fCyLcB3HL","A$AP Ferg","2017-08-18","https://i.scdn.co/image/ab67616d0000b273d79cfa3155b50beb5dbeeb9a","1","8","173600","https://p.scdn.co/mp3-preview/34934b16056fc0f696dfccfd48ec62b1202d5b18?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","USRC11701803","spotify:user:5y6y9khgzazu8rn7cxfoq5kfd","2019-11-22T12:00:33Z"
"spotify:track:52eYVUkFTOVozbVFIaFrnV","Tony Tone","spotify:artist:13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","spotify:album:3MATDdrpHmQCmuOcozZjDa","TESTING","spotify:artist:13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","2018-05-25","https://i.scdn.co/image/ab67616d0000b2739feadc48ab0661e9b3a9170b","1","3","208373","https://p.scdn.co/mp3-preview/ff2a63e95d46ae7db4ad95c5998c663cd37fe552?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","USRC11801924","spotify:user:5y6y9khgzazu8rn7cxfoq5kfd","2019-11-22T12:00:46Z"
