"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:2GZpSg12X1Ugln2Q3M9TJC","Sciccherie","spotify:artist:1vgQksyJ0IVz8y9XerEOy3","Madame","spotify:album:06bjbIAwRhdEY3p23an7xv","Sciccherie","spotify:artist:1vgQksyJ0IVz8y9XerEOy3","Madame","2018-12-14","https://i.scdn.co/image/ab67616d0000b2730535f2f9d9c2e443c6e25181","1","1","192970","https://p.scdn.co/mp3-preview/89ff3390f2194e1411653ea5a3bc324506c15747?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","ITZ041800159","spotify:user:11135692880","2020-02-29T03:50:36Z"
"spotify:track:5Aw0QmDZJZID69ZcTvEzXI","m8nstar","spotify:artist:19i93sA0D7yS9dYoVNBqAA","thasup","spotify:album:18f4ZUSohDvWgzeP5qmiAv","m8nstar","spotify:artist:19i93sA0D7yS9dYoVNBqAA","thasup","2019-05-03","https://i.scdn.co/image/ab67616d0000b2737124d052c1f5b55730c8e8ca","1","1","164825","https://p.scdn.co/mp3-preview/3206bc95f3aa3561bc2e6f7090c5c9d6e5e713fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","ITB001900255","spotify:user:11135692880","2020-02-29T03:50:36Z"
"spotify:track:1B8rsOsZtFE6ZgZcpIfaeG","Anna","spotify:artist:1vgQksyJ0IVz8y9XerEOy3","Madame","spotify:album:1GbuszHO36FVJygtpXVH1Q","Anna","spotify:artist:1vgQksyJ0IVz8y9XerEOy3","Madame","2018-09-13","https://i.scdn.co/image/ab67616d0000b2738ce95e52242fc915f3b8aac2","1","1","233663","https://p.scdn.co/mp3-preview/d898f8f9612ddfc48d1832957706af54dbdb017c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","TCADW1802876","spotify:user:11135692880","2020-02-29T03:50:36Z"
"spotify:track:0UuqwLM3UFmwcXSJgfFHvr","oh 9od","spotify:artist:19i93sA0D7yS9dYoVNBqAA, spotify:artist:7tmTvmqgTBcX88ZrSHByrD","thasup, Nayt","spotify:album:1wmuSHeEnNhzWQdOmf1Gfi","oh 9od","spotify:artist:19i93sA0D7yS9dYoVNBqAA, spotify:artist:7tmTvmqgTBcX88ZrSHByrD","thasup, Nayt","2018-11-30","https://i.scdn.co/image/ab67616d0000b2737596eaffde4699c58b4320db","1","1","205594","https://p.scdn.co/mp3-preview/c074c4ff5cb51bc5d141b82705f10674eea96751?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","ITB001800624","spotify:user:11135692880","2020-02-29T03:50:36Z"
"spotify:track:6ukVfkwkTlQvfvD477n0qr","scuol4","spotify:artist:19i93sA0D7yS9dYoVNBqAA","thasup","spotify:album:6ZTFcviekuZAsGvQFd25r8","scuol4","spotify:artist:19i93sA0D7yS9dYoVNBqAA","thasup","2018-06-08","https://i.scdn.co/image/ab67616d0000b27357ba467ebd8112a3f329ed1d","1","1","170294","https://p.scdn.co/mp3-preview/8884754e2d5e91b2e740f5f4a31fbffe5b40512f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","35","ITB001800312","spotify:user:11135692880","2020-02-29T03:50:36Z"
"spotify:track:3GqSr6J58GfWacZ4qtDLei","6itch","spotify:artist:19i93sA0D7yS9dYoVNBqAA","thasup","spotify:album:4cw88IMgIub01jw9uojxOz","6itch","spotify:artist:19i93sA0D7yS9dYoVNBqAA","thasup","2017-10-05","https://i.scdn.co/image/ab67616d0000b273ed81239a6f5d2d93cb99b676","1","1","83227","https://p.scdn.co/mp3-preview/d19d420fdbabf310dd827d8a9239a1876d8c7267?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","FRX201713301","spotify:user:11135692880","2020-02-29T03:50:36Z"
"spotify:track:5zZy1uWnuBW9x3pG4aM5kc","Passaporto","spotify:artist:0RENwV6Phsp2y8nnFJ54UC, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Tredici Pietro, Mr. Monkey","spotify:album:2FZQ6tE9moNfuSGqJgdqvY","Passaporto","spotify:artist:0RENwV6Phsp2y8nnFJ54UC, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Tredici Pietro, Mr. Monkey","2019-03-15","https://i.scdn.co/image/ab67616d0000b273e3d543eb28d4a2441684dbd7","1","1","198227","https://p.scdn.co/mp3-preview/c38ece1262130e52bd8905dc615d65b7df8ba685?cid=9950ac751e34487dbbe027c4fd7f8e99","true","7","ITDF61977024","spotify:user:11135692880","2020-02-29T03:50:36Z"
"spotify:track:2CDkR4x5e62iw3yrBaO91W","Rick E Morty","spotify:artist:0RENwV6Phsp2y8nnFJ54UC, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Tredici Pietro, Mr. Monkey","spotify:album:7g7AqYjlHQMXmZ7CCFXkIA","Rick E Morty","spotify:artist:0RENwV6Phsp2y8nnFJ54UC, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Tredici Pietro, Mr. Monkey","2018-11-30","https://i.scdn.co/image/ab67616d0000b2737cfa3ecfb704b56777cd7401","1","1","211428","https://p.scdn.co/mp3-preview/ee5a5b14f50a626909f8ac649484bbec5f0d0672?cid=9950ac751e34487dbbe027c4fd7f8e99","true","10","ITUM71801239","spotify:user:11135692880","2020-02-29T03:50:36Z"
"spotify:track:1nt8kWBK0PiCioqcYUpWFN","Piccolo Pietro","spotify:artist:0RENwV6Phsp2y8nnFJ54UC, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Tredici Pietro, Mr. Monkey","spotify:album:7EXhG6UcQ8R1rx2wSWPb96","Piccolo Pietro","spotify:artist:0RENwV6Phsp2y8nnFJ54UC, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Tredici Pietro, Mr. Monkey","2018-09-13","https://i.scdn.co/image/ab67616d0000b273a703ac95729e05edd0283d05","1","1","197419","https://p.scdn.co/mp3-preview/3e1126a93a166a8240aa05d93067ac9313fc6d40?cid=9950ac751e34487dbbe027c4fd7f8e99","true","7","ITDF61877066","spotify:user:11135692880","2020-02-29T03:50:36Z"
"spotify:track:7jeayaJnIrd9GvDJQllS6K","Pizza e fichi","spotify:artist:0RENwV6Phsp2y8nnFJ54UC, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Tredici Pietro, Mr. Monkey","spotify:album:2JOLGjwS2A3XVvCFIzSrHZ","Pizza e fichi","spotify:artist:0RENwV6Phsp2y8nnFJ54UC, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Tredici Pietro, Mr. Monkey","2018-06-22","https://i.scdn.co/image/ab67616d0000b27337ce375935dbe4c14601f9b4","1","1","187272","https://p.scdn.co/mp3-preview/b83bd652eab739d68216cc516bf36e220634dc45?cid=9950ac751e34487dbbe027c4fd7f8e99","true","30","TCADR1874204","spotify:user:11135692880","2020-02-29T03:50:36Z"
