"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:4mOjSj8NWJE7gUaST87hFk","Rotolando Verso Sud","spotify:artist:0Tuudqq2NACRXkvTQGazY2","Negrita","spotify:album:6ZYrLwVGkp7UQ0wHFwQtvP","L'Uomo Sogna Di Volare","spotify:artist:0Tuudqq2NACRXkvTQGazY2","Negrita","2005","https://i.scdn.co/image/ab67616d0000b27339e2a5cd45c6fb85273b55fa","1","6","285760","https://p.scdn.co/mp3-preview/dcf978b78ef11869431c8c88b469951dd023af40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","IT7000400092","spotify:user:11135692880","2017-09-18T18:14:00Z"
"spotify:track:0Y6hpefVHx81K37JruQuMX","Gioia Infinita","spotify:artist:0Tuudqq2NACRXkvTQGazY2","Negrita","spotify:album:66ywJNcbwYdy21oWRBQrri","Helldorado Deluxe Edition","spotify:artist:0Tuudqq2NACRXkvTQGazY2","Negrita","2009-12-04","https://i.scdn.co/image/ab67616d0000b273d2e01a4e8ba5c53497055605","1","5","259706","https://p.scdn.co/mp3-preview/380e84799a6946e10daf9b634783d6a5831867b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","ITUM70801200","spotify:user:11135692880","2017-09-18T18:14:30Z"
"spotify:track:14YNGJcjvvPZpJD5hh5UW2","Che Rumore Fa La Felicità?","spotify:artist:0Tuudqq2NACRXkvTQGazY2","Negrita","spotify:album:66ywJNcbwYdy21oWRBQrri","Helldorado Deluxe Edition","spotify:artist:0Tuudqq2NACRXkvTQGazY2","Negrita","2009-12-04","https://i.scdn.co/image/ab67616d0000b273d2e01a4e8ba5c53497055605","1","8","270946","https://p.scdn.co/mp3-preview/7030ccb0ae34f7803ae1548efddc0d2ea6c454b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","ITUM70801210","spotify:user:11135692880","2017-09-18T18:14:48Z"
"spotify:track:2XuoB4fX0GzM6ubWsoinX1","Radio Conga","spotify:artist:0Tuudqq2NACRXkvTQGazY2","Negrita","spotify:album:66ywJNcbwYdy21oWRBQrri","Helldorado Deluxe Edition","spotify:artist:0Tuudqq2NACRXkvTQGazY2","Negrita","2009-12-04","https://i.scdn.co/image/ab67616d0000b273d2e01a4e8ba5c53497055605","1","1","294560","https://p.scdn.co/mp3-preview/d1a007f76a69040d254250fb0bece54e25ee678d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","ITUM70801197","spotify:user:11135692880","2017-09-18T18:15:40Z"
"spotify:track:1L9m2l2lhXgQ3GwmmCx3OK","Ma il cielo è sempre più blu","spotify:artist:5RRPSRJpISAWEPOeSfYuhV","Rino Gaetano","spotify:album:4NUtQMEKkGFku8Y99xQt2L","La Storia","spotify:artist:5RRPSRJpISAWEPOeSfYuhV","Rino Gaetano","1998-05-21","https://i.scdn.co/image/ab67616d0000b2730eda4e22b2f4581999672d65","1","1","272746","https://p.scdn.co/mp3-preview/968cf040aca6ebb03fa8d8feb115b6a709c12b52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","ITB008400575","spotify:user:11135692880","2017-09-23T02:26:16Z"
"spotify:track:0BV7ICRTzqR0VnXwnOS4ZR","Estate","spotify:artist:1X9iZlQXfAAx4Vvmlqeao7","Negramaro","spotify:album:3ALpyslH923KtdqJfAdAzG","Mentre tutto scorre (Deluxe Version)","spotify:artist:1X9iZlQXfAAx4Vvmlqeao7","Negramaro","2005","https://i.scdn.co/image/ab67616d0000b273a47ce6537132869adcc07b02","1","6","178226","https://p.scdn.co/mp3-preview/708a7533b608936213b6b55d21ad18217f58f5cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ITZ040500010","spotify:user:11135692880","2017-09-23T02:26:21Z"
"spotify:track:6MDNsipAIyeJ4X8CTmHJ7L","Ho Imparato A Sognare","spotify:artist:0Tuudqq2NACRXkvTQGazY2","Negrita","spotify:album:4EvtIJkMzOGYI8eH8mp4j2","Xxx","spotify:artist:0Tuudqq2NACRXkvTQGazY2","Negrita","1997","https://i.scdn.co/image/ab67616d0000b273ed5c99594f3bc8a20e9e312a","1","10","253666","https://p.scdn.co/mp3-preview/296875a470050fa31460c4ea6b63b28f927d7c2b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","IT7009709710","spotify:user:11135692880","2017-09-23T03:13:47Z"
"spotify:track:2T2t1DXwzdilKF3BQPHREo","La donna cannone","spotify:artist:16FJYC4FqKhZXiXIzMI4ul","Francesco De Gregori","spotify:album:7COQBoeP7bBHykCpFbdpR2","La Donna Cannone","spotify:artist:16FJYC4FqKhZXiXIzMI4ul","Francesco De Gregori","1983","https://i.scdn.co/image/ab67616d0000b273b1ecd40e8913c050268bbe26","1","1","279706","https://p.scdn.co/mp3-preview/5b64b29e8d6846ca3a3d52d52d66d81851e3e2e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","ITB008300500","spotify:user:11135692880","2017-09-23T03:13:53Z"
"spotify:track:21Ay8mJRYQuOMZp7qyQXl6","50 Special","spotify:artist:4ZbsxiS90Pj1gLeDv3A9mN","Lùnapop","spotify:album:7sXufweikTP0DcDSBGwpoD","...Squérez?","spotify:artist:4ZbsxiS90Pj1gLeDv3A9mN","Lùnapop","1999-11-30","https://i.scdn.co/image/ab67616d0000b273589e77507829df900fed2f9e","1","3","207520","https://p.scdn.co/mp3-preview/5af6f624347764fc828b34a766fbc146362d7adf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","NLE880200019","spotify:user:11135692880","2017-09-23T03:13:54Z"
"spotify:track:53MYtv4tzLYg1hbu13Qbc0","Albachiara","spotify:artist:5l4nhyz8876RhgE2d18h65","Vasco Rossi","spotify:album:5MLtSbanLmt0QLEMKgqLD7","Albachiara","spotify:artist:5l4nhyz8876RhgE2d18h65","Vasco Rossi","1984-01-15","https://i.scdn.co/image/ab67616d0000b2735dcb1e46fea521d78c81e4ee","1","7","245533","https://p.scdn.co/mp3-preview/cea44de6d7938afaaaba8f58c383b585c58e584c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","ITB008470507","spotify:user:11135692880","2017-09-23T03:13:56Z"
