"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:0NnCxwVEBRehikqDx4i2iG","Equilibrio","spotify:artist:23TFHmajVfBtlRx5MXqgoz","Sfera Ebbasta","spotify:album:0jCjYC7ABAxCsSf0wqFbsc","Sfera Ebbasta","spotify:artist:23TFHmajVfBtlRx5MXqgoz","Sfera Ebbasta","2016-09-09","https://i.scdn.co/image/ab67616d0000b2730b5557811b1eab235b1fade4","1","1","185800","https://p.scdn.co/mp3-preview/8277919168928960a3e7f31b64d6e59b16017094?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","ITUM71600875","spotify:user:11135692880","2021-09-03T20:20:27Z"
"spotify:track:5DPkdv0VXzyDmXIwxgJodf","Figli Di Papà","spotify:artist:23TFHmajVfBtlRx5MXqgoz","Sfera Ebbasta","spotify:album:0jCjYC7ABAxCsSf0wqFbsc","Sfera Ebbasta","spotify:artist:23TFHmajVfBtlRx5MXqgoz","Sfera Ebbasta","2016-09-09","https://i.scdn.co/image/ab67616d0000b2730b5557811b1eab235b1fade4","1","2","205480","https://p.scdn.co/mp3-preview/7ef444d424e7537908bec6afb969ce96e55f2c74?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","ITUM71600876","spotify:user:11135692880","2021-09-03T20:20:27Z"
"spotify:track:25J3gcZhNjzBwcaDfZjQli","Notti","spotify:artist:23TFHmajVfBtlRx5MXqgoz","Sfera Ebbasta","spotify:album:0jCjYC7ABAxCsSf0wqFbsc","Sfera Ebbasta","spotify:artist:23TFHmajVfBtlRx5MXqgoz","Sfera Ebbasta","2016-09-09","https://i.scdn.co/image/ab67616d0000b2730b5557811b1eab235b1fade4","1","4","170840","https://p.scdn.co/mp3-preview/1be04ca7905aeb7d26dc4c851af0fe30652853bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","ITUM71600878","spotify:user:11135692880","2021-09-03T20:20:27Z"
"spotify:track:4ySxBjhmdnkeFUqhKxW3cY","Visiera A Becco","spotify:artist:23TFHmajVfBtlRx5MXqgoz","Sfera Ebbasta","spotify:album:0jCjYC7ABAxCsSf0wqFbsc","Sfera Ebbasta","spotify:artist:23TFHmajVfBtlRx5MXqgoz","Sfera Ebbasta","2016-09-09","https://i.scdn.co/image/ab67616d0000b2730b5557811b1eab235b1fade4","1","5","187573","https://p.scdn.co/mp3-preview/40956405b3e45923babe4f9a5dba90b7f6639db0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","ITUM71600881","spotify:user:11135692880","2021-09-03T20:20:27Z"
"spotify:track:3HUiKv1OJGExR3zC658Emm","No No","spotify:artist:23TFHmajVfBtlRx5MXqgoz","Sfera Ebbasta","spotify:album:0jCjYC7ABAxCsSf0wqFbsc","Sfera Ebbasta","spotify:artist:23TFHmajVfBtlRx5MXqgoz","Sfera Ebbasta","2016-09-09","https://i.scdn.co/image/ab67616d0000b2730b5557811b1eab235b1fade4","1","6","240613","https://p.scdn.co/mp3-preview/303e6f9a9b1440e8c1910f0fda99e57a83e2348c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","ITUM71600877","spotify:user:11135692880","2021-09-03T20:20:27Z"
"spotify:track:4RrQWA8KUgb1CfcYOVB2Zz","BRNBQ","spotify:artist:23TFHmajVfBtlRx5MXqgoz","Sfera Ebbasta","spotify:album:0jCjYC7ABAxCsSf0wqFbsc","Sfera Ebbasta","spotify:artist:23TFHmajVfBtlRx5MXqgoz","Sfera Ebbasta","2016-09-09","https://i.scdn.co/image/ab67616d0000b2730b5557811b1eab235b1fade4","1","7","224120","https://p.scdn.co/mp3-preview/70d5b2c2734ddf72bf9c5348ebf413eaa5bd4e13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","ITUM71600521","spotify:user:11135692880","2021-09-03T20:20:27Z"
"spotify:track:7kktKNHgINrBczPUGoG38p","Bang Bang","spotify:artist:23TFHmajVfBtlRx5MXqgoz","Sfera Ebbasta","spotify:album:0jCjYC7ABAxCsSf0wqFbsc","Sfera Ebbasta","spotify:artist:23TFHmajVfBtlRx5MXqgoz","Sfera Ebbasta","2016-09-09","https://i.scdn.co/image/ab67616d0000b2730b5557811b1eab235b1fade4","1","8","149893","https://p.scdn.co/mp3-preview/3dd4cebbbe4f9364af0152065c9e22ec2c1d02e2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","ITUM71600874","spotify:user:11135692880","2021-09-03T20:20:27Z"
"spotify:track:2uOAdHnuI9a4twS7QXOSfC","Quello Che Non Va","spotify:artist:23TFHmajVfBtlRx5MXqgoz","Sfera Ebbasta","spotify:album:0jCjYC7ABAxCsSf0wqFbsc","Sfera Ebbasta","spotify:artist:23TFHmajVfBtlRx5MXqgoz","Sfera Ebbasta","2016-09-09","https://i.scdn.co/image/ab67616d0000b2730b5557811b1eab235b1fade4","1","9","194413","https://p.scdn.co/mp3-preview/cbabc3c2355703391de1ff578ad7ecc874207bbe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","ITUM71600880","spotify:user:11135692880","2021-09-03T20:20:27Z"
"spotify:track:1YzYHWiYz62ACkRHHxhDVC","BHMG","spotify:artist:23TFHmajVfBtlRx5MXqgoz","Sfera Ebbasta","spotify:album:0jCjYC7ABAxCsSf0wqFbsc","Sfera Ebbasta","spotify:artist:23TFHmajVfBtlRx5MXqgoz","Sfera Ebbasta","2016-09-09","https://i.scdn.co/image/ab67616d0000b2730b5557811b1eab235b1fade4","1","11","161066","https://p.scdn.co/mp3-preview/0a8f48ae3a7afa3798f56f74f47bca621a76af84?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","ITUM71600959","spotify:user:11135692880","2021-09-03T20:20:27Z"
"spotify:track:4y5CLq9kWETjt8QjZUo2UW","180","spotify:artist:056KMTw6IztdQjBmFfVyO3","Rkomi","spotify:album:4cpbVkMPzHjWZajKY53SKJ","Dasein Sollen","spotify:artist:056KMTw6IztdQjBmFfVyO3","Rkomi","2016-10-13","https://i.scdn.co/image/ab67616d0000b273bb6ec510fce7d92c5c5c23be","1","3","169280","https://p.scdn.co/mp3-preview/fda1d9d59f2093eb1f2593637ddc2316d0434188?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","ITDF61777055","spotify:user:11135692880","2021-09-03T20:21:04Z"
"spotify:track:5lSUBOoR69N6lbwGySVdSr","Aeroplanini Di Carta","spotify:artist:056KMTw6IztdQjBmFfVyO3, spotify:artist:6289Bbkkk3gaCbh1K7Rv8F","Rkomi, Izi","spotify:album:4cpbVkMPzHjWZajKY53SKJ","Dasein Sollen","spotify:artist:056KMTw6IztdQjBmFfVyO3","Rkomi","2016-10-13","https://i.scdn.co/image/ab67616d0000b273bb6ec510fce7d92c5c5c23be","1","4","224746","https://p.scdn.co/mp3-preview/0fc5cf86dd013ca03726b82e3e67a29fb135947f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","ITDF61777056","spotify:user:11135692880","2021-09-03T20:21:04Z"
"spotify:track:6M7epb5g32b1JmUaQBHTQJ","Oh Mama","spotify:artist:056KMTw6IztdQjBmFfVyO3","Rkomi","spotify:album:4cpbVkMPzHjWZajKY53SKJ","Dasein Sollen","spotify:artist:056KMTw6IztdQjBmFfVyO3","Rkomi","2016-10-13","https://i.scdn.co/image/ab67616d0000b273bb6ec510fce7d92c5c5c23be","1","5","198880","https://p.scdn.co/mp3-preview/6f99f1453aeb0550b2e73ab4111ef2723bd90c81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","ITDF61777057","spotify:user:11135692880","2021-09-03T20:21:04Z"
"spotify:track:21iD885b2bwnXTrWT99WxL","00","spotify:artist:056KMTw6IztdQjBmFfVyO3, spotify:artist:1AgAVqo74e2q4FVvg0xpT7","Rkomi, Tedua","spotify:album:4cpbVkMPzHjWZajKY53SKJ","Dasein Sollen","spotify:artist:056KMTw6IztdQjBmFfVyO3","Rkomi","2016-10-13","https://i.scdn.co/image/ab67616d0000b273bb6ec510fce7d92c5c5c23be","1","6","191386","https://p.scdn.co/mp3-preview/9a49c239251d9172f9dd0fdf90e3e4f1807f997d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","ITDF61777058","spotify:user:11135692880","2021-09-03T20:21:04Z"
