"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:7K8lrmYW7RiKKlM4ART0nj","Nessuno Sa","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","spotify:album:4bgkuWQ5vPevdmtQCM8IBj","Floridiana","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","2020-11-05","https://i.scdn.co/image/ab67616d0000b2738da8af0264e090f1f29e078d","1","4","192015","https://p.scdn.co/mp3-preview/706148f80f1556f2e1a1e5707956b1fbb2921bb3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","ITUM72001108","spotify:user:11135692880","2020-11-09T04:22:52Z"
"spotify:track:1IHcQKYYATJz9HGZRuNIrO","Las Vegas","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","spotify:album:4bgkuWQ5vPevdmtQCM8IBj","Floridiana","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","2020-11-05","https://i.scdn.co/image/ab67616d0000b2738da8af0264e090f1f29e078d","1","2","177489","https://p.scdn.co/mp3-preview/6b2a3cde85101f3ba583d32bdc40927aeebea818?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","ITUM72001111","spotify:user:11135692880","2020-11-09T04:22:59Z"
"spotify:track:204SODLf5U7DvpUpiMoBbf","Sbagliare","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","spotify:album:4bgkuWQ5vPevdmtQCM8IBj","Floridiana","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","2020-11-05","https://i.scdn.co/image/ab67616d0000b2738da8af0264e090f1f29e078d","1","3","216876","https://p.scdn.co/mp3-preview/1228fb1aea0731e86ef5ad1d83738cd21ccd98ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","ITUM72001112","spotify:user:11135692880","2020-11-09T04:23:01Z"
"spotify:track:2O9TqT3NxvD1W7g5dBL7H0","Eredità (feat. Luchè)","spotify:artist:5FEh6KHK99CyLXp3qFvZFM, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","CoCo, Luchè","spotify:album:4bgkuWQ5vPevdmtQCM8IBj","Floridiana","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","2020-11-05","https://i.scdn.co/image/ab67616d0000b2738da8af0264e090f1f29e078d","1","5","178928","https://p.scdn.co/mp3-preview/460af34177382fd4562e5055bc72a4fed7c3f66e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","ITUM72001110","spotify:user:11135692880","2020-11-09T04:25:44Z"
"spotify:track:1mt8zqaR20eRpn1rYNrRzd","Dammi Un Motivo","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","spotify:album:4bgkuWQ5vPevdmtQCM8IBj","Floridiana","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","2020-11-05","https://i.scdn.co/image/ab67616d0000b2738da8af0264e090f1f29e078d","1","6","144251","https://p.scdn.co/mp3-preview/f859ddc9c4a924308604dac0190667857ebd936c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","ITUM72001109","spotify:user:11135692880","2020-11-09T04:33:01Z"
"spotify:track:2ImK05Zc3usBsn8XrRKgK9","Ferrari Blue (feat. Rkomi)","spotify:artist:5FEh6KHK99CyLXp3qFvZFM, spotify:artist:056KMTw6IztdQjBmFfVyO3","CoCo, Rkomi","spotify:album:4bgkuWQ5vPevdmtQCM8IBj","Floridiana","spotify:artist:5FEh6KHK99CyLXp3qFvZFM","CoCo","2020-11-05","https://i.scdn.co/image/ab67616d0000b2738da8af0264e090f1f29e078d","1","7","214175","https://p.scdn.co/mp3-preview/46d3414b1a12e84fb5858989e187481bd0a5ca3a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","ITUM72001113","spotify:user:11135692880","2020-11-09T04:33:01Z"
"spotify:track:2goEcSJEnmaHyKgmBJJzNm","Sparami - feat. Salmo, Fabri Fibra","spotify:artist:6FtwCmLY6L1sqvjaQ2lV6G, spotify:artist:6JFRI91YaCXREGQYzHSnUH, spotify:artist:3hBQ4zniNdQf1cqqo6hzuW, spotify:artist:7u710e44HW3K7A5eTnRqHC","Emis Killa, Jake La Furia, Salmo, Fabri Fibra","spotify:album:11T8pkk7VAT7LeoReyY7B7","17","spotify:artist:6FtwCmLY6L1sqvjaQ2lV6G, spotify:artist:6JFRI91YaCXREGQYzHSnUH","Emis Killa, Jake La Furia","2020-09-18","https://i.scdn.co/image/ab67616d0000b27340039bd30ffcd9f3ecdf8069","1","7","188058","https://p.scdn.co/mp3-preview/a7c91bb6db8b99f20a38933d71b0283a120d4af6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","41","ITB002000260","spotify:user:11135692880","2020-11-09T04:37:32Z"
"spotify:track:3rOw9WmYFCRLHTRcbOjhUl","L'ultima volta - feat. Massimo Pericolo","spotify:artist:6FtwCmLY6L1sqvjaQ2lV6G, spotify:artist:6JFRI91YaCXREGQYzHSnUH, spotify:artist:1El4YQA8oCXX7ynFSxRTFq","Emis Killa, Jake La Furia, Massimo Pericolo","spotify:album:11T8pkk7VAT7LeoReyY7B7","17","spotify:artist:6FtwCmLY6L1sqvjaQ2lV6G, spotify:artist:6JFRI91YaCXREGQYzHSnUH","Emis Killa, Jake La Furia","2020-09-18","https://i.scdn.co/image/ab67616d0000b27340039bd30ffcd9f3ecdf8069","1","10","210960","https://p.scdn.co/mp3-preview/e55bb69de511bd16ba1c4acf4b284347cfac6db6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","ITB002000263","spotify:user:11135692880","2020-11-09T04:37:32Z"
"spotify:track:4lTFQjsjvuxTTq4L9qe82c","Toro Loco","spotify:artist:6FtwCmLY6L1sqvjaQ2lV6G, spotify:artist:6JFRI91YaCXREGQYzHSnUH","Emis Killa, Jake La Furia","spotify:album:11T8pkk7VAT7LeoReyY7B7","17","spotify:artist:6FtwCmLY6L1sqvjaQ2lV6G, spotify:artist:6JFRI91YaCXREGQYzHSnUH","Emis Killa, Jake La Furia","2020-09-18","https://i.scdn.co/image/ab67616d0000b27340039bd30ffcd9f3ecdf8069","1","12","164237","https://p.scdn.co/mp3-preview/7c20cf70e350abfb526b71c543432c970eb6011b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","ITB002000262","spotify:user:11135692880","2020-11-09T04:37:32Z"
"spotify:track:3riPXZtSlwdrhMGk76jBw3","Maleducato","spotify:artist:6FtwCmLY6L1sqvjaQ2lV6G, spotify:artist:6JFRI91YaCXREGQYzHSnUH","Emis Killa, Jake La Furia","spotify:album:11T8pkk7VAT7LeoReyY7B7","17","spotify:artist:6FtwCmLY6L1sqvjaQ2lV6G, spotify:artist:6JFRI91YaCXREGQYzHSnUH","Emis Killa, Jake La Furia","2020-09-18","https://i.scdn.co/image/ab67616d0000b27340039bd30ffcd9f3ecdf8069","1","9","172556","https://p.scdn.co/mp3-preview/1a815f71d13ed839487285a2dad7c2e19d04ade7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","35","ITB002000276","spotify:user:11135692880","2020-11-09T04:37:32Z"
"spotify:track:6SUnPCMXpUvJ7ZiSFRg8rs","Broken Language","spotify:artist:6FtwCmLY6L1sqvjaQ2lV6G, spotify:artist:6JFRI91YaCXREGQYzHSnUH","Emis Killa, Jake La Furia","spotify:album:11T8pkk7VAT7LeoReyY7B7","17","spotify:artist:6FtwCmLY6L1sqvjaQ2lV6G, spotify:artist:6JFRI91YaCXREGQYzHSnUH","Emis Killa, Jake La Furia","2020-09-18","https://i.scdn.co/image/ab67616d0000b27340039bd30ffcd9f3ecdf8069","1","1","108973","https://p.scdn.co/mp3-preview/8f575350bbd410c3855fe1e1e495f8d8bdda459e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","ITB002000270","spotify:user:11135692880","2020-11-09T04:37:32Z"
"spotify:track:2zqxUV6h5y6Y9WhyH0FVvX","ALTALENE (feat. Mara Sattei & Coez)","spotify:artist:0VitAFMCI2apQxKzDjg1PU, spotify:artist:2KXYAKQTxHuUHDtVgeGn6w, spotify:artist:19i93sA0D7yS9dYoVNBqAA, spotify:artist:0zoMmzmyi8N8LwzhyXPvtk, spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","BLOODY VINYL, Slait, thasup, Mara Sattei, Coez","spotify:album:6qAapBZqjiATXktzwBzzLC","BV3","spotify:artist:0VitAFMCI2apQxKzDjg1PU, spotify:artist:2KXYAKQTxHuUHDtVgeGn6w","BLOODY VINYL, Slait","2020-10-02","https://i.scdn.co/image/ab67616d0000b273a86922607142c3a3e332158b","1","6","186853","https://p.scdn.co/mp3-preview/e628dd157d8d2a68b9c02ec69f297bb47413b10a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ITB002000446","spotify:user:11135692880","2020-11-09T04:37:32Z"
